Open, Close, High, Low, Volume
48.18,48.46,48.6601,48,1022495
48.76,49.05,49.34,47.95,1904368
48.74,48.81,49.84,48.72,1399125
49.1,49.215,49.92,49.05,1202165
49.26,49.48,49.655,49.01,1276282
49.53,49.05,49.8,48.91,1125500
49.23,50.04,50.05,49.03,1076043
50.09,50.17,50.3,49.87,626291
50.29,50.07,50.29,49.92,415591
50.24,50.16,50.29,49.84,620779
50.33,49.72,50.59,49.7,578365
49.61,49.44,50.06,48.96,988591
49.5,48.67,49.59,48.52,1179720
48.75,49.49,49.99,48.75,1107678
50.08,49.62,50.3,49.46,1042473
49.59,50.45,50.56,49.59,762184
50.46,49.93,50.63,49.87,1079523
49.65,49.78,49.81,48.61,1095600
49.28,48.92,49.64,48.81,1317686
49.04,49.02,49.18,48.62,1051409
49.44,49.25,49.92,49.21,1641340
49.55,49.86,50.055,49.07,1636772
49.82,49.47,50.04,49.39,989028
49.67,49.46,50.12,49.27,1324312
49.33,50.1,50.11,49.25,1233188
49.93,49.85,49.97,49.57,1211154
49.9,49.12,50.02,49.01,2091102
49.2,49.33,49.48,48.79,1690790
49.07,49.11,49.13,48.68,1676888
49.03,48.92,49.38,48.92,1263982
48.88,48.66,49.45,48.65,1299403
48.59,48.85,49.3175,48.51,1742060
48.91,48.5,48.96,47.98,1802240
48.14,46.29,48.14,46.13,4292036
47.74,47.42,48.79,46.62,4021277
46.91,47.44,48.73,46.74,3651447
47.94,46.94,48.84,46.92,3577185
47.03,47.38,48.01,46.62,1853303
47.87,48.57,48.84,47.46,3194251
48.68,48.64,49.29,48.16,1659137
48.5,48.64,48.88,48.44,1177816
48.44,48.66,48.92,48.29,1019773
48.78,49.71,49.72,48.2,1328954
49.57,49.79,50,49.46,1249676
49.42,48.38,49.625,48.33,1713609
48.34,47.94,48.79,47.94,1178918
48.13,48.16,48.58,47.99,1023104
48.3,49.13,49.18,48,1618033
49.37,49.98,50.2605,49.18,1723845
49.89,49.24,50.53,49.23,2472454
49.5,49.2,49.66,49.13,2007542
49.1,48.86,49.73,48.44,2055342
48.76,50.02,50.05,48.76,1418788
49.99,50.19,50.65,49.93,1573271
50.17,50.54,50.57,49.7,1081896
