Open, Close, High, Low, Volume
88.37,84.82,88.44,83.82,2067765
83.83,84.64,85.5,83.47,1758203
84.6,84.85,85.27,83.36,1095894
85.42,84.96,86.26,84.64,1044461
84.44,83.86,86.86,83.68,1284375
83.49,82.57,84.15,81.78,1230207
82.13,80.87,83.99,80.83,1451668
80.75,79.08,81.29,78.92,667111
79.37,82.2,82.3,78.83,1253834
81.21,83.4,83.43,80.8049,781216
83.84,83.2,84.7834,82.69,661616
83.55,83.67,84.2,83.13,574641
82.67,82.82,83.8,82.23,645486
82.14,80.02,82.71,79.86,973956
80.94,82.65,83.16,80.92,1503933
82.34,83.13,83.635,81.58,981416
83.58,83.68,84.06,83.01,742143
84.24,84.65,85.09,83.53,628802
84.64,85.42,85.45,83.76,700602
84.8,85.64,85.97,84.345,504622
84.77,85.84,85.99,84.4351,600240
85.73,85.18,86.07,84.74,620504
85.38,85.05,85.95,84.74,529381
84.88,86.03,86.375,84.645,958968
87.47,88.585,88.74,86.88,3349485
88.13,86.78,88.635,86.35,1261616
87.03,86.95,87.18,85.66,1117983
87.23,86.48,87.4005,86.23,787173
87.31,87.04,87.71,86.715,1152351
87.17,86.75,87.31,86.01,1082402
86.61,86.49,87.23,86.21,1401437
87.51,86.5,87.73,85,3894798
86.6,86.71,87.48,85.69,1302694
86.67,87.64,87.95,86.23,973429
87.66,88.615,88.62,86.91,1061074
88.64,89.565,89.67,88.37,1067751
89.61,90.7658,91.195,89.61,1429211
90.15,90.225,91.11,89.93,1240565
89.96,90.225,90.49,88.88,666597
90.21,90.15,91.12,89.95,626541
90.71,91.0495,91.69,90.45,708006
90.87,90.96,91.08,89.89,553724
90.41,90.7485,91.475,90.2,641827
91.09,91.33,91.925,90.17,977500
91.13,91.9,92.44,90.94,921336
91.73,92.02,92.24,91.37,643863
91.85,92.17,92.49,91.57,840411
92.26,91.94,92.6,91.4,535231
92.39,91.03,92.72,90.96,793574
91.01,91.11,91.58,90.9,669239
90.44,90.07,90.9159,89.54,830619
89.51,90.38,90.415,89.13,641617
91.08,90.17,91.99,89.755,702736
90.4,88.74,91.13,88.53,1061473
88.9,88.83,89.12,87.96,647740
88.99,88.01,89.305,87.52,699215
87.68,87.48,88.2,86.87,784997
86.94,87.44,87.59,86.15,469410
87.33,88.87,88.91,87.17,676121
89.08,88.76,89.7,88.22,456056
89,89.09,89.81,88.35,508184
89.4,89.3,89.85,88.75,477613
89.48,88.99,89.8,88.69,454927
89,90.07,90.08,88.835,545400
90.14,88.33,90.21,88.05,760254
87.9,86.66,88.63,86.4541,612982
86.47,87.29,87.5,86.04,622618
86.95,84.68,86.95,84.64,995816
84.57,83.42,84.85,82.95,1437253
83.91,85.54,85.64,83.16,1317044
85.6,85.82,86.41,85.05,749331
85.9,86.27,86.85,85.73,730599
86.55,87.01,87.05,86.35,929575
87.62,88.29,88.44,87.2,331672
88.59,88.5,88.93,87.97,700548
88.95,88.69,90.33,88.5,913201
88.96,89.21,90.33,88.92,502319
