Open, Close, High, Low, Volume
208.44,207.99,209.37,207.14,636708
208.86,203.66,209.01,203.48,646562
205.18,204.03,205.28,202.88,1587923
206.13,206.29,206.8,204.47,993681
206.36,207.3,208.4706,205.45,613007
207.49,206.02,210.265,205.81,684364
206.82,204.54,208.09,204.47,819419
205.55,203.42,205.55,202.41,835061
202.81,203.85,204.43,202.53,381900
204.35,202.7,204.46,202.48,606373
203.24,205.25,205.4999,202.2401,422650
206,203.04,206.16,202.9,400989
204.03,202.62,204.87,202.23,661044
202.52,205.95,206.32,201.3,897127
206.07,207.05,208.09,206.05,557181
207.91,210.5,211.08,207.6,515235
209.78,208.16,210.5,207.72,844559
207.98,207.99,209.04,206.8,918990
205.68,207.02,207.18,205.05,737126
208.09,210.84,211.35,207.51,875792
212.96,213.34,213.73,211.88,811926
215.02,214.75,216.29,213.81,1081133
215.7,220.31,221.07,215.15,1001398
220.27,219.7,220.37,218.07,882844
220.66,220.1,221.2,218.57,1028898
220.45,220.75,220.8,218.63,525327
220.81,219.74,221.11,218.72,517568
221.09,220.95,222.61,220.14,404721
221.74,221.83,222.87,219.91,464599
221.94,226.22,226.27,221.4,672413
225.76,223.85,227.13,223.72,484772
209.01,207.84,215.48,207.04,3675476
214.04,208.3,219.54,208.03,2057382
207.71,204.58,210.03,199.21,1995859
204.89,204.53,209.6,203.21,1384715
203.4,196.7,204.46,193.19,1617744
193.02,197.54,200,191.59,2110750
196.26,195.47,198.33,194.3,1313080
195.25,189.28,198.11,189.15,965154
192.02,193.72,195.05,187.11,1432746
194.96,193.51,196.71,192.82,664124
191.91,195.5,195.58,190.97,600576
193.96,195.55,196.02,193.47,437589
196.36,191.89,197.3099,190.72,1169624
191.96,193.76,194.97,191.37,740115
192.54,192.59,193.42,190.65,542713
192.94,191.61,195.31,191.57,455582
192.76,191.9,194.9,191.165,724527
193.2,194.74,194.84,192.05,600297
195.18,195.83,196.73,194.02,703634
195.99,196.8,199.09,195.59,868637
196.71,195.84,198.78,195.82,870648
195.42,193.37,196.13,191.69,863655
192.79,193.04,193.69,191.18,593909
191.84,192.34,193.27,189.64,571638
192.81,194.12,194.31,190.96,609058
192.5,194.24,194.43,192.03,805299
182.32,171.96,182.57,171.02,13719667
173.095,173.36,174.69,172.065,5204945
173.1,167.89,173.1,167.05,5311517
167.52,164.39,168,163.08,6018495
164.602,166.88,167.62,163.482,4199616
167.71,166.9,169.58,166.77,3001909
167.8,168.67,169.182,166.77,2300301
168.38,166.39,169.02,165.4725,2600863
166.93,165.02,167.26,164.36,2928005
165.61,167.06,169.56,164.31,4336973
166.09,165.295,167.45,164.82,3007335
165.72,164.04,166.8399,164.01,2605999
165.01,168.66,168.87,164.11,2205667
169.12,165.52,170.13,164.28,2667791
166.25,168.3,169.64,165.5,2355034
168.86,167.74,169.3864,167.02,1829673
168.85,164.63,169.4,163.8043,2139733
165.25,167.91,168.6,165.25,1129720
165.55,168.89,169.612,165.5001,1807925
169.67,169.03,169.98,167.88,1106762
168.28,167.82,169.87,166.73,1172720
168.71,167.97,169.9,167.79,887433
169.73,169.77,170.8,167.6,995356
168.66,169.01,169.88,168.16,1244426
169.75,170.48,171.21,168.74,1474879
171.67,171.67,172.53,170.76,1424719
172.22,175.09,175.7,171.72,1584522
176.82,174.39,177.81,174.28,1514407
174.6,175.22,175.85,173.79,1050347
174.5,171.73,174.62,171.465,1506626
172.08,169.96,172.55,169.6301,1648548
170.4,172.34,173.86,170.25,1443255
172.44,171.26,173.44,170.24,1354793
171.68,171.74,172.4,168.86,897236
171.64,172.15,173.05,170.7,872991
172.23,173.93,174.98,172.18,756089
174,171.77,174.75,171.77,976625
172.01,171.05,172.97,170.8,1253466
170.63,172.39,173.61,169.41,1662065
172.73,172.51,174,166.25,2297427
172.75,171.17,173.46,170.19,1446132
171.5,172.56,172.67,168.35,2021274
172.55,170.75,172.55,169.76,1271998
170.57,169.6,170.78,168.79,1789106
168.01,170.96,172.11,167.67,1096521
170.5,173.74,174.27,169.67,1459284
174.25,177.51,177.595,173.7685,1461005
177.18,176,177.43,175.14,953113
176.16,177.2,177.35,174.88,927691
177.65,178.93,179.99,176.69,1113808
178.86,178.11,179.58,177.98,741980
179,177.46,179.289,176.85,718410
177.66,177.28,178.35,177.05,828694
176.7,177.06,177.38,175.15,682381
177.35,175.83,177.38,174.78,758442
175.98,175.87,176.98,175.04,692725
174.81,172.54,175,171.71,978616
172.6,173.32,173.965,171.335,975448
173.69,169.39,173.69,169.11,1142248
170.21,170.86,171.09,169.4,716806
171.24,170.97,171.64,170.46,793031
171.24,170.86,172.67,170.005,579049
174,174.94,175.81,172.5,1779058
175.23,177.04,177.89,175.045,1059990
177.05,177.79,178.04,176.091,1220526
178.41,180.96,182.1,177.985,1500472
180.58,178.82,181.615,178.52,1084216
179.71,176.16,179.71,174.63,2667922
176.93,175.29,177.45,174.55,1235417
175.66,175.14,177,174.8,2048674
174.54,173.94,175.34,173.14,1055993
173.1,173.34,174.3997,172.92,1416573
173.79,175.71,176.04,173.79,894560
175.28,175,176.09,172.64,1260691
175.5,174.08,176.06,173.92,842614
174.06,173.83,175.99,172.35,1243133
173.69,172.95,174.23,172.8,999917
172.12,172.79,174.98,172,1234513
169.5,169.75,170,163.97,3134547
170.4,169.97,171.06,169.9,935040
169.47,169.03,169.47,166.88,853632
169.29,170.25,170.37,168.86,566568
171.17,171.98,172.3,170.245,861984
172,172.1,172.52,171.16,472047
172.53,173.23,174.0451,172.3,795081
173.68,173.42,174.11,172.59,668887
173.08,171.72,173.45,171.7,808488
172.08,172.96,173.85,171.1,1736547
172.44,173.09,173.74,172.43,445966
173.09,172.39,173.3,172.27,724715
172.02,170.8,172.02,167.83,1248321
170.81,177.78,179.48,170.72,4101551
177.93,175.9,178.71,174.25,2965856
174.49,178.06,179.47,174.3,2218937
178.23,177.44,179.21,177,1239873
177.47,176.43,178.96,175.795,1139329
176.92,177.5,177.55,173.54,1668386
178.08,177.93,179.12,176.68,1507105
177.95,177.23,178.075,176.3,810543
177.18,176.9,178.14,175.7,956996
177.61,179.28,181.66,177,2098487
179.89,182.78,188.6,178.57,5321853
185.23,188.87,189.2,184.25,4395334
189.61,189.26,193.37,188.91,1966780
188.81,187.87,189.07,186.44,1469266
188.91,188.29,190.35,187,2253983
188.67,189.47,190.3,186.03,2984315
190.03,185.43,190.3,184.92,2669845
183.1,183.29,186.21,182.135,3658188
183.4,181.76,183.815,180.13,1507305
181.27,185.3,185.56,181.27,2895148
185,185.5,186.41,183.12,2234157
185.86,188.19,188.61,185.57,1975486
189.13,188.34,189.38,187.375,1414999
188.97,187.9,189.3,187.47,1376118
187.34,186,187.55,185.75,1487788
185.4,186.36,187.09,183.78,1479254
186.44,185.81,187.07,185.06,1116836
185.86,185.74,186.869,184.94,1305860
186,187.01,187.99,185.85,1203466
187.72,187.96,188.38,186.1,1141008
188.31,190.46,190.95,187.99,1836329
190.43,189.79,191.24,189.5912,1931834
189.22,188.33,189.57,187.76,1243600
187.49,186.09,188.57,185.58,1530925
186.14,184.95,186.85,181.78,3329925
184.48,185.17,185.62,181.91,1981054
185.56,188.6,189.15,185.31,1611814
188.6,186.38,189.71,186.26,1119603
186,184.88,186,183,1158192
185.07,186.92,187.35,183.82,1636467
187.63,193.2,193.41,186.88,2464660
193.11,195.12,195.68,192.8601,1961870
196.5,197.83,201.69,194.82,4914663
198.09,200.07,201.55,196,3502326
200.8137,199.2,201.72,197.91,1954148
200.21,201.33,201.64,200.16,1939089
202.14,202.23,203.058,197.41,3113471
201.01,203.24,203.66,200.66,2806750
202.25,201.5,202.5,199.8,2332987
202.1,202.44,204,200.82,1465384
203.36,206.34,206.63,202.96,1897934
205.03,208.25,208.73,204.215,2050817
209.22,210.93,211.98,208.55,2064658
211.19,210.61,211.62,209.85,1813741
213.01,212.33,213.58,210.38,1742650
212.4,212.62,213.42,210.97,1982339
213,215.7,216,212.8061,1834639
214.79,212.9,215.46,210.02,1299497
212,214.12,215.28,211.52,1232375
213.82,209.99,215.36,209.7101,1928525
209.59,206,210.77,202.73,3352577
208.9,207.02,209.84,205.99,1930366
205.81,203.92,207.07,203.83,1100089
206.84,212.07,212.47,206.39,1912691
210.37,211.17,212.21,209.21,1037733
211.35,212.73,213.08,209.0675,1347835
213.7,209.98,214.91,209,1435902
209.78,208.85,211.45,207.395,987394
206.17,210.29,211.08,205.02,1246184
209.77,201.92,210.925,201.59,2208815
202.61,210.48,211.92,201.225,3016340
208.15,206.84,208.37,204.08,2525164
209.85,207.04,211.45,204.05,1643941
207.175,210.26,210.645,206.27,1424053
211.18,213.81,214.45,209.28,2155247
219.01,216.27,222.72,212.14,2906919
216.76,213.17,218,212.07,1696743
214,215.51,216.575,213.34,1150753
215.05,214.28,215.96,213.48,1969053
218,220.28,222.25,218,3027752
220.6,220.41,221.19,219.32,2643958
220.67,217.6,220.99,216.77,1229171
217.08,217.51,219.155,216.45,1496633
217.43,212.99,218.37,212.26,1787195
213.56,212.36,214.66,210.92,2566875
211.57,212.83,213.435,208.61,2246389
213.21,213.75,215.105,212.39,1432425
215.84,211.17,215.84,209.465,1104664
211.23,207.74,211.83,207.24,1662156
207.24,209.71,211.96,207.24,1723516
208.84,211.2,213.16,207.1868,485412
213.12,216.3,218.38,211.53,1833667
215.85,216.79,217.24,214.215,1652343
216.58,221.72,222.52,215.47,2317453
220.5,222.54,223.83,218.925,1325493
223.19,223.42,223.96,219.925,1620062
224.82,224.89,226.605,220.785,2358938
225.45,217.97,226.19,217.29,2102194
216.04,214.26,216.78,206.61,2461577
213.39,205.99,215.11,204.27,2187413
206.63,205.96,207.47,199.525,1797212
207.73,205.99,210.12,204.06,1194700
208.53,207.68,211.1955,207.4141,1704132
210.02,211.92,213.71,207.35,2557670
210.84,205.34,211.5756,202.659,3139428
201,198.56,202.87,197.545,3626989
201.52,192.04,202.39,190.32,3495180
192.04,193.3,201.13,190.7,4374547
194.81,179.74,194.81,178.3,7893284
178.54,181.27,187.26,177.11,5462211
180.5,178.38,181.43,176.52,2381371
179.74,187.63,187.9,177.19,3919875
185.75,192.69,192.7,183.385,3298756
192.94,190.81,194.21,188.7364,2396942
191.07,188.5,191.93,188.01,2080587
187.69,187.01,188.95,184.3,2573121
186,186.07,188.75,184.51,2806739
186.89,188.86,191.13,185.3,2224776
188.6,186.82,189.6893,186.29,1617582
187.52,189.46,190.27,185.01,2105835
191.07,189.92,191.07,187.09,3273412
190.13,191.52,191.95,188.21,2221258
189.86,194.3,194.83,189.55,2680091
193.68,191.77,194.59,191.68,1851490
192.34,196.24,197.33,191.85,2475588
