Open, Close, High, Low, Volume
77.3,76.56,77.54,75.85,488827
76.71,76.38,78.45,76.22,463494
76.23,75.85,76.52,75.2,382844
75.46,75.57,77.88,75.37,1189980
75.57,72.15,75.57,72.11,362088
72.49,75.42,75.43,71.21,598972
74.47,76.57,76.59,73.8,462451
77.05,76.59,77.5,76.1803,434468
77.04,77.06,77.4,76.5,384504
76.6,75.46,76.65,75.19,466579
75.42,74.53,76,74.38,436205
75.39,75.9,76.22,75.26,325030
75.68,75.59,76.52,75.355,313609
76.04,75.43,76.05,74.26,455505
75.91,76.17,76.29,75.35,566595
76.11,77.28,77.31,74.81,337528
76.98,76.98,77.53,76.6715,344602
76.56,77.63,77.64,76.51,421243
77.8,77.59,78.14,77.195,433204
78.12,77.96,78.22,77.08,516129
77.56,78.12,78.21,77.55,373596
78.63,80.32,80.34,78.16,797347
80.05,79.29,81.11,79.08,507185
79.36,79.59,79.9,78.615,272490
79.33,79.16,79.6,78.47,307513
79.72,79.33,80.13,79.11,439704
79.05,78.98,79.3527,78.14,345240
79.15,79.37,79.48,78.57,452635
79.69,80.14,80.57,78.9,534436
79.88,81.13,81.425,79.69,895136
81.17,81.56,81.57,80.31,580563
81.52,82.41,82.48,80.96,627986
82.54,82.5,82.62,81.68,570703
82.52,81.95,82.56,81.25,772649
80.53,84.21,85.91,78.75,1319792
83.82,83.97,84.03,83.1,729398
84.3,84.05,84.45,83.22,818695
84.59,84.725,85.12,84.42,477125
85.03,84.55,85.54,84.04,473187
84.12,84.12,84.55,83.58,426071
84.5,85.48,85.52,84.25,450148
85.39,85.6,85.78,84.97,439426
85.77,85.94,85.99,85.51,362010
86.07,85.54,86.15,85.19,587134
85.84,86.12,86.21,85.4,409717
86.35,85.86,86.86,85.68,476852
85.74,85.6,86.15,85.49,518727
85.62,86,86.48,85.42,581440
86.29,86.83,87.16,85.835,735342
87.35,86.97,87.46,86.74,454467
87.17,85.8,87.28,85.25,664146
85.98,85.57,86.46,85.34,347764
85.51,84.73,85.83,84.66,328065
84.77,84.58,84.84,84.07,406948
84.11,84.49,84.57,83,289315
84.72,85.5,85.62,84.72,428692
85.6,85.69,85.8499,85.42,354401
85.75,85.04,86.02,85,472331
85.1,85.34,85.52,84.64,380013
85.33,85.65,86.38,85.125,731548
85.74,85.92,86.23,85.51,412410
85.79,84.6,85.79,84.18,432125
84.66,84.03,85.32,83.88,450642
83.7,84.91,85.12,83.58,292065
84.49,84.64,85.43,84.49,428970
84.74,84.66,85.45,84.23,334589
85.08,85.04,85.33,84.51,257248
85.26,85.36,85.69,84.8,272531
85.53,85.45,85.88,84.6601,218750
85.93,85.9,86,85.42,311722
86.35,86.32,86.75,85.79,197639
86.31,85.51,86.52,85.37,360800
85.89,85.47,85.89,84.82,285163
85.53,85.64,85.91,85.28,278955
85.75,86.25,86.39,85.545,250552
86.27,85.66,86.27,85.22,228214
85.46,85.08,85.61,84.9,245250
85.25,86.07,86.1,85.08,263020
86.21,86.87,86.95,86.1155,255685
87.19,87.51,87.52,86.9,367946
87.41,87.13,87.645,86.98,300172
87.33,87.72,87.77,87.31,347399
87.7,86.49,87.7,86.34,350840
86.57,86.52,87.01,86.33,489895
86.28,86.02,86.44,85.56,332463
86.2,86.96,87.03,85.96,438168
87.01,87.7,87.97,86.87,437595
87.4,93.57,93.73,86.995,1235561
93.71,94.2,94.44,92.8,791128
94.34,94.98,95.31,94.14,567042
95.02,96.2,96.31,94.73,579309
96.48,95.22,96.48,95.11,491637
95.31,95.95,96.13,95.02,637383
96.02,96.06,96.37,95.33,401612
95.07,96.14,96.23,95.07,324589
95.56,95.01,95.975,94.46,357268
95.05,95.17,96.25,94.4,428604
94.63,95.06,95.53,94.47,411277
94.62,96.44,96.49,94.3515,312506
95.12,95.13,95.79,94.71,531832
95.11,95.77,95.92,95.0455,672248
95.2,96.41,96.77,95.15,657226
96.62,97.17,97.5,96.42,680907
97.45,97.72,98.28,97.15,670310
97.62,98.08,98.5,97.56,678912
98.39,99.25,99.31,98.37,596267
99.14,99.63,100,98.94,529992
99.05,99.245,99.27,98.26,562842
99.69,99.69,99.76,99.13,326373
99.65,98.82,100.0799,98.82,661206
98.43,98.49,99.1,97.778,555986
98.6,98.38,99.19,98.21,320705
97.82,98.27,98.77,97.4152,492463
98.51,99.62,99.67,98.01,763612
100.04,99.75,100.15,99.075,659169
99.82,101.67,101.7,99.72,994655
101.65,101.67,102.27,101.2056,504568
101.97,102.64,103.15,101.5352,466164
102.89,102.57,102.99,102.396,405534
102.57,102,103.15,101.66,576262
102,102.99,103.04,102,373128
103.11,102.65,103.41,102.315,821405
102.83,103.54,103.72,102.3,529727
103.38,103.86,104.3,103.38,523029
104.33,103.91,104.43,103.4,516121
103.83,104.84,105.025,103.76,313661
104.85,105.91,106.13,104.85,443804
105.99,104.6,106.3995,104.42,708715
104.97,105.02,105.67,104.83,383104
105.02,105.05,105.55,104.85,265339
104.64,102.23,104.99,102.2,474036
102.14,102.82,102.96,101.55,588514
103.29,103.66,103.75,102.88,340744
104.53,105.17,105.36,103.47,477847
104.99,105.45,105.87,104.89,739619
105.8,107.65,107.76,105.75,450854
107.27,107.85,108.18,106.46,371081
107.47,107.34,108.34,107.24,438383
106.94,107.5,107.7,106.49,639055
107.5,107.07,108.5,106.74,539302
107.13,106.8,107.13,105.73,497581
107.32,107.68,107.76,106.33,384693
107.88,107.82,108.36,107.21,334901
108.08,108.67,108.89,107.9996,535464
108.66,107.06,108.66,106.81,453612
106.99,107.48,107.64,106.51,453852
107.72,106.74,107.92,106.73,528835
106.62,106.43,107.08,106.04,347475
106.38,106.5,106.72,105.16,448164
106.42,107.26,107.33,105.85,512124
107.44,107.21,107.85,106.54,536085
107.4,107.84,107.86,106.49,447365
108.06,106.26,108.11,105.795,607621
105.53,105.86,106.6,105.455,571765
106.09,107.34,109.18,105.49,1000681
107.17,106.32,108.2,106.11,572852
106.4,106.27,106.9,105.77,460244
105.84,103.78,106.11,103.21,585502
104.39,106.99,107.05,103.68,633714
105.95,107.36,108.27,104.75,576055
107.92,109.74,109.89,107.7,355134
109.81,109.95,110.46,108.76,319259
109.34,108.62,110.7,108.44,383003
108.24,110.75,110.87,107.785,405834
109.83,106.86,110.33,106.85,468159
107.18,108.58,109.03,107.035,371144
109.18,109.65,110.12,108.59,418668
111.04,110.55,111.04,109.93,369956
110.33,109.43,111,109.39,233146
110.36,110.47,110.55,109.52,259557
110.5,111.02,111.32,109.84,269067
110.73,108.26,111.7,107.48,365210
109.35,110.34,110.34,108.42,318640
110.8,110.38,111.115,109.84,292697
109.84,111.13,111.33,109.18,403435
112.07,112.68,112.94,111.16,426663
113.13,112.46,113.69,111.96,259863
112.5,112.67,113.27,112.16,419326
113.39,113.66,113.74,112.5,391453
114.33,113.93,115.25,113.55,321234
114.11,114.94,115.56,114.02,306479
115.23,113.41,115.3307,112.51,428614
113.31,111.77,113.31,111.18,477812
111.45,111.48,111.87,109.7,475491
111.91,113.26,113.66,111.75,431323
113.25,112.94,113.595,112.195,363865
112.56,112.8,112.97,111.96,359376
112.43,114.05,114.08,112.43,466297
114.01,114.54,114.62,113.16,300239
114.25,114.3,115.1509,114.09,252616
114.06,113.8,114.4,112.82,698310
113.36,114.29,114.82,113.36,273687
114.96,114.35,115.18,113.85,382184
114.27,115.1,115.31,113.96,591239
115.29,116.6,117.16,115.19,500986
117,115.79,117.07,115.04,305775
116.02,116.67,116.84,115.52,334689
116.89,114.2,117.0477,114.09,382213
113.54,113.05,113.69,111.56,409905
112.35,114.2,114.38,112.35,360947
114.75,117.4,117.6,114.5503,829837
117.21,115.94,117.34,115.9385,565471
115.48,113.82,115.48,113.475,929717
113.92,114.83,115.4,113.92,867525
114.83,116.23,116.52,114.83,619423
117.89,116.1,118.19,116.05,920172
115.77,116.16,116.84,115.52,636201
116.62,116.08,116.8581,115.65,654053
115.57,115.25,115.605,113.78,975601
115.63,115.12,115.94,114.36,1117313
114.95,115.7,116.14,114.57,1135591
115.98,116.01,116.12,114.65,325273
115.98,113.38,115.98,113.01,408842
113.19,113.97,114.08,113.05,333605
114.36,115.18,115.47,113.25,886863
116,111.65,117.9,109.67,834599
111.65,110.72,112.2,110.15,763255
110.58,111.38,111.935,110.1182,666302
111.5,112.77,113.22,110.92,642011
112.55,113.23,113.25,111.58,543489
113.52,112.11,114,111.08,458950
112.6,110.18,113.17,109.84,467423
110,110.05,110.43,109.175,390322
110.37,110.88,110.935,109.61,380398
110.54,109.04,110.54,108.35,584458
108.48,108.69,109.6869,108.2113,388698
108.5,109.12,109.54,108.25,271712
109.24,108.55,109.83,108.31,613769
108.28,108.36,108.97,107.7,858534
108.34,108,108.34,107.315,706797
108.15,107.09,108.5379,106.81,628169
106.83,107.85,107.88,106.53,384421
108,107.9,108.26,107.66,651129
107.9,107.92,108.94,107.525,512974
107.98,106.09,108.29,105.865,386186
106.13,105.75,107.32,105.63,430144
106.07,105.93,106.57,105.762,333215
106,107.28,107.32,105.835,703338
107.28,107.38,107.69,106.74,504635
107.51,107.11,107.79,106.745,190755
107.175,105.63,107.175,105.61,436572
105.12,104.39,105.37,103.87,370292
104.5,104.57,105.01,104.12,537676
104.84,104.7,104.93,104.3786,508239
105.11,105.41,105.62,104.8,487846
105.68,106.21,106.39,105.28,408657
106.07,105.71,106.68,105.58,281744
105.92,105.32,106.11,104.89,251494
105.19,106.18,106.61,105.03,382886
105.87,105.45,106.1,105.08,277126
105.68,105.75,106.09,105.4,304762
106.04,105.57,106.15,105.09,465313
105.04,103.83,105.13,103.82,368282
103.5,103.34,103.534,102.69,467666
104.75,104.11,104.75,103,722592
104.51,102.98,104.51,102.7443,277995
103.29,103.28,103.47,102.87,94226
103.24,103.54,103.74,103.2,181820
103.35,103.9,103.98,103.17,191432
104.09,104.45,104.45,103.725,249430
104.34,105.16,105.18,104.1576,303934
105.62,106.02,106.03,104.8,478870
105.31,106.5,106.61,105.31,369609
105.85,105.69,106.282,105.08,312824
105.15,103.68,105.61,103.68,349541
102.9,103.11,103.87,102.82,569810
