Open, Close, High, Low, Volume
65.36,65.48,65.88,65.1304,3677391
65.11,65.2,65.6538,64.88,4269357
65.15,62.92,65.35,62.42,4390558
63.39,62.45,63.44,62.0123,3332631
62.43,61.89,63.15,61.5,3475449
61.74,60.96,61.955,60.51,4517368
60.61,59.91,62.08,59.89,7374171
59.96,58.05,60,57.85,3417470
58.2,59.39,59.39,57.505,5164488
58.99,59.64,59.65,57.97,5497117
59.84,59.73,60.35,59.41,4900746
59.34,59.32,59.87,58.9015,3363514
59.24,59.18,59.52,58.62,3808271
59.19,59,59.985,58.88,3406249
59.11,59.4101,59.55,58.86,5799514
59.44,59.895,60.455,59.31,3634188
60.02,60.515,60.95,60.02,4532000
61.97,61.24,62.23,60.96,4520293
61.02,61.77,61.87,60.72,2273106
62.26,62.035,62.54,61.75,2096309
61.81,61.66,62.04,61.37,2779327
61.65,62.19,62.51,61.6,1968572
61.85,62.08,62.33,61.695,2434848
62.12,61.99,62.5,61.9101,2958786
62.43,62.51,63.7,62.33,4293066
62.13,61.59,62.45,61.05,3963976
61.93,62.33,62.53,61.64,3172452
62.17,62.105,62.24,61.27,5196874
60.96,61.8312,63.6,60.96,7644116
61.71,62.695,62.84,61.6,5172174
62.7,63.67,63.8,62.7,3979914
63.66,63.92,64.34,63.46,5582467
63.76,64.8,64.85,63.44,4922824
64.9,65.06,65.25,64.2,4445162
65.29,65.2089,65.43,64.61,2587810
65.27,64.8,65.55,64.64,3256527
64.52,65.37,65.5,64.5,2747627
64.84,64.99,65.38,64.55,2451945
64.92,65.57,65.5899,64.75,2423718
65.59,65.78,65.84,65.34,3172581
66.11,65.98,66.48,65.48,3701036
65.9,65.92,66.15,65.5,2714122
65.63,65.44,65.855,65.33,1956061
66,66.4799,66.535,65.8,4100327
66.47,66.72,66.93,66.25,3461104
66.71,66.89,67.47,66.46,3473762
67,66.52,67.36,66.4,2467497
66.65,66.49,66.9,66.14,2433594
66.05,65.85,66.34,65.76,2833371
66.03,65.88,66.19,65.43,2920879
65.92,66,66.06,65.36,2168507
66.31,66.04,66.33,65.44,2940637
66.06,65.72,66.18,65.55,2921008
65.72,65.6,65.91,65.12,2347467
65.24,65.34,65.735,64.78,2583778
65.43,65.34,65.81,64.94,2157897
65.3,65.85,65.89,65.215,2289862
65.97,65.75,66.3926,65.59,2103411
65.81,66.51,66.61,65.81,2826043
66.44,66.25,66.65,66.06,2679684
66.36,67.19,67.205,66.2,4439182
67.25,66.28,67.35,66.1,2532650
65.8,65.76,66.03,65.43,3063137
65.88,65.1,65.88,64.89,2984931
65,65.82,65.95,64.95,2252819
65.78,66,66.435,65.2025,2430657
65.91,66.27,66.475,65.83,2581588
66.61,66.92,67.31,66.47,1994626
67.03,67,67.35,66.47,2345232
67.12,67.39,67.555,67.12,2521426
67.5,68.52,68.6069,67.37,3664817
68.38,68.29,68.52,67.92,1508781
68.21,68.38,68.68,67.79,2736597
68.22,67.81,68.27,67.565,3317137
68,67.55,68,67.25,2199114
67.54,67.9,67.92,67.455,1600474
68.05,68.03,68.18,67.76,1379692
67.81,68.12,68.14,67.6,1800535
68.05,68.12,68.39,67.82,1517473
68.31,68.07,68.4823,67.75,2030291
68.01,68.77,68.77,67.69,2532616
68.51,68.68,68.89,68.43,2271032
68.72,69.04,69.27,68.72,2920231
68.89,68.68,68.955,68.55,2136478
69,69.34,69.385,68.77,2892804
69.37,69.62,70.06,69.35,3693643
69.33,69.01,69.78,68.87,3010669
68.59,68.87,69.48,68.21,2870836
68.5,68.66,68.97,68.04,2838413
69.58,71.28,71.495,69.48,5051300
71.25,71.39,71.585,70.79,3003716
71.51,72.78,72.85,71.23,3196770
72.08,71.29,72.47,71.235,3427856
71.31,71.83,71.925,71.23,1856993
71.86,71.97,72.06,71.585,2182684
71.53,71.69,71.775,71.2,1771220
71.27,70.51,71.58,69.55,3463055
70.62,71.01,71.495,70.05,2754179
70.74,70.86,71.08,70.305,1963205
70.56,71.51,71.58,70.28,1948935
70.88,71.55,71.645,70.6,2208839
71.5,71.16,71.97,71.13,2146501
71.18,71.34,71.43,70.99,4088399
71.75,72.55,73.1,71.58,2890287
71.96,71.96,72.35,71.72,2260032
72.08,71.69,72.58,71.59,1786502
71.71,71.52,71.91,71.49,2034248
71.27,71.56,71.65,71.02,3538353
71.37,71.75,71.78,71.11,2430174
71.9,71.22,72,71.14,1946410
71.29,70.1,71.61,70.08,2347353
69.92,69.95,70.22,69.655,2533682
70.2,70.85,70.88,70.2,1598334
70.51,69.65,70.66,69.4443,2069985
69.7,70.66,70.795,69.593,2843764
71.01,70.84,71.27,70.535,3320760
71.12,71.91,71.95,70.64,2227794
72.11,73.11,73.25,72.06,2822823
73.2,73.99,74.14,73.13,2712930
73.99,73.02,74.09,72.87,2557240
73.19,73.32,73.35,72.78,2476473
73.63,73.05,74.09,72.85,2821850
73.08,72.755,73.2,71.99,2283181
72.87,73.35,73.48,72.755,1789678
73.35,73.41,73.58,72.795,2006965
73.98,72.9,74.06,72.68,2130587
72.7,73.52,73.625,72.3824,2366029
73.81,73.6,74.12,73.305,2210684
73.68,72.965,74,72.88,3383231
73.54,73.98,74.18,73.24,2456126
73.87,73.92,74.25,73.31,1996891
73.72,72.335,73.73,72.27,2254270
72.34,72.14,72.45,71.91,1925065
72.72,71.63,72.72,71.395,2387023
71.96,72.08,72.26,71.59,2022800
72.12,72.741,72.99,72.06,1887192
73.09,73.98,74.05,73,1462725
73.49,73.15,73.66,72.34,1817894
73.13,73.39,73.55,73,1456303
72.69,73.115,73.29,72.69,2135040
73.42,73.49,74.08,73.4,2040453
73.78,73.88,73.905,73.175,2473946
73.99,74.37,74.425,73.56,2418270
74.42,74,75.515,73.87,2143290
74.21,74.5,74.64,73.96,2984132
73.95,73.76,74.14,73.635,2420437
73.74,73.87,73.95,73.41,1935049
73.77,72.72,73.88,72.69,1931142
72.84,72.34,72.98,72.1,2146782
72.88,72.27,73.15,72.1,3568455
71.84,71.29,72.32,71.22,2671869
71.13,72.01,72.22,71.13,3947255
71.92,73.69,73.78,71.79,3489888
73.85,75.57,75.67,73.72,4065079
75.51,74.74,76.41,74.42,4500097
74.59,71.69,74.93,71.35,4141999
71.63,71.26,72.465,71.21,3668962
71.3,71.21,71.77,70.835,2659853
70.99,68.805,71.23,68.41,3393008
69.08,69.86,70.1749,68.84,3229792
69.44,70.44,70.77,68.47,3187730
70.67,71.73,71.77,70.1,1992462
71.8,71.51,72.09,70.96,1898282
71.4,70.75,71.4,70.255,2099843
70.87,71.68,71.95,70.66,2143811
71.01,70.52,71.74,70.5,2410049
70.87,71.36,71.68,70.61,2641020
71.69,72.29,72.5,71.62,1758196
73.01,73.07,73.255,72.64,1698141
72.96,72.56,73.28,72.43,1926406
73,72.6017,73.17,72.46,2245438
72.66,73.04,73.285,72.37,1238228
73.11,72.28,73.8791,71.81,2908412
72.66,72.8,72.94,72.21,1399069
73.28,73.43,73.73,73.03,1880973
73.5,74.02,74.07,73.32,1652062
74.47,74.2,74.55,73.38,1581552
74.47,74.12,74.5119,73.91,1988795
73.67,74.31,74.55,73.46,1599666
74.83,74.87,74.995,74.46,1813805
75,74.29,75,74.09,2702132
74.41,74.7,74.7117,74.23,1782758
74.6,73.17,74.6,72.855,3105603
72.51,72.09,72.52,71.18,3808354
71.95,72.84,72.86,71.4,1860661
73.37,72.29,73.75,72.24,2250890
71.6,70.68,71.72,70.39,4019125
70.1,69.42,70.39,68.97,3236947
69.57,69.86,70.7,69.53,2232682
70.18,70.77,70.81,69.8753,2773921
70.94,70.94,71.1,70.6614,2751308
71.02,70.98,71.26,70.76,3974914
70.85,71.5,71.725,70.84,2836935
71.96,72.49,72.93,71.79,3781481
72.54,72.25,72.8,71.89,2319925
72.3,72.73,73.08,72.16,1688408
73.14,73.27,73.35,72.65,2981965
73.15,73.5,74.28,73.15,2626106
72.78,71.71,73.21,71.4901,2495019
71.4,70.53,71.85,70.07,2793688
