Open, Close, High, Low, Volume
85.81,84.81,86.45,84.73,910526
84.89,83.86,85.03,83.74,1000869
84.39,85.3,85.895,84.14,1372269
86.11,86.27,86.84,85.73,971449
87.05,86.56,87.48,86.46,1072828
87.51,86.56,87.63,85.62,856014
87.19,87.68,88.07,87.04,1128024
87.95,87.75,88.22,87.25,872658
87.61,87.32,88.2,86.96,471132
87.12,87.13,87.36,86.78,421674
87.28,87.27,87.5,86.66,572285
87.43,86.83,87.62,86.76,432620
87.36,86.59,87.48,86.08,693630
86.5,86.53,86.95,86.02,895852
87.2,87.5,88.49,87.04,1006223
88.5,88.49,88.57,87.67,969526
88.24,88.74,88.99,88.07,940207
88.98,90.39,91.1,88.76,1593447
90.78,91.33,92.42,90.66,950022
91.86,92.52,92.53,91.57,1632934
93,93.05,93.54,92.55,1019040
93.27,93.79,95.49,92.88,1882602
94.19,94.8,95.045,92.97,1359362
95.27,93.82,95.6,93.49,918024
93.78,94.98,95.27,93.78,1224116
95.05,95.23,95.33,94.275,1319216
94.92,95.26,95.67,94.32,1169100
95.51,95.54,95.97,94.7501,1145705
95.81,94.71,95.92,94.36,1164038
95.05,95.81,95.88,94.56,687069
95.68,95.15,96.53,95.09,599719
94.38,94.77,95.7,94.04,701452
94.95,95.21,95.68,94.78,669066
95.16,97.01,97.03,94.95,866648
97,94.95,98.18,94.7384,1267132
93.48,90.72,95.06,90.3172,1547562
88.69,92.78,93.164,88.15,1480387
92.12,93.59,95.13,92.09,1352073
93.58,89.18,93.58,89.14,1118546
91.24,91.62,92.42,88.34,1284277
92.19,93.3,94.31,91.7,1190956
92.45,93.85,93.99,92.2,797876
93.69,97.4,97.54,93.69,1332803
97.9,97.67,98.3,97.02,927106
96.98,97.83,99.03,96.5001,915902
97.4,97.19,98.59,96.63,681668
97.35,98.39,99.8,97.31,748407
99.25,96.68,99.595,96.39,749214
97.19,98.68,98.72,96.97,670894
99.28,99.665,99.67,98.2,804310
99.5,98.61,101.73,98.61,881378
99.24,97.23,100.18,97.23,1050460
97.22,96.94,97.87,95.55,1836464
96.18,98.29,98.58,95.39,1421618
97.48,98.82,99.45,96.15,1140173
99.6,100.64,100.82,98.54,802622
99.57,101.17,101.295,99.37,789034
101.64,100.34,101.92,98.65,884435
101.35,102.2,102.42,100.52,958194
102.3,100.78,102.66,100.54,1103713
101.49,99.38,101.49,98.9,1159112
99.82,97.75,99.82,97.31,754692
98.24,98.03,98.88,97.23,777794
98.83,98.94,99.8,98.19,979604
98.64,98.03,99.14,96.66,609055
98.71,98.56,99.52,98.19,671971
98.6,99,100.5,98.17,903446
98,94.77,98.23,94.43,1126719
95.25,91.64,95.49,91.5,997673
93.7,96.15,96.49,93.375,1132071
96.74,94.47,97.36,93.6935,1351156
94.72,94.27,95.58,93.39,1156869
94.77,95.775,96.29,93.85,931100
95.62,93.86,96.22,92.56,1072073
94.12,95.42,95.8,93.83,1139753
93.77,96.74,97.03,93.39,949208
97.76,97.94,98.6,97.14,1096046
96.91,94.93,97.31,93.945,1083871
96.11,95.56,97.97,95.45,951481
98.07,97.36,98.07,96.15,1012809
96.32,96.28,97.23,95.8978,518550
97.19,98.45,99.1,96.76,711979
99.15,96.07,99.37,95.35,982108
96.63,96.12,97.2,95.38,1629321
94.62,92.74,94.9,91.95,3431978
92.92,93.3,94.54,92.105,1744845
93.51,95.03,95.43,93.245,1319832
95.02,95.49,96.27,94.86,862315
95.86,96.01,96.53,95.24,589540
96.83,96.24,98.25,95.11,910353
95.86,96.07,96.81,94.71,771310
95.7,95.68,96.44,95.07,673433
95.41,96.29,96.48,95.3,858767
96.62,94.58,97.4,0,496953
94.42,94.83,95.06,93.45,612258
94.59,94.28,95.93,94.04,1317347
93.91,92.98,94.02,91.53,1128583
92.07,94.04,94.7,91.49,655501
94.37,94.05,94.63,93.29,875121
94.28,95.76,96.81,94.21,994197
96.29,97.3,97.765,95.73,685529
97.24,97.91,98.58,96.74,589549
98.15,97.88,98.62,97.28,571892
98.36,98.02,98.6,97.46,738419
97.73,98.4,99.25,97.73,888703
98.1,99.04,99.6,98.1,849420
