Open, Close, High, Low, Volume
187.31,185.55,188.795,184.9,1470907
186.41,182.75,187.99,181.49,1768107
182.55,185.46,188.55,181.72,2433891
185.51,184.95,187.96,183.89,2241468
184.09,182.62,189.33,181.68,3009939
181.46,176.63,183,175.61,1053677
177.12,182.41,182.42,174.498,1442843
179.5,184.57,184.57,178.09,1433919
185.72,186.08,188.08,183.71,1090630
186.81,187.1275,188.45,185.81,998061
186.46,185.18,187.83,184.72,1476201
185.3,181.5,187.62,181.47,1840687
183.52,184.7,185.31,181.16,1814539
183.13,183.74,185.33,182.9,1311979
185.12,182.68,185.35,180.56,1240706
182.08,178.38,182.5,177.75,2657799
177.64,179.81,180.26,177.21,2179284
178.05,180.4,180.62,177.35,1107464
178.88,178.755,180.22,177.85,1276060
177.49,181.98,182.73,177.49,1156210
182.7,182.065,183.7164,181.77,774969
182.03,181.15,182.93,180.84,1280323
182.26,183.35,184,180.81,1263322
183.17,185.89,186.94,182.9352,1362366
186.54,187.85,187.86,185.605,1072711
187.15,186.305,187.59,185.65,1219882
187.15,185.845,188.08,185.52,1085641
185.52,184.82,186.48,184.6,847746
184.81,181,185.09,180.24,1045642
181.26,180.14,182.84,179.81,1329916
179.73,182.34,182.54,179.03,1283963
182.98,183.35,185.22,182.3,955138
183.14,181.29,183.77,175.5818,2031647
179.58,178.8,180.13,176.48,2147751
178.14,177.87,178.6,176.81,1352780
176.36,177.1,177.16,173.695,1442255
176.95,177.98,179.12,176.51,1137177
178.55,177.32,179.15,177.2,790192
178.03,178.87,180.66,177.55,1058553
179.17,180.24,181.41,179.0083,1813756
181,177.62,181.04,176.6225,2513128
176.6,175.263,177.8,173.9,2453571
175.26,174.23,176.5,174.21,1319392
174.3,175.6,175.76,172.76,1750457
175.41,176.52,176.57,175.04,1626123
176.51,178.06,178.16,176.08,1188080
178.83,177.5,180.42,177.35,1367391
177.6,178.11,179.485,177.12,1421443
177.85,179.87,180.25,177.32,1455367
180.45,181.9,183.1208,180.43,1692139
182.45,182.59,183.97,182.01,1678494
183.41,180.29,183.66,179.07,1931337
181.01,175.99,181.8,175.32,1733849
176.17,174.24,176.62,173.96,1538000
173.19,172.49,173.78,171.39,2364458
171.37,171.54,171.98,170.45,1585316
171.52,170.79,172.74,170.6,1515276
171.27,170.38,171.52,170.11,1839585
170.89,169.7,171.81,168.11,1942313
169.5,168.43,169.69,166.88,1975805
169.16,170.13,170.9,169.11,1322809
170.76,169.9,171.3714,169.51,1550042
169.94,168.75,170.83,168,1537263
168.39,164.74,168.6,164.58,2044721
164.45,164.34,165.54,163.02,1658523
162.15,163.27,164.44,161.4,2229240
163.08,164.17,164.8,162.92,1417687
164.94,164.05,165.58,163.69,1335888
163.73,162.58,164,162,1115617
162.72,162.751,163.05,161.05,1392047
163.79,164.57,164.9097,162.91,1060078
165.66,166.55,166.79,164.75,673689
166.96,168.06,168.48,166.1,1318757
168.27,168.45,170.61,167.82,1525060
167.81,169.39,169.59,167.81,1126411
169.7,170.14,170.59,168.99,1419196
170.03,172.39,172.56,169.35,1360244
171.48,170.8,172.48,169.395,1473583
170.76,170.03,171.15,169.37,1409240
170.77,170.55,171.5,170.05,909380
172.15,172.89,173.6,171.86,1320202
172.94,173.41,174.44,172.56,955998
174.285,173.87,174.62,173.09,1157613
173.92,177,177.14,173.92,2011462
177.73,176.3,179.14,175.93,1718793
175.41,174.74,176,174.355,1303829
174.8,174.79,175.45,173.56,1103865
174.35,176.22,176.2599,174.25,1006149
175.51,178,178.227,175.1825,1006742
177.74,179.03,179.98,177.74,1305740
178.61,177.48,179.57,176.6,2407671
177.83,178.86,178.98,177.09,1418213
174.71,175.32,176.33,171.5,2379248
174.92,172.8,174.92,172.56,2340821
172.97,173.93,174.3,172.31,1722276
171.01,178.14,178.45,171.01,1423833
177.1,178.11,180.96,177.1,2100287
178.47,178.21,179.81,177.18,1134601
176.78,179.99,181.125,176.53,1418839
179.9,183.03,183.03,179.385,1303770
181,182.31,183.63,180.8,1541867
182.48,183.28,184.87,182.11,1123142
181.9,181.77,183.71,181.26,831802
182.64,182.79,183.66,181.525,865391
182.19,183.91,184.7399,182.19,862390
183.93,185.58,186.19,183.88,1088432
186.38,186.56,187.785,185.88,875829
186.23,185.88,187.1338,185.04,609782
185,186.71,187.49,184.92,999829
187.67,187.92,188.26,185.55,711570
187.46,187.18,190.94,186.98,1119931
187.32,190.54,190.78,187.32,1803655
190.69,192.36,193.27,190.47,1062163
190.06,192.12,192.71,190.06,1468072
192.45,193.02,193.22,190.97,1512437
194.39,194.97,195.68,192.5,1082009
195.11,199.96,200,195.02,1456214
199.94,200.89,201.425,197.04,1151062
199.71,202.14,202.98,199.71,921888
203.26,203.12,204.56,202.69,1092455
203.58,198.75,204.3,197.5,2338700
198.44,198.85,200.27,197.81,906812
198.77,196.74,198.8759,194.5,2844559
197.35,197.11,197.81,195.66,1651569
197.07,194.78,198.09,194.41,764708
194.96,195.81,196.84,194.79,1101248
195.81,197.32,197.73,195.3,847514
198.83,198.78,199.98,196.5493,928964
197.87,197.41,200.94,197.22,1790087
197.99,198.42,199.155,197.48,705425
198.91,198.21,199.11,197.36,853770
198.37,192,198.37,191.96,1009832
192.64,193.87,195.39,192.53,897721
194.5494,194.1,194.99,193.05,935026
195.47,196.59,196.99,193.375,933296
196.3,199.74,200.36,195.36,914637
200,201.68,201.7,199.2,559522
201.83,202.82,203.35,200.59,743445
202.51,202,203.53,201.22,592766
201.3,201.97,202.12,200.4728,741107
202.16,203.16,204.36,201.9238,818399
203.67,206.41,206.48,202.5,1030352
207.01,207.48,207.8396,205.13,1152026
207.51,206.02,207.51,205.03,754078
206.67,203.48,207.18,203.3,1069304
203.45,204.09,205,203.41,809514
203.86,206.26,206.56,203.39,642361
206.47,204.85,207.395,204.755,651466
205.62,206.13,206.72,204.01,652798
204.79,205.34,205.78,203.93,892594
206.02,201.65,206.65,198.21,1568361
201.88,201.72,203.6524,201.27,751559
201.44,201.08,202.17,200.34,875973
201.55,199.62,202.15,198.92,929593
199.03,197.34,200.63,196.82,1002043
194.66,194.29,195.98,193.09,1838534
194.05,200.59,201.92,193.65,2273905
201.18,205.16,206.03,199.58,1308146
203.29,201.87,205.41,199.2035,1501217
202.38,208.21,209.15,202.13,1197206
206.74,208.88,210.17,204.89,1671352
209.73,211.11,211.24,207.0701,811759
212.38,215.75,216.725,211.68,876102
213.2,212.2,216.7,211.79,891704
212.4,213.3,214.7821,208.7,822687
211.09,208.32,213.22,208.24,1147282
210.77,212.7,213.29,209.02,1039697
