Open, Close, High, Low, Volume
136.45,134.46,137.59,133.83,910954
132.86,133.86,135.62,132.38,923246
133.45,131.43,135.38,130.93,1185622
132.85,131.33,134.25,129.94,1384829
131.65,130.89,135.4,129.2539,1927510
129.89,130.1,133.025,128.5,1072801
130.24,128.26,133.2,127.72,1493498
127.96,125.58,128.01,125.418,758395
125.66,131.04,131.13,124.4,1216479
128.63,132.52,132.53,126.02,987338
133.07,131.69,134.43,130.76,894000
132.4,132.97,133.69,131.87,744890
131.22,133.201,134.13,130.93,961424
132.41,130.96,132.83,130.03,982720
132.33,136.05,136.28,132.27,914320
136.14,136.75,138.72,135.29,843320
138.28,137.26,140.06,136.92,1021732
138.39,137.58,139.14,136.78,1141131
136.53,139.3,139.46,135.78,864590
139.02,139.64,140.1,138.205,926655
138.76,140.12,140.54,137.58,1037565
140.43,138.82,140.65,138.1,1041927
139.07,141.3,141.7,138.73,954056
140.51,144.99,145.61,140.51,1066035
146.33,150.37,150.72,146.25,1359976
149.47,145.895,149.88,145.81,1531467
146.72,143.49,147.1199,143.424,1170107
143.34,143.95,144.485,142.58,940307
145.98,146.72,147.4,145.8,833575
144.13,142.73,144.13,140.88,1088095
144.09,146.35,146.61,143.64,916497
147.74,146.3,147.79,144.24,1039156
146.17,147.28,147.32,144.75,976900
147.22,146.65,147.8,145.8,999231
146.88,148.65,148.66,145.91,1080939
148.48,149.71,149.72,147.325,1318888
147.47,149.335,150.97,146.24,1881562
149.41,149.585,150.74,148.4,1010526
148.41,148.05,149.26,146.525,757769
148.16,148.02,149.11,147.44,506225
149.11,151.82,152.16,148.98,888842
152.44,152.82,153.47,151.42,810108
151.58,151.48,152.43,151,683171
152.32,155.42,155.48,151.74,1075261
154.11,155.41,155.87,152.79,1104632
153.49,154.05,155.34,152.97,966952
154.56,155.46,156.23,154.12,714698
156.9,156.12,157.17,155.21,694791
154.83,155.32,157.04,154.03,757540
155.72,155.33,156.02,154,851615
154.98,154.08,154.98,153.71,730002
155.22,154.44,155.905,153.758,849832
155.51,155.03,156.13,153.32,875570
154.45,154.48,156.18,154.45,841945
154.45,154.54,155.42,153.83,896976
153.9,154.29,155.08,151.88,1188896
152.76,154.57,155.2,152.74,1173541
154.59,158.07,158.24,154.11,1328433
158.45,158.49,158.8897,157.25,1636813
159,156.96,159,156.65,1372889
156.73,157.11,157.83,156.3,1287962
156.73,157.37,157.59,156.55,1449636
157.7,160.56,160.61,157.5918,923048
161.44,160.12,162.34,159.56,981193
159.48,157.73,159.7739,156.37,1102400
157.09,158.62,159.2,157.09,583671
157.64,155.61,157.805,154.94,867645
155.5,156.45,156.74,155.39,624849
157.59,156.27,158.3399,155.7065,763280
156.47,155.54,156.5294,154.87,1219331
155.9,155.98,156.85,155.24,886962
157.25,157.84,157.94,156.39,918702
159.68,162.33,162.6,159.3501,585841
162.51,161.85,163.79,161.625,816171
162.19,161.45,162.7675,160.97,497509
160.95,163.43,163.64,157.25,560896
163.5,163.27,164.43,162.93,662168
163,163.15,163.555,162.16,447034
162.16,161.73,162.86,160.26,692705
162.32,162.56,163.2,161.24,438233
162.68,164.56,165,162.08,540179
165.6,166.1,166.8,164.705,623773
166.08,164.91,166.67,164.56,655042
166.62,167.23,167.76,165.1,785148
168.13,165.9135,169.365,165.745,718856
166.45,167.83,168.22,166,1006401
167.05,165.93,167.06,165.42,510166
166,166.81,167.42,164.6,807614
166.43,166.17,167.93,165.5,585373
165.04,162.14,165.77,161.68,842792
162.7,163.17,163.53,161.82,721627
163.65,164.02,164.38,162.72,1095429
167.54,166.1,169.45,163.83,1697498
166.51,165.41,168.45,164.97,1215563
165.23,166.15,166.6,163.8,1105116
