Open, Close, High, Low, Volume
134.65,132.82,136.3,131.4,1209937
132.5,127.53,134.7475,126.33,2307998
119.2,121.42,123.24,114.68,6292032
121.26,120.06,122.18,118.24,2745050
120.1,118.9,123.19,117.98,1717617
118.15,115.63,118.36,114.02,1937715
114.68,112.43,116.37,112.16,2019380
111.34,109.11,112.1,108.94,682645
109.74,115.37,115.41,109.68,1191504
113.52,113.71,114.46,108.5,1832903
113.88,112.8,114.6,112.19,949293
113.64,114.55,115.5978,113.62,980740
114.06,112.96,114.165,111.73,1351262
112.31,110.31,112.92,109.91,1341152
111.49,113.7,114.44,110.94,1231100
113.64,114.6,116.565,113.64,1147689
115.93,116.03,117.2695,114.85,1880353
117.19,118.21,119.02,116.54,1968782
118.06,118.36,118.4,116.68,1758546
119.14,119.86,120.78,118.49,1051674
119.4,121.79,122.55,119.0619,2153011
122,124.9,125.3,119.37,1836183
126.01,126.51,127.68,125.08,1721401
125.36,125.25,126.32,124.56,821624
125.5,126.54,126.7,124.76,860416
125.65,125.12,126.57,124.535,708762
126.29,125.48,127.43,124.1268,767389
125.91,126.75,127.95,125.635,625166
128.19,128.99,129.28,127.61,1034644
127.74,129,129.02,126.6,976674
129.43,127.74,129.43,126.23,683808
128.97,130,131.22,128.29,1147750
130.1,130.35,131.37,129.065,1693528
130.08,131.66,132.17,129.32,1332903
131.67,129.31,132.2,128.01,2499514
136.09,127.35,138.49,125.725,2827427
127.5,126.16,127.5,121.83,2704092
64.35,63.89,64.89,63.04,2537577
63.73,62.79,63.96,62.24,2089142
62.95,61.97,63.11,61.62,2856044
62.44,63.08,63.14,61.57,2460598
63.07,63.69,64.06,62.93,2073588
63.38,64.01,64.39,63.06,1493804
64.64,64.94,65.25,64.47,1396085
64.35,65.3,65.48,64.15,2317769
65.33,63.5,65.36,63.19,2507199
63.78,63.98,64.36,63.49,1818381
64.35,64.01,64.5,63.87,1556875
63.98,63.8,64.21,63.6,1571188
63.38,61.88,63.73,60.91,3110871
62.15,60.89,62.79,59.93,3805441
61.53,61.34,62.32,60.66,2750520
61.29,58.57,61.76,58.08,4487240
58.82,58.09,58.955,57.4446,3501315
57.99,56.88,58.15,56.79,3820659
56.99,56.45,57.67,56.34,3221288
56.03,56.57,57.06,55.9,2524816
56.81,57.46,57.67,56.1,2229912
57.74,58.31,58.56,57.5346,2456504
58.57,59.98,60.32,58.39,3841717
59.88,59.39,60.3,59.245,1949797
60,59.16,60.04,59.07,1519573
59.21,59.355,59.6209,58.975,2121375
59.88,59.98,60.59,59.66,1586775
59.98,58.7,60.06,58.53,1625157
58.5,58.93,59.1,58.14,3570664
58.63,57.15,58.84,57.05,3020909
57.04,57.06,58.15,55.81,1938020
56.84,54.85,56.84,54.21,5425878
50.15,52.08,52.52,49.56,33188680
52.34,52.82,53.4,52.04,9064196
53.14,53.11,53.34,51.735,5798414
53.67,54.11,54.27,53.06,3365093
54.88,53.66,54.88,53.32,5865994
54,53.38,54.61,53.16,4885150
53.4398,53.54,54.08,53.3,4687870
53.77,55.84,56.15,53.52,9678500
55.84,56.63,56.72,55.21,7953102
56.37,57.88,58.25,56,10199752
58.16,57.3,58.17,56.86,8019105
57.42,55.13,57.9,55.03,8038032
55.32,52.93,55.45,52.36,10202240
53.07,53.2,53.235,52.26,5162727
53.98,50.07,53.98,49.27,11648022
50.06,46.99,50.07,46.1,17734617
47.01,48.17,48.425,45.44,17100451
48.41,48.09,49.24,47.71,7539691
48.16,50.44,50.51,46.85,16096788
50.48,50.17,50.71,49.77,6777556
49.98,50.22,50.4985,49.26,5646977
50.5,52.67,52.67,50.39,9278912
52.51,52.35,52.94,51.955,6951359
52.66,51.53,52.66,50.35,6951298
51.39,49.75,51.55,49.63,6833329
49.59,51.59,51.62,49.4,6792547
51.61,52.595,52.83,50.72,9385901
51.41,56.05,57.3,51.35,20070524
55.64,55.84,56.95,52.8039,15568531
55.49,56.65,57.45,54.78,8874316
55.97,54.73,56.87,53.44,8956073
54.99,55.07,55.36,52.8,11170040
53.85,54.88,55.06,53.38,9620153
55.1,54.87,55.46,53.5,14032210
54.05,54.43,55.3,54.05,12302677
54.51,55.53,56.16,54.2294,13610751
54.81,56.05,56.53,54.81,10548751
55.62,55.51,56.42,55.19,5520420
55.93,57.15,57.305,55.91,5318341
57,56.76,57.16,56.52,2652722
55.87,55.43,56.12,54.93,5319270
55.75,56.87,57.51,54.58,12211805
56.89,56.06,58.23,56.03,4321658
55.75,56.23,56.76,54.92,4796078
56.34,57,57.3,55.88,4388134
56.56,57.735,58.24,55.57,8314128
53.5,51.815,54.23,51.11,24372298
52.54,53.9354,54.3197,52.4,12232452
54.2,53.88,54.25,53.2,5871432
53.99,53.9,54.51,53.655,3791564
54.15,54.1901,54.58,53.7,3792383
54.74,54.97,55.29,54.45,4338503
55.41,54.17,55.55,54.16,4854864
54.36,53.7,54.39,53.06,4970879
53.71,53.78,54.22,53.255,4194407
53.9,53.51,54.15,53.1,2717954
53.65,55.01,55.05,53.59,5039836
55.12,55.29,55.96,54.75,4155931
55.23,55.45,55.69,54.62,3457022
55.99,55.39,56.02,54.855,3815102
55.55,56.37,56.71,55.2,4790991
56.36,55.33,56.695,54.73,4200317
55.39,53.9,55.521,53.81,5574720
54.08,52.03,54.27,52.02,5498473
52.02,52.45,53.07,51.43,4122246
52.11,52.42,52.53,51.27,4566443
53.05,51.38,53.17,50.45,6860705
51.49,51.53,51.75,50.6988,3997496
51.42,51.33,52.04,51.15,2007384
51.14,51.48,52.24,51.11,2084861
51.29,51.26,51.52,50.61,2199839
51.34,50.43,51.64,49.96,4145532
50.61,51.21,51.5,50.34,3268531
53.01,53.22,53.65,52.095,9019586
52.87,54.51,54.6,52.86,5465058
54.73,54.06,54.89,53.965,3286515
54.11,53.75,54.16,53.47,2656658
53.53,53.23,54.0302,53.18,2849474
53.07,53.185,53.98,52.56,4507906
53.21,52.67,53.25,52.22,3400906
52.75,52.2,53.25,52.17,2655842
51,52.59,53.22,50.39,6982174
52.79,53.72,53.79,50.66,5860659
53.79,52.13,53.9,52.06,4749403
52.57,53.42,53.81,52.26,3466325
53.36,53.85,54.28,53.21,3923432
53.87,53.79,53.87,53.09,3181176
54.04,52.06,54.24,52.02,3694669
52,51.34,52.35,50.8,4557628
51.3,50.97,51.66,50.12,3800958
50.22,48.52,50.51,47.98,6301354
49.06,48.95,49.28,48.31,5538408
48.04,48.94,49.115,47.03,7569895
49.22,49.45,49.53,48.68,3911845
49.27,48.71,49.715,48.64,3404276
48.36,47.98,48.88,47.82,3009345
47.66,49.73,50,47.66,3978626
48.77,47.78,49,47.49,4113671
48.05,47.56,48.14,47.06,3266503
48,48.02,48.59,47.94,2549362
48.67,47.44,48.67,47.275,5633916
47.36,46.53,47.4499,46.49,3725157
47.02,46.93,47.3,46.79,2441351
47.04,45.55,47.16,45.51,4555405
45.25,44.78,45.85,44.5,3612166
45.1,45.3,45.3,44.73,4133038
45.3,45.03,45.86,44.525,6750570
44.8,45.36,45.75,44.58,3661792
45.78,46.31,46.36,45.51,3359922
46.74,46.62,47.01,46.24,2471608
46.22,46.15,46.3099,45.575,2567045
46.54,45.63,46.67,45.5,2342726
46.17,46.15,46.48,45.5,2049380
46.3,45.89,46.665,45.78,2502575
45.91,46.24,46.4,45.28,4527194
46.33,47.3,47.475,45.78,3913918
47.42,46.78,47.53,46.45,2387400
47.17,44.89,47.17,44.81,5682917
45.36,45.39,46.12,45.25,5310237
45.15,46.11,46.46,45.15,4869662
46.09,45.55,46.23,45.48,5058504
45.47,45.99,46.4,45.47,3461718
46.25,46.45,47.17,46.2,3726786
46.68,46.33,46.9,46.045,4682020
46.12,46.39,46.49,45.85,2422643
46.62,45.79,46.76,45.22,3822249
45.64,45.34,46.47,45.29,2741108
45.19,43.14,45.35,42.955,5639692
43.42,43.15,43.75,42.77,4274240
43.09,43.26,43.69,42.93,4226711
43.5,42.72,43.62,41.6246,7048486
42.47,42.73,43.45,42.19,5264694
42.53,43.24,43.28,42.45,4388178
43.44,43.56,43.73,42.76,2854019
43.51,43.82,44.41,43.37,4788360
43.42,42.75,43.58,42.63,6909323
43.1,43.825,43.95,43.02,3751787
43.62,44.09,44.265,43.2861,3037819
44.67,44.27,45.24,44.195,2925379
44.12,43.91,44.37,43.71,2203958
44.68,45.21,45.995,44.4,5412102
44.89,45.54,45.75,44.83,2899458
45.98,47.18,47.26,45.8,6025295
47.09,46.89,47.2899,46.13,4723700
47.2,45.84,47.3,45.78,4323785
45.68,48.77,49.58,45.22,10161240
48.26,48.36,48.91,47.5,4808185
48.7,47.65,48.7,47.07,2819722
47.53,48.2,48.415,47.06,4099743
48.25,48.6,49.26,48.1,3141771
48.62,49.92,50.04,48.37,4399192
53,54.04,54.44,52.52,12530109
52.53,53.1,53.31,52.49,3600128
53.4,52.13,53.7576,52.06,4641321
52.39,51.71,52.43,51.01,5017776
51.99,51.86,52.48,51.25,2894622
51.85,50.81,52.39,50.81,3178507
50.84,53.08,53.115,50.84,4530821
53.33,55.07,55.11,53.18,6120710
54.59,53.97,54.85,53.8401,4107648
54,55.2,55.34,53.711,3940905
54.8,55.35,55.94,54.7,4877784
55.46,54.66,55.4999,54.47,2696118
54.64,57.56,58.18,54.26,7797389
57.88,59.38,60.37,57.88,9197030
59.68,59.39,59.74,58.8599,3568817
58.94,59.46,59.545,58.15,3909104
59.38,59.69,59.83,58.9,2634515
59.9,59.45,60.28,59.2,2907950
59.69,61.18,61.285,59.59,4381941
60.33,60.02,61.08,59.91,2608663
60.11,60.44,60.76,59.63,2742582
60.4,60.53,60.64,59.72,956239
59.71,60.18,60.92,59.51,4059948
59.22,60.04,60.09,58.53,2823048
60.3,59.99,60.47,59.91,2214025
60,60.03,60.22,59.23,2463823
60.27,60.97,61.285,60.165,2649296
61.18,59.17,61.2199,59.135,3326938
59.11,59.62,59.65,58.97,2320849
59.39,58.62,59.54,58.485,4438481
58.75,58.515,59.7,58.31,2988756
57.97,57.68,59.03,57.05,5636671
