Open, Close, High, Low, Volume
28.45,28.4,28.5,28.22,2617804
28.36,28.615,28.71,28.1,2442297
28.69,28.79,28.95,28.14,3314943
28.89,28.47,28.9,28.39,2189352
28.48,28.01,28.505,28,1803729
28.01,27.43,28.285,27.4,2085195
27.36,27.76,27.95,27.19,2173384
27.8,28.08,28.13,27.8,1480032
28.11,28.03,28.235,27.97,1115705
28.09,28.14,28.22,27.96,996369
28.23,28.35,28.375,28.07,900474
28.42,28.38,28.5,27.7,871466
28.39,28.01,28.42,27.96,1994464
27.9,27.96,28.25,27.79,2840056
27.94,27.99,28.45,27.91,2670155
28.03,27.85,28.2,27.17,3542936
28.08,28.04,28.18,27.21,2830322
28.07,27.77,28.18,27.655,1994564
27.71,27.26,27.71,26.69,2954775
27.33,27.44,27.62,27.22,2672699
27.35,27.37,27.48,27.11,2732761
27.46,27.515,27.62,27.2,3796305
27.62,27.89,27.99,27.57,4289784
27.92,27.25,28,27.18,3694436
27.34,27.81,27.875,27.15,2732842
27.96,27.8,28.09,27.74,2242396
27.88,27.49,28.155,27.46,2213162
27.44,27.55,28.17,27.3,3706745
27.55,28.38,28.41,27.44,3537058
28.44,28.46,28.49,28.165,2242992
28.34,27.73,28.42,27.715,3910474
27.79,27.83,27.99,27.66,3827286
27.89,28.17,28.19,27.75,2635593
28.17,27.71,28.32,27.665,4540244
27.6,27.54,27.865,27.52,3848493
27.47,26.92,27.785,26.92,3790650
26.64,26.33,26.64,25.85,5591208
26.31,26.36,26.84,26.25,3893391
26.32,25.84,26.32,25.53,4476937
25.92,25.95,26.39,25.64,3452887
25.97,26.74,26.89,25.77,2241432
26.65,26.785,26.88,26.415,2572240
26.36,26.19,26.48,26.12,2450364
26.26,26.76,26.76,26.2,2575603
26.69,26.92,26.99,26.64,2242861
26.82,26.74,27,26.645,2632212
26.78,26.23,26.82,26.22,3225162
27.14,27,27.52,26.44,4864927
27.09,27.73,27.76,26.96,2642159
27.78,27.8,27.87,27.67,2910758
27.85,27.23,27.88,27.23,2895459
27.33,27.04,27.405,27.02,3457021
27.05,26.72,27.32,26.64,3875709
26.73,26.68,27.02,26.465,2980730
26.67,27.16,27.24,26.58,2698916
27.13,26.77,27.14,26.64,2909582
26.73,26.71,26.81,26.53,2368343
26.85,27.09,27.11,26.8,3312936
27.19,27.15,27.19,26.95,3165482
27.16,27.42,27.44,27.14,3258263
27.48,27.325,27.59,27.26,2539864
27.39,27.06,27.5499,26.77,6298656
27.13,26.63,27.43,26.47,7643537
26.61,27.145,27.26,26.57,4866580
27.16,26.94,27.18,26.78,3803383
26.93,26.81,26.99,26.595,6199233
26.8,26.55,27.28,26.41,5796558
26.24,26.74,27,26.11,5912540
26.84,26.22,27.14,26.17,3923566
26.38,26.83,26.92,26.16,3222052
26.86,27.09,27.465,26.76,5204578
27.2,26.96,27.2,26.58,4074263
26.98,27.39,27.49,26.98,4937030
27.47,26.98,27.495,26.765,2905726
26.97,27.08,27.18,26.79,4127188
27.03,26.91,27.16,26.68,2887452
26.94,27,27.54,26.67,4300671
26.98,26.88,27.09,26.69,4303373
26.93,27.13,27.305,26.68,3031381
27.07,27.1,27.215,27.01,2318475
27.05,26.825,27.215,26.78,2439015
26.9,26.52,26.91,26.39,2527012
26.59,26.67,26.741,26.32,1972672
26.75,27.07,27.115,26.69,2319106
27.11,27.16,27.27,26.98,3739838
27.17,27.13,27.37,27.11,1518282
27.02,26.98,27.16,26.9,2723425
27.01,26.69,27.07,26.62,3644853
26.25,25.91,26.49,25.76,8394692
26.05,25.35,26.055,25.29,8741348
25.26,24.9,25.46,24.81,7243971
