Open, Close, High, Low, Volume
24.49,24.11,24.64,23.97,7423303
23.79,23.3,23.89,22.985,10718567
23.03,22.61,23.31,22.48,8373128
22.48,22.94,23.12,22.39,6227408
22.85,22.57,23.34,22.56,8088251
22.37,22.43,23.11,22.22,8880168
22.36,22.8,22.95,22.24,7327031
22.62,22.17,22.81,22.1,3187081
22.38,23.6,23.62,22.13,5817191
23.28,23.76,23.78,22.69,6632936
23.78,22.925,23.895,22.72,6808805
22.99,22.275,23.13,22.16,7776763
22.1,23.53,23.55,21.91,7747619
23.56,23.405,23.7336,23.3,5002036
23.7,23.13,23.91,22.92,9828335
23.35,24.085,24.485,23.23,8492797
24.26,24.38,24.75,24.17,5632677
24.54,23.81,24.69,23.76,5426495
23.78,24.105,24.2,23.64,4227076
24,24.1201,24.28,23.87,4202297
23.91,24.65,24.78,23.84,5790581
24.61,24.745,25.17,24.45,5094264
24.77,25.01,25.486,24.71,6498715
24.9,25.245,25.365,24.83,4177219
25.49,25.54,25.885,25.34,6521612
25.36,25.19,25.5,25.09,5067897
25.3,24.95,25.62,24.82,3880205
24.92,25.48,25.515,24.75,9204661
25.48,25.92,26.12,25.37,7256542
25.64,25.51,25.72,25.345,4950324
25.73,25.62,25.8,25.52,3503627
25.63,25.335,25.87,25.26,5196852
25.32,24.925,25.49,24.84,4335030
25.02,25.06,25.24,24.77,3170546
24.88,24.885,24.976,24.68,2806624
24.8,24.73,25.075,24.71,3428336
24.63,24.115,24.65,24.1,4629339
24.04,23.725,24.15,23.59,4418491
23.69,23.88,23.91,23.47,2810482
23.86,24.355,24.49,23.64,3498138
24.51,24.755,24.9,24.43,4861535
24.69,24.595,24.83,24.4,5703406
24.52,24.71,24.905,24.43,4237157
24.92,25.185,25.25,24.7401,6373492
25.18,24.95,25.25,24.79,5973750
24.86,24.5343,25.11,24.28,10212170
24.34,24.26,25.19,23.78,7783107
24.28,24.88,25.255,24.2,9686059
25,25.11,25.45,24.94,7737307
25.08,24.76,25.26,24.75,5799690
24.83,24.62,24.89,24.55,5856265
24.84,25.23,25.24,24.84,5212008
25.24,25.34,25.44,25.06,5652330
25.35,25.74,25.77,25.2,4389430
25.61,25.405,25.72,25.32,3606109
25.54,25.11,25.54,25.05,4045821
24.99,24.66,25.01,24.53,5796908
24.77,24.89,24.995,24.69,3323123
25.03,25.515,25.52,24.94,3556746
25.7,25.97,26.04,25.43,5193287
26.04,26.05,26.39,25.95,3603490
25.89,25.95,26.07,25.7,4312810
26.03,25.97,26.29,25.86,4597151
26.04,25.96,26.34,25.89,5354682
25.95,26.42,26.665,25.85,5493859
26.46,26.6,26.685,26.38,2881990
26.32,25.96,26.4893,25.925,4247024
25.9,26.405,26.53,25.78,4385784
26.75,26.39,26.76,26.265,2994084
26.17,26.3,26.43,26.07,3714998
26.19,26.36,26.47,26.19,4266601
26.54,26.1,26.56,26.0073,3502880
26.32,25.87,26.43,25.84,1971929
26.02,25.9,26.15,25.65,3574145
26.01,25.5,26.01,25.44,3311245
25.57,25.82,25.89,25.52,2862338
25.87,26.17,26.17,25.635,4097787
26.25,26.83,26.86,26.24,4523912
27.02,27.14,27.57,26.82,8311883
27.26,27.17,27.325,27,3991549
27.06,27.07,27.18,26.72,4381312
27.5,27.3,27.62,27.19,3320154
27.17,27.355,27.645,27.17,2965474
27.5,27.43,27.54,27.17,3781629
27.57,27.03,27.57,26.94,4061341
27.01,26.12,27.01,26.08,5295494
26.34,26.17,26.38,25.94,6843290
26.36,26.18,26.6465,26.135,6915045
26.4,26.11,26.49,26.01,4902440
26.21,25.98,26.32,25.86,7437590
26.8,26.66,27.08,26.26,11521223
26.8,25.95,26.91,25.85,9690066
25.94,25.88,25.98,25.4,7028914
25.97,25.38,26,25.21,6138840
25.22,25.12,25.48,25.06,6247704
25.23,25.38,25.625,25.07,4980703
25.15,25.47,25.56,25.05,5041379
25.38,25.51,25.66,25.18,5301775
25.48,25.57,25.92,25.4,4875932
25.46,25.935,25.97,25.43,5215596
25.92,25.96,26.09,25.635,4274472
25.8,25.84,25.92,25.56,4696926
25.82,26.31,26.48,25.7885,4894438
26.08,26.36,26.49,26.03,4070576
26.46,26.27,26.66,26.175,5041905
26.07,26.17,26.37,26.05,5379340
26.26,26.465,26.52,26.17,4634294
26.59,27.36,27.415,26.38,6925461
27.27,26.61,27.32,26.465,6501420
