Open, Close, High, Low, Volume
223.89,224.86,226.14,221.91,424020
226.69,229.35,229.83,225.745,357916
229.75,224.09,230.73,223.64,446974
224.48,223.89,228.4,223.38,387194
223.93,224.58,226.04,223.03,300153
224.44,221.93,225.67,221.7,234687
221.25,219.79,222.58,218.95,148619
219.36,220.44,221.16,218.3,145059
220.96,221.19,222.21,220.1899,127912
221.54,220.18,222.01,218.865,133020
220.41,217.9,221.43,217.87,132429
217.92,220.73,222.97,217.12,255486
220.83,226.74,227.01,220.83,408247
227.64,223.55,228.64,223.17,400424
226.25,230.46,230.79,226.19,608558
230.3,231.78,232.07,229.38,166075
232.02,234.28,235.77,231.25,321745
233.09,230.98,234.86,228.28,389704
230.28,228.63,231.23,227.68,393509
228.88,230.78,231.31,225.92,262177
231.75,230.97,234.07,229.15,345456
232.35,235.29,235.45,231.12,536643
235.64,235.54,236.3,234.01,378987
235.82,240.6,241.54,235.82,317177
240.73,241.34,243.98,240.47,344119
241.7,238.7,242.19,237.77,301067
239,239.33,242.6,238.101,248608
240.21,243.8,243.87,240.1583,187344
244.19,245.58,245.72,242.16,145880
246.06,243.56,247.71,243.2,216388
240.79,242.86,245.005,240.16,278115
242.72,244.65,245.1,241.21,384543
243.35,243.74,245.37,240.97,342011
241.18,241.31,243.93,240.61,907624
241.16,231.3,242.5,231.26,420027
224.38,229.29,231.995,223.82,302700
228.35,230.41,233.26,227.05,289160
230.04,223.15,231.25,222.82,434966
222.27,226.83,228.73,219.08,339636
227.78,226.67,229.83,224.68,280952
226.63,225.86,227.19,224.575,175971
224.8,229.7,229.98,224,169531
230.55,232.55,232.589,229.05,184036
232.9,232.52,235.22,231.48,299775
231.51,230.33,233.43,229.56,173729
230.94,229.08,232.875,229.04,224637
230.66,227.97,232.42,227.55,228435
229.39,230.67,230.78,227.5,170341
230.51,232.98,233.34,228.06,177539
233.06,232.19,234.2,231.42,146475
233,230.5,234.8975,230.49,157592
230.29,226.71,230.87,224.7,292809
226.7,234.43,234.78,226.61,310594
232.94,236.66,237.34,230.24,248790
236.58,240.4,241.59,234.591,341384
238.42,246.29,246.5,237.93,481890
247.71,248.7,250.55,245.27,472205
251.53,251.5,260.26,247.18,909702
252,241.04,252.56,240.46,672261
241.35,236.84,242.59,234.61,494515
236.85,233.94,238.67,232.9,357740
234.36,234.02,234.36,229.645,331869
233.88,235.7,236.85,231.58,339269
235.51,232.99,236.64,229.48,275474
233.71,232.06,235.04,230.385,194012
232.58,228.35,233.095,228.2,382338
227.06,224.82,228.65,224.48,265396
225.73,218.75,227.13,218.12,342091
221.6,226.87,227,219.5825,638796
226.93,225.16,228.91,223.5,378015
225.55,225.15,226.62,221.1101,416305
226.12,228.84,231.5,224.6801,255006
228.01,221.73,228.6925,220.5,447164
221.93,221.26,223.0257,218.97,282060
221.01,221.21,221.96,216.47,244820
222.25,223.55,224.95,221.36,267313
222.75,217.98,223.95,216.94,183064
218.66,219.83,223.16,217.15,172114
222.14,223.31,224.53,220.62,293985
221.66,220.62,223.06,219.9,255503
220.42,221.03,222.98,220,315675
221.52,221.29,222.67,219.54,439789
224.13,228.01,228.47,221.66,360230
229.11,227.33,229.875,226.2,304260
227.59,227.01,229.06,225.05,184994
226.58,225.23,228.07,224.12,177615
225.25,225.18,226.57,222.72,292327
226.55,225.58,228.25,224.32,220255
226.73,223.21,227.8,221.62,315479
222.35,227.58,227.73,220.9,318450
227.73,229.64,230.92,227.28,194961
229.35,230.77,231.76,228.4,155905
231.95,228.77,232.43,228.465,224197
228.82,230.11,230.81,227.87,192273
229.41,226.85,230.15,226.455,160162
224.73,225.31,226.85,222.66,270839
224.42,226.59,227.84,222.14,149985
227.46,225.57,228.83,225.04,178571
226.04,226.77,228.85,225.02,190170
226.63,226.49,227.71,224.07,178226
227.52,231.39,231.57,226.47,163911
231.1,234.32,234.44,230.53,221192
234.28,235.165,236.6,234.275,321600
233.63,232.18,234.265,231.17,167352
232.63,231.54,233.7403,230.55,201870
231.97,230.82,232.22,229.65,344199
230.64,233.43,234.26,230.49,181238
234.09,236.48,236.87,233.45,188715
236.14,232.04,236.9703,231.735,196584
231.5,231.95,233.33,230.09,173343
232.65,229.51,233.39,229.35,230508
229.59,227.64,232.91,226.94,295776
225.4,224.49,227.01,222.74,398527
225.43,229.74,231.3059,224.29,264398
228.86,226.29,231.08,226,309566
227.62,228.1,230.03,227.13,265719
227.99,226.32,229.74,226.09,371331
226.19,224.93,227.11,223.115,329622
225.46,228.83,229.69,224.4,204881
228.86,226.59,230.61,224.87,387679
237.05,232.21,245,222.43,938691
231.19,221.99,232.285,221.5,572685
221.73,228,228.02,221.65,357173
228.25,226.83,229.08,225.62,314093
227.5,235.16,237.66,227.07,682164
235.13,237.07,237.59,233.46,731239
235.26,234.6,236.11,231.335,410908
233.54,233.56,233.9565,230.47,390576
233.37,231.84,234.24,231.145,226092
232.08,234.06,234.775,231.17,341069
234.63,237.24,238.365,233.26,487788
237.58,234,237.58,232.06,367200
234,234.8,235.77,232.61,184278
234.51,232.51,236.49,231.66,293437
232.5,234.67,235.29,230.59,244563
234.55,235.62,237.49,234.35,255951
233.57,236.27,236.33,232.14,308665
235.98,238.36,240.71,234.31,187341
239.08,239.11,239.7,236.17,174777
240.09,242.65,243.5725,239.515,244573
242.95,244.98,245.5,242.705,316317
245.54,245.26,245.97,243.59,201940
244.77,247.06,248.69,244.165,239691
247.1,245.84,247.765,243.71,311276
246.44,247.22,248.23,244.73,175711
247,242.63,248,242.23,298204
242.6,246.08,246.33,242.41,267624
246.59,246.79,247.99,243.86,226976
247.08,247.95,248.28,244.58,243363
246.71,248.63,251.67,246.66,330888
247.7,250.25,251.04,246.3601,246297
250.35,250.91,254.14,248.69,252385
250.48,255.01,255.24,250.1494,175872
255.9,255.55,257.65,253.41,154482
256.1,253.96,257,253.35,148958
257.24,255.95,258.44,253.75,241452
257.54,260.43,261.71,256.81,251825
259.14,259,259.93,257.29,178719
259.34,260.41,261.57,258.05,150277
260.36,260.31,260.99,258.77,166318
259.53,258.46,260.42,258,171907
257.88,257.5,258.08,255.33,229716
257.9,257.96,259.03,255.45,186682
258.67,256.84,260.83,256.68,158179
256.15,253.22,256.15,252.35,262537
253.16,253.2,256.93,251.6181,137455
250.19,254.97,256.54,250,182424
254.82,253.16,254.82,250.9,214899
253.97,255.65,256.95,252.48,117815
256.21,257.64,258.75,254.81,150041
257.74,255.97,258.28,255.68,226877
257.1,256.79,257.83,255.13,185472
255.36,259.55,260.3,254.74,145119
259.53,259.23,261.18,258.5,100578
258.79,259.94,260.265,258.39,109235
261.01,261.82,261.99,259.14,183699
262.77,263.58,265.33,261.03,188135
263.6,265.64,266.99,262.75,178310
264.41,263.76,265.92,262.7935,177886
254.5,255.78,260.33,246.3,877989
255.78,256.71,259.055,255.02,346800
255.74,255.34,257.56,251.95,257126
255.24,259.8,261.62,254.69,206111
259.8,259.4,261.045,257.58,194489
260.51,259.95,267.98,258.27,260360
259.48,263.74,264.65,259.48,237371
263,265.22,265.8,263,168585
265.37,265.32,267.24,262.8,188776
265.13,262.89,265.13,261.89,140992
263.1,259.69,263.32,258.38,179076
259.93,264.76,265.05,258.72,144274
265,265.35,267.33,264.0955,267208
266.5,267.58,269.31,264.73,366083
268.13,268.98,270.64,266.57,202454
269.16,269.44,270.37,267.69,129207
270,272.86,273.44,269.07,150808
273.83,274.52,276.31,272.21,163218
274.73,275.36,276.63,273.97,119371
275.35,277.15,277.92,274.12,161124
277.31,278.76,280.1,276.85,130665
278.71,279.23,279.42,277.24,126473
279.98,276.03,280.1,274.77,214301
275.11,267.83,275.11,266.23,346771
268.38,266.89,270.6,263.54,281761
266.66,262.2675,266.66,260.08,255749
262.35,259.69,263.48,258.11,312252
258.82,252.58,260.79,252.35,216545
252.73,250.59,255.68,249.19,267787
254.09,256.2,256.86,252.2,234319
255.77,252.91,256.7,252.31,196309
254.03,261.88,262.8,254.03,197722
260.94,264.3,264.75,259.605,81955
264.36,258.08,264.67,256.5,126782
258.4,254.1,259.1,253.99,157866
255.05,254.25,255.36,252.865,100645
251.12,253.66,255.84,248.1,118350
253.89,248.63,256.43,248.1,93676
249.42,250.59,252.65,245.77,88008
247.83,247.78,250.77,243.85,92371
249.79,247.76,252.43,244.82,133755
249.14,254.25,254.595,248.705,122421
255.52,258.3,262.57,254.29,199325
259.68,263.06,263.54,258.31,156776
264.46,263.42,265.99,261.8,103157
264,258.15,265.56,254.74,272707
256.9,259.51,260.44,256.9,207049
261,265.85,268.4,261,204250
265.98,267.61,268.27,264.85,112110
267.5,267.7625,270.34,265.22,113683
267.83,261.88,267.83,260.55,251150
261.6,254.99,263.46,254.16,213856
257.05,254.12,262.1,251.75,217681
252.48,257.07,258.06,250.46,248199
256.33,265.03,265.71,253.37,233015
265.57,256.87,265.57,255.095,224380
253.75,260.88,261.23,252.36,256186
261.24,265.86,267.81,261.24,263912
264.61,269.76,270.35,264.61,142650
273,272.42,274.99,270.96,293177
272.07,273.61,274.3,269.5,259708
273.33,273.38,273.92,269.1,511196
272.26,277.52,278.61,272.26,269491
279.22,278.74,281.75,275.92,327199
279.93,281.68,283.18,279.79,517862
282.38,274.72,282.86,273.94,460344
273.11,277.08,277.89,264.78,571531
263.49,243.01,272,242.65,1214929
