Open, Close, High, Low, Volume
64.57,63.13,64.84,62.6934,5367665
63.03,61.9,63.62,61.47,5234445
62.56,61.3,63.76,60.82,6454428
60.27,60,61.72,59.67,7104716
59.21,59.89,60.97,58.81,8369155
58.83,57.12,59.68,57.04,3218081
57.68,61.5,61.53,56.75,6272637
60.63,62.22,62.24,59.4503,4734966
62.75,61.61,62.87,61.15,3961008
62.13,61.955,62.73,61.685,4353971
60.69,63.34,63.85,60.43,4423186
63.54,62.29,63.71,61.66,3716413
63.08,63.735,63.91,62.66,5848629
63.91,63.51,64.27,62.69,5479164
64.21,64.32,64.58,63.46,4773057
65.07,66.39,66.75,64.6,6232540
65.87,67.815,67.9,65.43,7357702
67.28,66.38,67.34,65.79,5223018
65.62,65.61,66.32,65.33,3359098
66.04,65.99,66.78,65.76,3551835
65.74,65.655,66.27,65.49,4144051
65.06,67,67.17,65.01,4905910
67.64,67.83,68.31,67.17,5105527
67,65.615,67.24,65.5834,4492389
66.22,65.88,66.46,65.15,4733635
65.97,66.13,66.73,65.45,4084617
66.65,66.955,67.61,66.5201,3346589
65.87,65.38,65.8739,64.88,4354704
66.21,65.295,66.29,65.28,4480817
65.8,65.88,66.1,65.11,6937141
66.54,67.635,68.31,65.9,8005730
68.34,68.67,69.45,68.1,5120411
68.19,69.865,70.01,68.19,4574787
69.65,69.18,69.96,69.11,3426412
68.66,69.075,69.55,68.51,3351876
68.37,67.42,68.83,67.25,4070412
66.8,66.15,67.08,65.255,5559741
65.58,66.82,67.07,65.58,3334913
68.01,67.405,68.3,67.24,3289582
67.71,67.79,68.83,67.64,4597031
67.5,69.1,69.69,67.495,4165697
69.94,70.1,70.32,69.48,3995001
69.52,69.49,70.01,69.18,4036016
69.46,70.64,70.75,69.45,5077772
70.24,70.24,70.84,69.93,5457017
70.85,69.97,71.01,69.87,4165676
69.66,69.25,70.01,69.23,4002194
69.1,68.92,69.53,68.74,3785639
69.29,69.22,70.34,68.755,4864047
69.15,67.9,69.19,67.66,6077644
68.09,68.97,69.11,68.09,5978758
69.6,69.9,70.06,68.73,4785264
70,69,70.06,68.52,6146928
68.61,68.29,68.64,67.94,5843616
68.36,67.96,68.4,67.55,5282179
66.7,65.43,66.7,64.91,7198936
66.2,65.87,66.34,65.34,6576193
66.17,65.63,66.42,65.15,9203504
66.09,67.35,67.36,66.03,7181672
67.28,67.03,67.86,66.97,5467691
67.42,67.59,67.93,67.34,6315246
67.88,67.61,68.3,67.302,6169642
68.31,67.36,68.495,67.1,3987247
67.39,67.54,68.16,66.67,5072754
67.73,68.15,68.28,67.26,4646492
67.46,66.07,67.75,65.39,4572981
66.04,67.07,67.49,65.52,6513609
67.97,68.56,69.598,67.91,6220693
68.3,67.9,69.08,67.575,3916498
67.4,67.37,67.61,66.76,4601400
68.28,66.8,68.54,66.58,4745062
67.49,67.715,68.12,67.31,2894873
67.59,66.355,67.83,66.09,4943185
66.81,65.5,66.96,65.17,4895274
65.57,65.17,65.77,64.97,5800984
65.51,66.11,66.19,65.26,7656119
66.51,66.54,67.515,66.19,4709640
66.21,65.73,66.275,65.45,3437714
66.08,66.97,67.18,66.03,5285065
66.64,66.38,67.6,65.72,8009736
67.56,67.36,68.22,67.245,7290235
67.06,66.36,67.23,66.205,5131075
66.76,65.85,66.91,65.84,7294064
66.49,65.78,67,65.78,6536119
65.94,65.91,66.385,65.52,5116301
66.7,66.96,67.2985,66.3315,7670669
66.99,66.45,67.42,66.43,6426093
67,64.7,67,64.69,6384832
64.63,63.95,64.65,63.93,6660017
63.58,62.78,63.6521,62.08,7766266
62.77,62.65,63.12,62.36,5872941
63.55,63.12,63.97,62.55,7490132
63.73,62.69,64.525,62.68,10609931
62.2,61.29,63.31,61.28,10675156
61.9,62.03,62.88,61.515,5476089
61.25,61.89,62.345,60.98,5150632
61.16,60.9702,61.34,60.295,5411531
61.04,61.43,62.14,60.96,4135278
60.83,61.53,61.825,60.65,5931113
61.27,61.94,62.28,60.47,5689430
61.49,61.18,61.905,60.82,4820101
61.49,62.35,62.89,61.44,4091972
62,62.05,62.32,61.3,4889854
62.6,62.59,63.13,62.5,4746116
61.97,62.09,62.57,61.82,4351891
62.03,62.45,62.56,61.88,3941786
62.7,63.62,63.96,62.69,4570127
63.07,63.05,63.71,62.735,4598833
61.84,59.5,61.97,59.22,7657002
60.02,59.91,60.41,58.93,5517449
60.03,60.05,60.64,59.78,3994160
59.29,60.14,60.35,58.94,5337621
60.07,58.95,60.305,58.6,5062894
58.05,58.95,59.4,57.82,5650628
59.07,59.405,60.2,59.02,4817799
59.87,59.1,60,58.955,6273217
59.21,57.09,59.3,56.98,10390136
57.38,58.2,58.53,57.29,6241340
58.31,58.95,59.31,58.15,5061717
59.33,59.26,59.69,58.79,4228985
59.69,58.73,59.87,58.66,4677788
58.17,58.55,58.61,57.88,4895719
59.35,59.05,59.62,58.855,3976614
59.06,58.82,59.39,58.6905,2748676
58.35,59,59.11,58.279,3238880
59.43,59.83,60.22,59.21,4181620
59.75,59.63,60.29,59.39,3596726
60.73,60.7,61.2,60.4,7524051
60.7,60.34,60.99,60.27,5756986
60.32,60.51,60.78,60.27,2764242
60.3,59.78,60.88,59.76,3668414
60.83,62.75,63.3,60.82,8005967
62.58,61.27,62.857,60.88,4926799
