Open, Close, High, Low, Volume
49.6,49.18,49.69,48.64,1897087
49.02,48.55,49.29,48.53,2050051
48.96,49.58,49.74,48.69,2177061
48.75,49.66,50.66,48.67,3982711
50.06,48.77,50.2,48.57,3175424
49,48.32,49.1032,47.91,3145504
48.5,48.67,48.895,47.96,1922014
48.83,48.78,49,48.52,1299948
48.8,48.3,49.22,48.19,2022233
48.48,48.57,48.865,48.48,834976
48.55,48.45,48.62,48.08,904403
48.48,48.12,48.9,48.1,853301
48.2,47.4,48.42,47.21,1819142
47.43,46.72,47.53,46.7,2271759
46.87,47.12,47.29,46.73,2020331
47.25,47.28,47.53,46.91,1249792
47.29,47.63,47.67,47.21,1119847
47.26,47.29,47.53,47.18,1727810
46.76,45.84,46.98,45.58,2596633
45.93,45.76,46.13,45.65,1340404
45.78,45.5,45.97,45.26,1815331
46.89,46.435,47.09,46.23,2619887
46.87,46.97,47.61,46.72,1680282
46.82,46.26,46.83,46.21,1209756
46.42,47.39,47.39,46.25,1996306
47.47,47.64,47.96,47.45,2641786
47.56,47.57,47.75,47.19,1117274
47.79,47.13,47.81,46.9501,1739964
47.28,47.47,47.6,46.98,1301745
47.66,47.34,47.82,47.02,1165902
47.2,46.945,47.43,46.92,911113
46.84,46.41,47.2,46.25,1916847
46.47,46.55,46.91,46.13,1300812
46.46,46.79,47.13,46.12,1468598
46.47,44.6,46.47,44.45,2978443
44.36,44.2,45.26,44.2,2941231
43.6,45.13,45.35,43.5,3206344
45,44.78,45.8,44.78,1260430
44.98,44.82,45.72,44.78,2367302
45.26,45.71,46.08,44.9,2555087
46.03,46.31,46.695,45.9,2723426
46.11,46.64,46.87,45.91,2036932
46.29,46.97,47.5163,46.25,3458819
47,47.74,48.1,46.12,3454742
45.88,46.14,46.68,45.4699,6177161
46.19,46.07,46.51,45.75,2928894
46.11,42.87,46.4,42.82,6425643
43.09,43.96,44.44,43.09,3684705
44.13,44.11,44.31,43.52,1993392
44.22,44.37,44.74,43.96,1717562
44.42,43.94,44.82,43.94,2210667
44.07,43.05,44.15,43.05,3852109
42.55,42.27,43.21,41.99,4317779
42.07,42.025,43.02,41.9,4621758
41.81,43.54,43.625,41.78,3749522
43.61,43.9,43.94,43.27,2905741
43.32,43.075,43.58,42.505,2527416
43.29,43.14,43.66,43.13,1811719
43.35,43.6,43.61,43.14,1451792
43.74,43.59,44.16,43.585,1656907
43.75,43.95,44.05,43.35,1561470
44.35,44.195,44.635,44,3519629
44.09,43.32,44.45,43.12,2287916
43.36,43.58,44.2,43.34,2704491
43.6,43.59,44.47,43.41,2223726
43.72,43.11,43.82,42.78,1663474
42.31,42.18,42.33,40.99,3739912
42.06,42.1,43.07,41.8,2310534
42.29,42.26,43.2,42.18,2304105
42.56,42.47,42.6,41.94,2092181
42.48,42.67,43.1147,42.34,1822535
42.76,43.4,43.85,42.75,2205076
43.71,43.32,44.09,43.27,2365944
43.31,42.24,43.3344,42.135,1573859
42.3,42.28,42.55,41.54,2069423
42.11,43.23,43.66,42.08,1925335
43.36,43.48,43.8,42.92,1714114
43.53,43.73,44.21,43.28,2138377
43.72,43.25,43.82,42.75,1869860
42.99,42.59,43.2,42.53,1551512
42.61,42.84,43.125,42.04,1080785
42.95,42.66,43.045,42.47,1447140
42.58,42.46,42.61,41.43,2218740
42.48,42.81,43.3,42.1,1425253
42.92,42.54,43.11,42.5,1700640
42.61,41.83,42.62,41.78,2528240
41.66,41.27,41.73,40.98,2557928
41.26,40.37,41.64,39.79,2733567
40.5,40.83,40.9924,40.35,1963883
41.02,41.08,41.28,40.64,2091205
41.14,41.52,41.96,40.89,1551310
41.68,41.73,41.82,41.15,1237834
41.79,42.07,42.27,41.75,1359893
42.18,40.78,42.28,40.68,2086596
40.64,40.94,40.95,40.4,1293077
40.93,39.95,40.965,39.88,2280127
40.16,40.39,40.52,39.79,2314811
40.32,41.01,41.27,40.16,1241588
41.09,41.02,41.24,40.58,1273380
40.94,41.29,41.32,40.81,1719545
41.38,41.36,41.61,40.73,2507146
41.4,41.19,41.7,40.87,1774067
41.33,40.68,41.8,40.61,4085417
40.63,40.03,40.78,39.86,2841947
39.75,39.44,40.05,39.06,4060200
39.5,39.47,39.98,39.0899,2698171
39.44,39.22,39.66,38.87,4035842
34.93,34.37,35.39,34.09,27145737
33.77,33.58,34.68,33.28,13099841
33.65,34.36,34.8337,33.65,8110470
34.39,34.25,34.65,34,3739339
34.15,34.34,34.79,34.15,4696395
34.4,34.61,35.2,34.22,4417873
34.46,34.25,34.67,33.7,4630643
34.28,34.53,34.83,33.89,6081251
34.5,33.63,34.5,33.32,4640876
33.69,33.26,33.8358,33.23,3001525
33.32,33.36,33.49,33.02,3660943
33.38,33.34,33.4634,32.84,3123359
33.39,33.2,33.39,32.73,4654921
32.7,33.51,34.11,32.63,5312480
33.59,34.05,34.18,33.58,3762018
34.18,34.84,35.07,34.1588,4675404
34.82,35.13,35.26,34.25,5466494
35.09,35.52,35.61,34.84,7229686
35.6,36.53,36.64,35.43,9518471
36.4,37.1,37.26,36.35,7234702
36.87,36.66,37.27,36.24,6924940
36.64,37.07,37.18,36.5,5358243
37.04,37.21,37.22,36.51,4423025
37.12,37.47,37.86,37,4845524
37.52,38.63,38.64,37.46,4863390
40.56,42.24,42.88,40.5,24765919
41.6,41.32,42.3,41.195,7899797
41.23,39.89,41.25,39.83,5964505
40.12,40.785,41.0694,40.12,3547133
40.9,40.55,40.9,40.27,4014478
40.54,40.3,41,40.23,4612170
41.55,41.05,42.13,40.91,4989920
41.11,41.51,41.52,40.61,2912827
41.55,41.93,42.18,41.31,3691014
41.98,41.56,41.99,41.25,2884047
41.14,41.5,41.56,41.04,2018098
41.7,42.42,42.54,41.35,3669855
42,41.37,42.24,41.155,2017961
41.24,41.05,41.45,41.005,2019996
41.04,40.58,41.07,40.38,2011408
40.6,41.17,41.429,40.53,1828121
40.92,40.17,40.93,39.97,2223033
40.1,40.94,41.08,39.85,3064732
40.93,40.51,41.05,40.48,2292061
40.51,40.23,40.98,40.065,1997786
40.05,40.08,40.46,39.62,1600404
40,40.23,40.32,39.68,2678715
40.54,40.7,41.361,40.54,2322039
40.84,40.93,41.41,40.62,2431429
40.69,40.94,41.07,40.6001,2345378
41.1,40.91,41.35,40.34,2095716
41.68,41.44,41.99,41,6857552
41.36,41.71,41.87,41,6013424
42.44,42.75,43.98,42.41,15724820
42.75,42.68,43.26,42.47,6186161
42.56,41.76,42.7,41.53,5679352
41.77,42,42.39,41.4,4867219
41.98,42.28,43.08,41.41,5686893
41.33,41.36,41.845,41.1,3778046
41.35,41.52,41.55,40.73,2805574
41.47,41.76,42.07,41.41,1578285
41.75,42.33,42.43,41.61,2168921
42.33,42.02,42.81,41.98,2301694
41.17,42.05,42.24,41.05,2784890
42.17,42.16,42.55,41.94,1615638
42.11,41.87,42.34,41.405,1499882
41.78,41.21,41.78,41.02,1752268
40.78,40.615,40.91,40.26,3801412
40.57,40.68,40.93,40.48,1146840
40.75,40.69,41.02,40.46,1853936
39.98,39.83,40.295,39.29,3992465
40,39.98,40.2,39.6695,2784179
38.33,39.17,40.14,38.2,6014199
39.18,39.45,39.81,38.765,3736951
39.41,39.7,39.8925,39.36,2756448
39.48,39.85,40.445,39.23,3629692
39.77,40.04,40.22,39.735,2144462
40.19,40.23,40.45,39.76,2756021
40.25,40.53,40.934,40.25,1585997
40.58,40.025,40.76,40.01,1764272
40.19,40.27,40.38,39.585,2502943
40.48,41.14,41.21,40.03,2076986
41.03,41.285,41.33,40.74,1459820
41.14,40.96,41.19,40.73,1386220
40.65,40.06,40.65,39.74,1966563
40.05,40.14,40.27,39.74,1217697
40.14,40.32,40.54,39.89,1688984
40.04,40.04,40.46,39.99,2138274
39.99,39.83,40.52,39.73,1352381
39.78,39.06,39.98,39.04,1675367
39.04,38.98,39.43,38.83,1869852
38.2,36.86,38.43,36.68,5275161
