Open, Close, High, Low, Volume
37.9,38.17,38.28,37.7,22645273
38.48,38.52,38.89,38.3,16452657
38.66,38.3,38.86,38.28,15102004
38.49,38.74,38.8,38.21,15349239
38.88,38.53,38.995,38.49,13168337
38.52,38.555,38.74,38.47,8607432
38.55,38.49,38.68,38.36,5719096
38.56,38.55,38.65,38.45,6589938
38.73,38.58,38.73,38.45,7020742
38.41,38.33,38.62,38.31,8504258
38.67,38.8511,38.95,38.43,16478326
38.72,39.16,39.285,38.53,21836691
39.02,38.99,39.54,38.93,17145889
39.55,39.5,39.88,39.365,20830050
39.36,39.94,39.96,39.36,12585804
39.79,39.68,39.96,39.54,17264445
39.65,39.9,40.24,39.63,16115450
40.14,40.1,40.21,39.75,17679789
40.22,40.86,40.93,40.05,17777194
40.9,40.53,41.16,40.32,22235488
40.87,41.21,41.32,40.705,18958085
41.24,41.3,41.48,41.03,13589319
41.25,41.28,41.52,41.1,17883105
41.2,41.66,41.66,41.02,16795242
41.54,42.1,42.13,41.54,18044772
42.2,42.17,42.685,42.01,19926960
42.27,41.89,42.47,41.82,15486440
42.15,42.55,42.56,41.95,16461395
42.3,42.83,42.98,42.3,19094251
42.685,42.25,42.86,41.97,22471444
41.98,41.57,42.01,41.35,28129093
41.14,41.7,42.11,40.67,20692968
41.47,40.93,41.95,40.87,21325852
40.87,38.74,41.405,38.72,39456802
38.03,40.18,40.305,37.35,46881007
40.31,40.34,41.206,40.03,27438219
40.44,38.76,40.76,38.72,37320109
39,39.54,39.92,38.23,45326845
40.51,40.6,40.91,40.225,31559057
40.5,41.22,41.31,40.22,25010831
41.05,42.1,42.26,40.99,34754919
45.07,44.09,45.13,43.26,64766230
43.885,44.34,45.09,43.79,32876613
44.05,44.05,44.69,43.81,22052605
44.11,43.31,44.42,43.28,22847782
43.49,42.95,43.56,42.75,21452399
43.37,44.04,44.04,42.92,20115434
44.23,45.37,45.45,44.13,22238367
45.41,45.03,45.61,44.62,22810520
45.27,44.79,45.89,44.78,20133321
44.68,43.78,45,43.35,26840452
43.24,44.06,44.22,43.1,24161464
43.92,44.52,44.765,43.7,17043110
44.65,44.3,44.785,44.135,18047834
44.03,44.21,44.39,43.8,17984924
44.25,44.34,44.41,43.935,16142996
44.62,45.37,45.54,44.61,18070596
45.57,45.545,45.87,45.4,14590690
45.78,45.16,46.16,44.92,19253334
45.34,45.28,45.7587,45.09,17449957
45.3,45.35,45.735,45.12,18392326
45.33,44.99,45.6,44.97,24463417
44.6,44.28,44.82,43.9,19603469
44.48,44.38,44.64,44.18,15800147
44.24,44.32,44.9,44.1331,15577219
43.76,43.06,44.02,43.02,24465487
43.71,42.42,43.84,42.42,25967564
43.17,44.06,44.16,42.83,23210606
44.49,42.67,44.52,42.24,24782325
42.52,41.65,42.84,41.62,31590546
41.94,42.73,42.93,41.58,31715694
42.52,41.01,42.63,40.53,29094412
41.39,41.38,41.5,40.72,23296353
40.39,41.18,41.55,40.19,25670743
41.53,41.81,42.02,41.38,22667142
41.4,40.73,41.68,40.45,21142842
40.95,41.16,42.06,40.9,19380814
42.09,42.51,42.71,41.75,18980570
42.42,42.44,42.9,42.26,15614739
42.73,43.35,43.64,42.73,18452652
43.54,43,43.74,42.64,15631861
43.12,43.3,43.64,43.03,13124048
43.84,44.58,44.75,43.705,18015994
44.61,44.64,44.92,44.295,15578995
44.49,44.56,44.95,44.38,18240854
44.5,44.11,44.75,43.62,17351888
44.26,44.24,44.475,43.87,15002329
44.52,43.74,44.91,43.33,17903664
43.81,43.72,43.99,42.75,17603773
43.84,44.22,44.49,43.44,16163921
44.69,44.71,45.34,44.36,17315536
44.92,44.28,45.18,44.28,13989655
43.92,44.83,44.95,43.83,14500270
44.91,43.8668,45.05,43.8,18551745
44.0084,44.45,44.81,43.44,18923748
43.99,45.29,45.5,43.9,16126437
45.39,45.73,46,45.3,13564374
45.81,45.72,45.87,45.38,14429010
45.82,46.04,46.1,45.19,16780308
46,46.3,46.37,45.67,15909224
46.09,45.94,46.27,45.78,13239703
45.75,45.73,46.23,45.67,16635303
45.26,45.47,45.55,44.93,21039248
45.34,45.16,45.55,45.01,24286310
43.11,43.46,44.16,43.02,41021804
43.4,43.21,43.57,43.11,19447979
43.47,43.75,43.94,43.42,17193309
43.79,43.66,43.91,43.475,13382662
43.4,43.68,43.7,42.89,15617959
43.6,43.56,43.97,43.01,15584259
43.46,43.25,43.62,43.21,12803479
42.74,42.97,43.16,42.52,18979123
43.08,42.84,43.34,42.83,18553685
42.89,42.73,43.13,42.61,17322703
42.91,43.65,43.69,42.88,15509296
43.65,43.57,43.83,43.21,15328674
43.74,43.69,43.75,43.39,12833567
43.76,44.26,44.31,43.66,13611090
44.24,43.65,44.39,43.35,15140649
43.53,43.47,43.73,43.31,14864524
43.5,43.69,43.92,43.44,12112705
43.68,43.93,43.945,43.47,13610866
44.02,44.015,44.53,43.84,16685019
44.23,44.69,44.81,44.05,18526281
44.36,44.26,44.53,43.59,23950361
43.6,44.21,44.42,43.39,13936469
43.62,43.82,44.02,43.44,15606690
43.95,43.74,43.99,43.7,17464175
43.69,43.17,43.78,43.06,16802782
43.31,43.17,43.45,42.89,14578454
42.69,42.29,42.82,41.805,24101550
42.48,42.55,43.14,42.39,18919724
42.73,42.33,43.15,42.28,14344196
42.36,42.94,43.19,42.28,15668662
43.04,43.04,43.5,42.97,14716970
42.55,42.82,42.83,42.2,17758745
42.95,42.67,43.225,42.62,10946623
42.56,42.57,42.64,41.96,14417668
42.4,42.72,42.875,42.31,17404664
42.7,42.68,42.78,42.36,19482369
42.84,42.86,43.04,42.71,16424793
42.62,42.58,42.755,42.44,13840306
42.91,43.58,43.63,42.75,13358769
43.34,41.76,43.78,40.94,45222964
42.01,42.5,42.94,42,21260422
42.21,42.34,42.51,42.14,16630615
42.24,42.21,42.47,42.15,16491823
42.79,42.42,43.01,42.22,18754017
42.25,42,42.365,41.86,16335815
41.94,42.05,42.12,41.44,12331748
42.14,42.39,42.88,42.07,15190386
42.36,43.16,43.22,42.29,14519550
43.58,43.53,43.8252,43.22,14773527
43.42,42.56,43.62,42.42,17781881
42.46,42.17,42.61,42.08,12320454
42.25,42.31,42.62,41.915,15038004
42.06,41.87,42.34,41.33,17749474
41.39,42.52,42.6,41.2,14569565
42.63,42.82,42.875,42.46,9931809
42.76,43.29,43.41,42.655,10852781
43.3,43.58,43.64,43.235,14953500
43.64,43.83,43.96,43.44,11247935
43.89,43.79,44.11,43.7,11336340
43.69,43.78,43.95,43.58,10735076
44.08,43.75,44.39,43.7,14736019
43.73,44.01,44.28,43.58,13081736
43.68,43.84,44.5,43.01,20238729
45.72,45.16,46.09,45.08,42630435
45.13,45.86,46.075,44.92,19805372
45.99,46.22,46.33,45.78,14460445
46.25,45.78,46.43,45.72,14623489
45.93,45.99,46.16,45.7161,11182686
45.88,46.02,46.25,45.85,12004128
46.2,46.31,46.44,46.07,12516927
46.41,46.6,46.855,46.34,14385789
46.78,46.96,47.27,46.62,14704415
47.07,47.47,47.62,46.9,16207208
47.32,47.14,47.54,46.97,13486983
46.91,47.7625,47.83,46.8,16543881
47.84,47.74,48.06,47.51,16133700
47.56,47.28,47.65,46.755,15884699
47.44,47.28,47.9,47.07,13356026
47.17,47.06,47.49,46.88,11777453
47.3,47.0725,47.46,46.775,12080272
46.91,47.03,47.17,46.435,13754772
46.86,46.88,47.01,46.44,13331847
46.87,47.25,47.4,46.8,14244901
47.27,47.39,47.49,47.1,11384098
47.23,47.12,47.58,47.07,10774212
47.07,47.48,47.65,47.07,12720416
47.42,47.28,47.62,47.12,9571509
47.41,47.73,47.81,47.16,13166839
47.79,48.52,48.639,47.79,28658352
48.21,48.45,48.62,48.19,15048666
48.57,48.47,48.88,48.43,12662615
48.74,48.42,49.06,48.27,14065148
48.33,48.35,48.76,48.21,11599843
48.27,48.67,48.8,48.06,10801636
49,48.87,49.14,48.665,11252662
48.75,49,49.14,48.67,11644960
49.26,49.14,49.47,49.07,13403544
48.68,48.38,48.77,48.04,17882837
48.44,48.13,48.85,47.61,16141825
48.19,47.51,48.5,47.1504,16502031
47.53,47.48,48.03,47.28,13789160
47.4,45.63,47.51,45.54,25276375
45.46,44.12,45.6,43.92,34206922
44.93,45.7,45.85,44.46,29318049
45.49,44.67,45.72,44.67,20196821
45.23,45.855,45.94,44.85,17237760
45.8,45.95,46.23,45.22,14608336
46.3,45.46,46.49,45.15,17882398
45.53,45.33,46.2,45.13,16686046
45.74,45.76,46.28,45.405,15173025
45.15,45.42,45.77,44.44,18781079
45.49,44.06,45.68,43.96,23398783
44.62,45.48,45.81,44.205,22054952
44.57,44.25,45.11,43.78,25163733
44.97,43.84,45.05,42.94,26901173
43.8701,44.58,44.7,43.75,21636352
45.01,45.74,46.3,44.89,19305040
45.67,45.64,45.88,45.1,21987852
45.69,45.46,46.09,44.98,20068045
45.74,46.12,46.435,45.35,14763315
46.04,46.48,46.62,46,13637817
46.98,47.92,47.93,46.745,17138758
47.87,48.43,48.44,47.87,15521737
48.1,47.09,48.25,46.7,17735464
47.14,45.62,47.25,45.54,18988862
45.7,45.12,46.055,45.0268,21334837
45.46,44.34,45.64,44.08,29465513
46.8,46.79,47.1,45.1515,41469767
46.46,46.32,47.04,46.13,28392519
46.35,45.75,46.58,45.25,23298507
44.92,44.46,45.285,44.14,24950813
44.95,44.89,45.18,44.395,17523483
44.45,44.54,45.12,44.39,8143187
45.14,45.57,45.68,45.09,15091136
45.45,46.13,46.39,45.21,17227966
46.3,47.3,47.48,46.12,20672918
46.9,47.35,47.76,46.9,20180010
47.27,47.87,47.9099,46.92,18619094
48.32,48.73,48.79,48.08,21173466
48.7,47.335,49.1388,47.25,24896807
46.99,48.38,48.46,46.47,35286502
48.16,46.41,48.485,46.36,30866745
46.3,46.85,47.13,45.815,26047723
47.86,47.05,47.9,46.71,22899734
47.92,47.41,48.2,47.36,18943453
47.68,47.48,47.965,47.13,17737511
46.37,45.8,46.615,45.64,23152849
45.82,44.2,46.29,43.905,29760373
44.55,44.05,44.61,43.73,22828204
43.89,43.14,44.92,42.57,28747234
42.99,42.48,43.23,41.87,33938336
42.91,41.81,43.46,41.74,49488706
41.7,40.29,41.87,40.25,22296241
40.68,42.5,42.5,40.4,27102845
41.89,42.91,42.93,41.15,22161905
43.17,42.735,43.525,42.46,18786027
43.19,43.06,43.55,42.89,13957586
42.28,42.889,43.2,42.21,19021607
42.38,41.068,42.41,41.02,24975944
41.85,42.89,43,41.53,22137113
42.86,43.235,43.645,42.76,15947432
43.57,43.515,43.94,43.1,16071842
43.87,43.29,43.87,43.17,18854200
43.11,43.25,43.26,42.58,18711208
43.11,43.475,43.54,42.885,13422258
43.08,43.245,43.39,43,12267324
43.33,43.99,44.04,43.15,14513365
44.12,43.955,44.24,43.7605,13516709
43.87,44.205,44.53,43.8,16086586
44.48,44.995,45.35,44.31,23193776
44.89,44.64,45.24,44.38,16465967
45.14,45.39,45.88,45.02,20755662
45.63,45.625,45.75,45.23,15278918
46.12,46.1,46.66,45.95,18010504
45.73,45.74,45.75,45.23,13671049
45.81,45.93,46.05,45.645,11792069
45.94,46.705,46.93,45.92,13364921
46.72,47.295,47.38,46.52,13785236
47.37,47.345,47.56,47.0501,13275930
47.22,47.275,47.47,47.12,11760226
47.42,47.255,47.455,47.075,13103882
47.12,47.51,47.59,46.95,14397662
47.19,46.695,47.3199,46.49,14975301
46.4,47.105,47.11,46.3,14488721
47.34,47.59,47.71,47.13,15628763
47.27,47.92,48.15,47.16,18490600
47.86,47.525,47.95,47.12,22261963
48.85,48.38,49.68,48.34,39315440
48.83,49.475,49.59,48.44,26755054
49.2,49.62,49.93,49.2,17536106
49.7,49.64,49.8,49.35,14758058
49.54,49.4,49.72,49.2,14080871
49.7,50.11,50.22,49.58,17213574
50.34,50.8,51,50.34,19790766
50.51,51.18,51.41,50.48,15884113
51.21,51.59,51.65,50.89,17104520
51.55,51.79,51.96,51.3546,16067655
52,51.4,52.09,51.27,19221989
51.65,51.16,51.92,50.6301,14852635
51.12,51.28,51.505,50.97,13131390
51.37,51.67,51.79,50.92,16797002
51.55,51.28,51.97,51.205,18606615
50.72,51.08,51.13,50.51,15278399
51.14,51.91,52.09,51.1,13556841
52.01,52.18,52.275,51.68,16347919
52.41,52.57,52.855,52.14,16899944
52.63,52.75,52.96,52.51,14868892
53.19,53.21,53.62,53.16,14519727
53.27,53.51,53.935,53.09,15357922
53.79,53.32,54,53.14,16332974
53.16,53.26,53.87,52.855,17554215
53.08,53.94,54.23,53.04,16241623
53.91,52.75,54.14,52.7,19829563
52.7,52.73,52.93,52.245,14192615
53.19,53.23,53.485,53,13825581
53.3,53.13,53.66,52.74,17160513
53.19,53.37,53.69,53.02,11723324
53.7,54,54,53.36,14388802
54.475,54.98,55.02,54.39,6855134
55,55.29,55.41,54.97,15009753
55.46,55.61,55.8,55.07,17295463
55.37,55.13,55.68,54.86,14328214
55.25,55.21,55.61,55.13,11350852
55.2,55.49,55.56,54.79,12451592
55.08,55.19,55.42,54.86,13235016
55.11,55.81,55.84,55.11,11490787
55.93,55.61,55.95,55.305,11849340
