Open, Close, High, Low, Volume
157.65,158.03,158.9199,156.7,610776
159.53,159.88,160.21,158.59,668237
160.66,159,161,158.4,468193
159.33,159.11,160.05,158.89,341186
160.53,159.57,160.53,157.665,608910
162.01,156.91,163.45,153.01,1794992
156.54,155.46,157.64,155.41,380067
155.96,156.01,156.5299,155.262,258975
155.98,156.62,156.72,154.81,301565
156.99,155.84,157.1,155.81,231212
157.26,156.84,157.53,155.94,291984
156.21,158.38,158.67,156.21,364883
158.69,161.17,161.29,158.42,365657
161.32,161.55,161.77,160.67,398592
161.38,161.95,162.58,159.83,402928
162,161.21,162.2237,161.15,308137
160.98,160.33,161.32,159.79,268377
160.3,162.08,162.24,159.85,315256
161.81,160.42,162.25,160.06,263491
161.11,161.28,162.11,160.81,303555
161.33,162.67,163.05,161.33,600601
160.89,161.83,162.989,160,445919
161.94,164.07,164.17,161.37,292348
164,165.13,165.2,163.21,314552
164.89,164.9,165.28,163.39,264958
165.34,165.01,165.81,164.64,268727
165.91,166.6,167.56,165.4,340569
166.83,167.75,167.8,166.0208,224470
167.36,166.02,167.575,165.57,332918
166.13,165.84,166.98,165.11,281990
166.3,168.46,169.96,166.26,605811
167.87,165.21,168.33,164,404924
164.38,161.82,164.97,161.67,285264
162.31,156.45,163.39,156.43,523210
154.42,156.35,157.305,151.92,648297
155.72,156.61,159.46,155.49,428549
156.09,149.35,156.7911,149.25,476615
150.81,152.73,154.09,147.38,732858
153.44,154.4,155.64,152.43,236850
153.66,156.07,156.6,152.91,185107
154.89,164.37,164.48,154.44,1040626
165.23,166.94,167.09,163.265,491595
167.35,167.11,167.865,166.32,457145
166.35,166.67,168.63,165.5,389557
166.44,167.34,169.72,166.25,293620
167.18,167.11,169.09,166.62,313773
168.44,169.98,170.13,166.63,243487
170.7,170.79,171,169,595134
171,171,171.5717,170.31,626428
171.83,170.75,172.91,170.66,535803
171.27,169.62,172.6719,168.38,466329
168.18,169.96,170.6584,167.08,345514
168.61,171.42,171.75,167.19,221645
171.65,171.99,172.12,170.33,278983
171.16,172.19,172.78,171.16,397209
172.25,172.23,172.77,170.75,292592
173.06,178.32,178.34,172.49,296330
177.92,176.64,177.92,174.8,430344
178,176.15,178.28,175.74,208097
176.65,173.61,176.65,173.4,197972
174.11,173.23,174.48,172.66,241605
174.05,173.28,174.85,172.55,422099
172.97,173,173.32,171.25,330524
173.17,172.5,174.75,172.44,258939
172.89,173.3,175.4,172.59,343436
170.96,163.12,172.055,162.1112,841075
166.73,167.91,174.7,165.01,1045256
170.59,170.99,172.82,168.23,588068
174.27,169.62,174.9,168.63,429264
169.65,169.04,171.07,168.5,293074
169.53,170.47,172.12,168.56,330488
170.11,167.45,170.99,165.48,359006
168.47,169.82,170.06,167.69,406775
167.98,169.42,170.2399,166.8801,313843
170.55,171.62,172.62,169.6,282507
170.09,166.73,171.28,165.33,191040
168.03,167.65,170.29,167.51,263240
170,170.29,171.47,169.29,326631
169.23,170.14,170.76,168.88,302506
170.63,172.18,173.04,170.625,296901
172.75,170.15,172.75,169.58,201298
171.63,172.94,173.05,170.69,204812
173.72,173.93,175.1,173.53,290163
174.27,174.36,174.76,172.08,178676
174.19,174.16,174.8,172.93,167307
173.74,173.14,174.64,172.29,162948
173.92,173.11,174.09,172.3516,209249
174.5,171.5,174.9995,169.88,275556
171.09,171.2,172.28,169.74,216275
171.93,172.895,173.49,170.253,190156
172.91,173.31,173.85,171.91,189931
173.23,170.32,174.66,170.25,342762
169.59,172.32,172.66,169,309614
171.18,170.86,173.2099,170.14,220583
170.04,173.01,174.39,170,365862
172.3,175.23,175.67,171.885,294417
175.64,175.75,176.46,174.54,449569
175.6,176.64,176.74,175,226821
176.66,178.87,179,175.4301,181951
179.74,181.98,182.1699,179.16,211809
181.44,183.92,183.99,181.31,227389
183.64,183.27,184.22,182.64,229788
182.34,183.15,183.26,181.64,180838
182.85,182.18,183.64,181.71,182138
182.43,182.25,183.48,181.84,218350
182.57,182.83,183.37,181.2961,216983
183,183.42,183.6499,182.6,311913
183.5,180.88,183.66,180.63,248673
180.31,180.76,180.8699,179.15,264033
181.15,181.71,182,179.94,191619
181.08,180.81,182.02,180.1,178285
179.79,180.63,181.6,179.09,210095
181.05,183.15,183.22,180.5801,216897
183.23,182.25,184.06,181.66,371508
182.87,184.56,184.68,182.2,315409
184.99,186.81,187.18,184.965,249269
187.35,189.9,189.9,187.3,262262
189.95,190.94,191.34,189.52,281103
190.8,189.07,191.205,187.79,262032
189.18,191.46,191.58,188.54,165621
191.26,190.54,191.91,189.94,163763
191.24,192.3,192.799,191.01,184942
192.15,192.31,194.09,192.15,188141
193.1,191.55,193.1,190.8,249913
191.72,190.52,191.73,189.31,552407
190.63,191.01,191.45,189.32,163834
189.61,190.54,190.74,187.86,196548
191.02,190.3,191.37,189.54,167131
190.11,189.44,190.6,188.01,210304
190.44,188.63,190.99,188.37,179177
