Open, Close, High, Low, Volume
40.16,40.05,40.41,39.89,700355
40.22,41.11,41.25,40.12,1101716
41.51,41.2,41.93,40.83,801081
41.14,41.93,42.22,40.91,638519
42.05,41.96,42.19,41.32,659416
42.21,41.66,42.21,41.46,414218
41.62,41.465,41.62,40.94,404793
41.39,41.51,41.835,41.29,267695
41.56,41.51,41.73,41.341,409201
41.61,41.4,41.66,41.12,339790
41.5,41.09,41.75,41.05,352809
41.37,42.05,42.08,41.14,756330
42,42.34,42.375,41.615,644138
42.5,41.79,42.56,41.76,537609
42.04,41.66,42.04,41.39,418902
41.57,41.5,41.765,40.791,444860
41.53,42.03,42.17,41.5,431176
41.89,42.46,42.53,41.35,382391
42.48,42.4,42.69,42.26,433689
42.51,43.01,43.07,42.36,392060
43.28,42.62,43.42,42.56,412653
42.98,43.05,43.12,42.72,558970
43.02,42.41,43.07,42.14,449976
42.44,42.93,42.96,42.28,392991
42.82,43.7,43.71,42.75,491595
43.49,44.76,44.84,43.17,612355
45.4,46.16,46.4,45,1296345
46.38,47.13,47.18,45.905,952461
47.3,47.365,47.46,46.62,795115
47.32,47.4,47.87,47.225,603082
46.82,47.16,47.58,46.58,545687
47.43,46.54,47.445,46.48,475895
46.25,47.05,47.39,45.8804,486221
46.77,46.61,47.56,46.56,1163935
47.51,43.595,47.51,43.105,2054216
42.38,41.75,43.01,41.5,1772616
41.46,41.23,41.6,40.71,1302937
41.22,40.58,41.85,40.57,1272792
40.89,40.49,40.9368,39.33,1115657
40.51,40.6,40.895,40.09,808046
40.42,40.82,40.83,39.94,779303
40.53,41.59,41.7,40.53,491183
41.9,42.85,42.89,41.48,939927
42.76,43.37,43.695,42.2,623227
43.07,42.48,43.46,42.23,591793
42.51,42.82,44.01,42.51,704198
42.93,42.4,42.93,42.36,423971
42.66,42.82,42.85,42.035,416854
42.89,42.94,43.15,42.59,301029
42.87,42.67,42.98,42.39,378478
42.75,41.75,43.02,41.73,357566
41.67,40.62,41.94,40.18,444436
40.35,40.75,40.81,39.79,635986
40.59,40.54,40.935,39.87,673077
40.66,41.4,41.59,40.34,972891
41.13,40.97,41.47,40.84,719441
41.14,42.05,42.2399,40.94,590481
42.34,42.93,43.04,41.78,540835
43.09,43.5,43.85,42.8,434103
43.74,42.48,43.96,42.34,442581
42.62,42.56,42.75,42.06,266730
42.69,42.205,42.82,42.01,268399
41.94,41.65,42.36,41.4935,746141
41.52,40.8,41.76,40.37,431847
40.67,40.53,40.94,40.22,534271
41.86,41.57,42.35,41.365,533522
41.43,40.66,41.51,40.61,514888
40.68,39.41,40.68,39.4,378220
39.99,40.5,40.51,38.9683,609768
40.52,39.68,40.849,39.39,642037
40.39,40.54,41.19,39.99,604848
40.78,41.05,41.34,40.5,524531
41,39.26,41.345,39.02,602004
39.45,39.52,39.7101,38.75,571304
39.05,39.73,39.83,38.79,552142
39.86,39.75,40.21,39.23,479059
39.52,39,39.87,38.57,526469
39.14,39.5,40.0106,39.135,374818
39.94,40.25,40.39,39.61,354240
39.97,39.99,40.3,39.64,262113
40.22,40.5,40.63,39.98,316813
40.78,40.24,40.78,39.98,272306
40.61,41.05,41.1,40.2901,285555
41.26,41.91,42.07,40.93,409415
42.11,42.34,42.46,41.77,485620
42.12,41.89,42.5,41.75,360150
41.85,41.91,42.12,41.47,477718
41.89,42.2,42.39,41.76,364742
42.32,41.26,42.499,40.925,464049
41.1,41.4,41.43,40.47,492822
41.63,41.33,41.65,41.17,245630
41.26,41.86,41.93,41.26,425607
42.01,41.11,42.61,41.11,742207
40.7,41.43,41.74,38.33,1592027
41.32,40.79,41.61,40.64,800486
40.73,40.09,40.84,39.26,870820
40,40.66,40.93,39.625,567606
40.86,39.94,41.02,39.88,804286
39.84,39.28,40.0202,39.18,481590
39.21,39.05,39.35,38.7,699811
39.27,39.19,39.64,39.08,719099
39.39,40.19,40.19,39.17,579197
40.14,39.68,40.75,39.63,557701
39.61,39.25,39.67,39.18,455121
39.31,39.39,39.62,39.1,346820
39.45,39.49,39.62,39.16,412020
39.6,40.23,40.36,39.47,616076
40.41,40.39,40.71,40.22,442982
40.44,40.09,40.69,40.05,424094
39.94,39.09,40.06,39.065,589679
39.19,38.81,39.44,38.58,668029
38.92,38.85,39.11,38.69,495965
38.55,38.72,38.85,38.22,469393
39.04,40.01,40.16,38.97,621058
40.08,39.26,40.08,39.23,336400
39.69,39.63,39.82,39.42,348792
39.72,39.29,39.8,38.91,465775
39.39,39.32,39.61,38.95,546204
39.26,39.62,39.715,39.26,361725
39.69,39.38,39.87,39.19,448627
39.56,40.14,40.29,39.28,392971
40.05,39.67,40.5,39.625,591273
39.69,40.22,40.55,39.66,503028
40.33,40.26,40.45,40.04,527326
40.34,41.54,41.59,40.24,589484
41.51,41.48,41.68,41.15,988536
41.11,41.13,41.71,40.41,727712
40.97,41.85,41.89,40.62,710438
41.78,42.54,42.62,41.25,837745
42.62,41.83,42.72,41.76,915990
42.12,41.56,42.2,41.46,2104139
41.65,40.49,41.71,40.17,1360117
40.6,41.7,41.83,40.27,789578
41.7,41.09,41.85,41.06,805402
41,41.25,41.3,40.39,805113
41.26,41.89,42.32,41.26,925867
41.69,41.83,41.94,41.39,446841
41.95,42,42.44,41.63,266797
42.55,42.36,42.58,42.03,660506
42.49,43.22,43.38,41.95,412502
43.67,43.88,44.02,43.14,578820
43.88,43.83,44.18,43.59,425406
43.57,43.21,43.84,43.185,637616
43.55,43.37,43.68,43.2181,685512
43.5,43.38,43.85,43.295,430402
43.39,42.86,43.39,42.815,462377
42.92,43.28,43.465,42.88,487770
43.28,43.18,43.49,42.93,278612
43.18,43.32,43.59,42.751,413334
43.27,43.98,44.2,43.105,486306
43.77,43.89,44.26,43.435,363893
42.66,40.25,42.85,39.5405,1897101
40.9,42.34,43.1,40.9,5165378
42.31,42.64,42.82,42.09,1210994
42.64,42.62,42.81,42.31,882427
42.65,41.35,42.77,41.3,678675
41.44,41.68,42.14,41.29,468708
41.59,41.09,41.705,41.07,498113
41,42.53,42.55,40.75,829016
42.58,41.65,42.78,41.5597,400516
41.61,41.21,42.02,41.15,594154
41.3,41.04,41.85,40.85,880689
41.08,40.3,41.19,40.08,1095658
40.44,40.21,40.72,40.15,483711
40.01,40.12,40.37,39.56,396201
40.18,40.25,40.52,39.93,524649
40.34,40.4,40.57,40.12,486141
40.28,40.42,40.78,40,498174
40.62,40.78,40.99,40.39,398089
40.71,40.95,41.06,40.69,298749
41.03,41.29,41.49,41.03,292379
41.39,41.57,41.78,41.39,651170
41.34,41.95,42.13,41.34,776237
41.89,41.83,42.185,41.69,455055
42,42.14,42.33,41.86,802851
42.32,43.66,43.75,42.32,1243974
41.575,43.51,45.72,41.575,1830296
43.58,42.42,43.58,41.768,1098225
42.12,41.55,42.44,41.5,661290
41.52,41.8,41.95,41.38,595066
41.6,41.53,41.94,41.19,526818
41.55,41.69,41.875,41.36,440048
41.55,40.6,41.78,40.435,640160
40.49,41.1,41.31,40.31,760393
41.17,41.14,41.72,40.83,505091
40.99,41.25,41.49,40.84,491990
41.28,41.89,42,41.05,656424
42.13,42.78,43.025,42.13,589055
42.57,43.03,43.46,42.57,476205
43.13,42.58,43.21,42.41,533914
42.5,42.88,43.05,42.46,433732
42.86,42.74,43.09,42.555,355369
42.9,43,43.25,42.63,644276
42.47,42.65,42.95,42.2,666901
42.49,43.03,43.07,42.4,394763
43.41,43.37,43.9,43.09,486592
43.51,44.15,44.62,43.39,847688
44.23,45.3,45.7,44.23,656063
45.33,45.55,45.91,45.26,555590
45.88,45.32,45.88,45.06,976705
45.31,45.54,45.71,45.24,515156
45.81,46.35,46.43,45.6986,808200
46.1,44.57,46.13,44.2,804509
44.78,44.46,44.78,43.83,745452
44.4,44.17,44.79,43.85,548890
43.8,44,44.24,43.57,525429
44,42.84,44.1,42.77,507427
42.88,41.49,42.94,41.455,766332
42.08,41.45,42.21,40.96,909453
41.42,41.57,41.96,41.19,466048
41.95,42.87,42.92,41.57,432914
42.83,43.33,43.54,42.4812,324896
43.17,42.15,43.23,42.0026,273153
42.16,41.36,42.42,41.12,266561
41.44,41.33,41.78,40.99,297501
40.62,40.99,41.34,40.07,543161
40.8,39.09,40.96,38.94,806132
39.26,39.03,39.54,38.89,455720
38.52,38.18,38.81,37.67,312115
38.74,38.01,39.1399,37.45,328501
37.98,38.64,38.85,37.83,337429
39.22,40.34,40.77,38.93,641848
40.48,41.83,41.99,40.32,605401
42.11,42.05,42.195,41.17,587042
41.99,41.45,42.31,41.1,871246
40.1,36.11,40.1,34.245,2499583
36.4,37.71,39.83,36.37,2553685
37.55,37.65,37.92,36.9,1264198
37.43,37.5,37.64,37.145,840252
37.31,37.93,38.28,37.16,771045
38.49,38.22,38.72,37.88,1704429
38.4,37.9,38.83,37.25,1578556
37.63,39.07,39.13,37.22,988258
39.09,39.39,39.785,38.85,608124
39.29,37.69,39.55,37.36,1121030
37.06,37.6,38.13,36.9,685597
37.64,38.01,38.38,37.63,458500
37.82,38.71,38.96,37.7,206821
38.82,39.39,39.57,38.66,647127
39.04,39.25,39.34,38.7,477697
39.3,39.78,39.88,38.89,793925
39.44,39.61,39.97,38.98,751677
39.79,39.64,39.79,38.78,1087243
40,40.27,40.57,39.68,795297
40.24,38.05,40.36,37.99,557849
37.57,37.31,37.68,36.73,788966
37.07,36.31,37.31,35.97,535919
36.31,35.7,36.545,35.28,611145
36.1,36.29,36.47,35.79,744043
36.7,36.49,37.26,36.38,855084
36.81,36.04,36.91,35.89,367914
35.63,34.63,35.85,34.43,969463
34.62,34.23,34.985,33.99,1722493
34.56,33.25,34.58,33.04,713923
33.3,32.73,33.56,32.11,1170525
32.82,31.12,32.85,31.02,681636
31.79,30.43,31.79,30.32,1441830
30.19,29.96,30.46,29.23,862073
30.28,31.03,31.05,29.72,1314829
30.55,30.78,30.79,29.74,832044
31.01,30.71,31.4,30.44,643808
30.87,31.06,31.415,30.41,986748
30.86,30.805,31.26,30.24,993121
30.66,29.89,30.66,29.29,1034523
30.05,31.02,31.36,29.94,1861243
31.02,32.035,32.18,30.85,981460
32.34,32.81,33.06,32.15,1141012
32.79,33.41,33.43,32.7301,560920
33.19,33.875,33.97,32.97,678457
33.83,33.745,33.9303,33.57,530256
33.54,33.61,33.69,33.3,684312
33.72,34.07,34.265,33.52,743274
34.19,34.65,34.96,34.19,796162
34.54,35.22,35.35,34.32,1113539
35.44,35.61,35.95,35.045,491897
35.38,35.32,35.8,35.16,955737
35.39,35.295,35.78,34.805,688100
35.1,35.605,35.75,34.925,996726
35.92,36,36.3,35.61,935225
35.61,36.48,36.62,35.53,905510
36.68,36.305,36.68,36,1023450
36.47,36.54,36.76,35.97,682751
36.51,36.915,37.2339,36.24,740645
36.89,37.295,37.76,36.7805,927672
37.27,37.28,37.405,36.75,1501903
41.22,39.15,41.5,38.99,1749227
39.5,39.455,39.65,38.75,1352151
39.39,39.5,39.6,38.79,808822
39.13,39.67,39.735,38.79,480541
39.81,40.045,40.25,39.445,708493
40.18,40.84,40.94,39.99,494342
41.34,41.115,41.5,40.62,550250
41.06,41.605,41.81,41.06,487161
41.83,42.02,42.26,41.5,673211
41.92,42.31,42.35,41.62,462495
42.26,42.8,42.91,42,731049
42.79,42.54,42.86,42.28,527300
42.57,43.58,43.61,42.55,562658
43.8,43.43,43.87,43.33,703947
43.43,42.86,43.47,42.61,666930
42.76,43.08,43.49,42.6405,513722
43.12,43.23,43.67,42.82,536739
43.62,43.92,44.07,43.52,458547
44.04,43.71,44.11,43.05,689538
43.8,43.71,44.14,43.37,387603
43.77,42.64,43.77,42.5381,663287
42.66,42.57,42.77,41.95,502122
42.25,42.21,42.33,41.72,878614
42.12,41.82,42.34,41.24,867624
41.82,41.8,42.2,41.71,626589
41.99,42.05,42.44,41.71,575195
42.01,41.89,42.23,41.66,267069
42.18,42.21,42.48,42.01,330550
42.28,42.59,42.68,42.07,410630
42.55,42.675,42.88,42.44,281605
42.62,42.48,43,42.19,301585
42.16,43.12,43.18,41.84,274888
42.83,40.66,43.11,40.59,656081
40.59,40.46,40.695,39.89,577957
40.58,40.86,41.335,40.49,478964
40.84,39.95,41.21,39.8,726694
40.18,40.54,40.66,39.93,536817
40.64,40.61,41.19,40.32,537755
40.97,40.72,41.18,40.3241,209620
40.92,40.33,41,40.32,546021
40.62,40.37,40.67,40.07,818344
40.42,39.93,40.42,39.38,581694
40.11,40.02,40.525,39.905,212754
40.04,40.13,40.18,39.58,170094
39.96,39.55,40.03,39.45,217419
39.59,39.93,40.02,39.33,218724
40.14,39.5,40.14,39.38,237957
39.51,39.26,39.86,39.09,235275
39.9,44.43,45.43,39.775,2944959
45.37,42.56,45.37,42.5,1775929
42.69,42.76,42.82,41.15,1421810
42.84,43.98,44.02,42.55,1335898
43.75,44.04,44.17,43.35,1044207
44.26,44.45,45.23,44.17,795890
44.26,44.45,44.585,43.9501,698290
44.13,44.645,44.91,44.02,302168
44.62,45.02,45.26,44.62,912803
45.22,45.15,45.34,44.88,438468
45.08,44.78,45.1,44.24,476603
44.88,44.1,44.88,44.08,503251
44.04,44.42,44.49,43.42,272266
44.74,45.8,45.83,44.24,848144
45.04,46.52,47.04,44.66,1170595
44.91,44.69,46.18,44.21,1435455
44.91,45.04,45.3985,44.63,908740
44.68,45.23,45.56,44.4,702158
44.96,44.77,45.25,44.25,830260
43.81,43.33,44.19,42.85,791702
43.5,43.98,44.58,43.28,941630
43.39,44.71,44.818,43.39,597095
44.89,45.46,45.92,44.79,509262
45.32,45.37,46.23,45.32,630419
45.04,45.35,45.69,44.55,357209
45.58,46.02,46.14,45.25,416372
45.92,46.19,46.75,45.72,448491
45.72,46.19,46.32,45.48,780056
46.36,46.27,46.98,46.07,437699
46.29,44.94,46.6,44.89,733662
44.7,45.38,45.47,44.46,536169
45.42,45.5,45.81,45.3,362191
45.73,45.5,46.38,44.6,541668
46.13,46.82,46.83,45.9,578849
46.71,46.02,46.86,45.23,928279
46.25,47.63,47.72,46.08,575848
47.75,48.17,48.53,47.75,382846
48.28,48.81,49.02,48.18,450307
49.17,49.695,49.8,48.69,1060553
49.77,49.51,50.63,49.25,2227622
49.52,50.31,50.34,49.07,712068
50.15,49.68,50.24,49.37,468664
49.97,50.62,50.98,49.7601,646442
50.82,50.48,50.83,50.13,424349
50.93,50.58,51.11,50.26,604285
51.16,50.28,51.16,50.21,427939
50.7,53.24,54.1,50.7,1583427
53.22,52.71,53.3678,52.52,774317
52.92,53.17,53.28,52.12,604475
53.16,52.97,53.53,52.55,469907
53.3,53.77,54.08,52.94,389180
54.12,54.23,54.91,53.93,844925
54.87,54.69,54.99,52.98,1082426
54.71,55.55,55.56,54.53,666311
55.81,55.91,55.98,55.38,417043
55.86,55.46,55.94,54.8,311050
55.26,54.56,55.28,54.41,500547
54.5,54.55,55.15,54.39,461081
54.77,54.86,55.06,54.145,539698
54.62,54.26,54.9,53.64,472472
54.29,53.43,54.29,53.15,651531
53.69,53.96,54.31,53.24,368602
53.81,53.75,54.56,53.55,448207
53.7,53.76,54.1,53.47,497055
53.86,54.27,54.45,53.5309,525919
54.29,54.31,54.74,54.23,386784
54.42,54.94,55.15,54.1525,397241
55.6,54.87,55.6,54.48,588409
54.8,55.42,55.61,53.93,438012
56.52,56.29,56.52,55.43,574698
56.09,57.27,57.45,56.09,441040
57.39,56.4,57.65,56.4,678527
56.02,58.09,58.38,55.7101,681457
57.65,56.47,58.18,56.19,607065
56.54,55.77,57.19,55.39,548532
55.55,55.08,55.81,54.49,439622
54.04,53.48,54.26,52.98,556292
53.61,55.27,55.31,53.61,531018
55.16,56.84,56.98,54.38,695297
57.24,57.13,57.95,56.47,1037880
57.59,57.17,57.59,56.54,387116
56.65,55.33,57.09,55.205,261357
55.31,56.65,56.89,54.92,381580
55.53,55.17,55.84,54.89,355843
55.44,55.24,56.34,54.66,365120
55.72,55.84,56.14,55.505,457489
56.5,56.23,56.58,55.97,496524
56.22,55.775,56.24,55.48,505228
56.25,55.69,56.25,55.54,697931
55.86,55.24,56.11,54.93,578831
54.94,53.16,55.56,52.97,806018
53.78,54.25,54.74,53.77,1409974
54.74,52.78,54.99,52.26,1703721
52.09,52.21,52.74,51.12,1214126
52.65,52.96,53.51,52.49,1171417
53.18,52.72,53.4,51.88,949506
52.43,52.06,53.14,51.98,621012
52.65,51.77,52.87,51.71,676289
52.3,52.76,52.94,51.96,428542
52.87,52.49,53.26,52.355,553084
52.76,51.63,53,51.04,523798
51.37,50.28,51.37,49.93,640764
50.72,51.34,51.34,50.12,754397
51.73,51.98,52.19,51.59,540588
51.74,51.33,52.2235,51.02,647817
50.93,50.58,51.83,50.58,488015
50.57,50.82,51.018,50.41,475069
50.91,50.72,50.96,50.3,256260
50.58,50.66,51.14,50.57,361524
50.92,51.61,51.645,50.84,970473
51.51,51.55,52.11,51.29,554320
51.66,51.37,51.88,50.89,689648
51.15,49.57,51.91,49.5,794310
49.6,48.505,50.3,48.43,644885
48.58,47.45,48.71,47.31,578394
47.46,47.63,47.97,47.2657,561938
47.68,47.21,47.955,46.91,818779
46.91,47.05,47.2499,46.43,568842
47.03,47.95,48.02,46.74,744841
48.22,49.09,49.1,47.92,501281
48.74,48.65,49.17,48.45,517476
48.16,47.7,48.64,47.31,594465
48,47.94,48.37,47.85,335981
47.88,47.66,48.15,47.21,407782
48.17,48.63,49.03,48.08,546370
48.42,48.34,48.67,48.185,508563
48.57,49.2,49.29,48.54,637512
49.07,48.81,49.3,48.56,549250
49.12,49.73,49.85,49.07,529369
49.45,48.63,49.6,48.085,382297
48.06,48.67,49.01,47.78,460849
48.93,48.37,49.05,48.27,227907
48.39,49.32,49.32,48.1,383118
49.65,49.51,49.805,49.16,420230
49.43,49.55,49.83,48.95,348343
49.65,50.11,50.195,49.58,260828
49.99,50.51,50.8,49.99,290265
50.61,49.86,50.61,49.615,351080
49.21,48.65,49.37,48.25,574741
48.96,49.62,49.64,48.66,967502
50.07,50.16,50.34,48.88,1148969
51.25,50.45,51.43,47.72,1277757
50.3,49.12,50.3,48.55,912388
49.55,49.21,50.18,48.93,618458
49.25,49.52,49.54,49.01,418387
49.1,49.86,49.87,49.08,233261
49.9,49.46,50.13,49.4,435792
49.06,49.54,49.7895,48.89,488622
49.42,49.1,49.56,48.47,399422
49.28,50.44,50.44,49.1,349602
50.36,50.41,50.54,50.05,394730
50.53,51.11,51.2,50.41,395545
50.95,51.56,51.64,50.95,575952
51.52,51.54,51.645,51.19,438336
51.67,52.08,52.375,51.41,469405
52.41,52.86,53.18,52.36,785564
52.87,52.67,52.91,52.465,348885
52.73,53.2,53.25,52.72,351406
53.22,51.98,53.225,51.94,253441
52.11,51.43,52.45,51.26,517461
50.86,51.36,51.54,50.41,450813
51.49,51.8,51.935,51.18,509075
51.76,51.61,51.85,51.25,347088
52,52.07,52.62,52,368002
52.08,52.07,52.2,51.7,254935
52.05,53.09,53.105,51.9,699220
53.11,52.18,53.44,52.02,691118
52.12,52.25,52.81,51.75,321529
52.23,52.21,52.63,51.82,513146
52.48,53.12,53.43,52.45,388241
53.22,52.7,53.22,52.28,526569
52.65,53,53.15,52.535,907447
53.17,55.27,55.35,53.1,1394395
55.78,55.54,56.27,55.26,839500
55.66,56.115,56.13,54.88,411939
56.16,56.08,56.175,55.71,237484
56.13,56.22,56.22,55.8,303102
56.21,56.45,56.46,55.76,268120
56.4,56.64,57.02,56.4,756008
56.6,56.3,56.83,56.24,478008
56.54,56.61,56.64,55.52,567749
55.78,55.94,56.52,55.5,332833
55.53,55.99,56.1825,55.35,427862
55.76,56.29,56.54,55.48,366329
56.34,56.68,57.176,56.34,752537
57.06,56.99,57.575,56.6,427656
57.27,57.69,57.83,56.92,694193
57.92,59.49,59.49,57.51,747252
59.4,60.37,60.66,59.225,808788
60.33,60.84,61.14,60.21,724916
61.21,61.45,61.74,61.06,527285
61.53,60.88,61.94,60.81,678219
60.89,61.51,61.64,60.8,669814
61.63,61.76,61.98,61.154,518564
61.67,61.58,61.83,61.25,725224
61.82,61.615,61.93,61.3,1188318
60.84,62.005,62.49,60.36,484038
62.27,62.97,63.22,61.59,529649
63.02,62.79,63.36,62.66,448877
62.24,62.02,62.64,61.34,819148
61.77,61.08,62.36,60.69,880793
68.78,61.65,68.78,61.52,1367705
58.75,59.48,60.0327,58.6,5136757
60.22,59.26,60.25,59.11,1321737
59.49,58.97,59.65,58.69,991843
58.77,57.89,58.91,57.29,940444
57.77,59.3,59.35,57.56,721939
59.8,59.45,60.19,59.345,640582
59.79,59.33,59.79,59,461612
59.03,59.64,59.83,59.03,553015
59.85,60.46,60.61,59.74,1423263
60.43,59.3,60.57,59.25,592748
59.22,60.64,60.87,58.91,2017043
60.48,58.8,60.48,58.51,598928
58.54,58.98,59.16,58.21,630221
57.24,55.91,57.57,55.32,982700
56.19,54.77,56.8,54.57,1114207
55.2,55.02,56.06,54.55,989456
54.19,52.49,54.72,52.42,951154
51.26,51.54,51.77,49.82,1291444
51.84,53.35,53.41,51.12,1197472
53.2,52.445,54.47,51.42,1233997
53.51,54.9,55.54,53.18,858500
53.49,51.68,53.63,51.13,740923
50.15,48.93,51.12,47.73,1273469
46.5,44,46.5,43.15,1252761
45.65,47.45,47.61,43.61,1317140
46.2,46.02,46.56,45.13,1604768
42.76,44.01,44.26,40.975,1660777
46.31,47.92,48.3,42.875,1868171
43.91,38.95,44.22,38.55,1379447
39.49,42.9,43.47,37.735,1277860
40.27,36.96,42.0334,31.04,1168002
37.44,40.6001,42.43,35.44,1371685
40.74,39.2,42.89,38.39,1336527
39.02,40.67,42.16,37.15,1434240
42.58,45.92,47.565,42.58,1614447
45.85,48.32,50.24,45.675,1751382
49.02,50.46,51.64,48.06,759603
48.21,48.9,49.95,47.085,1314789
49.22,50.42,50.7,48.45,997557
50.2,51.95,52.48,50.01,791876
49.69,48,50.34,47.52,1031425
47.52,49.94,50.04,47.01,846128
49.56,48.93,50.765,47.59,699200
51.41,52.39,52.95,50.55,1242405
53.64,52.61,55,52.41,971849
53.35,55.12,55.55,52.42,734363
56.32,56.51,57.295,55.19,935878
56.16,54.68,56.16,53.88,934473
56.25,56.66,57.34,55.53,943999
55,55.2,56.47,54.69,793326
55.84,55.81,56.86,54.21,699047
57.62,57.72,58,56.74,636400
56.78,58.8,59.7,56.78,999072
57.71,57.15,58.91,56.7,719399
58.17,58.39,58.71,57.47,475936
58.78,58.66,60.11,58.19,750865
59.26,60.44,60.73,58.56,622939
61.18,63.23,63.68,60.73,787332
63.92,62.92,64.32,62.51,1021653
66.11,68.92,69.54,66.11,1616715
67.95,69.18,69.56,67.06,1436739
67.95,66.55,67.95,65.02,1252633
66.86,66.85,66.88,65.34,1210328
65,67.98,69.43,65,1177747
69.44,71.63,72.76,68.28,1126530
73.25,71.02,73.34,70.47,1269432
72.3,72,73.4,70.7397,967631
72.2,73.24,74.09,71.96,1061099
73.18,70.89,73.7,70.88,710701
71.08,71.13,74.1,70.56,1753441
70.02,70.19,71.01,69.02,1292453
70.17,73.49,74.32,69.63,796627
75,75.78,77.6,74.99,781790
76.14,76.69,77.54,75.68,1393902
78.59,78.44,79.93,78.05,1064682
78.28,78.35,79.205,77.22,1153982
77.89,78.53,78.81,77.75,520356
80.12,76.49,80.52,76.32,1328526
76.49,73.49,76.92,72.36,2640474
74.23,76.9,77.31,73.57,2106656
77.76,77.8,79.32,76.4,2814560
77.34,76.63,77.93,76.53,984759
76.61,78.02,78.65,76.06,1084229
78.26,79.04,79.19,77.725,709184
77.88,76.91,78.93,75.74,1530661
78.22,74.68,78.44,74.44,1036565
73.88,75.16,75.56,73.39,986352
75.21,74.89,75.74,74.52,769997
75.01,74.64,75.7,74.32,950402
68.01,68.71,70.67,67.97,3646047
70.9,70.04,71.08,69.98,805595
71,70.33,71.46,68.86,3386907
72.72,71.57,73.19,70.41,1178653
72.39,71.27,72.39,70.93,590990
70.98,70.79,71.6,70.31,1024675
71.44,71.335,72.22,70.96,914623
70.98,71.68,71.91,70.7,1066734
72,71.42,72.12,71.11,825937
70.99,70.47,71.28,69.52,1039886
72.4,73.3,73.9,72.02,2641396
73.24,73.1,74,71.09,1554054
73.63,71.96,73.63,71.42,1173038
71.85,73.3,73.36,71.27,629127
73.52,73.4,73.925,72.71,815264
73.98,72.76,74.198,72.57,478455
73.41,73.56,73.73,72.8,490568
72.9,73.74,74.41,72.53,804644
74,76.17,76.28,73.91,822248
76.21,79.17,79.23,76.21,1146413
78.76,78.01,78.985,77.25,1385508
78.66,77.45,80.53,76.96,1649032
77.39,79.32,79.3999,76.28,1134755
80.46,83.69,84.17,80.46,1827546
83.44,83.41,84,82.811,1063725
83.64,85.34,85.57,83.06,597768
85.55,85.86,86.79,85.155,457202
86.9,85.98,86.9,85.32,875834
86.41,85.04,86.91,84.265,733920
85.14,83.48,85.9,83.395,486694
82.83,81.62,82.86,80.84,901062
82,83.23,83.76,82,514884
83.04,80.68,83.63,80.64,823989
81.17,81.51,82.29,81.17,1324242
88.3,88.1,90.99,85.51,3691234
88.64,87.33,88.64,86.01,1505218
88.37,90.16,91.18,88.01,1276996
89.65,88.28,90,87.35,879136
88.59,89.62,89.86,87.55,712826
89.73,88.28,90.875,87.83,1115833
87.68,88.19,88.87,86.85,1023066
87.91,87.59,88.41,86.73,867766
87.68,84.9,87.68,84.69,1637889
85.68,87.88,88.185,85.11,1317222
87.51,88.47,88.86,87.13,886848
88.2,87.09,88.39,86.57,335986
87.92,90.91,91.95,87.24,2071784
91,89.04,91.43,87.72,1208210
89.44,87.15,89.44,86.94,1501732
86.6,86.54,86.88,85.51,1402548
86.26,86.48,87.15,85.69,1031324
88,88.46,89.6885,87.98,1511956
88.22,88.38,88.7,87.53,1191661
88.31,88.71,88.74,87.25,1170312
89.06,87.71,89.5445,86.5101,910885
87.85,87.6999,88.15,87.3,1110646
88,92.49,93.0899,87,3578262
94.38,90.68,95.7,90.39,2731956
90.67,89.44,90.89,88.15,2353508
89.3,86.4,89.43,84.495,1518301
86.96,83.95,87.48,82.52,2481987
81.24,83.09,85.28,80.31,4982044
83.96,84.77,85.51,83.04,2899230
86.24,83.88,86.39,83.37,2062369
84.72,82.66,84.72,81.62,2110273
83.97,83.91,84.32,83.01,2161706
84.87,84.32,85.1,82.945,1154000
84.7635,84.18,84.98,84.07,1147139
83.0426,84.21,84.36,82.74,765165
85.28,84.87,86.96,83.77,2805010
83.56,85.54,85.72,81.5975,1644994
