Open, Close, High, Low, Volume
68.44,68.021,69.23,67.99,2608550
68.14,69.09,69.29,67.82,3480315
68.23,67.77,68.87,67.58,2386907
67.43,64.67,67.76,64.05,4246277
65.14,64.625,65.49,64.16,3137376
64.91,64.23,66.04,63.63,2878052
63.91,62.8,64.465,62.05,3765449
62.85,60.09,63.65,59.8,6609255
60.07,60.04,60.96,59.655,3264206
60.6,62.34,62.34,59.47,3035823
61.68,63.09,63.1,60.89,2859967
63.41,62.88,63.9,62.42,1813842
63.24,63.18,63.66,63.02,1729288
62.5,62.98,63.81,62.5,2526147
62.36,61.15,62.97,61.11,3117511
62.28,63.71,63.8,61.95,3767866
63.35,63.64,63.965,62.8,3155046
64.27,64.31,64.43,63.44,2725949
64.62,64.2,64.8,63.98,2264529
63.64,64.8,64.85,63.5,2662134
64.78,64.92,65.19,64.5814,2765546
64.46,64.51,65.02,64.34,2892911
64.84,65.945,66.25,64.65,2922910
65.9,65.805,66.08,65.45,2954497
65.49,66.53,66.74,65.2,1999813
67.55,67.79,68.03,66.97,3428080
67.3,66.625,67.69,66.27,2513363
66.81,67.04,67.45,66.21,2594987
67.12,68.115,68.14,66.92,2843067
70.25,69.99,70.32,69.25,3447595
69.27,68.955,69.38,68.34,2499514
69,68.655,69.23,68.38,2480851
68.73,69.83,70.1,68.54,3118272
69.86,69.7,70.31,69.41,2662560
69.95,70.1,70.94,69.78,2212785
70.07,71.26,71.509,69.945,2622201
71.35,71.27,71.87,71.11,3468277
70.02,74.535,74.69,70.0001,6437848
74.18,72.92,74.45,71.42,5207842
72.46,73.085,73.54,72.175,4023307
73.35,72.97,73.87,72.88,3406944
73.42,73.43,73.62,72.875,2663781
74.16,73.57,74.35,73.18,1591876
73.06,73.195,73.64,72.92,1255626
73.71,73.53,74.05,73.08,2457465
73.21,73.115,73.57,72.635,3119890
73.27,72.24,73.41,71.855,2584077
72.1,71.36,72.415,71.12,3015888
71.69,72.38,72.42,71.485,4355646
72.93,72.25,73,72.14,3036927
72.43,72.04,72.54,71.76,3045733
71.72,71.31,71.725,70.96,3819070
71.25,70.98,71.76,70.88,2831157
70.91,72.13,72.22,70.8,2508567
72.56,71.77,72.88,71.01,2645023
71.69,71.38,71.99,71.34,1551054
71.42,71.47,72.0299,71.19,2427086
