Open, Close, High, Low, Volume
114.13,109.75,114.76,109.18,2032551
110.28,104.9,110.28,104.36,2754086
105.84,104.79,107.63,103.06,2508730
103.05,101.56,106.83,101.18,3148625
100.89,99.95,102.23,98.35,2663458
98.76,94.98,99.05,94.92,934601
96.1,102.53,102.63,93.31,1976181
99.88,102.82,102.85,98.06,1188156
103.54,101.82,104.08,100.24,1064974
102.57,102.15,103.89,101.51,1393739
100.42,106.625,106.98,100.14,1384821
107.12,107.01,108.98,105.26,1423816
108.96,111.9301,112.19,107.37,1714838
112.3,115,116.01,111.63,1717060
116.68,119.42,120.1,116.675,2151711
121.96,122.88,124.88,120.44,2031015
121.84,122.4,123.25,120.39,1411900
120.66,120.33,121.78,119.35,1166781
118.85,121.59,121.98,118.51,966448
122.76,122.31,123.94,121.86,1212817
122.87,123.64,124.97,122.25,1763173
122.22,125.27,126.31,121.84,1596566
126.47,124.86,126.54,123,2627871
122.97,118.49,122.97,118.33,1470371
119.02,115.17,119.635,113.49,2042589
114.76,116.01,117.55,114.27,1161514
117.18,118.41,120.03,116.46,1101803
116.46,115.9399,116.9543,115.1,1046331
118.27,117.25,118.67,116.965,814775
118.1,120.83,121.19,117.66,1408617
121.49,119.84,122.46,119.09,1251794
120.63,120.065,121.82,119.56,1042634
118.68,119.995,120.15,117.37,886996
119.81,117.9,119.98,117.43,1053852
116.89,117.32,118.67,116.31,656024
115.87,112.905,116.044,111.13,1217714
112.75,112.37,113.74,109.76,1646897
111.52,116.41,116.42,111.41,1699051
117.94,116.53,120.14,116,1908693
117,119.46,120.42,117,1545759
118.66,119.48,120.33,118.01,1206329
120.93,122.82,123.4,120.89,2122507
121.81,121.09,122.58,119.48,2722509
115.99,112.47,116.19,112.15,6188334
112.11,103.72,112.7,103.32,5596200
104.53,106.14,107.38,104.53,3347140
105.5,108.81,109.07,105.36,2636645
108.64,108.47,109.54,107.3,1417659
108.79,111.37,113.07,108.64,1637487
111.34,110.01,111.48,108.21,1777949
110.58,111.02,111.8,109.66,1414894
111.67,111.03,112.47,108.82,1143995
111.86,108.75,111.86,108.68,1544980
107.95,105.34,107.95,104.7,1616719
105.81,102.47,106.0034,102.36,1740944
100,100.3,101.045,98.11,1350904
101.29,99.845,101.88,99.04,2016695
100.86,102.17,102.52,100.19,1396208
103.37,102.08,103.74,100.97,1583655
102.14,103.7,104.015,102.14,1041352
103.4,103.58,103.81,102.7952,942007
104.04,107.2,107.53,103.54,1409850
108.1,106.54,108.4,106.02,719425
105.92,109.67,110.95,105.92,1232860
109.11,109.92,110.78,107.66,797506
108.34,104.52,108.465,103.9,1285203
104.11,105.15,105.57,103,1049785
106.76,108.41,109.92,106.5,1168880
107.59,108.95,109.62,106.935,1064297
106.35,111.31,111.72,106.35,1321960
113.08,110.96,113.76,110.57,1075016
112.07,112.11,113.85,111.51,578532
112.32,111.56,113.41,111.115,865133
112.23,108.84,112.37,107.4,1921436
108.85,109.2,109.25,106.32,1565674
109.55,109.79,110.27,108.26,4117961
110.77,112.01,113.1,110.52,2325156
111.53,108.1,111.53,107.51,1468922
108.4,107.74,109.12,107.4,1518732
107.19,104.71,107.37,101.6,3796892
114.03,113.89,117.31,112.69,3882162
113.33,115.4,117.54,112.96,2216931
115.52,115.89,116.93,114.36,1263973
116.76,114.54,117.42,113.84,1509910
114.3,116.94,117.1,113.73,1746709
118.57,120.23,120.46,116.816,2400917
120.25,122.56,123.3,119.09,2575478
124.08,121.14,124.53,120.83,3203978
120.94,121.05,123.02,120.05,2088448
119.61,118.08,119.965,116.04,2464467
117.21,115.95,117.96,115.675,1334539
116.8,115.28,117.2,114.16,2658289
115.95,108.77,117.37,108.74,3516733
108.29,104.86,108.83,103.91,3519895
105.74,109.45,110.63,105.74,2304398
107.52,107.93,108.94,106.12,1926714
106.47,106.21,107.29,103.5,2496630
105.6,110.15,112.02,105.6,2192471
109.01,110.92,112.07,107.41,1671497
110.56,112.46,112.85,108.4,1975609
111.26,111.27,112.77,109.87,1040980
111.97,111.93,113.3052,111.6,1204493
110.48,113.33,113.87,110.21,820410
113.86,114.065,115.19,113.77,803143
112.99,112.9,114.3,112.21,1052151
112.9,112.19,113.31,111.66,1024568
112.75,115.62,116.92,112.75,1095891
114.87,109.84,114.87,109.5977,1596663
107.99,102.87,107.99,101.15,2159586
104.12,101.25,104.424,98.68,2427138
101.6,100.14,101.75,99.51,1281838
98.29,100.49,100.7,96.64,1879710
100.81,98.17,100.93,96.77,1215064
96.09,98.01,99.13,95.88,1676128
98.77,99.44,100.29,98.09,1117519
100.42,101.26,102.34,98.73,1555475
101.38,98.4,101.38,96.95,2035355
99.03,100.1,101.25,98.17,1919303
100.61,100.14,100.92,98.99,2289885
100.04,99.51,101,98.335,1441240
100.9,100.84,102.47,100.4775,1213571
99.66,98.17,99.855,97.355,1127120
99.77,100.35,100.47,98.825,885672
100.23,98.37,100.67,98.17,1376502
97.72,101.02,101.27,97.43,1139504
102,104.86,105.33,102,1727404
104.55,102.54,105.47,101.97,1350334
104.99,105,105.99,103.35,1947237
105.52,107.3,107.45,104.97,1772946
106.76,103.2,107.69,102.79,1271700
102.85,102.06,103.32,101.32,1106759
103.57,102.57,105.09,102.52,1338462
102.16,101.84,104.05,101.8,1278094
102.22,103.21,103.92,102.12,1142281
105.5,103.39,105.935,101.54,1804764
103.01,98.99,103.48,98.51,1587970
99.47,98.83,99.97,98.55,679168
98.69,100.98,101.01,98.69,938482
100.07,100.83,102,99.68,769551
100.4,100.31,100.61,98.82,1182251
101.28,103,103.25,101.1088,1160625
103.14,102.7,103.51,101.86,900538
102.44,102.17,103.04,101.65,837341
102.59,99.05,103.02,98.68,980979
99.33,98.76,99.69,97.34,1378306
98.5,98.22,99.7,98.04,1889136
97.92,98.88,99.46,97.4,2136815
98.94,101.6,101.79,97.97,1798148
