Open, Close, High, Low, Volume
53.37,52.39,53.37,52.12,4548760
53.43,52.96,53.6,52.66,5332273
53.2,51.95,53.34,51.41,6206307
51.53,50.9,52.06,50.02,7086543
50.51,49.44,51.28,49.29,9440614
49.25,47.94,49.45,47.9,4974530
48.4,50.42,50.46,47.9097,6456322
50.03,50.48,50.48,48.32,6309633
50.53,50.12,51.1,49.71,5191907
50.29,49.665,50.66,49.56,5148140
49.25,50.005,50.16,48.88,4446113
48.51,45.435,48.94,45.08,16693974
46.37,47.76,48.83,46.24,9436541
48,47.875,48.4366,47.13,8007540
48.48,47.41,48.67,46.95,6672836
47.1,48.435,48.72,46.92,7172482
46.68,48.785,48.91,45.82,10333780
48.22,48.515,48.67,47.59,5355792
47.57,47.7199,47.9,46.4,8795886
47.97,47.855,49.29,46.85,10187132
48.89,47.44,49.18,47.44,8841080
47.44,48.265,48.57,47.32,6428230
48.64,48.09,48.7,47.94,6713673
48.05,46.995,48.05,46.84,7201976
47.29,47.29,47.8,46.94,7368171
48.26,47.59,48.5486,47.17,8245668
47.65,47.665,48.15,46.9,10460730
47.43,48,48.44,47.33,7132006
48.41,48.165,48.49,47.87,6306138
48.38,50.295,50.45,48.36,11965343
50.07,49.4,50.41,49.085,7235025
49.63,49.94,50.49,49.57,5078754
49.99,50.335,50.4,49.56,4879284
50.37,50.51,51.06,50.015,7708771
50.17,50.575,50.78,49.86,4963857
50.34,50.335,50.6688,49.97,4975511
50.07,50.41,50.5299,49.92,3893278
50.61,50.66,51.03,50.6,4957429
50.86,49.915,51.07,49.91,7423403
50.05,50.41,50.73,49.885,5220131
50.07,50.535,50.73,49.955,5159290
50.89,51.0885,51.47,50.565,5707834
51,51.83,52.22,51,6448792
51.18,51.25,51.6357,50.57,6795162
51.2,51.49,51.86,51.1,6060873
51.6,51.52,51.96,51.24,4996452
51.81,51.4,51.87,51.27,5440657
51.4,51.13,51.96,51.08,6341087
50.97,50.41,51.03,49.95,8443593
50.09,49.58,50.17,49.54,7575924
49.37,48.97,49.73,48.215,10640876
49.04,48.79,49.57,48.4339,8738271
50.03,49.74,50.49,49.41,8256664
49.81,49.72,50.2799,49.44,7689085
49.51,49.58,49.8,48.76,7286543
49.25,49.58,49.6,48.92,7386356
49.8,51.13,51.285,49.77,7881146
51.19,50.68,51.32,50.02,7410545
50.98,51.03,51.09,50.08,9754904
51.38,50.94,52.08,50.84,6932340
51.1,51.17,51.355,50.98,4823028
51.07,50.74,51.25,50.53,5871343
51.15,50.97,51.39,50.82,4011122
50.89,49.86,50.89,49.77,7158811
49.71,50.3,50.61,49.7,4698145
50.04,49.76,50.24,49.5165,5256299
49.6,49.035,50.04,48.97,5666834
49.36,49.085,49.625,48.68,4628868
49.05,49.98,50.53,48.98,7020828
50.11,50.32,50.65,49.895,6126109
50.73,51.66,51.75,50.38,7925232
51.82,52.17,52.3,51.5243,3459266
54.53,55.37,55.935,53.92,14599509
55.96,57,57.57,55.81,11826247
57.46,57.21,57.67,56.37,8154057
57.44,57.73,58.2,57.33,5968814
57.5,57.71,57.9,56.91,6468703
57.2,56.97,57.44,56.78,8707396
58.97,57.85,58.97,56.77,13385136
57.95,58.405,58.84,57.82,7780291
58.83,58.04,58.84,57.55,7021718
58,57.45,58.488,57.37,4963393
57.66,58.09,58.12,57.65,3534512
58.85,58.43,58.99,58.09,4525313
58.5,58.16,58.58,58.02,3605670
57.79,57.74,57.97,57.28,3804722
57.66,58.23,58.41,57.66,3966498
58.24,57.86,58.53,57.8,2794198
57.84,56.7,58.48,56.38,4973089
56.56,57.12,57.47,56.48,3049377
57.24,57.73,57.9,57.0501,2511126
57.82,58.27,58.57,57.755,3341004
58.2,57.16,58.51,57.105,4072084
57.32,57.67,58.08,57.25,2974484
57.73,57.82,58.135,57.52,3064744
56.98,57.76,57.965,56.74,3082447
57.25,57.17,57.5,56.33,4167790
56.77,56.44,57.08,56.18,3295536
56.14,56.58,56.73,55.69,4285067
56.25,56.62,56.865,55.06,3405743
55.44,54.8,55.52,54.07,4580781
54.9,55.24,55.63,54.745,2174542
54.58,55.06,55.365,54.09,2620590
55.14,55.37,55.96,55.14,2299294
54.76,54.89,55.54,54.49,3590602
54,54.28,54.67,53.75,3192107
54.68,54.84,55.03,54.59,2475558
54.49,54.0501,54.84,53.89,3215972
53.65,53.99,54.9501,53.24,4806018
54.42,54.13,54.62,53.71,2268427
54.14,53.87,54.63,53.87,2545135
53.75,53.21,53.75,52.81,3400246
53.38,53.04,53.8,52.87,2418243
52.47,51.48,52.8,51.3094,4475043
51.48,52.09,52.7,51.41,6572840
52.85,54.32,54.365,52.82,6556444
54.85,54.94,55.23,54.2378,5329306
55.06,54.7,55.2214,54.36,4940059
54.92,55.0658,55.845,54.92,3730499
55.5,54.71,55.895,54.65,2939243
55.02,54.88,55.31,54.48,2345457
55.05,55.47,55.48,54.9,3241651
