Open, Close, High, Low, Volume
76.29,74.15,76.5,73.37,11347936
74.13,74.86,75.49,72.62,4844970
74.79,72.66,74.79,71.35,7167606
73.52,73.59,74.1,72.79,4175745
74.68,73.75,75.07,73.65,3952202
74.3,73.74,74.43,73.5315,3725732
73.51,73.46,73.855,72.5,2923769
73.48,74.83,74.83,73.27,2957724
74.77,75.12,75.35,74.17,2793683
74.5,74.73,75.48,74.27,2869035
74.82,74.29,75.29,74.15,4327070
74.66,72.97,74.7,72.46,4179747
73.35,75.03,75.16,73.35,3848766
75.2,74.66,76.1,74.59,3893354
74.5,74.7,75.62,73.77,2432034
74.4,74.12,74.455,73.07,2336445
74.34,73.85,74.4,73.02,2861633
74.11,73.82,74.39,73.64,2211389
74.06,75.04,75.13,73.93,3285361
74.87,75.8,77.03,74.87,3607235
75.85,74.84,75.97,74.45,3065768
74.8,74.19,74.8,72.85,2600284
73.03,73.75,73.825,72.75,2694097
73.42,72.1,73.58,71.67,3179902
71.42,70,71.63,69.97,4410046
70.57,69.65,70.9475,69.57,3424110
69.57,69.5,69.8,69.15,3370352
69.92,71.51,71.7596,69.89,4178174
71.51,71.94,72.12,70.3,2158473
72,72.32,73.72,71.8,3512959
72.55,71.3,72.55,70.85,2588496
70.98,71.58,71.71,70.72,2010640
71.67,71.58,72.21,71.52,2429665
71.75,71.96,72.175,71.03,1974967
71.67,73.26,73.675,71.58,2174790
72.82,74.21,74.37,72.73,2309087
73.41,73.17,74.18,71.9567,1998088
73,73.22,73.47,71.57,1982919
72.88,73.07,73.41,72.33,1542871
72.06,73.42,73.44,71.6,1839628
73.27,72.17,73.8,71.54,2564069
73.2,71.76,73.56,71.03,4639780
71.4,69.04,71.5425,68.43,3241206
68.17,66.03,68.38,65.89,3724726
66.5,68.55,69.25,65.53,6460374
67.14,69.77,69.93,67,3828158
70.1827,70.74,71.11,69.62,2901748
70.24,69.02,70.65,68.92,2287923
68.12,67.9,69.04,67.715,1857390
68.49,68.48,70.47,67.3454,2799479
67.22,65.78,67.66,65.47,3486128
66.2,65.17,66.2,64.47,2516065
65.66,66.1,66.77,64.97,2327935
66.82,67.43,67.74,66.82,2220995
67.13,67.13,67.32,66.45,2216833
67.58,67.78,68.59,67.09,2373339
68.33,67.66,68.91,67.09,2497227
66.93,66.02,67.74,65.6,3341478
66.51,64.25,66.98,63.6,4355594
64.55,63.91,65.48,63.76,3885204
63.6,64.09,64.62,63.28,5609983
64.96,65.76,66.1,64.96,2515638
67.77,67.86,69.37,67.32,3049610
67.21,67.47,67.6,66.58,1784810
69,68.45,69,67.97,1895655
69.24,68.95,70.1,68.9,2579200
69.28,69.22,69.51,68.31,1428516
69.39,70.51,70.85,68.91,2357627
70.89,71.4,71.96,70.64,3518292
71.23,71.54,71.87,70.62,2438031
72,71.28,72.2,70.705,2220586
71.59,73.54,73.77,71.515,3337603
73.02,72.15,73.77,72.07,3752042
71.98,71.26,72.57,70.97,4823649
71.04,71.98,72.01,70.54,2008156
72.25,71.06,72.79,70.9,1871535
70.89,71.58,71.94,70.82,4505828
70.53,70.95,71.74,70.5,3435489
71.01,70.33,71.65,70.22,2582394
70.55,70.92,71.22,70.17,2509443
70.89,70.12,70.89,69.67,2174109
69.97,70.26,71.05,69.69,1716781
70.55,71.32,71.39,70.3,2027460
71.73,67.93,71.85,67.91,2662142
66.66,67.25,67.48,65.71,3745118
67.39,68.15,68.16,66.3,2104780
68.14,68.16,68.6,67.655,2643673
67.84,66.7,67.93,66.69,3874891
65.87,64.91,65.96,64.82,4787259
65.72,64.81,65.86,64.57,3852225
64.86,63.17,64.96,62.87,7143599
63.83,65.15,65.89,63.63,4525756
64.564,64.79,65.37,64.52,1479812
64.84,65.57,66.3,64.525,2440132
65.53,66.6,67.82,65.36,3826101
66.89,66.24,67.44,66.18,1815946
66.2622,65.53,66.64,65.37,2157944
66.01,65.92,66.5221,65.6244,2316580
65.94,65.87,66.1,64.55,2717308
66.18,66.64,66.78,65.4,3333414
66.99,66.26,68.14,64.71,4096731
66.32,66.83,67.68,65.74,2504120
67.26,67.59,68.7,67.25,3363362
66.96,67.35,68.11,66.56,2777065
67.04,65.64,67.07,65.63,3838187
66.21,65.91,66.65,65.36,3360222
66.5,69.61,69.78,66.4,3429724
69.61,71.33,71.59,69.61,4140565
71.84,72.36,73.49,71.38,4799124
71.79,70.35,72.58,70.2,3780315
71.05,71.62,71.65,70.72,2218106
71.38,71.13,71.49,70.54,1911572
70.25,72.2,72.4,70.05,5545090
72.23,72.6,73.45,72.01,5563974
71.53,69.95,71.755,69.91,2902128
69.89,70,70.41,69.6,2393158
70.5,67.62,70.76,67.38,6145410
67.4,66.79,67.74,66.67,3215118
67.15,66.01,67.49,65.87,2986329
66.03,65.05,66.69,65.04,3378453
65.01,65.69,66.27,64.64,3956051
65.83,65.8,66.96,65.57,3045248
66.1,65.19,66.48,65.01,4468530
65.19,65.04,66.12,64.82,3569346
64.61,65.6,65.73,64.22,6232038
65.21,64.82,65.43,64.43,1687917
64.77,64.89,65.73,64.6593,3790262
64.2,62.56,64.2,62.49,4823013
63.33,62.78,63.92,62.73,4273670
63.4,62,63.53,61.63,4706142
62.75,63.6,63.95,62.75,5970403
64.01,63.835,64.88,63.72,3817034
63.77,64.11,64.84,63.61,3548385
64.1,64.35,64.69,63.72,3076209
64.53,66.19,66.26,64.18,3975355
66.4,64.82,66.73,64.6101,3425444
66.31,64.92,66.59,64.62,7920118
64.77,64.19,65.45,63.28,6232260
64.95,63.9,64.95,63.67,3123706
63.7,63.95,64.39,63.56,4129819
64.23,63.57,64.39,63.41,6363431
63.61,63.93,64.11,63.09,2855578
63.49,63.77,63.8611,63.47,1106245
63.6,63.75,63.84,63.3395,1689953
63.65,63.73,64.1265,63.6,2535939
63.7,62.3,64.1899,62.25,3171340
62.03,64.19,64.23,62,4379951
64.8,63.5,65.16,63.48,4315494
62.75,62.16,62.95,61.88,4238347
61.88,61.72,62.47,61.7,3868561
61.92,60.77,61.92,60.36,6475722
61.38,61.5,61.8,60.86,5466338
61.46,60.94,61.79,60.87,4879764
61.11,59.71,61.235,59.55,6024079
59.54,60.42,60.42,59.31,6872786
60.55,60.17,60.94,59.665,5907952
60.17,61.14,62.085,60.02,5215294
61.41,61.71,62.51,61.125,6786468
61.85,61.55,62.03,61.21,4079470
61.42,61.78,61.91,61.21,9642949
61.72,60.775,61.803,60.47,9638409
60.76,60.54,60.92,60.01,8966685
60.54,59.39,60.59,59.285,7643605
58.21,57.37,58.49,57.37,5963872
57.841,57.97,58.41,57.57,3903294
58.16,57.73,58.89,57.57,4138313
55.24,52.72,55.31,51.7199,21516453
52.2,51.17,52.325,50.94,10343949
51.46,51.8,52.08,50.795,8821594
52.43,52.7,53.06,51.86,7612511
53.27,54.11,54.48,52.76,7443926
54.5,53.82,54.5,53.18,5303718
53.27,52.54,53.34,52.1268,4976823
52.31,51.77,52.7,51.49,4087502
52.1,52.68,53.6,52.0838,5128556
52.91,53.55,53.8668,52.88,3602779
53.16,53.27,53.65,52.73,3444739
53.35,53.09,53.64,52.63,3078509
53.42,53.44,54.05,52.57,6402427
53.65,53.5,53.938,53.29,5520842
53.25,52.54,53.65,52.2626,4503440
52.22,52.4,52.62,52.02,3531650
50.6,50.45,50.9881,49.6,5301717
50.5,47.47,50.5,47.02,9192166
48.25,47.26,48.29,46.64,8329948
45.82,45.07,47.17,45.03,7822520
43.12,42.99,43.6998,42.06,11638927
43.06,44.97,44.99,42.51,7659907
44.92,43.66,46.26,43.47,7696191
44.6,44.18,44.6,42.465,13165950
42.63,42.43,43.7497,42.27,7910746
41.04,40.52,42.12,39.905,11770143
36.97,35.16,37.93,35.0142,15116100
37.01,38.12,38.24,35.9675,7983889
36.63,36.66,37.61,36.07,9578275
34.3,33.28,35.52,32.93,11178971
35.32,37.13,37.17,34.1801,8912415
32.9,34.25,35.97,31.6301,8125078
35.08,36.01,37.29,33.27,7761611
33.48,32.05,34.75,29.0601,7464566
31.74,31.68,33.63,30.12,6208787
32.53,31.38,33.99,30.28,8570380
30.35,28.48,31.08,28.33,6026954
30.36,32.47,32.86,30,8793750
32.75,33.2,35.4365,31.63,6707693
33.53,35.94,36.13,32.51,6774638
34.13,33.82,34.8,33.14,4950025
33.29,33.62,33.8,32.095,5240629
35.17,34.1,36.63,33.9,7368080
32.39,32.49,33.52,32.25,5981499
32.48,32.51,34.35,31.89,4606742
32.49,31.86,33.4749,31.52,3245937
33.99,35.32,35.63,33.48,5885382
37.55,37.26,38.75,37.16,7818498
37.75,38.86,39.18,37.17,4248799
40.2,40.77,41.55,39.87,7287632
40.21,38.32,40.41,37.96,4684686
39.46,38.39,40.04,38.15,3426229
37.09,35.55,37.14,35.5,4733360
35.63,36.22,36.32,34.83,4745622
37.49,38.36,38.76,37.3304,4759601
38.88,39.69,40.65,38.36,7448244
38.54,39.11,39.44,38.28,4621553
40.02,39.88,40.4,39.3102,3036584
40.16,41.24,41.98,40.01,4592258
41.7,41.9,42.24,41.02,3837326
42.25,43.81,44.29,42.06,4575739
45,46.4,47,45,9226353
47.89,48.17,49.129,47.56,7586018
47.09,47.05,48.0963,46.54,4908192
46.02,45.08,46.82,44.81,4077161
44.51,44.66,44.77,43.63,4928178
45.98,44.62,47.17,44.4,7234941
44.8,44.07,45.58,43.85,4101110
44.46,44.7,45.3,44.36,3489263
45.29,46.9,47.05,45.04,4279384
46.08,46.2,46.62,45.01,3469647
46.48,45.69,47.5599,45.65,3594163
45.12,43.93,45.34,43.3799,3662526
42.9,45.28,45.29,41.83,4585540
44.76,45.44,45.84,44.4,2390815
47.15,48.1,48.58,47.08,6067678
47.8,47.76,48.91,46.78,4480647
48.63,48.87,49.17,48.46,4607337
48.84,48.87,49.87,48.31,4994446
48.49,48.65,48.83,47.7,2673182
