Open, Close, High, Low, Volume
74.84,73.82,75.1,73.73,1661822
73.98,73.67,74.39,73.43,849142
74.31,74.58,75.16,73.85,2279537
75.49,75.99,76.88,75.2812,2151959
76.349,75.95,76.72,75.83,1762233
76.52,75.75,76.52,75.66,1385761
76.15,76.04,76.5125,75.75,1541599
76.19,77.14,77.25,76.1,1774585
77.03,77.27,77.52,76.97,836191
77.15,76.96,77.15,76.52,1451694
77,77.5,77.54,76.98,1031124
77.79,76.93,77.79,76.92,821992
77.24,76.94,77.47,76.38,2326602
77.11,77.475,77.66,77.11,1393011
78,78.26,78.83,77.81,1433306
78.53,78.15,78.53,77.34,1209303
78.16,77.58,78.19,77.44,1176996
77.83,78.26,78.415,77.41,1598217
78.41,79.45,79.91,78.38,1969876
79.75,80.36,80.38,79.435,1467521
80.86,80.5,81,80.22,1583371
81,78.95,81.23,78.56,1418747
79.3,78.92,79.3,78.37,1586599
79.07,78.23,79.14,78.12,1156856
78.18,78.32,78.39,77.12,3611098
78.09,78.87,78.905,77.83,1429970
78.53,78.72,78.96,77.6,2258243
78.97,78.74,79.53,78.34,2341090
78.28,80.3,81.25,78.05,2490494
80.51,80.97,80.99,79.44,1847784
80.75,81.31,81.93,80.75,1568770
81.44,79.73,81.44,79.72,1363021
80.32,79.8,80.69,79.69,1048798
79.6,80.62,80.8,79.31,1697645
80.45,78.95,80.84,78.85,1671611
77.79,74.92,79.33,74.5,2016850
73,76.14,76.34,71.31,2504352
75.67,76.62,77.57,75.67,1361475
76.72,72.38,76.72,72.331,2031749
73.27,74.11,74.74,71.6,2386914
74.9,75.95,76.84,74.58,1167645
75.62,76.5,76.53,75.27,1324533
76.26,77.64,77.74,76.13,1320615
78.33,78.57,79.27,78.1,1577819
78.35,79.53,80.09,78.35,1613861
79.11,79.62,80.22,79.01,1494362
79.08,78.59,80.45,78.52,2077825
79,77.74,79.17,77.6,1394005
78.32,79.44,79.45,78.13,853932
79.47,80.43,80.49,78.95,1451494
80.5,79.56,81.34,79.56,1408847
80,78.82,80.76,78.81,1402517
78.64,75.21,79.34,74.6325,3354001
74.81,75.81,75.96,74.24,1892044
75.37,77.05,77.38,74.9,1022929
77.18,76.8,77.435,75.78,1231145
75.79,76.62,76.76,75.52,1100139
76.91,77.1,77.285,76.01,873287
77.77,78.4,78.49,77.2,2082825
78.62,78.15,78.82,78.04,1149099
78.65,77.32,78.65,77.02,1307007
77.78,76.45,77.815,76.14,1473843
76.73,75.36,76.88,74.88,1642696
75.72,76.52,77.01,75.38,1337625
76.4,76.03,76.74,75.17,1258753
76.26,75.37,76.48,75.3,1722746
75.38,74.85,76.04,74.83,2419347
74.28,71.88,74.77,71.75,1855297
72.14,70.065,72.675,69.98,1896952
71.02,71.79,72.01,70.26,1369897
72.19,70.25,72.51,69.67,1837747
70.29,70.29,71.09,69.55,1772778
70.4,71.67,72.08,70.11,1399725
71.41,69.57,71.53,68.56,1846461
69.98,70.6,70.64,69.09,1777177
69.27,71.69,71.88,69.1,1609660
72.09,72.14,72.63,71.55,1078206
71.31,70.33,71.8,69.68,1023137
71.19,70.67,72.32,70.58,971501
71.81,71.91,72.27,71.28,1293093
70.97,70.91,71.85,70.73,772439
71.4,71.6,72.25,71.3,1173228
72.26,70.55,72.5082,70.22,1372987
70.9,71.55,72.19,70.64,1521871
72.38,71.93,72.62,71.69,1282759
72.21,72.09,72.8,72.04,1108853
72.33,73.31,73.52,72.3,1282928
73.57,73.33,74.07,72.93,1861684
73.55,73.32,73.73,72.8,1122125
73.8,72.9,74.39,72.49,2000400
72.59,71.86,73.05,71.5,3004120
71.89,72.38,72.76,71.5,1960185
72.01,71.21,72.74,70.51,2635184
71.63,71.25,72.06,71.24,1568611
71.09,70.51,71.244,70.07,1658400
70.5,70.5,71.62,70.17,1604311
70.19,69.6,70.195,68.73,1460628
69.16,70.86,71.41,68.48,1095919
71.52,71.82,72.45,70.98,1995022
72.38,72.86,73.5,72.19,1549316
73.25,74.11,74.55,73.14,1543626
74.12,74.88,75.16,73.91,1091776
75.05,75.37,75.8,74.68,1271823
75.58,75.45,75.99,75.3,1268727
75.3,76.31,76.98,75.3,1698902
76.18,77.43,77.45,76.1,1562156
77.39,77.81,78.06,76.66,1176552
77.64,77.23,77.855,77.195,982527
77.8,77.83,78.37,77.55,662701
78.11,78.23,78.97,78.01,958641
77.5,77.11,77.6566,76.285,1274682
76.86,76.91,77.04,75.69,1074958
76.89,75.99,76.89,75.57,1319390
75,72.81,75.11,72,2547439
73.54,73.98,74.28,73.235,1135048
73.95,73.85,74.56,73.32,1140423
74.58,73.99,74.7,73.7,1196268
74.33,74.94,75.09,74.09,1120132
74.84,74.48,74.96,73.64,1171622
74.52,75.43,75.44,74.25,1436579
75.88,75.53,76.55,74.92,1522632
75.61,75.37,75.61,74.42,936817
75.21,75.28,75.95,75.09,812552
