Open, Close, High, Low, Volume
91.23,91.66,92.26,91,1931795
91.97,90.8,92.05,90.42,1909089
91.36,90.94,92.24,90.88,2785318
91.5,92.58,93.11,91.47,1442121
92.87,92.06,93,91.53,1395224
92.91,91.71,94.13,91.44,3548114
92.15,91.65,92.48,91.56,1475595
92.28,92.92,92.99,91.79,2224743
92.5,92.47,93.51,92.26,747400
92.84,92.61,92.855,92.14,800671
92.67,92.57,92.74,92.21,720577
92.92,93.04,93.85,92.87,1758731
93.56,94.03,94.52,93.3233,1389281
94.27,93.99,94.45,93.62,1289176
94.2,95.08,95.78,93.85,2259548
95.63,95.71,95.89,95.03,1860657
95.61,94.15,96.05,94.13,1564411
94.79,94.26,94.79,93.86,1702899
94.23,94.75,95.22,93.92,1083186
94.66,98.19,98.33,94.6,2285176
98.39,99.11,99.69,98.2,1824837
99.7,98.45,99.7,97.92,1105158
99.17,100.5,101.07,98.89,1971091
100.9,101.03,101.2582,100.12,931848
101.53,101.99,102.09,100.91,1214366
101.94,102.3,102.3,101.09,582228
103.47,103.18,103.99,102.661,1137971
103.21,102.7,103.64,101.305,883220
105.07,103.75,105.4,102.56,1240182
104.21,105.29,105.33,103.42,1106328
105.21,105.36,105.82,104.71,1425395
104.92,104.23,105.57,103.74,2166572
104.44,103.11,104.95,102.35,1309468
102.18,102.31,103.01,101.74,1847203
101.7,99.41,101.7,99.35,3205221
98.68,95.8,100.45,95.79,2033986
94.19,97.62,98,92.74,3087364
97.51,97.84,99.53,97.45,1140158
98.18,95.13,98.36,95.07,2230503
96.09,98.26,99.5,93.83,2628447
98.77,95.08,99.08,93.32,3869468
94.94,96.83,97.93,94.82,1824391
96.31,96.66,97.33,96.05,1858873
97.51,98.42,98.44,96.3148,1316043
98.31,97.74,98.9,97.02,1218307
95.15,94.56,96.31,93.67,2428074
94.88,95.28,96.88,94.88,1449159
95.86,96.1,97,95.46,774827
96.77,97.22,97.32,95.72,1156539
97.73,97.53,98.23,96.62,1056770
97.96,95.5,98.445,94.89,1599868
96.11,94.6,96.32,94.6,1270001
94.57,95.3,95.89,93.78,1278580
94.74,94.25,95.095,92.8,1889539
93.64,93.44,94.01,93.0601,1961732
93.51,93.46,94.195,91.85,3259367
89.58,89.39,90.64,87.54,4452661
89.62,86.05,89.88,86.04,3134361
86.71,86.95,87.18,85.54,2718664
87.24,88.63,88.86,87.05,2884466
88.85,89.53,91,88.63,3245197
89.55,89.24,89.75,88.56,3227329
96.28,93.42,96.5,92.29,8841262
93.59,95.37,95.8,93.39,3829565
95.5,94.03,96.05,93.37,1611646
94.13,93.43,94.23,92.88,1926026
93.57,92.96,94.65,92.95,2893735
92.31,91.77,93.36,91.69,1655185
91.84,90.06,92.31,89.89,1733417
91.39,92.65,93.155,91.06,1526864
93,92.43,93.45,91.93,1518396
92.67,92.95,94.84,92.66,1695173
93.45,93.51,94.1457,93.131,1332156
93.23,93.43,93.86,91.97,2029391
93.53,93.28,94.38,93.1,1359524
92.54,95.01,95.22,92.54,2202941
95.22,96.4,96.585,94.54,1818892
95.8,94.96,96.98,94.52,2068551
94.95,95.68,96.77,94.87,2076218
96.85,96.43,96.99,95.46,2146859
95.72,96.26,96.83,95.65,1314636
96.75,96.89,97.66,96.41,1928093
97.42,96.28,97.895,96.05,2006495
95.8,97.08,97.2,95.06,1625555
100.65,99.87,101.2,99.26,2359570
100.32,100.22,101.16,99.86,1386655
99.78,99,100.06,98.18,1241956
98.74,96.37,99.16,96.22,2553823
96.71,97.01,97.19,95.83,1713495
97.54,96.8,98.06,96.38,1280718
96.37,97.25,97.47,95.71,1087297
97.36,99.02,99.49,96.57,1722155
99.04,98.36,100.1265,98.2675,1786851
98.69,96.52,98.87,96.26,1373569
96.26,96.55,96.83,95.51,888790
96.19,96.39,97.23,95.32,767150
96.5,96.26,96.9,95.44,897365
95.85,95.54,95.93,94.67,1313692
95.57,93.98,95.59,93.42,1291492
94.12,93.89,94.7,93.46,1538555
93.62,93.54,93.92,92.43,2225676
93.81,92.95,94.46,92.82,1824457
92.5,93.6,93.67,91.46,2072902
93.62,93.73,94.39,93.28,1497435
93.68,94,94.3225,93.411,4599483
94.2,96.19,97.43,94,4320614
96.22,96.68,97.39,96.22,1983039
97.01,96.73,97.47,96.67,1984766
97.13,97.21,97.65,96.55,1126141
97.21,96.41,97.88,96.29,1532045
96,96.25,97.12,95.9,1175222
96.34,96.91,96.93,95.4417,2149894
97.11,96.62,98.605,96.57,1583381
96.4,96.25,96.96,95.3,1919448
96.7,96.52,97.08,95.275,3157109
90.78,87.48,92.71,86.87,11901178
87.5,89.09,89.245,87.26,6233853
90.45,91.015,91.26,89.8201,3776498
91.27,94.18,94.33,91.06,2702452
94.29,94.62,95.155,92.45,2996161
94.82,94.01,96.1,93.08,2172662
93.93,94.91,95.1,93.78,1192465
94.72,95.86,96.15,94.3513,1692668
95.95,96.68,97.14,95.08,1808601
96.79,96.73,97.35,96.26,1588784
97.2,96.37,97.2,95.61,1361027
95.92,97.33,97.4,95.92,1661766
96.87,97.95,98.9,96.76,1411525
96.94,97.43,97.67,96.105,1172168
97.82,98.01,98.405,97.11,1236201
97.68,98.7,99.3,97.34,1739971
100.81,100.29,101.18,99.6001,1947351
100.3,100.485,100.78,99.62,1517043
100.32,99.7399,100.52,99.001,1344234
99.77,98.66,100.25,98.51,899076
98.92,99.13,99.75,98.16,956148
99.3,98.61,100.07,98.53,988171
98.61,98.06,98.8299,97.53,995103
98.18,98.19,98.93,97.77,523092
98.51,98.15,98.55,97.771,910163
98.25,98.61,98.86,97.72,1001031
98.53,98.39,99.22,97.98,848999
98.55,100.01,100.21,98.46,1072521
99.95,99.03,100.65,98.49,1080823
99.76,98.56,99.84,97.96,1051545
98.66,99.48,100.39,98.62,1826248
99.73,99.13,100.3953,98.6,937959
98.67,99.4,100.04,98.59,1450389
99.51,99.09,100.05,98.27,1641553
99.1,99.18,99.93,98.76,3129247
98.75,98.18,98.81,97.11,2074965
98.38,98.74,98.87,98.06,1375519
98.46,98.57,98.95,98.109,1299984
98.58,98.74,98.86,97.95,1381752
98.92,99.15,100.26,98.92,1195721
99.29,97.43,99.44,97.12,885946
97.4,98.13,98.28,97.32,956404
98.56,98.15,98.56,97.79,661850
98.15,96.64,98.29,96.37,963417
96.75,98.28,98.42,96.73,887446
98.42,98.22,99.149,97.73,736883
98.18,98.67,99,97.88,604173
99.4,100.91,101.21,98.95,1158133
100.78,101.78,101.96,100.6252,1074164
101.99,102.98,103.1812,101.19,1140419
102.28,102.33,103.3,101.91,685608
102.83,102.47,103.89,102.31,845327
102.89,105.09,105.28,102.66,1224056
104.29,104.12,104.45,103.27,1140992
105.99,104.89,106,104.3261,1570712
105.29,106.37,106.61,104.89,1101714
106.75,107.53,108.1632,106.7,1074777
107.59,107.61,108.17,107.03,1357009
108.59,107.28,109.045,106.93,1561510
107.19,108.09,108.19,107.19,1208167
107.63,108,108.23,107.02,1082998
108.98,107.2,109.05,107.04,1540543
107.25,106.84,107.39,105.54,2410142
106.73,106.7,107.5,105.02,2611950
104.24,105.66,108,103.95,4035426
105.85,107.73,107.9679,105.55,2297781
107.99,109.84,110.15,107.87,1854690
109.98,111.06,111.36,109.4,1762432
111.33,111.1,111.87,110.6045,1245786
111.27,110.82,112.31,110.58,1745100
111.39,111.45,112.06,110.79,1379014
111.52,111.15,112.59,110.91,1718095
111.17,110.68,111.7,110.51,1837381
110.76,109.52,111.06,109.3,1280052
109.52,108.87,109.82,108.36,1560555
108.7,107.25,108.99,107.24,1768000
107.58,109.16,109.78,107.26,1210812
109.1,109.34,110.33,108.78,2157622
109.49,109.55,109.85,108.85,1408213
110.19,108.28,110.87,108.05,2447933
107.98,107.2675,109.16,106.947,1706362
108.51,108.3,108.58,107.07,1152160
108.76,109.53,109.97,108.39,1172621
