Open, Close, High, Low, Volume
84.67,85.37,85.92,84.39,1319497
85.6,83.62,86.57,83.16,1341466
83.76,84.07,85.61,82.93,1510969
83.38,82.07,84.55,81.331,1461834
82.27,81.72,84.49,81.47,1196580
81.25,79.78,81.26,79.65,557777
79.75,82.29,82.35,78.95,1001422
81.24,82.43,82.49,79.95,779586
82.94,82.12,83,81.54,611464
82.33,82.98,83.23,82.06,750745
82.33,82.3,82.87,81.12,1319224
81.44,80.9,81.78,79.93,1144083
81.58,82.67,83.13,81.3419,1009221
82.97,82.65,83.81,81.96,1426435
83.27,84.14,84.21,82.71,1052346
84.71,84.47,85.55,84.32,1001217
83.95,84.76,84.86,83.93,739809
84.25,84.98,85.13,84.11,975849
84.21,83.52,84.51,83.22,1167104
83.77,84.91,85.04,83.38,740430
84.95,84.22,85.125,84.2,810321
84.25,85.12,85.19,83.96,824691
85.73,87,87.33,85.68,1067300
86.71,86.03,86.71,85.68,728435
86.36,86.2,87.0342,85.15,884045
86.37,85.61,86.63,85.3,909993
86.33,85.38,86.52,85.0472,871913
85.03,85.415,86.13,84.5051,758040
85.82,86.08,86.265,85.01,744033
86.26,86.8801,87.25,85.87,771049
85.34,87.31,87.58,85,904573
87.42,87.66,87.73,86.47,768602
87.69,87.87,88.13,87.16,501938
88.18,87.5,88.7,87.29,930685
87.48,87.63,88.22,87.19,932645
87.98,89.62,89.67,87.98,1105839
89.51,88.95,89.72,87.4965,842680
88.97,88.28,89.23,88.2,1184415
88.58,89.29,89.83,88.22,917070
89.66,89.94,90.15,88.87,1246805
84.48,85.52,86.52,84.15,3479116
86.04,87.8101,88.05,85.2101,1899644
87.84,88.97,89.44,87.37,1047845
88.93,87.79,89.12,87.35,910427
87.86,87.78,88.22,87.26,666111
88.22,87.18,88.535,87.15,810326
87.06,86.935,87.34,86.13,1384209
86.51,86.05,86.55,85.73,1528483
86.05,86.53,86.99,86.03,791614
87.18,86.4,87.685,86.03,751547
86.81,85.72,86.82,85.01,1151339
85.88,85.11,85.93,84.94,909783
85.2,83.34,85.2,83.09,1274375
83.44,83.21,83.96,82.59,1132105
82.85,84.37,84.4,82.71,1809267
84.62,85.47,85.52,84.05,1235814
85.78,86.81,87.31,85.74,1057915
87.34,88.32,89.03,86.74,1349333
88.3,87.9,88.44,87.47,1460338
88.775,88.46,89.45,88.3,909033
87.89,88.7,88.72,87.89,905555
89.8,89.42,90.57,89.14,1627408
89.19,88.64,89.77,88.24,1124975
88.34,89.62,89.93,88.34,580892
89.49,89.22,90.44,88.5,1184052
89.16,88.45,89.16,87.59,1228241
88.71,88.68,89.22,88.2371,550787
88.3,88.52,88.96,87.69,726118
88.64,89.05,89.12,88.06,537532
89.13,89.92,90.15,89.03,1129677
90.35,90.14,90.85,89.83,532396
91.5,90.94,91.53,89.71,1313650
91.3,90.56,91.31,90.04,703661
90.5,91.01,91.03,90.08,622696
90.51,90.66,90.89,90.0225,622003
90.58,90.48,90.835,89.6,581154
90.09,89.94,90.53,89.74,504333
90,90.38,90.59,89.46,655392
90.74,89.73,90.74,89.45,1003950
89.73,89.89,90.98,89.66,724272
90.39,91,91.045,90.02,517189
91.42,89.22,91.42,88.89,1519017
89.2,85.6875,89.4,84.67,1440221
85.78,85.75,86.56,84.32,1208333
85.45,85.15,86.58,84.94,1121389
86.32,93.08,94.52,86.32,3227195
93.41,94.76,95.54,93.18,2003903
94.74,94.26,94.89,93.23,1215140
94.4,95.33,95.37,94.06,938738
95.32,96.2,96.45,95.045,1081301
96.5,96.38,96.84,94.8,1050368
96.69,96.22,96.81,95.59,1109034
96.29,98.19,98.52,96.29,1236779
98.18,98.77,99.09,97.87,910600
97.22,98.66,98.75,97.03,653308
98.06,97.65,98.68,96.95,829351
97.61,97.96,99,96.51,1167772
97.07,98.74,98.98,96.765,1436830
98.59,99.17,99.31,97.45,731260
97.79,97.06,97.94,96.62,727740
97.55,96.75,98.39,96.71,653422
96.13,97.38,97.69,95.9,552534
97.36,96.42,97.98,96.25,843419
95.58,97.24,98.13,95.49,897339
96.77,97.08,97.87,96.61,616384
97.42,97.73,98.23,97.26,766057
97.58,97.62,98.02,97.04,1193116
97.36,97.62,97.66,96.49,946425
97.65,98.04,98.27,96.68,777095
97.71,97.08,98.97,96.9319,981827
96.78,96.82,97.22,95.82,1146705
96.95,96.02,97.28,95.5,525855
95.52,95.93,96.1,94.675,479576
95.87,96.17,98.05,95.25,837652
96.76,97.22,97.74,96.425,560941
98.11,97.75,98.11,96.33,545154
97.97,98.76,99.32,97.55,754877
99.18,99.34,99.81,98.69,521830
99.62,99.67,99.99,99.21,659890
99.57,98.92,99.93,98.51,573989
98.59,99.5,99.53,98.36,525764
99.53,100.86,100.95,99.19,1431487
100.84,101.03,101.77,100.76,629976
101.13,101.94,102.3,100.9,743933
102.5,100.57,102.5,100.34,811128
100.85,101.92,102.17,100.32,552452
102.11,100.33,102.21,99.94,772407
100.46,101.26,101.4,100.08,944628
101.36,100.9,101.36,100.18,404118
100.89,101.02,101.51,99.96,411496
100.93,99.71,101.14,99.7,410127
100.21,100.51,100.63,99.78,479035
100.31,101.79,101.81,100.07,499850
102.57,102.43,103.67,101.86,757074
102.34,103.25,103.25,101.39,406961
103.37,103.98,104.19,103.37,327344
103.27,103.26,104.04,102.52,480895
102.97,102.47,102.98,102.07,498140
101.68,102.01,102.22,101.07,449630
102.46,102.51,103.04,102.14,328280
103.33,103.5,104.2,102.455,616406
103.28,102.96,103.6246,102.49,545542
100.4,101.12,101.22,99.75,1027595
101.83,101.46,102.1399,100.59,789870
101.32,100.16,101.47,99.93,806673
100.16,100.86,100.98,99.66,774531
100.77,99.29,100.98,99.21,863666
99.68,98.09,99.77,97.66,1346693
103.71,103.36,104.9,101.57,2379898
103.8,103.38,104.315,102.95,1253206
103.4,102.23,103.5758,101.465,860336
102.36,101.29,103.39,101.01,890768
