Open, Close, High, Low, Volume
35.29,35.3,35.99,35.1328,3681714
35.94,36.04,36.7,35.61,6619788
36.17,35.63,37.07,35.465,6623329
35.51,35.04,36.22,34.91,5825685
35.04,33.62,35.65,33.61,5332119
33.45,32.96,33.71,32.39,2781248
33.1,34.18,34.245,32.55,4049055
33.59,34.56,34.56,33.46,3656806
34.64,34.56,35.38,34.1,4432337
34.74,34.48,35.03,33.68,2590128
34.15,35.24,35.56,34.08,4241868
35.14,35.21,35.82,34.61,4607415
35.56,36.69,36.87,35.4,4540541
36.79,37.545,38.115,36.65,6619338
37.96,37.26,38.01,36.88,4232990
38.11,39.56,39.97,37.29,11390803
39.37,39.115,39.63,38.66,6766257
39.11,39.605,40.13,38.84,5383209
39.3,38.455,39.42,38.4,4481163
38.51,38.43,39.01,38.01,4374893
38.43,37.835,38.525,37.67,4086038
37.48,37.55,37.96,37.305,4236986
37.71,37.095,37.805,37.03,4347341
37,36.35,37.12,36.21,3828525
37.14,37.295,37.66,36.71,5775981
37.31,38.33,38.47,37.26,8639587
38.57,37.31,39.21,36.405,13143997
36.53,36.405,37.46,36.17,6736062
35.87,36.7,36.74,34.96,9750583
36.7,37.545,37.64,36.05,7399403
37.65,38.455,38.9901,37,9653638
38.55,37.995,39.2,37.95,7529746
37.9,37.7,38.21,37.48,4411367
37.7,38.32,38.43,37.61,3705069
38.21,37.5,38.33,37.305,5986101
37.3,38.415,38.43,37.3,6547301
37.97,37.585,38.25,37.16,4302278
37.65,37.795,37.81,37.2349,3225185
38.25,40.635,40.66,38.08,9441489
40.72,40.285,41.14,39.395,6632139
39.64,39.79,40.11,39.08,6606851
39.92,39.97,40.22,39.56,5896031
40,40.46,40.86,39.7901,4839902
40.24,39.87,40.52,39.56,3437970
39.35,40.26,40.28,39.2,4163191
40.49,40.84,41.035,40.17,4888651
41.05,40.78,41.477,40.66,6550827
40.49,40.59,41.13,40.07,3871284
40.63,40.04,40.67,39.58,4551354
39.57,38.89,40.16,38.8,6418841
39.17,38.785,39.28,37.81,7135340
39.04,39.99,40.05,38.965,7457035
39.99,39.15,40,38.855,4973717
39.11,39.14,39.39,38.8,4176181
39.34,40.565,40.61,39.32,7307127
40.34,40.41,40.97,40.09,5621830
40.38,41.12,41.24,40.28,4357007
41.25,41.405,41.47,40.8,3335068
41.4,40.95,41.77,40.92,3596010
40.86,40.8,41.04,40.56,3608888
41.1,40.77,41.53,40.71,3108682
40.67,40.46,41,40.275,3102490
40.635,39.6,40.655,39.48,3255801
39.46,39.21,39.9,38.38,6322705
39.4,40.54,40.84,39.3,6508795
40.47,40.94,41.44,40.28,5021556
40.79,41.965,42.245,40.54,7977896
41.92,41.58,42.04,40.9,5274596
42.14,42.54,43.36,41.91,6375574
42.55,41.67,42.74,41.35,4112488
41.85,41.38,42.32,41.32,4986057
41.57,41.7,41.8,40.89,3068425
41.73,41.7,41.845,41.38,3143428
42,41.8701,42.555,41.65,3682196
41.73,42.81,43,41.73,5599154
42.96,43.55,43.6,42.77,4483840
43.48,43.7,43.8,43.25,2743648
43.52,43.4,43.8,43.235,3126574
43.54,43.93,43.995,43.52,3214456
43.8,44.86,44.96,43.66,5974335
44.94,45.34,45.4,44.69,8995016
45.57,45.425,45.68,45.125,6216810
45.58,45.69,45.855,45.45,5517685
45.62,45.77,45.95,45.47,5184036
45.8,46.42,46.51,45.6,5961373
46,45.65,46.35,45.195,4385570
46.12,46.4,46.62,45.81,4544610
46.42,46.67,47.02,46.17,4750887
43.92,44.44,44.96,43.64,9567847
44.29,44,44.33,43.66,5002493
43.87,43.96,44.14,43.57,2624908
44.03,44.31,44.53,43.73,3379634
44.61,44.35,45.63,44.29,3698697
44.37,44.39,45.14,43.91,3212131
44.61,44.13,44.79,44.08,3473908
43.56,44.12,44.13,43.29,2853775
43.96,43.75,44.1,43.325,2530996
43.77,43.24,43.93,43.21,1625024
43.14,43.63,43.68,42.52,2304357
43.28,43.54,43.73,42.82,2092302
42.92,43.23,43.33,42.595,2516187
43.21,43.99,44.47,43.17,3168973
43.76,44.05,44.25,43.54,3126443
44.39,44.97,45.115,44.25,4105772
44.51,44.54,45.31,44.5,3372085
44.4,43.34,44.74,43.26,3395910
43.36,43.8,43.96,43.17,2890128
43.14,43.76,44.2,43.14,4056984
43.54,43.62,44.38,43.32,3704416
43.79,44.66,44.68,43.78,2360452
44.67,44.11,44.89,44.11,2669350
44.02,43.47,44.02,43.16,4381103
43.4,43.96,44.26,43.34,2748980
43.69,42.77,43.82,42.37,4319135
42.69,43.26,43.71,42.55,3136155
43.72,44.42,44.48,43.47,2873693
44.69,44.64,44.82,43.96,2241348
44.82,45.17,45.62,44.76,2025969
45.24,45.59,46.14,45.16,2509300
45.79,45.48,46.21,45.08,1825285
45.72,44.87,45.72,44.34,2922360
44.93,45.05,45.605,44.8873,1982777
45.27,45.52,45.825,45.11,1600045
45.36,45.96,46.0788,45.04,2546974
45.99,45.97,46.1,45.28,2011808
46.09,45.84,46.47,45.32,2206882
45.64,44.85,45.76,43.89,4217612
45.54,45.69,45.99,44.955,3175766
45.66,44.65,45.66,44.48,2609254
44.77,44.28,45.235,44.19,2315538
45.21,42.57,45.3,42.06,7778878
42.44,42.07,42.55,41.41,6540792
42.71,43.22,43.41,42.31,3887054
43.36,43.15,44,43.07,3607649
43.73,43.61,44.13,43.305,3230534
43.75,44.11,44.21,43.54,2304560
44.14,44.35,44.57,43.97,1116153
43.99,43.485,44.116,42.925,1984297
43.4,44.095,44.16,43.17,1821118
43.91,43.92,44.24,43.665,2687330
44.55,44.67,44.93,44.26,2810656
44.81,44.42,44.9,43.8,2177982
44.68,45.49,45.8,44.65,2654999
45.56,45.22,45.86,45.05,1581947
45.11,45.43,45.61,45.04,2120758
45.66,45.2,46.04,45.14,1543261
45.21,45.25,45.86,44.79,2153230
45.42,45,45.54,44.92,1820472
45.21,44.76,45.22,44.71,1411150
44.85,43.61,44.91,43.17,4713541
43.6,43.9,44.17,43.37,2444827
44.12,44.5,44.84,44,4593513
44.68,44.5,44.89,44.18,3075374
44.44,43.99,44.52,43.6,3492419
44.3,46.51,46.76,43.96,7076978
46.88,45.92,47.26,45.31,5061481
46.21,47.06,48.02,45.98,6787251
46.89,47,47.275,46.385,4041634
46.39,45.93,46.99,45.41,4328409
45.99,46.26,46.565,45.865,4049953
45.86,47.81,47.91,45.56,5649534
47.77,47.92,48.38,47.67,3413842
47.64,47.22,47.84,47.19,2806402
47.08,47,47.19,46.73,1260949
47.13,47.95,48.2,47.09,4856769
47.28,47.36,47.69,46.82,3589112
47.31,46.97,47.66,46.87,2839568
47.32,47.7599,47.88,47.16,1850537
48,48.14,48.535,47.8,2832725
48.42,48.89,49.5399,48.1835,4340828
49.01,49.44,49.615,48.7,3008475
49.76,50.34,50.64,49.38,4297477
50.39,49.2,50.62,49.02,4069558
49.15,49.24,49.63,48.8,3712817
49.67,48.93,49.67,48.75,2902170
48.82,49.02,49.23,48.46,2049579
49.34,49.27,49.64,49.025,2636784
49.57,49.44,49.58,49.04,1220430
49.15,49.78,49.95,49.15,1987000
49.94,50.5,50.79,49.76,2500271
