Open, Close, High, Low, Volume
26.04,25.62,26.16,25.49,3804305
25.85,25.1,25.91,24.88,4895753
25.24,25.15,25.78,24.95,6203862
25.12,24.26,25.14,23.89,6310219
24.08,23.49,24.91,23.41,4112392
23.4,22.82,23.56,22.8,1336373
22.98,23.72,23.73,22.57,2125175
23.46,22.91,23.46,21.9907,3005924
23.05,22.85,23.26,22.53,1976410
23.15,23.03,23.19,22.44,1561521
22.79,23.81,23.88,22.51,1620360
23.47,23.92,24.06,23.07,2485370
24.17,24.34,24.52,24.11,1538445
24.31,24.72,25.01,24.06,1392522
24.88,25.21,25.42,24.78,1280320
25.26,25.315,25.62,25.17,835228
25.2,24.94,25.25,24.74,937560
24.81,25.18,25.29,24.58,781029
25.03,25.1,25.15,24.73,672395
25.2,25.115,25.4,25.05,985869
25.18,25.1632,25.48,25.09,1412359
25.15,25.48,25.565,25.07,1920556
25.7,25.89,26.01,25.39,2570932
25.8,24.845,25.95,24.72,2388714
25.01,24.76,25.29,24.53,1048650
24.78,25.45,25.55,24.64,976170
25.59,25.755,25.83,25.51,1082639
25.7,25.92,25.92,25.38,906622
25.86,25.56,25.9,25.48,601764
25.48,25.13,25.48,23.46,4564145
25.47,26.69,26.69,25.47,2470767
26.67,26.675,26.85,26.21,1360905
26.65,26.52,26.8,26.28,798433
26.6,27.105,27.62,26.45,1517542
27.13,27.3,27.38,26.95,1052442
27.14,26.79,27.31,26.42,968854
26.68,27.29,27.315,26.56,808628
27.37,26.86,27.4,26.69,728169
27.08,26.46,27.41,26.43,1879111
26.43,26.71,26.845,26.27,1551135
26.69,27.205,27.37,26.245,1704713
27.46,27.655,27.71,27.18,1064671
27.48,27.325,27.66,27.26,904869
27.39,27.42,27.57,27.16,854020
27.45,27.29,27.45,27.07,1191804
27.42,27.51,27.72,27.32,815294
27.7,27.57,27.89,27.46,1712601
26.61,26.9,27.06,25.35,3623911
27.13,27.02,27.62,26.61,3125058
27.02,27.25,27.32,26.9,2090457
27.32,27.5,27.77,27.32,1269479
27.66,27.14,27.77,26.94,851453
27.06,27.3,27.45,26.96,793849
27.71,27.17,27.81,27.06,1056352
27.19,26.86,27.2,26.73,850674
26.69,27.3,27.32,26.69,658002
27.32,26.93,27.39,26.49,1007567
27.06,26.94,27.06,26.76,1153994
27.05,25.63,27.05,25.49,2462498
25.68,26.14,26.21,25.485,2091927
26.275,25.9,26.43,25.865,2923954
25.94,25.83,26.4,25.755,1700083
25.87,25.89,26.225,25.75,1155024
25.86,25.2,25.86,24.72,1910543
25.18,25.44,25.52,24.87,2548671
25.38,25.44,25.63,24.8797,2120341
25.6,25.67,26.41,25.4,1426349
25.74,26.11,26.56,25.63,1603191
26.12,25.92,26.41,25.895,1378804
25.95,25.33,26.01,25.26,1385420
25.52,25.42,25.57,25.2,1561922
25.92,26.18,26.385,25.805,1274428
26.19,25.85,26.27,25.755,2395894
26.05,26.24,26.505,25.81,1794184
26.24,27.16,27.17,26.2,1324508
27.27,27.63,28.14,27.24,2162667
27.53,27.03,27.65,27,2104128
27,26.99,27.14,26.78,2338571
26.98,28.25,28.87,26.9668,4239469
28.33,27.83,28.97,27.71,4049200
27.97,28,28.43,27.52,1935686
28,27.97,28.15,27.7438,1106744
28.13,28.07,28.32,27.81,1044684
28.2,28.24,28.5,28.04,1061230
28.37,28.02,28.39,27.89,1051620
27.87,27.17,28,26.965,1251637
27.13,27.54,27.83,27.13,1593267
27.15,28.45,28.5923,27.02,2254878
28.45,28.57,28.76,27.7,2495190
28.66,29.49,29.51,28.53,1916935
29.5,29.34,29.92,29.21,2592669
29.42,28.76,29.5,28.63,3511974
28.62,28.88,29.16,28.62,2293398
29.21,27.64,29.66,27.03,3244446
27.75,27.76,28.06,27.3874,2157577
27.49,27.49,27.81,27.14,1637583
27.33,27.1,27.76,26.97,2560433
27.44,27.34,27.54,26.92,2320611
27.1,26.92,27.312,26.46,2457636
26.91,26.78,26.91,26.16,2623604
26.37,25.73,26.62,25.69,2186222
25.89,26.23,26.47,25.82,2835876
26.28,26.19,26.44,25.95,2035322
26.15,26.24,26.355,25.97,1925127
26.01,26.2,26.28,25.885,2030067
26.21,25.84,26.21,25.62,1689432
25.97,26.33,26.51,25.89,2838718
26.28,25.78,26.415,25.77,1919670
25.58,25.47,25.72,25.26,1713115
25.54,25.5,25.74,25.36,1303931
25.59,25.9,26.08,25.59,2903993
25.79,25.7,26,25.515,3039688
25.81,25.61,26.19,25.51,2655972
25.57,25.63,26.11,25.47,2586707
25.59,25.52,26.16,25.37,2895970
25.77,26.67,26.74,25.77,3312217
26.78,26.21,26.93,25.9,2870771
26.31,26.39,26.475,26.15,2200808
26.45,26.48,26.88,26.4,1917066
26.57,26.325,26.7,26.22,1231666
26.42,27,27.075,26.38,1895589
27.07,27.21,27.4933,27,1553466
27.34,27.76,27.82,27.14,5133957
27.14,26.84,27.29,26.82,7119116
26.82,27.21,27.32,26.52,2811066
27.24,27.25,27.64,27.04,4468288
27.38,28.03,28.16,27.285,3757792
28.33,28.41,28.5,27.95,2869581
28.6,28.27,28.6,28.075,3379978
28.22,28.54,28.6,28.085,2838002
28.53,27.57,28.62,27.34,3537926
27.62,27.28,27.81,27.25,3047778
