Open, Close, High, Low, Volume
48.91,48.55,48.98,48.222,1738045
48.8,49.85,50.11,48.73,1751039
49.85,48.46,49.85,48.3501,1273916
48.93,48.69,49,48.49,878297
48.71,49.12,49.84,48.68,1230703
49.11,48.53,49.35,48.43,827869
48.53,48.34,48.85,48.16,605797
48.49,47.675,48.49,47.59,892664
47.67,47.85,47.87,47.47,765878
47.7,47.76,47.99,47.61,896908
48.41,50.21,50.49,48.17,2143520
50.07,49.36,50.485,49.22,1484302
49.7,49.38,49.7,49.09,966076
49.39,49.21,49.48,48.45,1732402
49.1,48.88,49.24,48.57,1232148
49,48.58,49.2,48.52,1041563
48.39,48.4,48.51,48,1137994
48.42,49.24,49.35,48.27,1047015
49.69,49.46,49.78,49.13,834094
49.57,47.99,49.6816,47.93,1820120
47.3,45.45,47.38,45.14,5859658
45.44,45.16,46.05,45.1,2366647
45,45.26,45.58,44.83,2308802
45.36,46.25,46.74,45.24,1929155
46.11,46.33,46.46,46,1166453
46.56,47.73,47.79,46.43,2202136
47.87,47.03,48.213,46.95,1275664
47.21,47.18,47.32,46.51,1078460
46.81,47.3,47.64,46.6203,1337911
47.36,47.26,47.63,47.12,1090245
47.13,46.91,47.5416,46.74,1280010
46.75,47.17,47.48,46.73,1120455
46.96,46.79,47.586,46.54,1491218
46.62,44.72,47.08,44.67,2464784
44.44,43.35,45.75,42.48,3313605
44.75,45.09,45.69,44.09,3884689
45.19,43.77,45.39,43.75,2394560
44.09,43.4,44.39,42.285,2590939
43.54,44.01,44.35,43.34,1127033
43.84,44.33,44.4,43.43,1330426
43.86,44.93,45.08,43.48,1503982
45.13,45.68,46.19,44.63,1902578
45.62,45.7,46.3,45.355,1595964
45.58,44.53,45.76,44.44,2558980
44.13,43.15,45.15,43.13,3263462
43.49,43.87,44.89,43.43,2370554
44.28,44.47,44.86,43.46,1889657
44.63,44.96,45.05,44.26,997054
45.03,43.64,45.03,43.58,2750648
43.7,41.68,43.765,41.67,3159610
41.63,40.72,42.03,40.3,2615079
40.32,40.97,41.15,40.22,1539608
40.76,41.44,41.9,40.46,1242859
41.74,41.22,41.78,40.9518,1109212
41.17,41.42,41.66,40.95,1096976
41.68,41.38,41.9,41.32,1387689
41.57,40.77,41.7,40.62,1827128
40.9,41.36,41.58,40.78,1374011
41.6,40.99,41.75,40.76,1408727
40.97,40.51,41.22,40.47,1236388
40.46,40.08,41.2,39.92,1333839
40.35,40.75,41.3392,40.205,2082612
40.62,39.67,40.64,39.145,1358569
39.76,38.81,40.03,38.5825,1903245
38.69,39.06,39.66,38.6829,1201659
38.68,37.77,38.79,37.75,1718094
38.31,36.65,38.36,36.62,1798714
37.15,37.09,37.59,36.48,2308325
37.4,37.26,37.9,36,1870025
37.51,37.45,37.85,36.96,1930383
37.51,37.89,38.18,37.34,1632741
37.66,37.22,38.07,36.85,1498738
37.47,38.51,38.54,37.216,1994523
37.94,38.78,38.9805,37.65,1827398
38.86,39.45,39.69,38.74,2089564
39.06,38.5,39.72,38.17,1987288
38.65,38.431,39.19,38.21,970550
38.91,39.24,39.5,38.38,1658306
39.16,38.84,39.66,38.8,1055624
38.95,38.69,39.3,38.46,748540
38.54,38.54,39.04,38.3,915300
38.71,38.97,39.32,38.4,1047434
38.97,38.7,39.09,38.59,1561156
38.97,39.12,39.495,38.87,878552
39.03,38.52,39.5,38.445,1258974
38.46,37.23,38.77,37.16,2006576
37.24,37.28,37.49,36.92,1464261
37.39,36.77,37.63,36.56,1604548
36.82,36.86,37.21,36.45,1171585
37.02,36.8,37.45,36.54,1453409
36.76,34.74,36.8,34.66,3014723
34.92,33.54,35.42,33.37,3171398
33.24,33.43,33.85,32.87,2494837
33.43,33.32,33.73,33.08,1967224
33.1,33.055,33.26,32.04,2434887
32.79,33.39,33.7099,32.54,2211730
33.48,33.91,33.98,33.24,2753556
33.6,29.79,34.74,29.78,7186118
29.93,31.11,31.75,28.93,5258366
31.34,31.78,31.86,30.95,2234263
31.82,31.35,32.03,30.77,2144734
31.28,31.84,31.945,31.13,2321188
31.74,31.99,32,31.46,2076690
31.96,32.99,33.29,31.96,2906836
32.98,32.65,33.22,32.43,1764258
32.57,32.35,32.85,32.18,1688430
32.65,31.83,32.65,31.77,1156998
31.94,31.98,32.375,31.87,1309015
31.7,30.99,31.75,30.85,2095278
30.98,30.49,31.07,30.15,2378133
30.46,30.71,30.99,30.42,1467973
30.51,30.26,30.78,29.98,1808780
30.4,29.93,30.41,29.54,2173041
29.96,29.55,30,28.795,3313310
29.75,29.08,29.81,28.82,2401606
29.2,29.02,29.74,29.02,2487961
29.99,29.42,30.42,29.38,2628673
29.36,31.13,31.71,29.35,3514502
31.18,32.02,32.71,31.16,4213479
32,32.08,32.59,31.79,2486176
32.09,32.11,32.6025,31.94,1828776
32.05,32.39,32.5,31.91,2137014
33,32.855,33.555,32.54,3487670
33.5,34.075,34.34,33.12,3249361
34,34.61,34.664,33.71,3475428
34.29,34.45,34.75,33.96,1946960
34.1,34.01,34.6,33.95,1633508
34.18,34.81,34.9,33.97,1654462
34.1,33.74,34.5,33.63,2631359
33.93,34.89,35.07,33.75,3072304
34.71,34.15,34.98,33.83,3266629
34.1,34.09,34.24,33.2221,1550691
34.02,33.62,34.44,33.6,1280754
33.56,33.61,33.73,32.74,1698792
33.76,33.61,34.04,33.6,1312412
33.51,33.03,33.59,32.6,2406121
33.25,33.22,33.49,32.96,905233
33.24,33.56,33.595,32.95,974271
33.7,35,35.2,33.57,2120782
35.12,35.71,35.8,34.8937,1979786
35.71,34.94,35.79,34.53,1637000
34.64,33.51,34.74,33.34,3160068
