Open, Close, High, Low, Volume
105.21,106.28,107.27,104.26,1902954
107.06,109.1,109.5,106.45,1946324
109.52,109.16,110.855,108.51,1340713
109.72,108.94,110.75,108.31,1126719
109.32,108.47,109.63,108.32,950878
108.45,109.46,109.74,107.79,1100894
109.58,108.5,110.69,108.2,855956
108.5,107.48,108.77,107.12,1361818
108,108.07,108.41,107.45,926993
107.86,107.32,108.7,107.27,930844
108.18,108.66,109.21,107.99,962951
109.06,107.995,109.48,107.58,1066455
108.1,108.88,109.76,106.5,1368421
109.42,111.14,111.23,109.29,1476941
110.76,109.07,111.63,109.05,1193563
109.5,109.69,109.815,108.66,1199987
109.16,109.63,109.94,108.78,747018
109.66,111.35,111.69,109.18,1540936
112.1,114.84,115.05,111.64,1895482
115.49,112.88,115.89,112.55,1522574
114.49,112.8,114.79,112.57,1429302
113.07,112.9,113.33,111.57,1032525
113.1,114.72,115,112.34,1347674
114.74,115.04,115.04,113.43,1036849
115.1,114.72,116.2799,113.86,1590639
114.41,114.34,115.485,112.72,1276991
114.68,115.1,115.52,113.06,1051559
115,115.41,115.5,113.83,1193037
115.03,116.36,116.58,114.54,1227212
115.99,114.65,116.46,114.34,1454537
114.77,115.01,116.65,113.74,1158329
113.6,113.87,114.89,111.7445,1063694
112.53,108.83,112.89,108.67,1580936
108.4,105.25,110.44,105.24,1383565
103.03,107.85,108.485,101.071,2036688
107.07,106.1,108.7599,106.06,1421918
105.74,101.58,106.35,101.54,2225389
102.33,107.54,108.91,101.54,3365905
108.19,104.71,108.692,103.6825,3247233
103.73,104.84,106.82,103.72,2041810
103.79,105.87,107.77,103.2125,2176542
106.02,108.58,108.58,105.27,1580760
108.25,107.95,109.57,107.56,1425098
105.75,106.81,109.23,104.59,1934936
106.81,105.68,108.26,105.57,1053512
106.5,107.02,107.845,106.11,852786
107.67,106.61,107.7,104.46,1968610
107.5,106.23,108.83,106.01,1969501
106.32,103.95,107.41,103.09,2343052
104.57,102.64,105.11,102.61,2437598
102.94,104.09,105.4,102.07,2104226
103.38,104.41,105.59,102.12,1705789
103.48,102.66,103.85,100.2439,2436926
102.95,104.36,104.73,101.17,3692052
90.36,89.2,96,86.85,18919726
91,91.32,93.78,90.72,10286748
91.89,92.71,92.75,91.08,3695851
93.01,94.3,94.955,92.695,3364189
94.48,94.44,96.24,94.21,3762764
94.4,92.82,94.59,92.17,2400281
94.08,94.16,95.43,93.45,1944973
94.39,95.69,95.92,93.76,2827334
95.31,94.6,95.74,93.9587,2296832
94.49,94.96,95.0125,93.35,2145890
94.46,94.74,95.91,94.05,2872010
93.4,93.54,94.84,92.61,3044171
93.7,91.98,94.25,91.81,2115877
95.13,95.21,95.96,93.65,2054052
95.68,93.62,95.68,93.06,1011124
93.53,93.9,95.28,93.53,1350461
