Open, Close, High, Low, Volume
55.12,55.98,57.39,54.3,15560871
57.08,56.88,57.2,55.51,13875367
57.2,59.66,60.52,57.1,12902978
58.39,57.24,58.98,56.27,16072251
56.5,57.17,58.39,56.27,10339029
56.8,56.29,57.2,56.08,8800232
55.99,55.72,56.41,55.1,8646369
55.7,54.89,56.21,54.83,6900354
55.93,58.3,58.33,55.93,8561710
58.57,57.78,58.85,57.29,5188821
58.71,58.5,58.99,57.84,6152683
58.95,58.33,59.05,58.2,5595921
58.36,57.77,58.61,57.55,4435085
57.48,57.89,58.41,57.26,4261683
57.29,57.62,57.84,57,5359765
57.49,56.02,57.89,55.865,5003396
55.76,55.31,55.98,54.82,5880850
55.3,55.26,55.6,54.95,3648340
55.05,55.5,55.685,54.8,5611357
55.76,56.73,57.205,55.6,5373340
56.82,56.14,57.48,55.88,7129011
55.54,52.66,56.16,52.03,13069310
53.2,53.28,53.35,51.72,6735086
52.15,53.16,54.03,51.7,4630855
52.86,52.95,53.325,52.65,5458879
53.33,52.47,53.395,52.31,4080743
52.26,52.92,53.14,51.55,4261079
52.94,53.1,53.7141,52.49,3476212
52.28,50.95,52.55,50.76,3686761
51.33,52.49,53,50.84,3385806
51.98,52.95,53.325,51.67,2690395
53.29,52.95,53.55,52.73,3077843
52.34,50.76,52.52,50.66,3641448
50.4,50.07,50.54,49.92,4550474
50.28,50.63,51.19,50.02,3506916
50.46,50.22,50.61,49.965,2596572
49.5,48.7,49.86,48.21,4077351
49.39,49.21,49.575,48.44,2657831
49.37,48.55,49.43,48.1,3214594
48.2,48.69,49.43,48.01,3040883
48.12,48.47,48.59,48.02,2945983
47.96,46.76,48,46.75,2819137
46.85,47.94,47.95,46.85,4404360
48.68,49.82,49.84,48.64,5553306
50.49,50.325,50.57,49.0496,4753037
50.28,51.05,51.31,50.15,4899490
51.13,51.29,51.69,50.87,4595336
51.72,51.63,52.1,51.58,3981900
52,52.05,52.17,51.56,4609481
52.06,52.5099,52.64,51.68,2531419
52.68,52.88,52.95,52.04,3358238
52.63,51.15,52.69,51,3214368
50.06,49.34,50.33,49.05,4964268
49.75,49.63,50.57,49.4,4249089
49.95,48.5,50.24,48.33,4362845
49.095,48.93,49.59,48.62,3465673
48.82,48.36,49.27,48.31,5818157
48.51,49.6,49.7,48.32,3634929
49.49,49.71,50.2228,49.05,3566391
49.85,50.45,51.22,49.81,3459287
50.61,50.92,51.14,50.5307,3634914
51.1,49.23,51.2,49.08,4266326
50,50.15,50.2,49.52,4038992
50,49.41,50.06,48.76,4126382
49.46,49.3,49.65,49.2,1946665
49.01,49.31,49.37,48.96,2131122
49.34,48.53,49.5,48.385,5431400
48.3,47.89,48.43,47.5,4426840
