Open, Close, High, Low, Volume
102.91,98.9,103.3,98.72,2603359
102.94,103.84,105.09,101.33,3934638
104.59,100.66,105.92,99.99,2217276
99.95,99.06,100.85,97.37,2087583
99.04,99.2,101.45,98.62,1722225
98.7,96.69,98.7,95.92,836486
97.03,98.55,98.58,96.41,1035248
97.82,98.54,98.55,95.83,1180481
98.75,98.3306,99.9,97.94,1151709
98.57,99.435,99.725,97.98,966062
99.26,100.01,100.11,98.23,1288171
99.1,98.4,99.68,97.91,1573496
99.38,101.49,101.69,98.89,1817626
101.74,103.96,104.89,101.625,1537536
104.51,105.64,105.99,103.73,1358585
105.54,104.83,105.8,104.18,942150
104.81,105.76,105.876,104.1,732406
106.42,107.9,108.2,106.42,1227343
107.65,106.09,107.875,105.34,1210107
106.44,107.26,107.51,105.475,835633
107.61,106.9,107.86,105.86,769425
106.82,107.81,108.43,106.82,623878
108.66,109,109.2,107.56,1006681
108.7,108.42,110.08,107.58,994017
109.25,108.17,109.25,107.08,829817
108.35,107.48,108.81,107.45,732752
108.16,106.37,108.16,105.699,992553
106.06,107.36,107.84,105.77,571717
107.85,106.16,107.85,105,833141
106.77,106.135,107.4219,105.095,825165
105.87,104.84,106.28,104.29,1151861
104.94,104.97,105.57,104.25,1091577
105.32,107.1,107.425,105.32,1181794
107.1,108.15,108.16,106.56,1328608
108.39,109.27,109.78,107.96,1105293
109.01,109.51,110.2,108.65,933466
109.03,109.27,109.95,108.43,684673
109.86,110.245,111.06,109.51,675847
110.74,111.3705,111.465,110.545,900753
111.54,111.68,112,109.8,573147
111.39,112.01,112.49,110.8,750048
112.58,112.03,113.19,111.79,594024
111.73,110.54,112.03,110.42,614965
110.13,111.1,111.29,109.36,881499
111.04,111.76,111.81,110.3,774395
112.57,111.09,112.57,110.945,849480
111.16,111.07,111.72,110.88,665344
110.88,111.33,111.63,110.3,603141
111.4,112.1,112.34,110.94,788190
112.73,111.65,113.38,111.07,569195
111.62,111.22,112.86,110,1446773
111.62,110.66,112.11,110.4,889572
110.97,109.56,111.27,109.22,861929
109.53,108.45,109.67,107.92,1050976
108.54,107.63,108.7593,106.75,1170236
107.71,108.78,109.12,107.33,823329
109.23,109.44,109.57,108.53,685992
109.78,110.04,111.07,109.52,1043159
110.09,110.02,110.77,109.5,1019117
110.45,110.66,111.39,110.335,786210
111.14,111.085,112.14,110.18,1046411
110.13,110.38,111.31,109.915,956179
110.29,108.62,110.96,108.32,1779933
113.49,116.105,116.56,112.5,3606549
116.22,117.44,118.2,115.81,1799848
117.66,118.69,119.12,117.385,1551039
118.39,119.09,119.97,118.285,1149482
119,119.01,119.5057,118.37,1425114
119.53,121.16,121.3,119.32,1233599
121.69,121.47,122.37,120.78,1054041
122.13,120.44,122.36,119.955,495383
120.16,119.17,120.16,118.32,1270246
119.98,118.45,119.98,118,1207635
118.58,118.5,118.73,117,969940
118.86,119.06,119.39,118.42,822214
119,119.32,119.53,118.535,1008993
118.06,117.05,118.25,116.91,685682
117.12,117.05,117.66,116.07,702128
116.99,116.35,117.5,115.81,1011376
116.5,116.49,117.34,116.22,861984
116.44,115.85,116.5,115.56,742963
116.3,115.73,116.74,114.76,763208
115.66,114.42,115.87,113.82,1095401
114.88,116.9,117.11,114.65,1434381
116.37,116.82,117.29,116.25,1286566
116.83,117,118.31,116.19,1213589
116.96,117.93,118.48,116.74,647348
117.84,119.12,119.6,117.62,1129157
120.15,121.67,121.88,119.48,1326825
