Open, Close, High, Low, Volume
87.62,87.82,88.16,87.55,3186674
88,86.55,88.15,86.395,2273540
86.66,85,86.73,84.93,2018863
85,84.5,85.4,84.43,1383674
84.45,84.3,84.766,83.75,2061418
84.4,84.15,84.62,83.97,1181188
84.26,83.59,84.38,83.56,919420
83.64,83.96,84.1,83.64,1062588
84.08,83.99,84.255,83.8601,1455009
84.28,84.12,84.58,83.975,1225506
84.28,83.23,84.42,82.9,2327065
83.06,82.95,83.79,82.84,2013837
82.82,82.29,83.23,82.15,1851985
82.51,81.93,82.75,81.35,2821774
81.98,82.18,82.31,81.72,2615752
82.03,81.24,82.03,80.9586,2114485
80.78,80.12,80.92,79.9245,2601328
79.79,79.28,80.14,79,3021423
79,78.89,79.6069,78.55,2215492
79.09,78.43,79.27,78.21,3148653
78.36,78.43,78.7,77.62,3078035
78.64,77.35,78.64,77.05,3614126
77.47,76.82,77.82,76.64,3338987
77.16,76.96,77.65,76.85,2874384
77.75,77.72,78.45,77.24,3089262
77.7,77.24,77.7338,77.21,2722181
77.23,78.88,79.22,77.2,3847700
78.93,78.83,79.04,78.06,2861677
78.55,77.29,78.57,77.17,3428955
77.1,77.66,77.91,76.97,3072146
77.78,78.49,78.58,77.25,2836477
78.32,76.85,78.65,76.67,3383869
76.82,76.51,77.73,76.43,3455467
76.65,75.82,77.59,75.73,4533025
75.15,74.51,75.25,72.93,6391169
74.46,74.4,75.56,74.18,3606591
74.09,74.31,75.87,73.8,5046985
74.32,76.11,76.72,73.86,5292134
76.12,76.8,77.25,75.66,3295012
76.54,77.08,77.3,75.82,3036637
76.62,75.48,76.66,75.45,3550138
74.77,76.21,76.21,74.6601,3165587
76.07,76.72,76.89,75.77,2849224
76.21,75.69,76.62,74.82,3204499
75.58,75.33,76.5,75.3,3426871
75.48,75.55,76.25,75.17,2403401
75.45,77.22,77.3,75.38,2121076
79.11,77.91,79.63,77.65,4159000
77.88,76.34,78.29,76.33,2869854
76.02,75.32,76.56,75.31,2129932
75.35,75.53,76.82,75.16,2418224
75.46,75.33,76.3,74.5797,2527841
75.22,77.48,77.67,74.87,2424454
77.23,75.85,77.39,75.63,2559005
75.41,75.235,75.7,74.925,7623914
75.53,76,76.03,75.24,2311892
75.9,76.14,76.15,75.52,2400212
76.12,76.56,76.73,76.055,1956445
76.9,76.48,77.33,76.1899,2521512
76.71,77.02,77.33,76.45,1924164
76.87,76.74,77.63,76.29,2876693
76.9,77.56,77.73,76.7362,3087072
77.8,77.06,77.87,76.7061,2333656
77.02,76.44,77.37,76.33,1833522
76.43,76.18,77.22,75.84,2279380
76.34,76.2,77.53,76.08,2473885
76.52,75.16,76.92,75.03,2121518
75.3,75.92,76.07,75.234,1848968
75.99,77.09,77.69,75.77,2836451
77.32,77.42,77.76,76.56,3486404
77.09,77.47,77.91,77.04,2982767
77.55,77.09,78.05,76.57,2884667
77,77.27,77.64,76.68,2114889
77.15,77.72,77.91,76.71,2785603
77.69,78.6,78.79,76.76,2819695
78.59,78.14,78.9,78.06,2469956
78.14,78.48,79.05,78.04,2247348
78.47,77.515,78.5606,77.25,3063530
77.35,77.06,77.78,76.79,1775549
77.09,76.14,77.3835,75.96,1512873
76.27,76.68,76.99,76.26,1752771
76.82,77.97,78.08,76.8,1745695
78.01,78.48,78.75,77.77,1290670
78.65,78.27,79.42,78.27,1363478
78.16,78.52,78.61,77.85,1799930
78.52,77.71,78.72,77.525,1739550
77.88,78,78.23,77.57,1465232
78.22,78.22,78.74,77.768,3301015
78.16,78.87,78.9,77.82,2662344
78.87,79.84,79.92,78.53,2122220
79.6,80.49,80.75,79.5,1803353
80.15,80.18,80.85,80.0599,1784141
80.16,79.8144,80.3,79.62,1862999
79.84,79.99,80.37,79.57,1786112
79.75,79.76,80.09,78.82,2181701
79.77,79.88,80.41,79.58,2002334
79.87,79.51,80.13,79.44,1938469
79.31,77.87,79.39,77.63,3292090
77.81,77.55,77.95,76.88,2543496
78.8,78.18,79.48,77.54,3025836
78.21,77.9,78.42,77.53,2645282
78.07,77.81,78.218,77.355,2375857
77.35,76.93,77.66,76.57,2209270
76.93,76.03,77.0712,75.5,3555451
75.07,74.15,75.28,73.91,2862019
74.27,73.8,74.55,73.13,2871756
73.98,73.66,74.055,73.35,2496742
73.43,74.08,74.305,73.4,2359255
74.33,74.87,75.05,74.19,2089426
74.87,75.74,75.8,74.64,3234421
75.74,75.81,76.02,75.58,1527062
75.76,76.6,77.04,75.49,3161388
76.27,76.98,77.19,76.04,1655999
76.94,77.16,77.57,76.461,1911206
77.12,76.07,77.15,75.53,2482252
76.29,75.36,76.5,75.34,2149811
75.44,74.75,75.51,74.58,1742904
74.72,73.14,74.86,73,2954667
73.14,73.48,74.275,72.83,2218306
73.54,73.11,73.76,72.87,2448689
73.02,72.13,73.24,71.96,3248106
72.13,72.48,72.85,71.98,3302748
72.54,72.24,72.88,72.01,2710114
72.5,73.47,73.675,72.37,2858895
73.29,74.3,74.395,73.1,3758008
74.28,74.4,74.65,74.04,1930855
74.73,75.67,75.85,74.5929,2396670
76.29,76.21,76.6,75.771,2566809
76.19,76.91,77.18,76.07,3268341
76.9,77.42,77.67,76.76,1960649
77.5,79.07,79.17,77.47,3849674
78.98,78.78,79.525,78.65,3193088
78.76,79.53,79.71,78.5,3200119
79.75,79.24,80.15,79.1,2080795
79.06,79.08,79.54,78.5101,2302949
79.21,79.75,79.8601,78.9,2017062
79.76,79.86,80.425,79.4477,1375790
79.96,80.6,80.62,79.607,2004734
80.58,81.61,81.7,80.49,2226310
81.59,78.65,81.59,78.37,3201166
78.42,79.52,79.935,77.9,2872039
79.71,80.38,80.575,79.69,2592977
80.41,80.49,80.6418,80.1,1763033
80.67,80.62,80.93,79.98,1426296
80.69,80.78,80.98,80.08,2008845
80.94,80.66,81,80.54,1660473
80.74,80.45,80.74,79.9,2440630
80.63,81.21,81.745,80.51,2201423
81.06,80.66,81.33,80,2157118
81.23,79.97,81.23,79.67,2167923
80.1,79.89,80.14,78.78,3114207
79.79,80.185,80.6204,79.69,1928171
80.45,81.13,81.34,80.41,1922727
81,81.09,81.7,80.7481,1515319
80.85,80.77,81.2,80.6,1799791
81.2,81.62,81.71,80.76,2107952
81.14,81.04,81.44,80.14,2617775
80.63,80.45,81.2,79.51,3298026
80.52,81.57,81.72,80.2881,2138647
81.57,81.11,82.22,80.8,2616447
81.12,80.87,81.18,80,1843314
80.62,80.43,80.8954,80.18,1817234
80.46,80.79,80.87,80.28,1068579
80.98,80.9,81.8,80.8495,2773309
80.92,80.95,81.12,80.52,2170636
80.97,81.22,81.525,80.78,1847725
81.44,81.87,82.45,81.31,2727898
80.91,81.8,81.84,80.55,2339187
81.64,82.28,82.715,81.58,2080564
82.38,81.81,82.57,81.62,1928308
81.71,81.29,81.78,80.83,1854533
81.4,80.82,81.8,80.54,2474980
80.73,80.89,81.45,80.67,1218653
81.07,81.41,81.49,80.66,1546150
81.42,80.59,81.59,80.3,1768768
80.44,80.36,80.62,80.161,1531785
80.48,80.75,80.78,80.19,1651401
80.96,81.32,81.45,80.64,2044522
81.3,81.24,81.8,80.87,2429083
81.38,81.44,81.8799,81.24,2007226
81.51,83.19,83.2967,81.51,3667975
82.62,83.47,83.77,82.62,2315089
82.82,82.47,83.19,81.9401,2297334
82.72,82.31,83.23,82.26,3340107
82.52,81.4,82.8,81.27,3252936
81.23,80.9,81.5,80.6101,3605707
80.91,82.16,82.21,80.55,3562929
81.99,81.7,82,81.04,1834867
81.77,82.08,82.14,81.26,2209639
82.44,81.92,82.5,81.66,3302764
81.89,80.07,81.96,79.62,3373726
80,80.63,80.74,79.27,2442925
80.5,79.81,80.92,78.53,10999729
79.71,79.6,79.97,79.4299,2421535
79.6,78.8,79.7,78.55,3342635
78.8,78.1,79.2454,78.04,3866191
78,78.95,79.32,78,2253574
79.13,80.02,80.055,79.1,2889910
79.91,79.55,80,79.19,2068399
79.93,80.42,80.75,79.91,1916438
80.34,79.17,80.61,78.52,2760185
79.11,79.95,80.03,78.56,2873869
79.9,81.4,81.72,79.83,3627815
81.5,82.15,82.95,81.35,2674171
82.27,82.26,82.69,81.81,2579778
82.2,81.89,83.31,81.83,3348074
82.15,79.99,82.4098,79.67,3821414
79.77,79.9462,80.11,79.01,4174523
79.92,80.14,80.85,79.71,2315789
80.05,80.94,81.41,79.75,2128923
80.82,80.76,81.07,80.19,1884355
81.49,81.27,81.74,80.91,3379531
81.25,82.75,83.42,81.23,3276409
83.02,82.64,83.21,82.33,3125952
82.97,82.31,84.03,82.21,3530641
82.64,84.76,85.08,82.28,3678252
84.5,83.65,84.55,83.41,5578694
84.02,81.89,84.64,81.42,4292964
82.09,83.47,83.62,81.88,2966694
83.8,83.84,84.23,82.63,1983391
83.22,82.62,83.35,82.04,2641446
82.57,81.65,82.63,80.96,5572600
83.41,82.58,83.83,80.89,5676666
83.08,83.58,83.84,82.68,2549769
83.66,84.31,84.45,83.44,1986296
84.75,84.69,84.78,83.591,2399914
84.74,84.37,85.02,83.33,2054448
84.5,85.58,85.77,84.25,2352068
85.25,85.92,86.96,85.2,2440754
85.9,86.37,86.62,85.3,1722857
85.9,86.44,86.95,85.645,3291765
84.84,86.14,86.36,84.037,3532784
86.44,86.68,87.1,85.89,2788202
86.58,87.67,87.71,86.5,3254386
88.07,88.52,89.23,87.8,5791341
88.05,86.465,88.18,86.12,3217875
86.62,86.74,86.99,86.2,1163253
86.7,86.98,87.3,86.26,1812794
87.02,87.84,88,86.53,2069096
87.7,87.6,87.88,86.91,2391028
87.61,87.59,88.06,86.65,2589943
87.79,88.59,88.73,87.21,3283167
88,89.62,89.63,87.2,3452216
89.76,90.05,90.7,89.6257,3624492
90.5,89.81,90.64,88.36,2889769
89.95,89.97,90.55,89.22,2922059
90.16,90.5,90.655,88.8,2633628
90.5,90.78,90.98,89.74,3217837
90.79,89.59,91.25,89.52,3087822
89.78,90.91,91.251,89.78,3180681
91,90.78,91.35,90.18,2412419
91,88.07,91.3,87.64,4306375
88.43,87.65,89.23,87.24,2591745
87.85,87.23,88.32,86.73,2646222
87.4,88.14,89.11,86.365,3294321
87.86,87.64,90.25,87.511,3543983
87.66,83.95,88.39,83.26,2296656
84,85.24,85.27,82.77,2230427
85.39,85.93,85.93,83.93,2122298
86.12,86.155,87.18,85.77,1843351
86.34,86.03,86.595,85.31,1574707
86.11,84.57,86.19,84.3,1858586
84.76,84.85,85.6,84.06,2179990
84.16,85.3,85.45,84.06,2133856
84.85,84.975,85.39,84.325,1955714
85.04,86.125,86.17,84.5,1564906
84.96,84.8,86,84.34,2654201
85.05,85.25,85.59,84.63,3056038
85.21,84.51,85.21,84.21,2626695
84.32,83.69,84.32,82.46,2564618
83.6,85.18,85.46,83.33,2252591
84.72,85.22,85.38,84.34,1505434
85.29,85.59,85.77,84.92,1308353
85.94,85.41,86.02,85.205,2034050
85.01,85.51,86.51,84.85,1865452
85.49,86.07,86.0785,85.29,1818853
86.23,86.73,86.77,85.36,1934726
86.34,85.78,86.99,85.63,1777517
86.02,85.56,86.29,85.13,1382225
85.95,85.49,86.16,85.28,1842610
85.36,86.06,86.535,85.26,1896044
86.09,88.4,88.48,85.52,3884646
87.78,87.74,88.05,86.8595,2537532
87.16,87.77,87.8,86.48,2088775
87.91,88.47,88.645,87.41,2570266
88.45,88.33,88.79,87.81,1714227
88.4,89.43,89.5,87.85,2354520
89.42,90.25,90.58,89.3,3117117
90.08,90.145,90.65,89.7,1735889
90.3,90.22,90.74,89.65,2162490
89.9,89.675,90.21,89.315,4307234
88.53,87.91,88.61,87.25,3398419
88.45,87.4739,88.49,87.015,3473918
87.64,88.07,88.14,87.239,3043033
87.95,88.86,89.06,87.54,2308060
88.32,89.59,89.655,88.27,2603982
89.7,89.92,90.29,89.36,2227133
89.91,89.47,89.95,88.92,2156386
89.63,88.88,89.89,88.191,2905219
88.73,89.27,89.43,88.47,1798556
89.21,89.66,89.99,89,2804761
89.6,89.56,89.91,88.93,4615212
89.82,89.88,89.95,88.98,2408889
89.66,89.51,89.94,89.43,2538873
89.65,89.59,89.96,89.36,2499655
89.96,89.61,90.65,87.51,3002850
89.91,90.2,90.23,89.295,1965347
90.26,90.36,90.47,89.88,3129575
90.47,90.52,90.87,90.11,3629912
90.39,90.56,90.79,90.32,3333462
90.47,90.37,91.075,90.12,2675003
90.45,90.65,91.03,90.4293,2442131
90.86,90.07,90.91,89.725,2630200
89.35,89.15,89.56,88.66,3260096
89.34,89.39,90.16,89,2547705
89.4,89.94,90.24,89.21,3343537
90.16,90.7,91.67,89.91,3767417
90.9,90.765,91.13,90.45,1876395
90.7,91.52,91.67,90.63,2036908
91.59,90.47,91.63,90.225,2928805
90.68,89.4,90.9,89.02,3023270
89.23,90,90.09,88.81,3884840
89.75,89.27,89.83,88.63,1709876
89.6,89.12,89.6,88.6499,2718721
89,88.85,89.19,88.2186,2214108
89.03,89.36,89.525,87.93,4071791
89.49,90.52,90.62,89.18,4105625
90.5,90.13,90.62,89.65,2434288
90.06,90.25,90.48,89.815,2125403
90.49,89.95,91.08,89.7,2906708
90.04,90.25,90.46,89.8,1976522
89.7,90.45,90.465,89.21,3148338
90.5,90.42,90.74,90.16,2236120
90.14,89.1,90.65,88.855,2657121
