Open, Close, High, Low, Volume
25.46,24.41,25.71,24.39,8719194
24.62,23.86,25.1,23.67,9079094
23.32,22.47,23.84,22.395,12273535
22.45,21.92,22.8,21.88,9883932
21.61,21,21.95,20.97,4436224
21.12,22.71,22.72,20.37,9177931
22.23,22.9,22.9,21.76,7535871
22.98,22.4,23.16,22.22,6904316
22.66,22.425,22.95,22.03,8368593
21.94,23.165,23.41,21.76,6105788
23.25,23.52,23.9765,22.88,6916953
24.14,24.51,24.73,24.03,8853618
24.74,25.3301,25.75,24.34,6498266
25.68,25.54,25.91,25.105,6246248
25.94,25.765,26.14,25.33,11716698
25.57,26.27,26.435,25.33,8177069
25.8,26.34,26.5,25.69,7162551
25.87,26.175,26.57,25.86,5180271
26.4,26.375,26.59,26.24,5566862
26.17,25.87,26.39,25.69,9213044
25.59,26.35,26.51,25.52,8063926
26.71,27.065,27.11,26.53,9087245
26.74,26.495,26.97,26.19,7465745
26.82,26.265,26.85,25.92,7608019
26.23,26.61,26.85,26.1,5815468
26.9,27.22,27.42,26.8,6427111
26.84,26.49,26.89,26.285,4845359
26.84,26.85,27,26.61,3962622
27.02,27.645,27.67,26.99,4596046
27.82,26.64,27.92,26.535,5654008
26.82,27,27.52,26.76,5506074
26.71,27.19,27.37,26.68,4765692
27.07,26.855,27.38,26.85,4186414
26.71,26.76,26.919,26.425,4355265
26.51,25.295,26.58,25.23,5688866
25.3,24.875,25.44,24.3,6255860
24.7,25.44,25.5,24.51,4543068
25.88,25.92,26.43,25.82,5675902
26.12,26.86,27.17,26.095,7550488
26.8,27.355,27.635,26.77,5063984
27.72,28.405,28.455,27.67,6267643
28.09,28.295,28.57,28.09,7179506
30.88,30.31,32.53,30.11,32514078
30.46,29.85,30.99,29.44,16593244
30.1,29.65,30.22,28.86,10874847
29.51,29.49,29.95,29.39,9316825
29.49,29.58,30.15,29.49,6892551
29.88,29.88,30.34,29.49,6046140
29.9,29.52,29.95,29.345,7048234
29.45,30.14,30.3,29.45,9441209
30.3,29.44,30.44,29.025,10347729
29.48,29.27,29.565,28.9,6315686
29,28.72,29.33,28.6,5615103
28.76,28.06,28.795,27.985,7802334
27.46,26.7,27.52,26.59,9959058
27.02,27.8,27.9825,26.89,7638525
28.03,28.77,28.77,27.88,6216464
29.16,29.33,29.495,28.95,6537239
29.24,29.5,29.65,29.215,5481835
29.585,29.64,29.71,29.36,4180240
29.85,30.51,30.57,29.8,5733811
30.66,30.24,30.78,30.09,4279589
30.13,31.25,31.61,30.1112,8934785
31.26,31.66,31.75,30.99,5928203
31.43,30.34,31.6,30.22,6339744
30.34,30.83,30.94,29.98,5098323
31.49,31.59,31.96,31.38,5367650
31.48,31.34,31.81,31,5026053
30.97,31.87,31.925,30.96,5351717
32.35,31.55,32.43,31.42,5226538
31.92,31.54,32.08,31.275,2722371
31.6,31.21,31.83,31.16,3903745
31.38,30.71,31.45,30.49,3623120
30.8,31.02,31.12,30.41,3567489
31.16,32.19,32.21,31.14,5733691
32.39,32.04,32.49,31.64,4900285
31.84,31.07,31.93,30.97,4486730
31.26,31.39,31.6,31.11,4206013
31.19,31.18,31.75,30.835,3018487
32.99,33.483,33.81,32.6,12704961
33.23,32.57,33.5,32.54,5040209
32.75,32.84,32.93,32.165,4140273
33.1,33.21,33.385,32.93,4333022
33.27,33.58,33.815,33.02,5774431
34.1,35.19,35.22,33.5,9206668
35.27,34.59,35.39,34.435,5667314
34.89,34.48,35.17,34.33,6716510
34.32,33.5499,34.49,33.51,4992546
33.16,32.68,33.33,32.26,4378486
32.53,32.72,33.16,32.47,4352342
33.12,32.14,33.22,31.72,6469793
33,31.85,33.19,31.3,12845501
31.17,30.93,32,30.625,8317216
31.14,31.22,31.45,30.6,5449345
30.87,31.49,31.55,30.66,4802559
31.05,31.05,31.18,30.485,5811084
30.9,31.54,31.89,30.81,4818023
31.13,31.25,31.3478,30.63,4811818
31.11,31.3,31.44,30.69,4174204
31,29.91,31.11,29.76,5393447
30.16,30.76,30.96,30.03,3607089
30.37,30.93,31.06,30.2,3549764
31.34,31.31,31.81,31.15,3379623
30.86,30.61,31.2,30.53,2389113
30.59,30.03,30.85,29.98,4452164
30.29,31.1,31.28,30.23,4493975
30.67,29.31,30.87,29.3,4177754
28.71,27.15,28.71,26.97,6133809
27.48,27,27.84,26.67,4278892
27.14,26.605,27.1717,26.56,3778568
26.12,26.85,26.86,25.95,9966975
26.76,25.78,26.93,25.75,7255437
25.41,25.15,25.645,25.12,5680238
25.33,25.5,25.72,25.13,4760557
25.83,25.985,26.19,25.24,6816308
25.91,25.485,25.92,24.8,6005263
25.64,25.635,25.89,25.335,5064592
25.73,25.69,25.9775,25.41,4639854
25.81,26.115,26.86,25.75,4977909
26.41,26.11,26.745,26.07,4883874
25.74,25.48,25.7497,25.16,4802089
25.74,26.12,26.14,25.39,4896978
26.05,25.77,26.2,25.67,4538000
25.52,26.41,26.46,25.34,4825039
26.57,26.9,27.335,26.47,5238299
26.85,26.9,27.235,26.5,6203211
27.65,28.07,28.3,27.56,6237425
28.24,28.24,28.57,27.96,3744477
28.22,27.93,28.52,27.71,4313056
27.81,27.91,28.22,27.65,4066521
28.47,28.73,29.2,28.42,5458160
28.73,28.29,28.96,28.18,4296740
28.53,28.51,28.77,28.115,4960248
29.12,28.9,29.36,28.65,4332663
28.73,27.54,28.73,27.44,7721951
27.75,27.53,27.75,27.205,3678503
27.44,27.9,27.94,27.35,4149477
27.71,27.94,28.715,27.65,6052663
27.84,28.08,28.12,27.42,3804010
28.41,28.84,29.13,28.36,4401924
28.86,28.66,28.97,28.41,3053116
28.72,28.65,29.05,28.62,4490641
28.75,27.65,28.85,27.575,5111543
27.63,26.805,27.73,26.5919,6705945
26.77,25.925,26.96,25.92,4862040
25.78,25.7075,25.96,25.44,5386237
25.76,26.33,26.415,25.48,5788940
26.39,26.41,26.81,26.14,3859936
25.92,26.225,26.31,25.575,5615378
26.23,26.49,26.89,26.21,5759700
26.61,25.57,26.67,25.48,4756891
25.53,25.54,25.92,25.34,4188584
25.35,25.51,25.63,24.921,4224313
25.51,26.89,27.13,25.43,6121557
