Open, Close, High, Low, Volume
58.28,58.08,58.595,57.46,1915001
57.51,56.76,58.17,56.45,1638688
56.41,55.48,57.39,54.96,1994886
55.92,55.17,56.44,54.78,2506223
55.27,54.06,56.53,53.63,2571715
53.74,52.73,54.22,51.77,2502262
52.59,50.47,53.02,50.43,2890173
50.33,50.09,51.06,49.55,1238853
50.4,52.13,52.16,49.19,2650766
51.48,53.39,53.4,51.43,2221952
53.44,52.89,53.76,52.18,1903580
53.11,52.875,53.5,52.28,1316474
52.28,54.35,55.02,52.12,2223306
54.11,54.75,55.77,53.9,3092723
55.57,57.275,57.47,55.35,2464976
54.5,57.435,58.03,54.33,7299260
57.96,59.16,59.89,57.1,2457356
59.31,59.2,59.98,58.64,2191571
58.78,60.61,60.75,58.49,1755957
60.18,61,61.03,59.85,1445576
60.26,60.235,60.6425,59.56,1634638
60.45,60.705,60.82,59.89,1212224
60.79,61.28,61.6,60.11,1480469
61.16,61.91,62.2,60.78,772060
62.5,62.58,63.12,62.04,1630435
62.41,61.71,62.61,61.265,1167471
62.22,61.96,63.03,61.01,1025098
62.23,62.1,63.28,61.73,2492520
62.95,63.31,63.59,62.54,1429213
62.36,62.88,62.94,62.25,1198909
62.99,62.44,63.25,62.3379,774504
62.62,64.13,64.16,62.18,1690815
64.03,64.115,64.42,63.75,1140959
64.38,65.11,65.485,64.37,1713423
64.9,64.73,64.9,64.02,904091
64.95,64.76,65.26,64.61,1065795
64.75,65.38,65.74,64.56,1489731
65.16,64.4665,65.24,63.49,1779151
66,69.18,69.37,65.94,4867538
68.89,67.23,69.4534,67.14,2155702
67.56,66.98,67.585,66.35,1372263
67.33,67.24,67.82,67.07,954656
67.07,65.31,67.47,65.31,5701586
65.96,65.53,65.99,63.85,3361140
66.6,66.1,66.74,65.88,1188157
66.44,66.66,66.67,66.09,1075880
67.42,66.93,67.83,66.79,1082689
66.86,67.17,67.28,66.46,1623609
67.03,66.93,67.21,66.44,715766
66.97,65.87,66.97,65.82,1300816
66.47,67.28,67.6,66.25,1218413
67.41,66.02,67.62,65.78,971793
66,65.09,66.04,65.09,1512391
65.09,64.26,65.24,64.2044,994553
64.03,64.38,64.43,63.33,1329992
63.62,64.2,64.28,63.16,1096260
64.64,65.45,65.48,64.3,1218293
65.68,65.11,66.1,64.98,1347057
65.25,65.5,66.02,64.5,1432961
65.39,65.32,65.535,65.022,852236
65.78,65.74,66.06,65.33,1431214
66.06,66.1,66.42,65.38,688555
66.7383,66.41,66.82,66.23,841102
66.22,65.47,66.34,64.82,734315
65.26,66.63,66.89,65.26,662235
65.84,64.34,66.5,64.32,926779
64.28,64.43,64.76,63.47,780223
64.88,64.83,65.5,64.33,941637
64.85,63.91,65.03,63.88,1130025
64.26,64.31,64.7,63.85,652259
64.73,64.24,65.17,64.13,1672282
64.54,65.64,65.83,64.4,488730
65.63,64.19,65.73,64.145,963319
64.67,65.29,65.8,64.58,984196
65.56,64.73,65.76,64.69,901377
64.74,65.45,65.56,64.74,904226
65.26,64.64,65.56,64.51,815564
64.56,63.62,64.56,63.49,1324017
63.89,64.41,64.41,63.51,1463274
64.86,64.57,65.15,64.45,749352
64.92,65.98,66.05,64.76,1191772
66.68,65.75,66.68,65.27,890533
65.89,66,66.35,65.73,904443
66.23,65.2,66.23,65.126,812692
65.14,64.62,65.2,63.91,1069558
64.22,64.59,64.64,64.045,778036
64.79,65.87,66.3593,64.52,812949
65.92,64.92,65.92,64.51,623048
64.86,64.36,64.86,63.66,517231
64.34,65,65.33,64.34,733645
65,65.5,65.84,64.92,655340
65.75,65.73,65.86,64.78,755738
66,65.84,67.09,65.68,826805
65.98,64.51,66.34,64.36,1165461
64.31,62.99,64.5,62.58,1432980
61.8,62.48,62.66,60.83,1475285
61.85,60.87,62.0099,60.34,1271049
60.5,60.29,60.8,60.07,780238
59.52,59.425,59.9,58.38,1783332
59.05,59.03,59.5,58.08,1656515
57.61,55.97,57.99,55.965,2512681
56.07,57,57.6,56.02,1596771
56.76,57.4,57.69,56.61,1540585
57.5,57.68,57.98,57.19,1736017
56.9,56.32,58.21,56.26,1555483
55.45,54.64,55.75,54.43,3440554
55.17,55.22,55.45,54.79,3488973
54.89,54.31,55.405,54.3,2791247
53.68,51.99,53.7,51.76,3306133
53.11,53.1,54.59,52.263,7624492
53,51.37,53.09,50.955,3298688
51.13,49.67,51.13,49.37,5192379
49.87,49.38,50.305,49.23,3021614
48.55,47.52,48.56,47.3444,3698460
47.24,48.35,48.4,46.7,3589589
48.75,47.85,49.1,47.62,1933080
48.08,48.36,48.48,47.69,1463620
48.54,49.19,49.72,48.42,2892236
49.55,50.27,50.63,49.55,2050053
50.72,50.73,51.04,50.2,1937397
50.4,50.19,50.81,49.9,1530960
50.63,51.45,51.78,50.63,1824382
51.05,51.73,52.17,50.91,3083581
