Open, Close, High, Low, Volume
108,107.68,108.92,107.02,2767945
107.71,105.55,108.31,105.22,2785138
105.2,106.43,107.62,104.7,1985069
107.77,109.16,109.68,106.63,4088395
109.89,107.33,110,106.56,2840657
107.42,106.99,107.7558,106.69,1247735
107.5,108.46,108.87,107.15,2062593
107.88,107.97,108.735,107.78,2194429
108.31,106.01,108.31,105.675,1869710
105.66,105.06,106,104.65,1342750
105.4,105.22,106.44,104.58,1836687
105.29,105.3,105.55,104.55,1057977
105.29,105.09,105.68,104.39,1346389
105.86,109.46,110,105.35,3410081
109.9,109.75,111.33,109.37,2321898
109.87,107.21,110.55,106.67,2671478
108.02,112.38,112.755,107.59,4943944
113.49,113.21,114.169,111.2,3460234
113.33,112.19,113.65,110.46,2875316
111.5,112.26,113.3,111.286,1749721
112.56,111.99,113,111.7,1693197
110.49,113.06,113.8999,110.49,2502687
114,111.92,114.7,111.61,2456873
113,113.14,113.43,111.52,1504287
114.1,115.28,115.63,113.2,3035917
115.22,116.18,116.41,114.721,2397998
116.32,118,118.3,115.82,3216712
118.03,117.66,118.6699,116.941,2609220
118.41,114.67,118.41,114.26,5286239
115.54,114.46,115.97,113.67,2295661
115.43,115.19,116.24,113.54,2475616
115.21,117.67,119.41,115.21,4955368
116.4,118.7,119.32,116.4,5807039
129.55,126.97,131.01,126.47,11730610
126.75,128.17,130.06,126.011,4616509
127.68,124.53,128.17,124.46,4929268
123.73,121.64,126.21,120.68,3307188
118.84,123.13,123.3499,117.76,3152254
122.86,123.05,125,122.18,3078145
123,116.54,123,116.52,4273122
117.96,120.61,122.14,114.68,4832040
121.78,122.21,124.16,121.53,2953922
120.85,122.32,123.13,120.58,1833069
121.23,123.77,124.87,121.23,3335584
124.83,126.49,127.03,123.44,2406441
126.43,126.04,126.79,125.14,2153873
125.37,126.37,127.55,125.37,1712180
126.61,124.91,128.1,124.81,2410451
125.79,124.62,126.35,123.92,1319502
125.1,127.11,127.28,123.74,1906860
127.39,128.589,128.8,126.91,1845308
128.06,125.79,128.6,125.55,2360964
126.51,123.69,127.75,123.67,2214333
124.54,122.16,124.94,121.33,2839904
120.94,125.1,125.31,120.58,2127164
124.16,126.12,126.6299,123.69,1216206
126.48,124.56,126.59,123.46,1425444
123.63,127.17,127.51,123.2492,1821786
127.61,128.82,129.87,126.8,2332863
129.97,128.49,130.86,128.19,1925888
128.56,128.13,129.25,127.56,1741711
129.05,126.58,129.2967,125.88,1772628
126.89,127.97,128.08,123.64,2766121
128.19,129.11,129.85,126.54,2122854
130.35,128.52,131.13,128.13,2981588
127.53,125.44,128.08,124.17,2324618
125.77,126.89,127.78,125.03,1217718
126.52,125.99,127.74,125.62,1391488
124.83,122.97,125.63,122.665,1961344
123.26,121.46,125.28,121.38,1638554
124.24,126.45,127.5,122.99,1762303
126.37,119.99,126.99,118.92,2176306
120.26,119.34,121.38,118.26,2460165
120.37,121.24,123,118.8,1843057
120.48,118.76,121.33,116.99,1749957
119.87,119.5,120.85,117.62,1605031
116.65,120.1,120.57,116.28,2630967
121.52,121.22,122.78,120.55,2088430
120.06,118.33,121.2,117.66,1696444
119.19,118.84,121.07,118.53,1350040
120.37,120.71,121.25,118.3,1823751
119.48,118.78,120.5,118.315,1880566
119.96,121.08,121.59,119,2027699
122.01,120.52,122.01,119.65,1521068
121.42,122.22,122.795,121.28,1187330
123.02,124.36,124.87,122.87,1586155
124.67,124.9,125.41,124.05,1000606
124.09,123.11,125.83,122.34,2533182
122.54,120.9,122.54,119.92,1898035
122.39,119.6,122.39,119.25,1393425
119.95,118.59,121.42,116.75,2436656
118.31,116.68,118.89,115.81,2176216
117.83,119.59,120.155,116.52,2558619
119,117.46,119.55,115.81,2034723
117.64,117.98,118.77,116.27,1551534
118.06,119.8,120.15,117.18,1783592
119.63,118.95,120.51,118.34,1773202
118.18,120.17,124.31,114.88,9915952
119.12,123.639,124.2,118.41,3055972
124.7,123.92,125.78,123.36,2422175
123.29,123.89,124.33,122.16,2792428
127.99,131,132.44,126.07,5982594
130.94,133.76,133.92,129.74,3243456
133.3,132.82,134.58,132.12,2138078
133.07,132.53,133.97,130.95,1749530
131.53,130.1,132.3,129.61,1474067
130.36,130.85,131.19,128.02,1116300
129.87,130.81,132,129.62,2149047
130.74,132,132.2,129.89,2399927
132.71,132.93,134.61,131.04,1574413
133.19,132.19,133.86,131.78,1209956
131.28,133.5,133.54,130.82,1215378
133.49,131.49,133.49,129.57,2664943
131.77,131.86,132.6,131.15,1033435
130.71,131.24,131.51,129.84,1166532
132.02,131.36,132.15,131.03,927434
131.84,130.92,132.96,130.35,1275980
131.96,135.67,135.8,131.67,2237730
135.7,134.66,136.99,133.68,1920408
135.32,136.92,137.48,134.8,1862828
137.81,136.95,138.39,136.12,1960309
137.34,136.91,138.75,135.48,1626062
136.71,137.87,138.06,136.23,2223566
139.08,139.16,140.54,138.43,3079748
139,139.78,140.4,138.69,1624294
140.86,143.29,144.92,140.34,4903531
143.7,144.4,147.04,143.41,3537947
144.29,146.66,147.13,143.65,2512136
145.81,144.86,145.81,142.44,2156143
143.13,143.18,144.83,141.62,2373180
143.61,143.54,144.74,143.24,1317475
144.13,143.17,144.75,141.63,925743
145.54,141.28,145.63,140.95,2044643
140.73,140.54,140.8991,138.84,1806104
141.45,140.38,143.14,140.13,1593933
140.73,137.75,142.21,137.68,1586282
138.18,140.61,141.38,137.84,1860495
141.81,141.03,143.15,140.53,1321650
140.49,143.46,143.58,140.21,1174732
143.78,141.22,144.16,141,785768
142.58,143.21,143.46,142.07,776435
143.06,145.09,145.29,142.96,794527
145.55,144.64,146.885,142.27,1354046
144.37,144.17,145.35,143.36,1183067
142.89,145.71,146.28,142.75,1413962
146.93,148.63,148.74,146.355,1250012
148.7,148.74,151.2581,147.38,1483910
148.95,146.69,149.1,146.43,1231239
145.6,148.75,149.23,145.01,1411202
149.06,148.93,150,147.7101,1466522
147.95,147.98,149.47,146.996,1069670
148.19,147.47,149.79,147.14,1430394
146.51,146.55,147.86,145.34,1663158
147.5,144.29,147.715,142.96,3129394
144.91,146.5,146.79,144.25,2387474
148,141.93,148,141.06,4236220
134.94,133.83,137.9799,131.25,9520957
133.45,126.2,133.57,125.6,8503430
127.45,128.73,128.99,125.311,4572358
130.25,127.48,131.21,127.02,3848142
126.77,128.65,128.87,125.45,2778342
131.01,130.87,134,128.85,4933838
130.02,129.01,130.465,127.65,2118661
130.16,128.09,130.78,127.31,3005291
128.13,128.41,128.91,127.1,2062475
128.5,127.79,128.9,127.42,2919296
128.2,131.31,132.04,126.775,4104602
131.41,131.33,133.65,130.44,3457214
130.99,131.93,132.31,129.1248,2210280
129.82,128.05,130.76,126.02,4204829
129.97,129.75,130.93,128.02,4153430
128.81,128.02,129.44,126.98,2878170
128.13,127.72,128.3,125.58,2954037
128.54,126.76,129.165,125.97,5512714
126.06,127.63,129.07,124.66,6071984
127.63,126.11,127.99,125.79,3854323
126.89,128.97,129.5,126.35,2734242
130.29,128.97,130.57,128.07,1766807
129.18,127.8,129.79,127.18,1628203
127.56,128.54,128.88,127.03,2141717
120.63,115.93,121.65,115.66,15628786
115.13,113.41,115.499,113.09,7780436
113.72,113.52,114.4,111.94,4160474
113.08,111.55,113.43,110.98,3432422
111.85,113.22,113.78,111.21,5133726
112.74,114.92,116,112.63,4539983
115.25,113.21,115.65,112.87,2496769
112.29,112.28,113.18,110.53,3566044
112.01,113,113.72,111.67,2821589
113.75,113.84,114.6054,113.03,2101052
114.41,114.27,116.51,113.75,2422837
114.38,112.68,114.74,112.62,3246257
112.78,112.65,113.96,111.88,3355510
112.82,112.93,113.25,110.1,2415604
113.53,113.46,114.52,112.5,2672379
113.78,115.01,116.03,113.78,3744488
114.72,115.24,115.639,113.8,2022595
115.21,116.25,116.44,114.87,1955240
117.43,118.1,119.865,117.13,4652520
118.4,119.39,119.6,117.73,2617890
119.09,120.49,120.66,119.01,2647212
121.15,117.53,121.3,116.29,4266022
117.5,117.02,118.24,116.18,2726068
117.49,116.39,118.17,116.21,3033562
116.39,114.01,116.39,112.76,4241179
114.4,113.73,115.75,111.99,2777908
112.82,110.62,113.29,109.795,3581552
110.8,109.49,112.21,109.29,3672499
108.67,105.16,109.12,104.97,5444901
104.45,103.61,105.39,102.3,4982420
107.15,106.1,108.13,104.41,3849171
105.45,105.89,107.03,104.02,1703222
106.76,107.46,108.51,106.53,4757571
107.85,108.79,109.36,106.94,2770371
107.02,105.78,107.13,104.77,3739972
106.3,102.105,107.49,101.98,4039392
102.81,101.35,104.24,101.24,3674790
99.41,99.1,100.06,97.8,6197699
98.81,96.26,100.2,96.1,3379672
97.86,98.6,99.48,97.62,4181878
95.78,96.205,98.76,95.59,3328528
95.78,91.19,97.3,89.12,8509060
91.63,94.5,94.79,91,5108185
92,90.99,95.37,89.94,15582942
91,94.19,95.05,91,4457459
95.29,92.44,95.8,91.84,4163238
92.6,92.67,93.06,91.16,3378469
92.69,92.2,93.5,91.57,3393027
93,93.78,94.63,92.26,6167787
94.13,93.86,94.24,92.33,3874532
92.76,88.9,92.86,88.22,5811822
88.6,87.65,88.88,86.01,4060840
88.33,87.39,89.35,86.99,2955595
88.24,85.72,88.36,84.98,3374418
86.02,88.25,88.28,84.31,3401031
87.45,85.96,87.88,84.98,3783519
86.1,83.03,86.205,82.72,4021516
80.82,83.02,83.43,80.42,5153425
83.94,84.02,85.475,82.3,2616493
83.82,82.65,84.25,82.42,1775932
83.52,84.92,85.01,82.49,4120721
84.68,85.05,85.67,83.24,3094651
85.51,85.93,86.32,83.45,3821960
85.09,86.39,87.24,84.63,2987958
86.31,84.03,86.83,83.73,4183450
85.81,84,86.64,83.34,4244036
83.44,81.19,84.89,81,4625536
79.94,83.88,83.88,79.5,5007664
83.78,82.53,85.14,82.17,3827210
82.34,83.73,84.6,82.2989,3536806
85.12,83.45,85.3163,82.73,3070264
84.32,83.01,85.37,82.91,2994658
83.91,80.83,83.935,80.78,4619851
79.82,80.16,81.95,79.1401,4499107
80.14,79.21,82.02,78.48,3312896
79.68,79.99,81.795,79.38,5292648
80.03,78.36,81.22,77.341,5133412
77.68,77.43,79.39,76.46,4839463
78.3,76.54,79.46,74.92,5798159
75.76,74.75,77.4,74.38,2396724
75.2,77.8857,77.95,73.91,2666611
77.11,79.4301,79.46,76.76,3190601
79.96,79.26,80.29,78.3,2485292
80,78.55,80.38,78.3,2280355
77.22,80.28,80.64,77.2,2790844
79.45,78.77,80.35,77.62,2724293
80.82,84.365,85.25,80.04,6277504
