Open, Close, High, Low, Volume
128.59,129.61,129.79,128.44,1553608
129.87,128.72,130.36,128.44,1210838
128.59,127.18,129.17,127.03,1442130
127.39,127.03,128.0955,126.62,810955
127.5,126.92,128.2,126.85,603013
127.44,127.74,128.05,126.59,514785
127.78,128.82,129.01,127.57,332621
128.64,127.09,128.92,126.98,422799
126.99,127.86,128.12,126.75,576592
127.8,127.26,128.13,127.2,493317
127.64,126.93,127.84,126.14,910308
126.9,129.61,129.72,126.54,1593671
130,129.56,131.59,129.47,1432436
129.5,130.04,130.53,128.99,1180187
129.8,130.29,131.2,129.59,614489
130.61,131.71,132.3694,130.31,781672
131.3,130.28,131.3,128.27,1204933
130.59,129.09,130.87,128.23,902546
129.16,128.54,129.49,128.42,868241
129.2,128.67,130.39,128.46,1038095
129.28,131.38,132.485,129.01,1168595
131.5,130.3,131.79,130.07,633072
130.92,133.75,133.78,130.66,1025434
133.02,134.9,135.13,132.87,1100868
134.76,136.01,137.16,134.76,984428
136.08,135.54,137.6,134.39,1208756
136.25,137.17,137.6,135.55,812950
136.87,137,137.7769,135.84,949574
137.03,136.62,137.72,135.41,1035823
136,136.65,137.195,135.2301,961145
136.96,134.26,137.7699,133.39,1506441
134.31,134.68,135.59,133.07,1639056
138.74,134.42,138.74,133.035,2340717
133.4,134.3,137.04,132.541,2792283
132.89,137.3,137.74,131.68,2668071
136.83,134.01,137.5,133.3,2057379
134.43,131.46,135.39,131.24,2302874
132.18,134.05,134.58,131.2,2262330
134.71,136.32,137.4,134.71,1547049
135.67,136.79,137.425,135.67,1330679
136.44,139.01,139.29,135.75,1236841
139.27,139.64,139.92,137.94,1679685
139.21,141.03,141.669,139.21,1520446
140.74,139.35,141.05,139.051,983865
139.37,139.1,141.55,139.1,1329173
139.35,139.42,141.29,139.17,759378
139.92,142.43,142.45,139.6,710321
142.62,143.3,143.63,142.31,779301
142.59,139.76,143.26,139.23,1306752
139.85,138.09,140.8,138.07,952948
138.04,138.41,139.27,137.04,1616839
137.41,140.52,140.74,137.41,1150089
140.1,141.61,141.81,139.56,1104594
142.16,142.32,143.12,141.44,1494292
141.21,143.19,143.54,141.1,1186523
143.29,144.02,144.42,142.47,1137485
144.9,144.68,145.09,144.18,1147303
144.63,145,145.97,144.4,710844
145.63,145.41,145.96,144.44,796955
145.49,145.01,146.08,143.93,1209047
145.38,143.76,145.71,143.53,1422811
143.78,146.26,146.57,143.78,929925
146.3,145.73,147.7,145.05,1303053
146,148.19,148.37,145.9,1216621
147.83,146.13,148.08,146.01,975861
145.84,144.13,146.92,143.97,1114149
144.24,143.79,145.929,143.495,1129175
145.15,147.83,148.11,145.15,1275569
148.27,146.69,148.92,145.92,1396124
147.24,146.02,148.6,145.28,1598413
146.8,149.34,150.109,146.76,1107403
149.06,147.66,150.09,146.55,1237841
148.56,149.38,149.9,147.4,1307939
148.05,150.5,151.05,148,1370042
150.95,151.49,152.02,149.68,1006986
150.75,149.87,153.14,148.4,1270735
150.81,149.95,151.52,149.84,1086312
151.63,152.29,152.98,150.91,1309503
151.88,152.45,153.24,151.52,667519
153.21,151.5,153.59,151.06,1412147
151.46,148.78,151.8,147.58,1842331
150.12,150.84,152.19,149.64,1493375
151.73,153.13,153.6,151.11,846751
153.61,152.49,153.88,152.11,1338688
151.76,151.45,152.76,150.86,1001491
151.23,148.35,151.68,147.59,1833962
148.97,147.95,149.15,146.99,1293913
148.75,146.5,149.89,145.08,1714051
146.24,146.45,146.72,144.48,1540686
147.21,147.55,148.35,146.95,876259
147.7,148.36,148.98,147.06,868679
148.99,148.06,150.39,147.7,1911362
147.62,144.56,147.91,144.56,2617958
140,132.56,140.89,131.76,6100490
134.68,134.09,135.52,132.03,3072326
133.58,135.7,136.815,133.06,1797130
136.05,133.79,136.05,132.62,1805334
134.31,136.2,137.27,133.82,1694112
136.98,137.82,137.84,135.8,1847278
138.43,138.15,139.52,138.04,1256945
138.14,140.2,140.3,137.92,1186663
140.99,140.62,140.99,139.85,950636
140.52,142.14,142.2,139.51,1346671
142.4,144.33,145.06,142.28,1905329
144.25,144.88,145.3804,143.86,1193671
145.18,145.12,145.945,143.13,1246784
145.92,147.42,147.63,145.24,822309
147.62,147.89,148.62,147.41,726546
148.12,151.3,151.32,148.11,1326277
151,150.55,151.49,149.44,1000752
150,150.83,151.75,149.81,946259
150.21,150.15,151.31,149.41,1056972
151.11,151.21,151.71,149.89,1417995
151.15,149.45,151.5,148.68,1207272
150.2,148.39,150.48,146.29,1221218
149.2,149.13,150.11,148.84,929369
149.25,148.72,149.68,147.58,1175700
148.49,148.21,148.57,147.41,1044236
147.96,151.52,151.98,147.59,1091809
151.45,153.05,153.23,151.19,567322
153.15,155.06,155.7,153.11,825044
155.05,157.09,157.64,154.46,1149373
157.49,155.63,157.63,155.12,1046215
155.33,156.4,156.89,155.29,596040
157.35,158.03,158.16,155.99,980421
158.03,157.05,158.8,156.47,849453
155.67,155,156.2,154.3,1005504
155.9,153.11,155.97,152.42,1244883
153.33,151.88,153.33,151.45,770872
152.63,152.93,153.62,151.8,832041
148.89,145.62,149.53,144.79,2245943
145.69,146.7399,147.39,145.62,1232222
147.62,145.01,149.63,144.97,874194
144.99,142.54,144.99,140.75,2894879
144,142.69,144.57,142.66,1265578
142.23,142.72,142.91,141.13,964852
143.45,141.96,144.28,141.41,680419
143.57,143.54,143.98,141.95,1050155
142.89,142.41,142.89,140.91,1219374
142.39,142.65,143.09,141.74,946511
