Open, Close, High, Low, Volume
70.76,71.49,71.9,70.33,2325515
71.3,70.5,72.65,70.09,1638747
71.08,71.4,72.95,70.98,1379549
71.67,70.59,73.013,70.22,1029867
70.33,69.7,72.01,68.88,1383248
69.71,69.16,71.68,69.08,1798825
68.92,67.75,69.89,67.67,457786
67.99,71.02,71.04,67.4,770839
69.74,72.7,72.7,69.4239,845298
72.96,72.27,73.35,71.92,654710
72.58,72.74,73.49,72.06,551648
72.06,73.02,74.59,71.89,1401416
72.88,71.56,73.1,71.4,1090441
72.79,74.88,75.31,72.57,743067
74.63,75.09,75.62,73.7,817203
75.53,75.29,75.99,74.59,797513
75.44,76.42,76.77,75.25,964636
76.01,76.48,77.04,75.79,861773
75.9,76.8,77.095,75.78,621349
76.27,76.25,76.85,75.84,766194
76.19,75.69,76.49,75.17,735718
75.49,76.75,76.88,75.49,938378
77.25,79.07,79.34,77.01,1378681
79.85,81.04,81.83,79.38,1616583
80.6,78.59,80.7848,78.34,850659
79.03,77.61,79.33,77.32,983165
77.45,78.11,78.43,77.45,790463
79.24,80.86,81.05,78.9,956175
80.22,80.93,81.12,79.95,840541
80.74,80.865,81.72,80.5,967845
81.65,82.34,83.04,80.78,1086465
81.13,80.6,81.69,79.49,1501333
79.32,81.67,82.71,78.91,2195727
81.84,82.31,82.79,80.93,1544418
82.15,81.48,82.725,81.28,1272429
80.5,80.83,81.4,80.11,1075122
80.48,78.83,80.6,77.89,1047583
78.32,79.05,79.424,77.5,781275
79.24,79.35,79.47,78.61,715923
80.15,81.33,81.71,80.15,965709
82.12,81.22,82.2,80.79,1200503
80.75,81.835,82.1,80.62,1143383
82.68,82.74,83.12,82.1,843229
82.88,84.63,85.12,82.7,791533
84.73,83.69,85.12,83.34,732487
84.11,84.44,85.04,83.84,797111
84.75,84.49,85.16,83.92,496686
84.39,83.77,84.72,83.765,363218
83.73,83.8,84.25,83.04,578712
83.71,82.68,83.71,82.03,775263
83.35,83.24,84.46,82.68,629755
83.32,83.09,83.75,81.64,798617
82.95,82.52,83.075,81.8106,720007
82.4,82.68,83.4,81.885,906260
82.25,79.91,82.4,78.63,1289470
79.13,78.97,79.6862,78.36,943805
79.48,80.73,80.99,79.37,687493
81.21,81.2,82.03,81.04,772001
81.64,81.87,82.7,81.17,738469
81.08,79.62,81.2,79.195,946088
79.005,78.65,79.15,78.42,1181494
78.69,78.45,78.69,76.26,1287462
79.88,78.53,79.88,78.18,885029
78.47,78.65,79.22,77.77,817621
78.42,79.01,79.88,78.42,1104935
78.33,75.14,78.33,75.05,1199995
75.03,74.29,75.49,74.03,1096465
75.01,74.905,75.63,74.31,815327
74.92,75.07,75.5,74.21,1112209
75.2,75.92,76.03,75.1,663210
76.13,75.89,76.555,75.36,1486085
76.64,78.52,78.64,76.46,483480
78.67,78.86,79.75,78,1143116
79.83,80.92,81.945,79.36,1682454
80.89,81.73,81.868,80.8,954286
82,82.39,82.65,81.85,1103811
82.38,81.79,82.745,81.64,1174216
81.22,81.15,81.59,80.31,605966
81.48,81.65,82.04,80.6276,532454
81.79,81.7,82.51,81.45,991308
82.86,83.97,84.12,82.41,1167229
84.46,83.93,84.96,83.57,602487
84,84.5,84.64,83.35,875965
84.98,83.76,86.18,83.68,967879
83.74,84.02,84.1,82.76,846911
83.86,83.25,84.27,83.24,690062
83.1,83.34,83.74,82.22,1313019
83.44,81.91,83.44,81.89,680072
81.77,80.73,81.77,80.62,1002563
79.5,80.21,80.97,76.45,1988435
79.91,80.27,80.71,79.37,882774
80.25,78.87,80.5,78.02,938181
78.96,78.54,79.44,78.21,1153248
78.2,77.63,79.41,76.78,1257822
78.16,79.54,79.61,78.08,854709
77.49,77.21,77.82,76.39,800705
76.19,76.46,76.52,75.47,1034834
76.05,76.37,76.87,75.61,869534
75.32,75.7,75.86,74.34,681375
75.67,75.78,76.15,74.23,956921
74.16,72.5,74.28,71.71,996367
72.67,72.99,73.67,72.67,901839
72.23,72.39,73.42,71.85,1337406
72.94,72.16,73.0853,72.01,1194544
71.44,71.22,72.03,70.945,857804
70.66,70.05,71.34,69.96,772229
70.52,71.73,71.9,70.52,973436
71.29,70.57,71.51,70.47,674811
69.57,68.43,69.68,68.125,902532
69.18,68.78,69.47,68.22,637755
69.21,67.88,69.565,67.75,739735
67.21,67.65,67.79,66.49,943358
67.79,67.43,68.74,67.21,738814
66.34,64.93,66.49,64.84,1040467
68.66,71.26,71.27,68.37,1527901
71.46,71.63,71.71,69.64,1195659
71.52,71.67,72.18,70.64,999908
71.93,71.33,72.01,70.88,846463
71.53,72.17,72.89,71.53,905337
73.2,72.74,74.28,72.54,699068
72.75,72.66,72.99,72.185,492287
73.24,74.22,74.24,73.1,750290
72.8,72.09,73.13,72,880094
72,72.08,73.2,71.44,673352
72.67,73.9,74.75,72.5703,758379
74.12,73.84,74.47,73.355,1048743
75.22,75.69,75.8,74.855,1002586
75.68,76.2,76.72,74.745,1383894
76.28,75.88,76.81,75.79,686303
75.93,76.38,76.79,75.26,999386
76.62,76.38,77.09,75.9101,874041
76.48,77.04,77.41,76.48,668915
77.54,77.87,78.1,76.98,810742
78.66,79.6,79.75,78.31,1215259
79.35,77.745,79.35,77.32,826098
77.64,77.71,77.94,77,345188
77.02,77.85,77.89,76.78,345923
77.37,75.44,77.8,75.12,1181620
75.14,74.64,75.48,73.71,794536
75.07,74.3,75.37,74.105,487248
74.15,75.3,75.38,74.095,582815
75.76,77.53,78.05,75.71,779293
77.48,77.74,77.75,76.13,544279
77.75,78.57,79.82,77.49,1005272
78.36,77.96,78.52,77.275,620256
77.34,77.75,78.43,77.34,484265
78.06,78.69,79.21,78.02,474951
78.76,78.7,79.39,78.39,490515
79.58,81.23,81.66,79.5,840521
80.83,81.74,81.97,80.32,732272
81.22,80.63,81.74,79.87,990938
79,77.65,79.92,75.28,1777033
77.25,77.06,78.01,76.5,775526
76.05,76.7,77.03,75.405,1429903
76.5,75.33,77.13,74.71,1166482
75.08,72.48,75.58,72.03,1203536
71.78,70.37,72.09,69.9,1467668
69.25,67.91,69.25,67.19,1254837
68.75,67.67,68.79,66.95,1052772
66.93,67.51,67.7,66,1274659
68.31,68.45,68.99,68.19,909674
67.79,67.41,68.11,67,831238
67.23,65.69,67.23,65.67,567938
65.61,67.12,68.82,64.95,846395
