Open, Close, High, Low, Volume
99.54,96.18,100.27,95.46,4210392
96.37,94.02,96.96,93.71,4092286
94.96,92.94,97.14,92.3,3384521
91.53,89.73,93.35,89.02,4836356
89.44,87.26,90.49,86.82,5391027
86.23,82.9,86.73,82.78,2451281
83.83,88.98,89.03,82.04,3942558
87.1,88.78,88.78,85.05,3539601
89.24,87.44,89.33,86.15,2827423
88.21,86.64,88.9,86.37,3019267
85.66,90.53,91.26,85.2,3300526
90.6,90.09,91.22,88.26,2333160
91.7,93.9301,94.3,91.0783,3261174
94.49,94.55,96.41,92.22,3843400
95.66,95.55,96.11,94.34,2612899
96.78,99.33,99.51,96.11,3917202
98.02,99.045,99.32,97.28,2984458
97.86,96.72,98.01,95.96,2741284
95.66,98.49,99.01,95.28,2914428
98.97,98.54,99.94,98,2211191
98.55,98.74,99.42,97.44,1970083
98.36,99.05,99.35,97.11,2033598
100.3,101.02,101.21,99.105,2648230
99.76,96.67,100.06,96.65,2893003
97.65,96.59,98.42,96.13,2187109
96.52,97.24,98.05,95.79,2722180
98.19,98.97,100.3,98.05,2028176
97.43,98.07,98.1,96.49,2419213
98.6,98.89,99.75,98.09,2497634
99.69,99.5,99.9,98.37,2542475
99.94,99.14,100.85,98.59,1982714
99.87,98.87,100.49,98.55,2186933
97.75,99.33,99.38,96.71,1496773
99.23,98.2,99.65,97.87,1501878
97.49,96.12,97.614,96.12,2246633
95.46,93,95.7699,91.73,3025733
92.67,92.31,93.27,89.94,2518524
91.63,94.26,94.28,91.61,2110302
95.78,95.6689,97.12,95.2,2585541
96.15,96.7525,97.79,95.74,2737272
96.33,97.2,97.83,96.245,2244484
98.22,100.15,100.16,97.91,2379793
99,99.77,100.28,98.405,2360621
99.58,98.8,99.8054,98.415,2840956
98.34,95.34,98.665,94.57,3538146
96.43,95.53,97.12,95.12,3701141
95.13,94.74,95.71,94.17,5356764
94.99,93.96,95.17,92.97,5247641
95.54,95.03,98.4,93.99,5826101
95.37,94.01,96.23,92.973,4274062
94.64,96.43,97.01,94.39,4418611
96.71,96.8,97.63,95.12,2820867
97.04,95.54,97.3,95.27,2389597
94.92,91.93,94.98,91.56,3785090
92.07,91.35,92.1229,90.58,2594885
89.32,86.41,89.7,86.19,5577631
86.77,86.29,87.87,86.14,6704643
86.93,86.99,87.64,86.47,7767007
88,88.62,88.67,86.77,4419112
88.62,89.7,90.05,88.34,3553478
89.54,88.74,89.74,88,3418222
89.02,91.94,92.19,88.815,3644024
92.55,92.91,93.08,92.34,5667839
93.05,95.89,96.61,92.82,5849192
95.82,96.87,97.23,94.39,4828963
95.75,93.69,95.95,92.78,7376994
93.55,92.78,94.13,91.98,2571770
94.45,94.76,95.99,94.27,2019926
94.32,94.59,95.45,93.64,2415576
93.81,95.24,95.47,93.72,2493569
96.38,95.19,96.58,94.85,2269052
96.19,96.95,97.07,95.575,1252410
97.08,96.05,97.77,96.01,1987594
96.65,93.96,96.65,93.78,2565913
94.06,93.65,94.4999,92.92,3801023
94.45,98.64,98.76,93.94,3533645
99.12,99.43,100.99,98.97,3982975
98.79,98.62,99.59,97.39,3153843
99.34,98.77,100.045,98.4,2748989
98.38,98.75,99.76,97.66,2272636
102.09,105.33,106.48,101.85,6695499
104.43,102.02,104.72,101.44,3840369
101.86,102.36,102.82,100.9762,2757511
103.19,101.83,104.45,101.43,2239311
101.95,103.85,104.29,101.52,2915522
105.25,107.05,107.3,104.64,2960444
106.97,106.65,107.89,105.37,3701922
107.5,103.95,107.58,103.83,3120864
103.98,102.09,104.1299,102.02,2445845
101.47,97.88,102.14,97.08,3880561
98,97,98.4609,96.7,3099621
97.99,95.97,98.38,94.97,3129456
95.84,91.89,96.5,91.86,4470347
91.13,89.23,92.15,89.07,4271551
91.75,90.9,93.62,89.725,5375354
89.9,91.26,91.87,89.54,2659502
90.15,91.8,91.89,89.7,3639641
91.67,94.05,94.655,91.52,3277567
92.68,94.26,95.13,92.06,2794525
94.36,95.03,95.2504,92.5,2111339
93.94,93.48,95.3,93.21,3545465
93.92,94.34,95.33,93.92,1794189
93.39,94.385,94.63,93.17,1677800
95,95.18,96.251,94.79,1690848
94.27,92.99,94.67,92.67,2386699
93.21,93.66,94.52,92.78,1657184
94.09,95.7,95.94,94.09,1574525
95.02,92.9,95.38,92.39,2165620
91.05,88.82,91.05,87.25,3912441
89.78,87.15,90.5,86.71,3291617
87.69,87.12,88.38,86.965,2165756
85.65,86.44,86.64,84.28,3261255
86.26,83.95,86.49,83.81,2734994
82.7,81.87,83.845,81.83,3273629
