Open, Close, High, Low, Volume
388.31,389.32,395.2523,388.23,359922
387.74,386.7,389.24,383.77,435929
386.89,369.06,387.54,368.56,734322
371.87,370.83,377.06,369.48,464228
370.5,368.63,374.09,367.08,716269
367.42,358.59,367.8,355.325,676057
358.62,350.24,363.68,348.62,921401
348.75,339.04,349.9,338.97,302237
340.4,349.27,349.27,335.29,531255
345.65,346.06,348.99,337.665,496853
348.75,353.13,356.14,347.1,474380
352.35,351.26,353.3,347.6104,285579
349.28,349.43,352.69,343.58,473146
348.66,346.52,355.47,345.17,661165
347.8,353.7,356.635,346.36,464410
353,354.81,357.02,351.41,642512
357.42,361.93,363.18,357.42,561187
363.69,356.8,365.09,348.24,929825
356.31,370.92,371,355.037,877832
369.96,371.27,372.3,366.55,355935
370.3,376.6,377.15,369.9898,517426
379.46,383.19,383.59,378.145,646513
381.21,381.26,384.18,379.53,528173
380.97,381.53,383.59,379.21,420197
383.48,374.26,383.48,373.75,598651
374.67,370.54,375.7885,368.26,782296
370.86,364.775,371.69,363.15,545191
357.35,371.42,371.56,357.35,448697
371.78,369.28,373.14,364.91,682240
367.95,376.865,377.97,363.9,407759
378.1,379.18,379.88,373.89,271485
379.29,383.11,384.8,379.15,330874
382.83,393.985,394.22,379.905,446022
393.45,396.5,396.6,390.87,552317
397,395.02,397,392.37,401848
397.04,395.9,398.995,372.7467,380712
395,390.02,396.97,388.39,657027
389,389.72,392.12,385.98,340609
388.52,395.565,395.58,387.89,279659
396.95,400.03,400.85,395.63,334908
400.64,397.475,402.11,393.58,287560
386.95,391.92,398.78,385.91,500983
412,420.91,422.44,399.57,1336075
421.47,421.575,422.055,417.405,574685
429.07,425.91,430,424.3,344196
427.98,428.55,430.245,423.75,300485
429,429.22,430,425.52,427957
428.08,425.76,428.75,425,369659
421.47,418.14,426.495,417.25,493193
422.19,423.36,426.08,417.59,1315671
424.46,432.69,433.54,420,676367
433.45,427.011,434.15,423.23,554339
426.95,426.96,430.26,424.6,366037
426.17,424.66,428,422.87,334171
422.74,426.77,431.38,421.19,426384
426.85,430.38,431,424.5,526458
430.88,438.34,438.495,430.88,513149
439.75,438.61,442.555,438.12,489409
438.02,438.84,441.87,437.84,529950
439.5,440.44,442.92,436.3,328461
440.83,441.6,442.75,439.795,356675
445.94,444.1,445.94,440.845,313355
445.02,443.32,446.15,441.91,263953
442.15,448,449,441.49,399147
447.93,458.29,458.41,444.5,508124
458.83,451.55,460.88,451.11,595452
452.25,446.18,453.49,445.28,397024
449.82,447.59,449.82,442.75,343262
449.48,448.23,451.54,445.03,332917
449.74,449.97,452.22,446.85,353786
451.47,453.16,453.85,444.96,414637
443.555,456.23,456.77,443.555,129272
457.46,460.58,461.75,455.02,338585
461.71,462.1,466.11,455.685,281391
462.55,461.44,464.73,459.9,400971
461.97,466.93,467.29,460.45,206783
466.74,463.38,467.99,460.32,210224
463.19,460.11,464.23,459.16,251518
461.56,461.22,462.99,459.52,257717
456.985,460.67,462.92,456.985,215415
457.82,463.38,464,453.72,315324
462.31,459.91,463.0709,457.345,242719
461.92,452.82,461.92,451.33,310672
454.41,447.625,454.51,445.025,294315
450.17,446.35,450.17,444.94,422666
445.74,447.28,448.97,442.82,408559
449.45,450.17,452.82,444.51,325522
450.78,453.59,454.18,445.93,221158
450.91,453.73,455.78,447.26,182916
453.82,452.85,453.82,440.72,342510
451.56,448.81,453.98,446.26,266214
449.62,454.8,456.15,446.04,308098
453.6,450.01,459.51,449.53,429912
470,465.17,479.94,461.94,677641
466.32,476.97,476.97,464.4,351524
472.46,478.58,480.8,472.2592,451502
477.9,475.14,478.5,471.93,458956
473.57,479.18,483.64,471.6535,542441
477.78,476.43,479.3275,473.01,298121
476.26,479.86,481.73,474.635,387702
473.56,476.24,477.19,472.4721,421211
477.54,483.78,484.5,477.005,372382
484.25,486.75,488.38,483.13,233130
487.52,491.78,494,487.02,282790
487.62,490.21,490.84,485.16,252005
487.88,480.2,488.43,480.11,336486
477.93,484.32,486.08,477.93,352415
483.84,494.03,494.62,480.5133,278004
492.86,496.52,496.57,492,411397
498.76,496.29,500,495.955,212649
496.8,491.27,500.2,491.27,208636
490.99,482.55,491.6,481.3,224288
483.1,487.58,487.83,483.1,281816
485.15,485.63,489.19,483.66,254462
485.52,481.05,485.59,471.8,418302
484.37,495.32,495.3999,482.46,226534
496.82,494.66,497.92,491.29,299370
496.54,499.53,499.96,495.1,211571
499.14,505.95,507.31,497.6,292384
507.29,504.35,508.76,499.26,246813
505.76,503.68,508.99,502.975,176858
505.44,507.24,508.03,503.2375,545993
507.3,509.97,512.935,505.51,543757
511.26,511.49,515.08,509.29,305625
514.45,502.85,516.95,502.445,413213
502.69,511.16,513.8,501.89,273175
515.04,508.28,515.88,506.71,352349
509.04,508.14,509.37,499.51,406163
510,509.99,512.9,506.07,240208
508.83,499.75,512.99,499.43,190445
500.03,489.88,501.09,485.58,344105
491.33,498.07,498.93,491.33,221565
497.89,504.13,504.685,496.355,351781
509.04,504.65,510,498.025,312150
506.37,514.94,515.27,505.07,288682
515.37,518.615,520.235,515.37,123677
517.03,518.34,520.35,510.53,126653
518.4,519.19,520,515.84,140999
517.32,521.5,521.695,516.83,186147
522.14,527.41,527.41,518.1,232377
528.97,523.69,528.98,520.56,241541
525,518.02,526.935,516.51,239641
521.31,516.91,523.6,515.59,141693
515.32,514.16,516.64,511.97,269872
518.79,512.07,519.04,509.01,159358
509.53,512.18,513.46,508.19,239781
514.47,506.61,515.8,506.5615,275792
505.41,506.46,508.77,504.08,199217
508.43,507.27,509.9,501.88,277519
507.38,508.3,510.98,504.71,239909
507,490.27,508.32,490.05,457061
492.17,488.71,495,484.46,469198
494.98,486.38,496.96,484.235,351412
485.2,498.92,499.5,484.5736,418009
497.66,501.83,511.29,493.92,652346
529.48,522.75,530.72,504.91,671986
526.11,524.09,530.506,520.7602,471206
518.57,512.4,523.67,506.05,307551
513.48,519.85,523.52,513,271259
518.05,533.09,534.83,511.99,348197
531.3,549.97,550,527.525,469451
548.915,552.42,553.505,546.83,416097
550.54,552.95,557.545,549.61,318069
553.75,549.03,554.35,545,385858
544.45,539.87,548.675,537.2,378186
541.3,546.25,550.16,539.5,306132
547.25,551.6,553.85,545.01,516878
556.22,555.71,557.96,550.38,230744
551.24,547.06,554.48,546.73,199828
548.82,551.67,552.1,545.36,151469
551.64,554.37,558.43,547.6248,228691
557.41,549.66,559.32,547.135,227266
550.03,558.69,558.79,550,166062
560.49,557.38,562.4699,555.45,267975
558.36,553.12,559.64,551.38,241103
556.71,557.88,558.8,554.96,292164
558,556.28,559.55,553.22,181035
555.38,565.78,566.39,554.21,239609
564.9,558.48,567.885,555.03,335794
558.76,550.645,560,547.69,413032
552.44,553.82,560.67,551.705,308253
554.1,537.92,554.31,536.76,329841
535.51,531.4,535.51,525.375,434783
530.19,528.4,533.36,526,437916
529.99,538.81,539.68,528.495,368383
537,536.8,539.08,531.79,258646
537.74,549.77,551.2,536.19,234756
551.47,558.91,559.99,545.2,317313
559.5,561,561.19,545.67,301424
560.51,568.88,570.83,559.33,368060
568.57,566.51,571.7,564.69,653279
575.03,581.21,609.97,569.83,643923
582.21,572.22,582.95,567.11,389115
574.56,579.23,580.33,562,317247
577.34,582.66,584.36,577.1301,220307
581.01,576.62,583.49,573.33,226221
578.72,576.44,582.23,574.29,168278
574.84,569.72,578.215,567.95,265903
568.12,561.24,571.505,555.185,439249
563.16,575.76,575.76,562.771,362796
577.63,581.61,582.43,575.93,482442
577.87,577.03,580.95,575.555,366285
576.17,569.5,577.77,569.34,453370
570.91,574.82,579.29,570.07,434844
573.53,572.2,574.92,568.14,371356
576.19,566.17,576.19,565.87,406605
566.98,567.31,571.22,565.05,253196
570.6,571.63,574.17,566,290142
565.09,568.23,568.9,560.89,475725
570.93,571.94,576.48,569.45,254793
574.82,576.82,577.175,571.32,427900
574.13,577.38,578.03,572.03,175896
582.68,569.92,582.68,569.83,240776
569.69,566.48,572.606,558.935,302953
569.5,563.34,569.5,561.28,279821
562.34,565.74,566.54,553.665,319163
564.23,567.2,568.56,563.18,244072
565.89,567.31,576.25,565.76,263297
570.72,571.57,577.7052,566.45,511289
572.7,566.61,574.9,553.81,581615
565.33,562,567.455,557.14,361332
560.67,542.93,560.8,542.38,620456
542.14,527.06,542.14,523.79,803440
530.07,531.73,534.9899,527.85,290383
530.96,522.42,530.96,519.37,310336
523.46,529.84,535.96,521.92,455849
530.26,535,539.36,529.41,274863
535.63,531.45,539.01,526.85,285985
535.53,540.93,541.96,532.53,350997
542.2,544.59,549.095,539.32,473582
548.84,550.53,552.01,543.72,404355
550,558.16,560.96,550,307189
557.29,564.945,568.9,555.3724,331139
565,568.76,573.18,563.895,296173
565.58,560.16,570.6,558.13,253594
562.84,557.58,567.35,556.25,282383
559.61,553.85,563.47,553.2,394054
553.22,554.23,556.71,550.907,447630
555.46,565.41,566.97,551.52,252451
565.61,566.75,568.84,565.17,122936
569.8,549.91,569.8,549.69,304701
550.7,552.59,555.97,547.06,394406
549.76,563.19,564.02,548.76,357087
561.27,559.85,563.98,555.93,280692
562.19,558.9,566.99,558.88,164556
559.56,560.56,562.62,557.29,150465
563.48,557.66,564.83,556.18,296534
559.22,559.22,564.12,554.495,281606
561.37,547.61,561.37,546.26,327488
547.67,551.83,552.73,543.11,477637
552.55,562.72,563.86,547.145,403022
565.58,557.19,571.01,556,313328
559.6,565.44,566.85,558.34,405431
566.52,576.15,578.48,564.52,267591
580,578.05,582.2,573.805,622533
577.37,571.79,579.41,570.1075,131722
571.54,573.33,576.71,569.16,63168
573.67,579.51,580.12,572.16,120584
582.37,582.51,584.45,578.15,184313
580.3,580.32,582.4327,575.03,204051
580.54,582.93,583.91,578.36,178828
583.91,579.33,584.91,576.03,384525
575.47,584.83,590.36,575.47,277089
585.13,584.48,588,579.75,189547
584.47,581.88,586.5,575.02,197025
583,583.71,586.16,575.01,209547
582.95,588.99,590,575.41,181946
593.32,593.6,595.77,587.32,177789
594.89,594.52,598.5311,592.26,267854
595.81,586.5,597,582.93,264550
588.56,586.37,592.53,585.055,327792
587.55,595.38,596.4023,586.61,450413
594,587.99,596.69,587.9,643793
591.51,589.99,594.55,583.94,1032452
595.35,591.61,599.18,590.79,691898
594.49,595.8,603.7,592.56,491452
597.37,591.89,603.35,590.04,551406
589.91,593.96,594.96,585.61,164006
595.99,602.57,604.67,595.39,255173
600.06,602.95,604.25,596.79,194454
602.7,603,608.105,602.27,283914
604.07,589.73,605.27,587.36,343266
592.56,603.48,606.14,591.05,279556
608.09,607.55,609.47,605.26,271106
608.49,601.26,609.22,600,268544
606.26,603.63,607.825,594.56,150763
605.14,606,607.55,602.13,141841
609.19,611.83,613.74,607.065,217618
613.1,613.57,619.745,611.01,261305
616.23,621.29,624.575,612.33,499183
615.1,635.16,636.435,611.99,465159
639.09,648.21,654.32,636.76,373756
644.17,643.58,649.99,639.351,371552
642.73,643.8,650.11,641.4,316356
644,648.08,648.52,639.3,305897
651.96,655.73,657,644.1,420511
648.18,644.27,654.44,637.69,411598
643.05,632.13,645.91,627.755,567399
634.55,629.86,637.83,624.88,341105
623.92,597.68,630.73,597.2603,643516
586.53,574.26,589.96,563.55,943753
577.88,618.68,620.285,577.03,663051
621.72,615.23,634.0442,600,567331
626,645.47,646.52,621.92,496231
629.02,617.23,641.83,611.05,692634
600,608.75,609.99,582.52,613796
572.26,574.13,601.94,570.99,555764
600,611.09,615.04,571.05,1251850
591.64,598.9,604.98,584.89,1451140
556.91,565.03,595,546.15,838298
585.29,622.34,623.84,566.735,963003
582.59,542.43,586.28,530,1835520
