Open, Close, High, Low, Volume
64.08,65.66,65.925,63.88,1888526
65.77,65.63,65.93,65.46,1196702
65.54,64.3,65.63,63.74,1989121
64.2,62.2,64.67,62.13,1576768
62.44,61.79,63.82,61.6,1333924
62,63.81,63.85,61.73,699674
63.97,62.48,64.26,62.43,635989
62.66,64.07,64.13,62.2,1116520
64.1,62.63,64.38,62.47,1359819
62.72,63.79,64.17,62.52,1284413
63.97,62.4,64.02,62.35,752194
62.41,62.72,63.715,62.33,926406
62.63,62.75,63.691,62.1,1472928
62.69,62.7,62.86,62.52,1187915
62.66,63.1,63.32,62.52,1328707
63,61.26,63.04,60.99,1150026
60.9,61.47,61.62,59.97,1287006
61.78,60.95,62.05,60.89,1322628
60.86,60.42,60.99,60.13,1079597
60.65,60.67,61.76,60.45,1788804
61.02,60.86,61.065,60.52,1115917
60.59,59.39,60.78,59.28,1485894
59.39,60.46,60.49,59.13,1379626
60.53,61.16,61.22,60.4,1090661
61.32,60.71,61.82,60.64,1352411
60.65,61.44,61.79,60.21,717739
61.39,60.14,61.57,59.57,1195517
60.32,61.53,61.545,59.86,1098016
61.62,61.2,61.66,60.76,1579191
61.06,59.51,61.38,59.51,2047945
58.91,60.53,61.01,58.48,2803127
60.37,59.27,60.67,58.97,1687851
58.7,59.87,60.06,58.01,1698609
59.74,57.98,60.4,57.92,2118189
56.92,56.7,57.925,55.07,2567032
56.65,56.86,58.15,56.15,1933779
56.9,55.26,57.78,55.25,2440498
55.56,56.65,57,54.24,2430804
56.9,56.59,57.119,54.97,2165662
56.55,57,57.33,56.21,1313521
56.4,56.68,56.875,55.84,2157089
56.95,57.9,58,56.06,1587758
57.9,57.98,58.59,57.62,1381914
57.76,56.63,58.3,56.55,1999461
56.7,54.89,56.78,54.88,2169148
55.1,56.15,56.48,54.92,1378340
56.37,56.97,56.99,56.1,1440743
57.13,57.12,57.37,56.71,1461590
57.12,54.85,57.24,54.85,1781219
55.12,56.22,56.96,55.05,1655888
56.08,55.33,56.94,55.12,1662092
55.2,55.96,56.08,54.83,1578770
55.81,55.48,56.585,55.12,2162840
55.44,56.89,56.98,55.02,1730691
56.65,56.82,58.04,56.53,2239041
56.9,57.25,58.29,56.62,1610106
57.3,59.5,59.52,57.03,2100572
59.33,59.49,59.74,58.85,2122642
59.77,59.37,60.05,59.18,1157866
59.58,58.5,59.83,58.24,1611099
58.61,59.72,59.78,58.29,1571890
59.76,60.22,60.47,59.685,1393049
60.71,60.31,60.78,58.76,2244242
60.3,60.26,60.68,59.92,2899223
60.21,59.07,60.36,58.65,2356979
58.94,59.64,60.38,58.89,3961707
59.19,58.21,59.255,57.96,3469333
58.74,58.47,58.89,57.69,1787891
58.5,59.35,60.09,57.99,1849157
59.61,61.02,61.79,59.38,3071777
61.27,61.61,61.8,60.93,4153007
61.48,61.04,61.71,60.5,2629553
61.13,62.24,62.58,60.82,3012407
62.01,62.61,62.93,61.89,3331597
62.67,63.29,63.34,62.16,2388323
63.37,62.51,63.71,62.37,1929843
62.6,62.23,63.03,61.85,1717631
62.51,62.16,62.87,62.04,1796235
62.11,62.54,63.23,61.91,2755392
62.63,61.43,62.73,61.3,1971957
61.62,61.12,61.84,60.96,1699223
61.34,61.7,62.04,60.95,1364572
61.83,61.89,62.8,61.68,1335057
61.99,61.99,62.33,61.61,982075
61.82,60.18,61.87,59.93,2208902
60.19,60.12,60.42,59.52,1971211
60.22,60.41,60.52,59.89,960074
60.41,60.62,60.96,60.17,1428447
60.29,60.32,60.95,59.87,1258023
60.5,61.13,61.56,60.29,1122079
61.11,61.95,62.28,60.83,1328122
62.03,61.18,62.34,61.15,1541619
61.25,61.69,62.1092,60.97,3296157
61.46,61.52,61.7871,60.78,1496538
61.48,61.54,62.15,61.24,1046170
61.52,61.57,62.09,61.34,1063570
61.78,62.49,62.59,61.44,1416198
61.88,62.13,62.48,61.78,917988
62.15,62.59,62.62,62.11,1394945
63.47,62.37,63.7,62.15,2515554
62.91,62.56,63.17,62.26,833319
62.57,62.28,62.74,61.8,840099
61.82,60.48,62.01,60.32,1522372
60.52,59.73,61.17,59.68,1128501
59.74,59.74,60.09,59.27,1235668
59.72,59.63,59.9,59.29,1021279
59.9,59.77,60.57,59.3,817728
59.71,59.9,60.42,59.47,1428649
60.05,61.22,61.93,60.05,1607904
61.21,60.67,61.49,60.33,960749
60.83,61.23,62,60.77,773976
61.07,61.85,62.23,60.65,873695
61.63,63.27,63.84,61.63,1732353
62.96,64,64.22,62.65,2085213
64.11,63.28,64.2,63.13,1523614
63.59,64.6,64.62,63.19,1575337
64.93,63.47,64.93,63.41,1036776
63.3,63.78,64.01,63.26,1224199
