Open, Close, High, Low, Volume
251.65,247.99,251.65,247.46,203368
248.58,248.93,249.84,247.335,266715
250.47,249.77,252.13,249.37,390132
250,249.87,251.16,248.33,189971
249.74,242.84,250.995,242.625,166948
243.17,240.22,244.436,239.295,254521
240.69,237.58,241.245,237.33,321006
238.46,239.4,240.38,237.8,235626
239.56,240.54,241.59,238.4,204822
241.53,241.21,242.06,240.02,165714
240.1,240.89,241.66,238.56,149409
241.62,241.54,241.96,240.16,158430
241.96,240.15,242.69,239.32,187951
241.19,242.45,242.59,240.17,221179
243.25,238.75,244.82,238.48,178690
238.87,239.31,240.36,237.73,198617
236.93,238.1,239.05,235.4,412997
238.17,236.24,239.2,235.63,279601
235,232.23,235.205,230.97,245893
232.71,232.38,234.26,231.201,248552
232.24,227.1,232.75,226.67,316043
227.5,227.55,232.7084,226.92,255680
229.16,227.29,229.34,226.14,261743
226.41,224.49,226.41,223.66,269833
223.93,223.6,225.429,222.78,195513
224.14,226.45,227.055,223.56,333351
227.37,231.83,232.09,227.37,271841
231.41,231.49,233.5099,230.51,147016
231.32,231.22,232.15,228.5,223630
231.47,229.75,231.476,226.905,165925
227.65,227.76,229.75,225.81,138111
227.26,226.81,228.69,226.24,161521
226.37,232.97,233.27,225.71,350640
233.03,227.24,233.815,227.1,329860
226.72,225.44,227.525,222.91,236440
226.07,218.47,228.02,218.21,343273
216.07,218.97,220.66,214.03,615988
218.82,217.91,223.51,217.52,341428
218.5,218.3,226,216.45,530682
220.41,228.34,230.12,218.453,519703
228.7,227.84,229.56,221.26,674117
227.35,228.31,229.55,223.445,337328
226.17,224.72,226.86,222.0101,278549
224.97,229.47,229.7,224.23,165718
228.92,229.67,230.8,228.1,238442
228.53,225.4,231.24,225.37,316280
224.78,220.1,225.68,219.62,480217
220.67,221.53,223.9,220.03,318687
222.26,227.22,227.23,221.95,283347
228.28,227.1,228.28,224.88,220777
227,221.85,228.32,221.22,293614
222.88,223.74,227.72,222.02,257629
222.87,223.78,227.51,222.46,331101
226,222.19,227.23,221.15,293346
220.87,225.65,226.39,220.32,302664
226.06,230.01,230.74,224.405,421359
229.84,231.43,232.25,229,295652
232.62,234.12,235.7,230.98,386389
234.55,237.48,238.27,233.26,337811
237.14,238.7,240.36,237.14,508581
239.54,237.99,240.99,236.42,291532
238.29,238.73,239.2,236.53,348388
239.38,241.7,241.92,238.385,460576
241,243.6,243.91,240.89,270034
243.3,242.06,243.3,240.31,286318
240.34,239.45,243.03,238.75,193816
239.39,236.82,239.67,236,225410
236.13,233.59,239.55,233.51,182467
233.66,229.18,235.21,228.5,268788
230.65,232.7,233.14,229.835,149031
232.33,233.95,237.58,230.61,169111
234.2,239.56,240.22,234.2,230399
240.41,240.63,242.64,235.33,261452
240.64,237.16,241.19,235.51,229726
237.14,240.17,241.15,235.43,167084
238.64,242.33,243.31,238.34,153420
242.45,241.5,242.45,239.12,128482
241.73,242.38,245.599,241.61,352089
242,241.38,243.02,240.44,181174
243.23,241.87,243.61,241,174133
241.61,241.29,244.65,240.89,206753
242.65,240.19,242.65,238.64,263376
240.01,242.95,243.12,239.69,260862
243.38,242.43,245.42,241.42,181249
243.13,246.12,247.35,242.355,245029
246.86,245.29,247.18,244.65,312663
244.58,240.28,244.58,239.41,220323
240.66,239.32,241.22,237.91,215717
240.4,237.29,240.4,235.5101,203827
237.32,237.55,239.55,236.2,263475
236.92,236.46,239.862,236.1,231930
236.53,237.82,239.2599,236.51,333227
237.66,241.15,242.41,237.66,264710
241.98,239.62,243.19,239.45,224456
239.9,240.8,241.349,238.7,196895
239.84,240.28,241.4,237.8,389039
238.9,238.39,246.49,237.01,450324
237.86,241.08,241.85,237.261,198905
242.3,241.6,243.19,240.035,121198
242.23,241.49,242.23,240.18,193163
241.54,243.84,243.97,240.7,150893
245,243.85,245.47,242.345,225116
244.29,242.52,245.05,242.13,153667
242.71,242.04,243.325,240.15,150166
239.63,233.82,239.63,233.01,231865
234.68,230.12,235.29,229.78,221466
229.76,227.33,231.4486,226.89,196020
227.53,228.87,230.36,226.1601,194181
229.9,232.83,233.32,228.01,226733
232.73,232.7,233.43,231.13,225622
233.09,236.12,237.25,233.09,161904
236.57,233.18,237.34,232.06,154865
233.86,234.18,235.32,233.44,217707
233.42,234.4,236.57,232.345,262203
233.35,241.31,241.62,232.88,268313
239.8,239.06,240.36,238.11,206662
239.75,238.54,239.75,237.97,374598
239.61,241.89,242.04,238.09,332069
242.39,241.02,243.08,240.18,317398
239.84,242.6,242.63,239.1825,243287
243.1,240.82,243.49,239.57,321033
241.43,240.97,242.28,238.45,252227
241.53,239.28,241.66,238.95,253463
239.53,238.65,240.26,237.78,240363
239.2,233.03,240.38,232.395,389425
233.79,234.83,237.769,233.15,258364
235.58,234.49,237.51,233.855,283258
233.82,232.47,234.1,230.29,311781
231.65,232.52,234.0999,231.02,321644
232.68,233.51,233.84,230.47,517934
233.75,234.56,234.85,232.28,279824
235.43,235.37,237.74,233.335,368469
235.68,234.43,237.496,233.29,509406
234.35,234.61,237.32,233.06,299549
235.09,233.03,235.74,232.87,313573
231.28,235.6,236.11,231.19,387113
234.79,239.095,239.95,232.86,453702
238.77,236.16,239.45,233.5101,235845
235.85,236.49,239.375,234.93,143169
236.3,238.73,238.92,235.785,135702
239.17,240.06,241.2,238.69,167303
240.21,238.72,240.52,237.281,228914
238.68,240.61,241.11,237.76,214041
240.44,242.62,243.7,239.95,331295
242.86,242.75,243.585,241.48,265104
242.98,239.59,243.3605,239.32,155106
238.69,236.08,238.69,234.63,220827
236.55,232.76,236.75,232.41,222015
232.58,231.58,242.395,230.42,195327
230.92,232.53,234.875,230.92,238957
231.85,229.36,232.38,227.9,264801
230.42,229.62,230.715,228.1,345497
229.67,229.71,230.38,227.05,184786
231.2,232.75,234.93,230.39,202753
233.79,233.49,233.79,231.86,130771
234.29,233.29,234.88,231.32,204508
233.09,233.82,235,232.06,181505
235,240.46,242.28,233.92,264277
239.86,241.07,241.66,236.705,255293
240.69,234.19,241.715,232.03,468505
237.38,242.38,243,234.371,463345
242.44,242.76,244.41,242,173190
243.35,243.33,243.84,239.18,255525
242.85,239.25,243.565,239.11,162748
238.8,239.53,240.2699,238.445,99241
239.43,236.65,240.12,236,89888
236.5,236.14,237.58,235.19,121820
237.02,236.79,238.025,234.99,175784
236.75,239.69,240.14,236.02,313778
239.82,240.96,241.1,238.65,100093
240.97,243.34,243.39,240.8,130415
243.9,243.06,244.57,242.605,104237
242.45,241.25,242.59,240.14,157000
241.51,241.69,241.91,240.15,164182
241.87,242.16,242.75,241.395,108398
241.74,244.17,244.875,241.06,141609
244.51,244.37,244.52,242.53,163500
243.94,246.79,247.21,243.05,191461
247.03,247.21,248.56,246.25,216582
247.79,245.29,248.31,244.77,157355
245.39,246.25,247.685,244.73,158215
245.24,243.76,246.86,242.99,126465
242.96,245.19,246.5,241.78,172942
245.94,246.3,246.64,245.45,94104
245.82,246.15,246.38,243.77,167974
246.94,249.3,250.175,246.58,272835
248.33,250.32,250.94,248.01,221827
250.15,247.98,250.15,247.62,205581
249.29,248.28,250.49,247.74,275075
247.09,246.29,249.21,243.2301,358140
246.24,246.28,247.51,244.36,347234
245.64,245.42,246.03,244.06,333748
246.13,243.88,248.18,243.42,252857
244.21,245.37,245.92,242.1,192054
245.06,247.25,249,244.54,295771
246.62,240.68,246.625,239.45,257716
241.25,243.15,243.72,239.935,199342
243.14,240.09,243.14,239.8,270261
238.63,242,242.54,238.29,435613
241.74,246.69,246.91,241.74,440622
246.78,245.41,247.7,244.59,328521
245.87,245.58,246.92,243.94,317288
245.3,244.24,248,242.5,373253
242.78,243.21,244.65,241.0484,312727
243.6,243.7,244.74,242.5,220936
244.23,248.03,249.51,244.23,367188
247.85,250.34,250.62,246.22,436154
248.81,246.93,251.15,246.44,311509
247.8,239.67,247.8,238.98,504198
240.83,238.35,242.53,237.02,361223
238.36,240.61,243.78,238.36,359529
241.79,244.71,245.25,240.245,455117
243.93,242.8,245.485,241.79,504818
242.86,244.14,244.77,242.86,346274
244.32,245.64,246.26,243.8,318878
245.25,242.4,246.9,242.16,413819
241.38,244.3,246.375,239.48,275190
244.86,251.905,253.635,244.81,387655
251.95,254.41,255.45,249.49,373826
254.28,247.91,254.66,247.48,448927
250.33,256.71,257.97,250.27,444673
257.28,255.64,259.11,253.78,832010
256.31,250.71,256.31,250.43,394824
251.5,252.65,252.84,249.19,376292
251.74,247.84,252.36,246.85,331369
248.75,249.58,251.89,247.72,564519
249.26,250.04,251.71,248.97,387744
254,254.99,257,252.59,455239
253.85,253.8,256.185,251.28,228865
253.63,253.94,254.87,252.23,242423
254.03,254.78,257.7645,254.03,295333
254.84,255.32,256.34,253.0949,369863
256.06,253.16,256.33,252.51,361115
251.86,250.68,252.31,248.34,341682
250.89,255.71,255.96,250.705,236457
256.11,257.88,258.28,254.53,422360
257.78,258.36,260.03,256.42,478434
258.06,258.84,262.23,257.9,212930
258.1,256.54,258.55,255.46,72950
257.76,256.59,258.12,255.28,202518
256.74,258.39,258.64,255.4,179327
258.02,260.15,260.24,258.02,181115
259.86,259.26,260.33,256.93,169074
261.8,262.45,262.59,259.12,189067
262.67,262.76,264.72,260.83,237093
262.7,259.67,264.7125,259.15,229171
259.35,265.66,265.94,256.056,334428
265.88,263.74,267.41,262.92,258331
263.91,262.53,263.91,258.86,180676
264.64,263.29,265.9,263.16,177665
264.74,258.14,265.31,258.01,259729
258.44,261.6,264.69,258.39,205104
261.39,262.2,262.74,260.45,150029
263.55,254.26,264.65,253.31,388348
255.62,258.09,259.58,255.6001,301372
258.01,255.52,258.71,254.27,314969
256.46,255.37,258.79,253.13,319796
254.59,251.74,262.75,251.66,608458
251.96,239.99,252.5,239.6,241732
240.18,244.73,245.14,237.84,310338
243.76,245.59,245.89,238.7025,464032
248.49,245.86,249.14,243,195210
244.7,244.49,245.48,241.58,140271
243.35,236.4,243.35,235.51,345242
236.06,237.33,240.8825,236.06,254802
238.92,238.17,240.94,237.3605,284106
239.29,238.99,242.24,238.06,260350
240.15,245.29,245.93,239.4,274264
244.9,244.94,245.37,242.83,151382
244.87,248.825,249.1334,244.22,257683
248.71,248.92,249.7,247.67,240989
248.82,249.06,250.55,247.45,120495
249.13,252.4,253.77,249.13,218123
252.23,256.7125,257.83,251.33,349292
255.71,258.2,259.83,255.71,340917
259.55,259.69,259.7,257.49,220572
260.22,260.7,261.7,258.76,323308
261.08,261.56,262,259.79,215937
261.53,261.6,262.73,259.325,192432
261.86,262.535,264.54,261.525,389325
261.9,266.54,267.17,261.54,308027
266.83,268.795,268.92,265.9,234382
267.88,270.87,284.09,267.88,432655
269.95,271.185,272.74,265.37,510381
271.31,269.92,271.7,265.54,276615
269.33,274.69,274.69,268.16,243478
274.68,277.37,277.37,272.06,242682
277.25,275.59,277.25,274.34,189114
272.76,277.12,277.88,272.76,167766
275.99,277.54,278.32,275.94,254413
278,278.54,280.11,277,233875
278.45,276.48,278.45,274.42,249294
275.63,278.28,278.635,274.705,156508
278.41,277.915,279.45,275.9,129390
279.27,279.04,279.69,277.18,151284
278.78,280.13,280.64,278.17,187061
280.03,276.82,280.03,274.82,214457
275.78,280.11,280.4,274.55,149708
280.79,281.44,282.9325,279.345,169785
282.62,279.31,282.62,278.76,154263
279.99,280.05,280.46,278.47,135782
279.12,279.81,280.06,276.55,119789
280.03,279.84,284.21,279.44,296091
280.25,279.17,280.25,276.24,180151
280.14,282,282.47,278.37,143554
281.87,281.39,282.96,280.62,147596
282.07,281.43,282.74,281.1,251974
281.79,282.29,286.05,281.13,225331
281.51,283.52,284.365,281.44,220407
284.79,285.79,286.3,282.77,186266
286.15,287.12,287.36,285.03,160737
287.59,289.22,291.15,287.59,288948
289.38,290.87,291.23,288.59,181386
289.94,289.49,290.94,288.92,167955
290.1,286.23,290.96,284.49,209948
286.15,285.82,286.64,284.22,165350
285.73,285.26,287.5,282.91,209853
285.04,289.51,290.05,285.04,175612
290.29,290.78,294.61,290.29,248396
289.62,288.88,291.405,287.13,264018
289.09,292.86,292.99,289.09,125292
292.86,291.53,294.11,290.17,199340
289.58,290.18,290.85,288.44,155052
290.39,289.15,291.03,288.5,213810
288.84,288.21,288.87,284.37,109693
288.39,291.83,292.47,285.3,295721
