Open, Close, High, Low, Volume
76.35,75.13,77.75,75.11,1124617
75.31,75.97,77.64,75.28,1898817
76.76,77.07,78.41,76.42,1662567
77.27,75.54,77.32,75.43,1365870
76.03,77.16,77.54,75.68,1784838
77.48,76.76,78.38,76.66,1527951
76.93,76.18,77.98,76.17,1023915
76.26,77.33,77.6688,76.02,488737
77.4,76.09,77.68,76.03,849221
76.25,78.15,78.19,76.11,590937
78.91,79,79.65,78.56,2556025
79.23,77.51,79.52,77.41,2014165
78,81.63,81.67,77.52,3445921
81.69,80.78,81.99,80.46,2959104
80.88,81.38,81.42,80.25,1753586
81.37,82.04,82.3,80.37,1371338
81.87,81.98,82.49,80.31,1649396
81.67,81.06,82.68,81.02,1619713
81.26,83.97,83.97,80.94,1462630
84.16,82.8,84.24,82.48,2007338
82.97,83.37,84.11,82.15,1570316
83.49,83.61,83.99,83.28,948110
83.69,83.56,84,83.02,1399421
83.9,82.51,84.41,82.13,2368882
82.5,82.92,84.11,82.09,1730472
82.53,85.11,85.18,82.4,1841264
85.6,84.48,85.61,84.34,2006249
85.09,83.76,85.67,83.65,1773625
84.04,86.49,86.51,83.58,1379102
86.21,85.58,86.82,85.37,1166245
85,84.76,85.63,84.33,1588819
85.28,82.53,85.53,82.16,1966962
86.83,87.87,88.89,85.16,5186653
87.12,83.63,87.4,83.51,4474057
84.18,81.6,84.71,81.59,4398896
80.24,82.68,83.28,79.5,4030696
82.4,81.63,84.22,80.55,3134126
81.81,79.42,82.305,79.4,2431741
80.7,79.39,81.48,78.19,4178000
80.04,80.62,81.14,79.83,2120606
80.07,80.43,82.1399,79.63,995029
79.85,81.25,82.45,79.63,1239320
81.67,82.78,83.42,81.59,1095689
82.66,82.8,83.694,81.38,1270376
82.43,81.69,83.04,81.45,1629607
81.72,81.55,82.65,81.26,1681670
82.01,81.89,82.65,81.68,1182062
82.5,82.24,82.66,81.57,1096093
82.36,82.3,82.55,81.54,2039420
82.19,81.94,83.095,81.93,1522164
82.16,80.68,82.51,80.68,1449179
81.1,78.23,81.71,77.85,2817075
77.81,79.69,79.98,77.06,2476842
79.18,80.21,80.32,78.4,2352766
80.79,80.95,80.97,79.72,1943237
79.99,79.64,81.19,78.72,2020581
80.52,81.15,81.38,79.64,2357155
81.07,82.39,82.65,80.71,1856893
82.33,80.79,83.01,80.46,1607630
80.95,81.3,82.26,80.82,1770346
81.89,80.1,81.9199,79.96,1332500
80.25,79.54,80.68,79.54,1361949
79.7,80.98,81.3,79.5,1843086
80.75,80.45,80.99,79.1,1306668
80.7,80.42,81.87,80.02,1295043
80.58,81.49,82.1,80.19,1380989
80.64,79.37,81.36,79.28,1948378
79.68,78.16,80.12,78.09,1884894
80.18,81.1,81.43,79.08,3252271
81.24,78.99,81.6,78.49,2862695
79.09,79.05,79.43,77.86,2232399
79.61,79.92,80.65,79.25,2275249
79.47,77.68,79.63,76.51,1718779
78,77.86,78.28,76.39,3584513
76.48,78.57,78.67,76.14,2346853
79.32,79.24,79.52,77.92,1886796
78.35,75.28,78.92,74.97,3310950
76.05,75.24,77.17,75.12,1792147
77.2,77.58,78.19,76.72,2075784
76.9,76.47,77.51,76.28,1446496
76.8,76.74,78.05,76.66,1845284
77.35,77.26,78.34,76.8,1358937
77.89,77.44,78.14,77.255,1827149
78.23,77.24,78.72,77.22,1886139
77.71,79.19,79.41,77.4,1491998
79.15,79.15,79.67,78.56,1548673
79.32,79.08,79.6,77.74,1552043
79.24,77.82,79.63,77.62,1183444
78.43,75.9,79.3802,74.71,2464403
75.74,76.72,76.93,74.81,1968808
76.69,75.93,76.84,75,2725059
75.65,76.14,76.23,75.26,1902395
76.2,74.35,76.58,74.35,2975530
73.71,73.19,74,71.69,4822311
72.87,72.79,74.26,72.36,3486381
71.92,73.01,73.56,71.6201,3312759
72.56,74.87,75.299,72.31,2993875
75.01,74.66,75.07,74.08,3191226
74.8,74.82,74.99,74.29,1765970
75.11,75.65,75.72,74.72,1115308
75.82,76.46,76.58,75.45,2006360
76.45,76.48,77.32,76.06,1660818
76.76,76.59,76.95,76.27,1163478
