Open, Close, High, Low, Volume
83.36,83.33,83.8,82.97,847924
83.06,82.68,83.25,81.85,899595
83.02,83.79,84.09,82.94,2203027
83.68,80.78,84.09,80.4,1320296
80.89,79.15,82.51,79.13,718500
78.97,80.21,81.26,78.57,641819
79.89,80.12,80.78,78.01,719540
80.29,78.45,80.84,78.36,505327
78.68,78.05,80.85,77.98,400733
78.16,80.46,80.61,78,459281
80.75,81.16,81.17,78.74,582293
81.45,81.41,81.6,81.1008,519597
81.71,80.69,82.275,80.32,1334635
80.39,81.72,81.97,79.65,1135684
81.53,78.68,81.76,78.58,746934
78.78,79.92,80.7254,77.84,1049135
80.09,78.97,80.71,78.55,790174
78.85,80.14,80.52,77.95,666695
79.75,77.64,79.91,77.42,785565
77.45,77.34,79.49,77.13,1204700
76.92,76.41,79.2,76.38,677054
76.57,77.68,77.89,75.07,896166
78,78.52,78.72,77.78,1002990
78.54,75.99,78.6075,75.55,755709
76.14,75.21,78.2811,74.97,1002492
75.63,76.82,77.63,75.35,965787
76.97,77.63,78.3199,75.73,790071
77.62,76.7,77.67,76.61,1446594
76.7,76.27,77.49,75.41,706964
76.49,76.48,78.06,75.67,907786
76.21,75.05,77.47,74.98,757664
75.03,77.9,78.15,75.03,1322967
77.87,76.87,78.41,75.88,755321
76.63,75.34,78.0541,74.98,934045
74.95,75.99,77.46,74.73,743193
75.87,74.46,76.64,74.39,1116300
73.64,72.05,74.35,70.57,1659910
71.97,72.77,74.25,71.8,1221892
72.57,72,73.7,71.99,1093358
72.33,74.14,74.86,72.14,1222277
74.25,73.79,74.45,73.22,721877
73.71,75.06,75.28,72.89,526047
74.53,73.98,74.92,73.73,488990
74.29,76.32,76.4,73.85,723798
76.24,75.86,76.95,75.61,782663
75.41,75.42,75.86,74.48,561992
75.42,74.43,76.05,74.43,876639
74.7,75.03,75.83,74.3,1073344
74.81,77.77,77.86,73.55,1574266
77.96,76.93,78,75.71,703621
77,75.19,78.36,75.17,1411003
75.55,75.81,76.7123,74.98,1078237
75.87,75.88,77.23,75.15,1295844
75.81,76.53,76.81,75.66,1150615
76.46,78.59,78.85,76.05,1033760
78.38,76.85,78.38,76.48,1087834
76.55,75.9,76.85,75.38,1046804
76.17,76.67,76.935,75.37,1099520
76.82,76.77,76.95,75.35,1214150
76.92,76.36,77.13,75.81,701828
76.52,76.23,77.87,75.99,569965
76.46,77.51,77.7899,76.2,663764
77.53,77.53,78.415,77.19,679896
77.79,78,78.54,77.23,1127414
78,78.54,79.24,77.42,910494
78.36,78.75,79.01,78.21,867524
78.75,77.37,78.98,76.58,739107
77.46,78.36,79.8845,77.05,699449
78.62,77.36,79.15,77.19,520280
77.48,77.26,78.21,76.9,503092
77.34,79.29,80.0001,77.05,699122
79.57,79.01,80.05,78.65,717445
79.21,78.78,79.7,78.03,761329
78.96,78.88,79.889,78.28,794546
78.73,79.19,79.74,78.43,822311
79.2,79.24,80.04,78.64,746886
79.26,78.87,79.94,77.89,682163
79.13,78.97,79.74,78.3,651352
79,78.96,79.62,78.74,602433
79.17,78.49,79.7,78.32,1189064
78.46,78.44,78.88,78.16,520283
78.58,77.34,78.8172,77.15,493753
77.5,77.77,78.77,77.03,982191
78.06,78.74,79.61,77.95,816859
79.6,80.15,80.4,79.17,691166
80.31,78.67,80.62,78.61,997187
78.62,80.01,80.055,78.13,1342645
80.01,78.98,80.13,77.74,1070425
79.23,78.36,79.74,78.06,525712
78.65,80.06,80.89,78.53,1012083
79.38,78.53,80.15,78.08,935869
78.76,81.28,81.33,78.38,1236990
81.08,82.11,82.42,80.94,1175592
82.16,80.68,82.4396,80.66,706658
80.72,80.32,81.7238,80.09,635330
80.14,81.61,81.7,79.91,1059561
81.5,81.43,82.6135,80.75,1175703
81.42,82.18,82.59,81.13,660952
82.18,81.53,82.42,81.39,576975
80.93,78.51,80.96,78.09,1118647
78.65,78.01,78.902,77.58,697443
78.62,78.96,79.06,78.03,505223
79.15,78.85,79.22,78.67,299253
79.06,78.53,79.13,78.11,485042
78.16,77.54,78.38,77.09,672885
77.67,76.96,77.899,76.58,556894
76.99,76.25,77.15,76.02,714556
76.3,76.14,76.51,75.45,630540
76.43,76.24,76.48,75.78,624357
76.56,76.68,77.09,76.09,698181
76.92,78.73,78.79,76.79,1536294
78.52,79.49,79.55,78.19,940908
79.48,79.7,80.16,79.48,802091
79.57,79.63,80.46,79.24,1122129
79.51,80.32,80.41,79.185,1051463
80.41,80.91,81.13,79.89,1039011
80.68,80.11,80.78,79.6,1190482
80.37,78.29,80.53,78.25,959098
78.29,77.71,78.62,77.58,787657
77.71,76.38,77.84,76.23,561894
75.89,76.62,77.21,75.82,4275928
76.83,76.9,77.04,76.03,1611605
76.87,76,77.06,75.91,1714227
76.1,76.96,77.17,76.05,2011357
76.98,76.31,77.52,76.23,1129423
76.48,76.73,77,76.2,1148460
76.73,78.22,78.26,76.17,1795762
78,78.41,79.04,77.8,1058839
78.64,79.95,80,78.64,1599428
80,80.21,80.4,79.48,1496390
80.19,79.85,80.82,79.58,1236683
80.23,80.2,80.72,79.7,1226514
80.32,81.02,81.2,80.19,2028756
80.81,80.9,81.74,80.68,768335
80.9,81.72,81.91,80.786,1099758
81.71,81.22,82.14,81.07,1129571
80.95,80.79,81.19,80.21,1147260
81.09,81.4,81.46,80.49,971894
81.3,81.41,81.94,81.06,371772
81.54,81.99,82,81.06,603664
81.94,82.57,82.78,81.76,803792
82.66,80.16,82.66,79.86,1159289
80.15,80.94,81.32,79.55,695240
81.06,82.22,82.41,80.95,1119588
81.91,82.19,82.46,81.73,862386
81.97,81.89,82.37,81.55,733133
81.79,81.8,82.0008,81.16,549871
81.96,81.71,82.14,81.67,386646
81.75,80.55,81.83,80.29,870257
80.71,80.98,81.51,80.65,861885
81.02,80.52,81.17,80.01,678835
80.61,79.4,80.86,79.16,546838
79.12,78.98,79.12,77.59,1717959
78.9,79.25,79.56,78.71,821609
79.59,80.43,81.1,79.59,1179364
80.54,80.56,81.185,80.235,508818
80.45,80.34,80.67,79.84,1132784
80.62,81.22,81.38,80.09,1184079
81.03,81.81,82.99,80.7,2155536
82.05,82.75,83.38,81.3375,1421515
83.19,83.76,84.29,82.47,1496564
83.62,83.46,84.13,83.32,1015507
83.76,83.26,83.84,82.25,1259188
82.17,82.61,82.82,82.03,806833
82.6,83.33,83.43,82.42,1317688
83.56,83.39,84.17,83.36,877080
83.4,83.65,83.73,83.02,897148
83.7,83.96,84.23,83.27,1003189
84.24,84.14,85.11,83.82,1640564
84.12,85.14,85.17,83.71,1483508
84.97,85.32,85.62,84.81,846946
85.32,85.23,85.46,84.7781,518537
85.16,84.87,85.16,84.37,727889
85,84.31,85.31,84.01,590282
84.3,84.63,84.87,84.14,625576
84.55,85.08,85.13,84.12,418081
85.2,83.89,85.2,83.75,787354
83.87,83.63,83.98,83.295,1040908
83.53,83.45,83.82,82.86,1141966
83.78,84.32,84.52,83.6,1112007
84.21,83.58,84.66,83.27,824756
83.5,84.3,84.3,83.5,860774
84.43,84.96,85.0299,84.12,579291
