Open, Close, High, Low, Volume
53.86,51.18,54,50.59,2198546
51.41,51.85,52.88,50.21,2224141
51.96,50.07,53.25,49.26,1817970
49.75,48.28,50.8102,46.7336,3194455
47.54,43.68,47.8837,43.2643,4631680
42.29,43.13,44.28,42,1470707
43.31,46.87,46.95,43.18,3687335
46.03,47.34,47.35,44.8,1710103
47.76,47.25,48.38,46.04,1141431
47.9,47.45,48.58,47.34,1123719
46.23,46.96,47.73,45.28,1504564
46.33,46.1,47.56,45.71,1681880
48.06,49.69,50.8835,47.41,3789125
50.46,51.56,52.28,49.29,2894614
53.14,53.81,54,51.5412,2607987
53.91,52.725,54.8,52.55,1771654
52.15,51.39,52.2617,50.07,2717411
50.92,52.07,52.624,50.8001,1744441
51.5,52.0345,52.34,50.6,1182621
52.32,54.2401,54.3798,52.2512,1481214
54.62,54.53,56.42,54.34,2233119
53.71,54.59,55.08,53.56,1408164
55.04,55.73,56.39,53.73,1798073
55.3,53.35,56.11,52.7,1950698
54.01,53.66,55.37,53.66,1231924
54,54.31,54.46,53.26,716020
54.9,54.97,55.595,54.03,1205896
54.3,54.84,54.96,53.26,945860
55.01,53.54,55.88,53.09,1213047
54.12,54.15,54.43,52.62,1725641
53.94,54.69,55.24,53.94,1366289
54.37,54.41,54.97,53.7999,1714308
54.33,54.745,55.1499,54.2883,1982785
55.19,55.3,60.58,54.86,9715757
55.78,52.69,55.8,50.94,5407698
51.81,51.5617,52,50.14,1982772
51.06,53.13,53.43,50.5,2384813
53.79,53.15,54.33,52.7,1702751
53.94,55.73,55.78,53.85,2257540
55.96,55.025,57,54.09,1927088
54.16,54.09,54.53,53.39,1440684
54.48,54.63,55.14,54.0001,1716824
54.4,55.295,55.84,54.23,1294293
55.55,54.18,55.69,54.12,1563686
53.98,53.04,54.24,52.22,1818931
53.59,56.6718,56.93,53.51,3539020
59.85,58.99,60.5,55.86,8428027
64.94,68.55,69.5,64.25,22669219
68.23,71.72,72,68.05,6103654
71.65,71.26,72.4534,69.64,4607722
72,72.76,73.33,71.48,3163033
73.29,68.99,73.345,66.95,4983273
68.86,70.61,71,67.8941,2265897
70.19,70.04,71.09,69.26,1678508
70.26,67.23,71.91,65.746,6409372
64,67.8,68.25,62.03,3099489
68.3,70.64,71.28,67.74,2862920
70.51,71.14,71.68,69.3,1644020
71.61,70.16,72.39,69.93,2190273
70.2,69.91,70.8,69.385,1493121
70.5,69.87,71.5,69.65,2433357
69.87,69.56,70.19,68.53,1726144
70.21,68.5,70.4,68.28,1878258
68.26,68.9,69.72,67.9,1269862
68.56,69.47,70.15,68.56,1287202
68.97,66.025,69.25,65.5701,2120049
66.02,67.87,68.07,65.0534,1574590
68.47,67.71,69.05,67.44,1223729
67.66,65.48,68.03,64.95,1457366
66.07,67.13,67.2,65.17,1364834
67.42,67.19,68.5,67.0172,1024854
67.96,68.1,68.6,66.32,945993
68.5,69.73,70.6889,68.34,3395569
69.82,69.45,70.3,69.0133,1734506
70.14,68.3,70.35,66.05,2481851
68.85,68.21,69.14,67.8143,1156934
67.88,67.68,67.904,66.31,970711
67.41,66.69,68.2,66.6,1171274
66.8,68.22,68.92,66.8,976725
68.41,67.65,69.28,67.54,977751
