Open, Close, High, Low, Volume
59.79,60.23,60.77,59.7,1584502
60.34,60.52,60.87,60.07,1156365
60.73,58.35,60.94,58.27,2001842
58.75,58.24,59.45,57.98,1468306
58.37,58.11,58.67,57.68,1554215
57.96,57.99,59.25,57.11,2162453
58.04,58.27,59.5765,57.58,2432370
58.45,55.9,58.83,55.83,1193860
55.91,56.6,56.61,55.18,1412276
56.59,56.78,56.85,55.52,1516095
56.95,56.59,57.55,56.37,1408880
56.62,56.72,56.78,56.01,1133524
56.71,55.87,56.82,55.65,1298736
55.75,55.76,56.51,55.6,1168821
55.45,55.86,56.126,55.13,1819057
55.55,55.97,56.2,55.3944,1096898
55.89,56.62,56.8,55.89,1119288
56.42,56.06,56.69,55.59,1631984
56.37,56.89,57.15,56.07,995377
56.76,56.425,56.95,56.33,1753036
56.21,55.995,56.31,55.33,2592532
55.92,56.32,56.83,55.92,1997424
56.11,56.29,56.39,55.94,1698518
56.32,56.56,56.81,56.05,1421750
56.71,56.57,57.01,56.465,1935245
56.74,56.74,57.25,56.32,1209199
56.76,56.84,57.25,56.69,1711015
56.94,57.145,57.855,56.65,1292875
56.88,56.7,57.25,56.65,1623633
56.9,56.615,57.15,56.48,1132359
56.95,56.485,57.11,56.24,1151205
56.27,56.7,57.105,56.27,1236118
56.71,57.45,57.485,55.96,1501816
57.31,57.205,57.64,56.64,1216967
56.98,57.38,57.41,56.38,1136738
57.62,57.39,57.62,57.05,903853
57.38,57.16,57.38,56.9,1169218
57.32,57.595,57.83,57.25,1383477
57.65,58.055,58.23,57.4283,811533
57.89,58.04,58.3,57.89,646972
58.82,58.28,58.95,58.05,1413995
58.15,58.44,58.49,57.8801,698845
58.49,58.43,58.79,58.08,879098
58.89,58.78,58.99,58.52,985123
59.18,59.4,59.545,58.87,867828
59.16,59.87,59.94,59,1097260
57.01,55.48,57.09,54.57,7839506
55.28,55.64,55.73,54.58,2764912
55.77,55.78,56.02,55.44,2311053
55.45,55.48,55.87,55.18,1334504
55.52,55.9,56.32,55.52,1792927
56.05,55.02,56.09,54.71,1536798
55.58,55.27,55.84,54.73,1394599
55.07,55.07,55.46,54.6,1060015
55.25,54.85,55.32,54.73,1740485
55.17,55.39,55.46,54.78,2608095
55.55,55.77,55.98,55.22,2394742
55.85,56.33,56.405,55.75,1532404
56.48,56.73,56.99,56.24,1367101
56.5,56.92,57.09,56.3125,995550
56.88,57.12,57.7,56.78,1793893
56.91,57.68,57.925,55.9338,2339907
57.46,56.86,57.579,56.63,1280757
56.7,56.44,56.76,56.31,1326589
56.38,56.5,57.2,56.18,1175633
56.54,57.34,57.4,56.0201,898968
