Open, Close, High, Low, Volume
70.28,70.46,71.4,70,809800
70.32,69.64,70.93,69.25,830279
70.25,68.98,71.94,68.54,908834
68.58,66.68,69.1,66.47,1556025
66.69,66.44,67.17,65.73,1088868
66.81,64.711,67.53,64.68,1689698
64.77,63.135,64.94,63.08,591000
63.42,65.96,66.05,62.9,908285
65.04,67.03,67.04,64.65,760637
67.37,66.33,67.5999,66.11,573923
66.94,67.81,67.96,66.73,1055135
66.77,67.16,67.9,66.38,696010
66.73,65.02,67.975,64.56,1182556
66,66.88,67.45,65.9044,1109152
67.01,67.27,67.81,66.56,1273318
68.02,67.84,68.515,67.25,803184
68.34,68.64,69.335,67.99,1168567
68.36,68.72,68.745,67.72,752611
68.35,68.42,68.82,67.7,681609
67.76,68.34,68.42,66.805,682015
68.28,66.99,68.45,66.72,1347734
67.67,67.03,68.16,66.77,1405261
66.91,67.92,68.36,66.735,1061697
68.55,69.25,69.81,68.055,1407975
69.01,68.32,69.23,68.02,697244
68.4,68.36,68.49,67.77,959141
68.47,68.61,69.24,67.81,544682
69.12,69.305,69.56,67.03,460634
68.63,68.295,68.87,68.1484,603544
68.71,68.615,68.96,68.05,502340
68.91,69.405,69.64,68.06,537973
69.76,69.32,69.76,68.68,671871
69.48,69.68,70.31,68.75,583073
69.66,70.2201,70.26,69.54,426163
70.24,70.735,70.89,70.05,462455
70.72,70.59,71.32,70.475,481527
70.59,71.35,71.44,70.59,996486
70.79,71.01,71.34,70.56,1078542
71.14,71.24,71.4,70.905,738315
71.58,73.02,73.035,71.58,1220892
73.11,73.77,74.16,72.06,1026878
73.42,74.04,74.46,73.14,701943
74.37,73.56,74.37,73.34,1349285
74.61,75.03,75.13,72.92,1584684
74.97,75.58,75.69,74.32,972540
75.38,75.52,75.86,75.04,875948
75.68,75.78,75.98,74.851,776857
76,75.41,76.11,75.07,842582
75.41,74.68,75.6124,74.66,648692
74.57,74.75,74.8,74.08,542518
74.54,74.94,75.245,74.11,696710
75.43,75.4,75.68,74.84,758023
75.3,75.33,75.97,74.67,813441
75.52,74.97,75.81,74.95,722100
75.11,74.89,75.4454,74.715,872009
74.82,74.35,74.96,73.64,823325
73.73,74.51,74.57,73.21,1021876
74.49,76.17,76.19,74.49,973602
76.2,76.58,76.8823,76.065,999436
76.87,76.87,77.49,76.64,694592
76.98,77.01,77.29,76.34,776081
76.62,76.01,77.05,75.89,672897
76.19,76.55,76.64,75.71,652919
76.61,76.23,76.7375,75.69,724964
75.95,74.82,76.22,74.48,928289
74.54,75.9,76.08,74.495,503583
75.69,74.12,75.85,74.07,506474
73.81,73.69,74.25,73.05,1193326
74.04,74.02,74.29,73.66,1121525
74.12,74.3,74.52,73.8,1051130
74.36,74.96,75.04,74.36,534856
75.44,75.91,76.11,75.26,854473
76.44,77.59,77.68,76.26,453178
77.66,78.09,78.17,77.23,991103
78.15,77.77,79.24,77.57,999334
77.6,78.34,78.48,77.0101,831191
78.63,78.12,78.98,77.89,793392
77.95,78.24,79.25,77.74,501688
78.02,77.82,79.15,77.52,670827
78.02,77.79,78.14,77.34,601070
78.04,78.18,78.32,77.72,480330
78.71,79.07,79.07,78.32,496355
78.96,78.95,79.13,77.87,426874
79.05,79.82,80.15,78.72,809164
80.27,80.08,80.52,79.86,606954
80.08,80.45,80.69,79.64,750573
80.08,79.96,80.08,79.4177,498864
80,79.97,80.08,79.54,724037
80.02,80.51,80.64,79.91,804798
79.99,78.72,79.99,78.47,780833
78.69,79.27,79.32,77.9,540329
79.36,78.33,79.47,77.87,816725
78.37,79.42,79.55,78.19,1098242
79.32,77.09,79.32,77.06,1216161
77.12,78.23,78.24,76.6,752402
78.61,79.16,79.23,78.42,607787
77.84,78.71,79.16,77.37,1098106
77.1,75.71,77.1,73.91,1997727
75.93,74.92,76,74.6,1187004
74.14,74.26,74.91,74.03,1171668
73.95,73.79,74.38,72.55,1287025
72.45,72.11,73.095,71.9,1180170
72.3,72.83,73.66,72.11,1043143
72.48,73.32,73.72,72.33,1047279
73.47,74.37,74.74,73.37,1022670
74.02,74.54,75.53,73.78,1399261
73.92,73.85,74.11,73.33,792124
74.26,73.96,74.63,73.84,853151
73.52,72.89,73.66,72.32,467972
72.38,71.69,72.64,71.16,771500
72.03,71.72,72.26,71.2,482131
71.67,70.78,71.83,70.64,731073
70.62,70.4,70.65,69.475,1084550
70.48,70.32,70.94,69.54,703858
69.44,69.59,70.03,68.87,943781
70.82,71.49,71.52,70.45,868704
71.85,72.43,72.535,71.33,676080
72.16,71.74,72.63,71.215,766496
72.09,72.57,72.74,71.97,615855
72.88,73.7,74.42,72.75,1044787
74.03,73.02,74.43,72.77,934535
73.08,74.29,74.3,70.2994,1532895
74.41,74.54,74.99,74.14,1296399
74.54,73.98,74.67,73.3,1124903
73.87,73.11,74.35,73.06,606628
73.42,74.34,74.43,73.28,651184
74.34,75.34,75.51,74.315,768294
75.84,76.31,76.47,75.64,775536
76.34,75.39,76.34,75.311,836302
75.51,74.32,75.67,74.15,852770
74.35,73.8,74.82,73.67,611622
73.75,73.18,74.29,72.92,931347
73.42,74.75,74.85,73.42,494590
75.47,75.86,76.15,75.29,829954
76.99,75.99,77.15,75.375,727157
75.77,74.45,76.18,74.29,751200
74.47,75.5,75.5,74.359,483876
75.3,75.37,75.45,74.42,383151
74.95,75.02,75.47,74.5833,432777
74.31,73.52,74.79,72.94,1553582
73.7,71.62,73.96,71.565,1050150
71.69,72.42,72.53,71.37,1459361
72.77,74.15,74.18,72.54,1012701
74.12,74.11,74.31,73.72,669868
74.12,75.11,75.645,74.12,754858
74.89,73.64,74.89,73.63,832894
73.58,74,74.18,73.33,808200
74.39,74.97,75.34,74.01,981688
75.01,74.66,75.62,74.6,663668
74.94,75.42,75.44,74.21,681778
75.22,76.54,76.99,74.91,819587
76.44,75.4,76.71,74.96,549747
75.59,76.16,76.34,75.19,403735
75.88,76.19,76.23,75.45,374567
75.94,76.26,76.7973,75.56,436683
75.92,76.28,77.2,75.69,794625
76.16,73.31,76.17,72.79,1111508
73.22,73.18,73.76,72.65,730245
71.53,69.7,71.9,68.9,1644576
77.91,72.46,77.91,71.605,1438678
71.37,72.59,72.81,69.5,873865
72.85,73.16,73.37,72.29,700862
73.13,72.25,73.31,71.88,712865
72,71.09,72,70.96,612856
70.74,71.6,72.4,70.18,2426147
70.8,70.19,71.4099,69.85,1071511
70.4,70.4,71.02,69.91,978636
70.46,71.41,71.825,69.96,657765
72.5,71.72,72.57,71.63,455268
71.77,70.45,71.77,70.39,472334
71,70.61,71.2,70.44,556756
70.96,70.24,70.96,69.87,496980
69.67,68.32,70.2,67.97,1224153
68.87,69.45,69.72,68.39,840795
69.92,69.88,70.16,69.375,876640
69.89,70.65,71.05,69.425,563973
71.39,71.52,72.27,71.0503,403917
71.84,71.11,72.09,70.77,426179
70.6,70.18,70.99,69.83,558330
70.84,71.17,71.29,70.6364,523830
71.41,72.56,72.92,71.41,661289
72.86,73.25,73.45,72.6,672344
73.35,73.98,74.01,73.17,410623
74,75.55,75.55,73.55,826213
75.27,75.87,75.87,74.86,806364
75.65,75.22,76.05,75.06,689009
75.28,76.22,76.8,75.28,913914
75.72,75.39,75.9949,75.21,518286
75.46,75.36,75.5,74.42,367792
74.46,75.29,75.35,73.77,469567
75.07,74.59,75.38,74.22,314890
74.9,73.93,75.07,73.5,895331
72.99,72.59,73.41,72.345,745662
72.94,71.75,73.32,71.6,599874
71.96,72.88,73.11,71.635,536804
72.93,72.88,73.01,72.1068,492596
73.32,73.28,74.05,72.965,631716
73.32,74.25,74.4,73.15,835866
74.75,73.21,75.7,73.12,933042
71.95,70.98,72.23,70.73,778311
70.82,71.04,71.33,69.46,496573
71.15,71.48,72.06,70.8,1019678
71.34,70.83,71.37,70.51,933028
70.18,68.98,70.252,68.9,1332202
69.51,70.66,70.92,69.3,2198629
70.85,72.12,72.19,70.51,2799441
73.23,74.36,75.2,73.18,2210140
73.94,74.06,74.29,73.5,1277659
74.19,75.09,75.6,74.16,1888661
74.82,74.4,75.34,74.28,963283
74.84,74.4,74.95,74.25,775280
74.25,73.95,74.53,73.81,1612220
74.61,74.29,74.74,74.1547,368309
74.35,74.98,75.02,73.8,582786
75.11,74.98,75.555,74.01,619841
75,74.42,75.04,74.14,410303
74.38,75.23,75.35,74.38,367860
75.5,75.1,76,74.92,473688
75.1,75.07,75.42,74.75,407762
74.51,74.03,74.51,72.79,776279
73.9,72.94,73.91,72.6,799426
73.54,73.6,73.88,72.76,677152
74.21,74.74,74.875,74.06,1242391
76.16,77.555,81.15,75.25,2068628
77.26,76.99,78.25,76.42,1228578
77.22,77.21,78.15,77.05,725390
77.18,77.28,77.8,76.84,587421
76.76,76.61,77.07,76.11,451558
76.52,76.43,77.01,76.22,567407
76.24,75.8,76.24,75.39,881720
75.76,76.2,76.27,75.29,638067
76.61,76.39,77.08,76.18,870924
76.18,75.5,76.32,75.11,688523
75.95,75.88,76.055,75.12,556853
75.59,75.48,75.79,74.96,587901
75.44,74.715,75.58,74.5,612580
74.83,75.5,75.55,74.46,656126
75.81,76.59,76.62,75.31,726853
76.44,76.32,76.8,76.01,967896
76.27,75.76,76.5,75.55,702471
75.15,74.76,75.53,74.58,408349
74.835,73.77,75.58,73.77,1141906
73.1,72.51,73.7262,72.38,1357283
72.83,73.13,74.5,72.745,1245628
73.26,73.15,73.97,72.82,866907
74.1,73.53,74.17,73.28,528894
73.53,74.39,74.39,73.32,695899
74.52,74.13,74.52,73.83,652767
74.02,74.43,74.43,73.82,745699
74.37,76.35,76.605,73.845,864321
76.28,76.15,77.07,75.09,1014676
76.55,76.27,76.95,76,716308
76.23,76.59,76.63,76,980452
76.3,76.87,77.02,75.75,970350
76.59,76.56,76.91,76.17,516170
77.17,76.45,77.17,76.15,1032256
76.75,76.74,76.96,76.42,520123
76.7,77.31,77.35,76.65,205612
77.31,77.3,77.35,76.83,298440
77.54,77.51,77.74,77,258548
77.63,78,78.16,77.15,1042112
77.99,78.02,78.17,77.76,400616
78.62,78.35,78.73,77.62,775061
77.08,77.87,77.91,76.76,486091
77.09,76.8,77.435,75.82,633360
76.37,76.605,76.94,76.085,583187
76.7,76.37,76.94,76.05,634169
76.38,76.8,77.02,76.295,611100
77.09,77.21,77.67,76.85,706499
77.22,77.61,77.9,77.08,530266
77.67,78.73,79.15,77.54,777241
78.93,79.21,79.57,78.46,693054
79.55,81.34,81.64,78.79,1186559
75.79,76.82,78.33,75.46,2821163
76.47,74.04,76.88,73.59,2796732
74.26,73.64,74.5,73.13,2075144
73.66,73.96,74.195,72.59,1650828
74.42,74.35,74.615,73.49,1789198
73.1,73.96,75.09,72.95,1631045
74.14,73.85,74.33,73.5547,1357937
73.74,73.63,74.075,73.29,1031017
73,73.43,73.655,72.51,1182071
73.1,73.05,73.62,72.35,1679332
73.6,72.7,74.19,72.43,1170367
73.34,73.25,73.87,72.88,806016
73.64,73.68,74.805,73.5002,984280
73.93,74.05,74.42,73.26,775751
73.67,73.35,74.44,73.17,930917
73.11,72.78,73.45,72.5,785567
73.19,73.2,73.7952,73.065,648555
73.23,73.43,73.8268,73.13,473812
72.94,74.2,74.21,72.87,968506
74.27,73.39,74.63,73.04,1267258
73.88,74.43,76.48,73.41,1088414
74.02,76.18,76.57,74.01,1592107
76.18,75.46,76.73,75.14,1665103
74.88,75.42,76.2004,74.52,1520458
73.54,72.97,74.175,71.77,1573847
73.25,72.35,73.46,72.01,2182924
72.68,72.75,74.275,72.41,2078296
71.94,69.08,72.16,69.08,2183148
67.65,70.51,71.33,66.905,4137833
70.44,71.93,72.04,69.09,1762071
71.45,70.21,72.59,69.69,1624629
71.14,73.1,73.17,70.22,1299451
71.1,72.08,72.24,70.71,2782876
70.17,70.48,71.71,69.87,2530839
66.22,67.66,70.11,66,3256232
69.15,69.93,70.1,67.45,6554492
68.62,67.36,69.79,67,5338640
63.47,62.12,66.13,61.98,4114276
64.15,65.25,65.26,61.01,2691021
57.85,58.78,62.6,57.8,4738796
60.19,61.77,62.23,58,2868913
59.36,60.73,61.285,56.96,1962991
60.09,58.1973,61.49,57.7,3965628
58.6,54.95,59.36,52.85,2743004
55,55.86,57.56,52.55,2047070
57.6,63.09,63.67,57.56,2314569
63.63,64.38,67.2905,61.2705,3345903
64.73,65.22,66.02,62.5801,1667721
63.57,65.1,66.7,62.385,2523196
65.52,66.95,67.34,63.86,1213861
66.19,66.72,67.615,65.96,2413526
64.95,65.43,67.55,64.01,1435294
65.87,67.69,67.96,65.18,2759674
67.23,67.15,68.44,66.35,1615127
68.73,69.31,69.66,68.03,1472228
70.2,70.68,71.86,70.2,1517220
71.75,72.55,73,70.19,2587538
72.62,71.47,73.47,71,1344889
71.51,70.52,71.68,69.7,888365
71.28,70.62,71.85,70.23,3724346
69.87,68.8,70.18,68.57,4163482
68.92,69.93,70.24,67.56,5006297
71.6,71.74,71.93,70.13,3220349
70.97,70.63,71.72,70.16,1820551
69.82,69.7,70.42,69.16,2467542
70.78,70.48,70.78,69,1603695
70.35,70.22,71.73,69.707,3062219
70.49,71.93,72.07,69.51,2475993
72.21,72.35,72.77,71.68,3785070
72.96,71.89,73.23,71.75,1772756
73,72.52,73,71.105,2253240
72.05,71.605,72.4898,70.84,2022922
71,71.41,71.75,70.23,1018521
70.67,71.37,71.49,69.54,1378749
72.18,72.9,74.54,72.01,2925278
71.91,72.74,73.38,71.14,1163476
73.82,74.37,75.07,73.13,1884648
74.91,74.87,75.56,74.07,1764286
74.06,75.07,75.49,73.82,2195700
75.31,73.58,75.41,73.57,1865816
73.45,73.3,74.415,72.34,1079671
72.54,72.95,73,71.07,1146761
72.31,71.51,73.47,71.29,4390954
73.18,73.69,73.81,72.35,3784852
74.04,71.91,74.04,71.85,1093632
72.81,72.73,73.895,72.46,993827
72.28,72.22,72.89,72.06,1437272
72.06,72.06,72.25,71.09,1461280
73.2,73.67,74.475,72.451,816421
75,75.375,75.463,74.01,1871520
75.5,75.64,76.41,75.13,797392
75.01,76.46,76.5,74.42,1135424
76,75.59,76.36,73.63,1365662
76.19,77.16,77.19,76.07,1696390
77.75,78.42,78.73,77.32,1568890
78.34,77.58,78.99,77.24,943369
78.75,77.89,78.9,77.815,1069195
77.64,77.89,78.9,77.43,1432082
77.4,78.22,78.443,76.79,1959302
78.61,77.95,78.61,77.56,1161505
77.53,73.59,77.72,73.53,2734828
74.4,73.68,75.33,73.67,145094
72.14,74.22,74.43,71.94,1829134
75.63,73.98,77.36,73.54,2149233
74.5,73.98,75.05,73.55,1953974
74.08,73.59,74.745,73.41,1438114
74.48,73.56,74.74,72.415,1099523
73.11,74.58,75.28,72.13,1444156
75.44,75.41,76.07,74.6,785953
75,73.61,75.47,73.49,1051687
73.45,72.99,74.08,72.3,888352
72.84,73.59,74.01,72.58,1303601
74.12,74.37,75.07,73.69,664101
74.62,76.04,76.36,74.43,759981
76.7,76.18,77.78,75.1,1035098
76.7,77.2,77.53,76.31,655520
77.95,77.26,78.41,76.79,747829
75.7,77.22,77.58,75.146,871406
77.06,76.46,77.8,76.09,651697
76.68,76.97,77.29,75.91,622988
77.32,77.56,77.93,76.01,542149
78.29,77.19,78.58,77.06,617340
77.44,78.11,78.36,76.73,599571
79.02,79.84,80.03,78.24,753573
79.89,79.14,80.19,79.03,622066
79.57,79.63,79.99,79.33,598092
79.38,79.42,80.01,78.93,586722
79.59,79.86,80.48,79.23,821993
79.96,79.51,80.14,79.34,432590
79.87,80.38,80.5,79.49,797234
80.38,80.24,80.73,80.03,443879
80.11,81.09,81.17,79.69,699421
81.05,79.51,81.13,79.41,505269
81.5,83.79,83.94,80.99,1280328
83.5,83.01,83.79,82.08,815373
82.87,84.51,84.9,82.65,1684345
84.35,85.74,85.88,84.31,1889971
86,86.85,87.65,84.21,1568884
81.69,84.04,85.975,81.51,1891631
84.54,84.53,85.07,83.97,956856
84.69,85.435,85.705,84.5,1062422
84.99,85.19,86.03,84.69,1158883
85.56,85.7,86.665,85.19,1203303
86.52,86.15,87,85.96,843724
85.94,85.98,86.2,85.14,973028
86.18,86.095,87.135,85.31,559679
86.27,86.53,86.98,86.12,553658
86.46,86.86,87.16,86.26,573647
86.98,87.18,87.74,86.8358,535920
86.51,86.84,87.18,86.32,769350
86.74,86.29,86.95,86.06,903250
86.83,87.11,87.15,86.42,578328
87.45,87.41,87.64,86.9,532553
