Open, Close, High, Low, Volume
118.55,118.29,119.37,117.54,788735
117.67,116.93,119.25,115.65,1208248
117.84,118.23,119.515,117.11,978900
118.58,115.14,120.96,114.12,1742057
115,114.32,115.84,112.68,1194237
114.19,110.18,115.38,109.93,2544715
109.71,109.1,110.59,108.41,659384
109.81,114.16,114.4,108.64,1672360
112.27,114.26,114.48,110.55,1265432
114.07,113.2,114.99,112.51,1150907
114.33,112.0999,114.6,111.53,894363
110.4,111.77,113,110.2,1071663
111.17,108.7,112.0299,108.11,1328340
111.04,112.99,114,110.56,1947306
112.8,114.61,115.25,112.38,1086518
115.44,117.01,117.25,114.41,1470802
113.66,114.61,115.39,111.5,2620909
113.48,114.08,114.77,113.02,1187872
113.49,114,114.2,113.07,817611
112.85,115.39,115.41,112.435,1230176
115.4,116.6,116.91,114.97,1081278
116.7,115.615,117,115.26,639909
115.46,116.6,117.475,114.9,867731
118,118.41,119.46,115.76,903424
117.03,115.22,118.005,114.295,1005214
116.05,116.63,117.34,115.07,726092
116.54,117.46,118.28,115.96,707998
117.75,117.07,118.06,117.05,1023231
115.8,117.03,118.16,115.37,762760
117,116.99,117.85,115.83,620942
117.89,119.375,120.09,117.25,996651
119.12,119.245,120.86,117.9401,1063066
119.52,121.97,122.06,119.36,1239692
121.78,123.4301,124.57,121.69,1652867
124.24,126.12,127.03,123.9284,2028578
126.6,127.87,127.92,125.36,1699733
127.18,127.83,128.41,126.28,2309481
135,130.5,135.13,129.06,5473022
131,126.52,132,126.35,2163108
127.64,126.72,127.85,125.86,2069674
125.99,127.45,127.5,125.08,1488057
126.08,126.78,127.81,125.5,1022328
127.25,127.13,127.84,126.44,1158617
128.28,128.59,129.67,127.97,860814
128.33,128.12,128.81,126.61,1026519
128.28,126.98,129.34,126.72,1094506
127.82,126.12,128.23,125.74,1188949
125.95,127.54,128.32,125.46,1425752
126.9,128.24,129.115,126.86,1520130
126.3,123.31,126.92,122.8129,2283481
125.18,125.25,125.84,123.98,1217023
126.04,125.02,126.45,123.62,1075650
125.06,126.02,126.5,124.21,1138181
125.93,125.28,127.5,124.63,1273237
125,123.14,125.43,122.47,1564975
121.77,121.31,122.47,120.71,1130800
122.06,121.87,122.07,120.33,1402562
121.98,120.54,122.29,119.28,1309587
120.52,120.44,121.43,119.53,1131417
121.02,120.82,121.405,120.14,948385
121.92,121.49,122.29,121.06,950553
121.45,121.16,122.2951,120.88,1122546
121.43,122.24,123.39,121.15,1010199
122.55,122.48,123.03,121.3501,641319
122.49,124.1,124.27,122.04,760284
123.7,121.64,124.28,121.56,1066318
120.93,122.1,122.46,120,900780
123.17,122.08,124.415,122.04,1542824
122.63,119.8,122.63,119.52,1660347
120.02,119.05,120.25,117.97,1218752
119.85,119,120.74,118.93,1374343
120.55,120.25,120.74,119.78,856093
120,120.46,121.04,119.85,1778724
121.5,122.08,122.46,121.045,1706753
122.23,122.56,123.07,121.69,693443
123.16,122.57,124.09,122.17,871666
122.25,123.21,123.32,122.09,658367
123.11,123.94,124.25,122.54,720574
123.85,124.2,124.35,122.15,649287
124.47,124.6,125,123.9431,578654
125.1,125.8,126.29,124.75,922765
126.19,125.45,126.19,124.28,708257
127.96,125.97,128.24,125.79,1910353
126.59,124.81,127.06,123.15,1653189
125.17,124.57,125.17,123.68,1035700
124.34,124.35,124.76,123.78,991309
124.45,125.88,126.48,124.1,1233872
126,124.495,126.5,124.31,911392
124.62,125.18,126.39,123.96,1092230
125.89,127.83,129.2,125.32,1512342
127.61,129.98,130.64,127.59,1480702
129.39,129.86,130.1,128.66,1329677
130.03,128.81,131.71,128.69,1470276
128.56,128.24,128.93,126.47,1837165
122.98,127.1,127.18,122.98,3595809
124.52,124.06,125.94,123.45,1765144
123.1,122.85,125.34,122.47,1960142
122.23,121.88,122.8,120.6,1412880
120.06,119.35,120.87,118.27,1337296
120.23,118.76,120.62,117.2,2067499
116.17,116.77,117.03,115.07,1856124
117.55,119.56,119.9225,117.0501,2040263
118.7,119.11,120.95,118.32,1591043
119.33,118.22,120.44,117.995,1404128
117.75,116.26,118.22,116.02,1610332
115.24,116.47,116.965,114.475,1938728
117.25,117.48,117.909,116.38,1266785
116.26,116.77,117.75,116.26,862779
114.58,116.42,117.39,114.58,1241437
117,116,117.74,115.69,1187706
116.04,115.96,117.22,115.63,1094141
115.44,116.02,116.5,115.17,1348621
116.11,116.07,116.81,115.7,1009393
115.17,114.96,116.14,114.86,1192542
114.62,116.09,116.92,114.62,1505615
117.01,120.1,120.4,117.01,1831084
120.2,120.58,120.62,118.78,1402955
121,120.5,122.23,119.4301,1823873
120.88,122.6,122.94,120.56,1093275
123.2,121.76,124.49,121.54,1287907
122.51,123.02,124.16,122.5,1114098
122.89,124.25,124.51,122.3501,971150
124.91,125.63,126.34,124.48,2264948
125.79,126.81,127.84,124.92,2630187
126.63,127.05,128.4,126.12,1184425
127.69,127.59,129.17,127.37,1091327
127.34,129.65,129.94,126.95,1524252
130,129.58,130.8,129.07,1156125
129.68,130.45,131.14,128.65,1059162
131,130.23,131.95,130.1201,843642
130.82,129.76,131.6,129.69,868677
130.04,127.65,130.71,127.52,1325232
128.39,130.14,130.32,127.95,940148
130.84,133.02,133.29,130.53,1195796
133.95,133.24,134.2,132.12,1162984
133.23,134.04,134.05,132.32,963755
133.91,134.845,135,133.0601,430166
134.16,135.15,135.17,132.92,625048
134.58,132.5,135.03,132.13,874942
132.16,133.44,133.71,132.16,660741
133.83,133.3,134.31,132.77,983404
133.33,133.94,133.99,132.874,826359
134.11,134.58,134.76,133.71,887514
135,134.71,135.2,133.9,935912
135,136.37,136.54,134.6,1201039
136.14,135.12,137.16,135.11,877855
134.13,136.45,137.14,134.117,1192686
136.5,135.1,137.38,135.06,1319680
134.82,136.02,136.74,134.5,1480948
136.5,137.31,137.63,135.99,1103812
136.81,137.8,138.43,136.02,1659329
138.41,138.27,139.49,137.77,2079508
140.98,139.43,144,138.73,4369675
138.9,138.73,139.98,137.27,1900470
