Open, Close, High, Low, Volume
86.82,87.55,87.71,86.5,701175
87.61,87.61,88.32,87.44,490925
87.5,86.21,87.73,85.89,763284
86.08,85.67,86.56,85.61,590046
85.83,85.16,86.07,84.9,515887
85.36,86.1,86.12,85.065,313730
86.31,86.81,87.05,85.9,388348
87.03,87.39,87.74,87.01,277793
87.5,87.75,87.91,87.05,358222
87.83,87.46,88.03,87.36,426267
87.75,85.69,87.83,85.55,626366
85.78,85.9,87.015,85.5,480126
85.76,84.3,86.09,83.82,505873
84.44,83.89,84.7444,83.8101,372359
84.1,85.17,85.36,83.96,884232
84.86,83.09,85.44,83.0098,826107
82.74,82.36,82.79,80.4801,836849
82.38,82.25,83.16,82.001,566664
82.28,82.22,82.29,81.36,494166
82.36,82.69,84.11,82.36,576158
83.03,83.46,84.04,82.875,698288
83.46,82.69,83.46,82.13,809989
82.79,83.64,83.65,82.54,650368
83.8,85.14,85.43,83.33,980986
85.38,86.69,87.04,85.13,873621
86.69,85.58,86.99,85.07,572012
85.22,85,85.3,84.24,666775
85.25,84.2,85.25,83.78,763722
83.91,82.8,83.91,82.34,917639
82.32,82.92,83.29,81.66,717073
82.94,83.5,83.89,82.72,1488352
83.54,82.05,83.54,81.72,965449
81.6,81.85,82.5499,80.65,798898
81.37,79.89,82.17,78.92,816152
79.06,79.75,80.89,77.6,945359
79.52,80.4,81.1,79.28,841754
80.25,77.58,80.6,77.53,805828
78.17,80.39,81.1,77.63,1802417
80.67,80.77,81.09,78.61,804749
80.8,82.59,83.02,80.72,661656
81.46,81.2,81.67,80.18,735545
81.71,82.52,82.87,81.45,712169
82.37,82.19,83.16,81.37,903949
81.95,80.75,82.49,80.61,899848
82.63,81.45,86,81.4,2204531
81.77,84.53,84.71,80.18,968941
84.72,86.6,86.63,84.43,544707
86.99,86.65,87.79,86.36,1001422
86.86,84.87,87.24,84.87,736077
85.36,85.03,86.55,84.8,570929
85.12,85.81,86.86,85.02,652388
85.88,85.01,86.3,84.17,546381
84.64,86.205,87.02,84.64,613958
85.99,86.25,86.59,84.7201,523439
86.12,86.19,86.87,85.54,345015
86.28,87.04,87.13,85.73,404169
87.49,88.18,88.19,86.63,475245
88.26,87.56,88.26,87.29,806589
87.78,87.89,88.24,87.11,1284244
87.34,86.19,87.549,85.81,645128
85.93,86.22,86.47,85.64,653068
85.96,85.97,86.28,85.7,1170181
85.98,85.08,86.02,84.38,880387
85.34,85.52,86.17,84.99,615655
85.43,85.17,86.14,84.46,613333
85.18,84.3,85.74,84.23,642204
84.11,82.98,84.7,82.8,597831
83.67,84.36,84.56,82.87,1057528
84.37,85.57,86.67,83.45,795444
85.97,87.37,87.8,85.675,847956
87.16,87.35,87.73,85.74,788695
87.49,85.77,87.57,84.98,654968
85.82,86.47,87.075,84.73,469961
86.11,87.7,88.18,85.74,698511
87.58,87.81,87.93,86.08,822550
87.85,86.82,88.35,86.58,400610
86.8,86.87,87.53,86.65,415247
87.26,87.56,88.18,86.66,482563
87.47,87.52,87.95,86.75,797400
87.56,85.49,87.56,84.93,631411
86.06,87.09,87.17,85.51,605697
87.25,87.35,87.94,86.74,474426
87.55,89.12,89.59,87.46,739234
89.14,89.55,89.62,88.82,716696
89.25,87.41,89.25,86.75,716561
87.51,86.1,87.61,85.89,515563
86.16,85.9,86.67,85.5,389295
86.14,86.69,87.08,85.77,503478
86.39,86.28,86.87,85.5601,449681
86.51,88.47,89.1,86.51,797709
88.19,89.79,90.04,88.13,480917
90.17,89.58,90.4,89.11,418320
89.66,90.5,90.57,89.635,927654
88.99,89.57,90.96,87.69,1178575
89.94,91.735,92.15,89.251,1372218
91.58,92.16,92.32,91.055,622908
92.31,93.43,93.54,91.85,597829
93.67,93.56,93.95,92.41,507920
94,94.33,94.36,93.48,269593
94.95,95.15,95.38,94.4601,348024
95.42,95.24,95.96,95.015,602671
95.15,94.36,95.17,93.7,535046
93.89,92.53,93.89,92.15,534293
92.73,92.19,92.89,91.73,549369
92.09,92,92.43,91.63,355059
91.98,91.99,92.33,91.25,381518
92.32,92.97,93.11,91.67,469108
92.85,92.59,93.31,92.05,681005
92.86,93.76,94.24,92.735,865587
93.69,95.1,95.11,93.42,1042905
95.1,95.13,96.18,94.93,640893
94.93,95.65,96.18,94.62,732156
95.3,96.94,97.34,94.67,470807
96.8,96.26,96.82,95.94,495536
96.49,96.6,96.63,95.52,438012
97.17,98.82,98.95,96.73,627518
98.88,97.71,99.56,97.62,670184
97.21,97.47,98.24,97.19,711841
97.67,97.75,98.04,97.07,456285
97.88,98,98.56,97.52,410076
97.95,97.86,98.26,97.16,475746
97.63,98.43,99.42,97.3,537331
98.61,96.96,99.19,96.33,947230
96.73,97.56,97.97,96.5,447119
97.63,96.72,98.05,96.58,525736
96.86,97.19,97.6,96.59,443084
96.81,97.37,98.03,96.73,443083
97.45,98.19,98.65,97.3301,539699
98.41,99.69,99.75,98.08,601454
99.72,99.27,99.92,99.22,462795
99.79,100.01,100.775,98.88,1090733
100.2,100.96,101.955,99.635,1169597
101.28,99.64,101.79,99.57,770739
99.98,100.1,101.43,99.64,658159
