Open, Close, High, Low, Volume
143.34,144.05,146.01,142.51,19303910
143.08,140.29,144.92,138.42,18315886
141.08,143.67,145.93,139.8301,20912539
141.21,133.35,144.91,132.5,54364716
130.7,133.46,135.57,1.34,37322427
133.39,124.95,134.9,123.42,51155133
123.1,123.51,129.74,123.02,20142318
126,134.16,134.24,125.89,35132659
132.44,134.5,134.99,129.67,26402623
135.34,132.9726,135.92,132.2,19158988
134.45,130.29,134.64,129.95,20878888
128.99,135.41,137.51,128.56,25465924
134.69,131.8902,137.17,131.12,18011900
134.01,137.94,138,133.75,23927539
137.45,138.23,138.87,135.91,16261533
139.89,142.5843,143.14,139.54,22239823
142.95,144.25,144.7,141.27,18404347
143.08,144.15,144.56,140.84,13885316
143.15,143.7205,145.36,142.57,10819759
142.08,145.63,146.57,141.27,17231093
146.01,148.82,150.68,145.99,21340466
149,147.43,149.6499,146.9975,15596801
146.95,148.0684,149,146.5,13965026
149.75,149.99,152.43,148.55,28961698
149.2,147.245,151.53,146.37,18121895
148.28,144.07,148.8,143.055,18612594
144.64,145.74,146.44,142.52,19111339
147.48,149.0944,149.83,146.54,17851615
148.05,147.37,148.96,146.21,12571121
148.09,144.115,148.1,143.43,16035997
146.22,150.3,150.95,145.6953,27203498
165.53,166.8,171.68,165,70441723
165.84,165.83,169.1,165.66,27891288
165.7,168.935,169.28,163.62,17419943
169.15,170.9434,171.98,168.69,17737618
171.2,170.48,172.47,169.27,11931265
168.27,165.97,169.24,165.25,15099844
164.47,167.2,167.25,164.21,10893793
168,165.59,168.3,165.08,9543009
166.86,164.94,168.34,164.5,14374841
165.38,164.08,166.22,163.73,12848891
163.19,163.97,164.8697,162.2468,10479806
164.51,162.4101,164.7,160.86,14725469
160.5,162.1166,164.15,160.33,12160154
162.25,162.62,163.72,161.25,10525664
162.01,160.09,162.24,159.59,13276948
160.58,161.84,162.41,160.31,11588766
163.07,164.63,166.07,162.9,15768987
164.335,164.05,166.24,163.8,12423077
162.9,162.81,163.8025,160.41,10796534
162.37,161.5,163.5,160.86,9056941
162.6,162.28,163.132,161.69,9311399
163.9,167.47,167.5,163.83,17156727
167.31,171.25,171.88,166.55,24266138
172.9,172.51,173.57,171.27,18843395
171.5,169.14,171.74,167.61,15649857
166.2,169.6,169.62,165.97,11357699
171.6,171.98,174.3,171.58,15351838
172.09,171.94,173.8,171.2178,10609535
172.63,173.37,174.03,172.12,9607015
169.76,170.26,171.15,168.16,14802757
164.48,166.01,166.71,164.27,17501846
163.57,160.47,163.9,159.28,32864620
