Open, Close, High, Low, Volume
164.28,166.21,167.82,164.08,671453
167.03,162.18,168.83,161.29,458381
161.93,158.3,162.36,155.35,702550
158.77,154.59,160.76,154.33,623595
153.75,150.09,155.14,150.03,476694
151.38,157.32,157.38,149.8738,382161
155.54,160.49,160.57,154.4,346046
161.18,160.51,163.09,159.5,286663
162.04,161.29,163.38,160.5,239276
158.19,160.95,162.91,158.19,414153
159.61,154.41,160.17,153.91,582765
156.7,159.79,160.13,156.27,546032
159.95,163.81,165.47,159.64,412301
165.17,164.715,166.37,161.95,377783
165.91,165.98,167.32,164.82,329592
163.94,165.47,166.9,163.94,445898
163.75,163.62,164.625,161.35,790520
161.92,162.71,163.84,161.03,491348
163.42,163.03,164.25,162.22,475486
163.18,161.99,165.015,161.06,604389
156.9,156.42,158.305,153.55,1052076
157.54,158.55,159.34,156.7,985454
155.94,157.02,159.16,153.69,681478
158.34,159.24,160.76,155.85,939557
151.86,156.02,159.55,151.001,1560749
157.93,158.5,159.84,156.79,588109
157.15,158.75,158.8,155.52,489844
159.26,157.56,159.34,157.43,365462
158.03,159.73,160.4,156.525,484550
159.31,160.89,161.66,159.31,573353
160.79,160.84,161.9,160,561540
159.5,162.68,163.12,159.5,520277
162.96,162.35,163.91,162.25,272558
162.24,163.97,164.46,162.17,302193
162.67,159.53,163.214,158.7,283320
158.83,160.63,161.19,157.88,330678
161.31,163.12,163.24,161.1,302947
163.63,165.21,166.52,163.6,341637
165.93,166.765,166.97,165.23,334754
166.38,168.78,169.89,165.51,649652
169.18,171.23,171.71,168.5,499870
170.68,169.67,171.27,169.34,460163
169.94,168.23,170.45,167.59,407845
168.27,169.82,170.04,167.19,373302
170.64,172.08,172.14,170.26,275120
173.19,171.61,173.44,171.42,247955
171.6,171.815,172.67,171.06,306218
171.46,171.38,171.78,169.89,197151
171.25,168.17,171.45,167.92,481493
167.6,166.53,168.33,165.42,519028
166.97,163.35,167.29,161.71,496246
163.24,162.18,163.4,161.97,392611
161.92,161.1,162.14,159.95,446570
160.63,158.95,161.245,157.91,456888
157.59,157.99,158.08,155.66,508223
158.61,162.03,162.16,158.61,430534
153.64,149.67,154.7,148.905,2143819
149.78,151.75,153.12,149.15,1033925
152.99,153.23,154.68,152.18,475780
154.15,153.69,154.87,153.48,365337
153.56,154.38,154.99,152.98,364745
155.33,154.4,156.15,153.7,450126
153.79,153.43,154.34,151.4,321501
153.49,155.85,156.55,153.49,413812
155.54,152.29,156.49,152.09,501982
151.7,151.17,152.62,150.14,355747
152.5,152.88,153.85,152.155,580675
152.62,152.06,154.29,150.51,461253
152.41,153.72,154.42,151.23,413455
156.73,156.9,157.35,155.01,631847
163.8,161.47,163.8,158.355,364643
161.47,165.33,165.89,158.4144,782423
167,166.75,168.3,165.82,491442
166.72,165.99,167.44,164.32,472153
166.6,167.36,167.43,165.81,371885
167.05,167.89,167.91,165.43,244879
167.53,165.7,167.86,165.27,475103
165.43,168.17,168.19,164.98,502633
168.42,167.3,168.84,166.66,280620
168.29,166.97,168.69,166.75,598692
166.82,166.56,167.47,164.76,447976
167.26,166.12,167.39,165.54,395760
165.18,164.46,167,164.28,446936
164.34,163.4,164.85,162.04,385267
163.4,163.75,163.97,162.5,305110
163.4,163.96,164.53,162.24,509035
163.95,164.26,166.635,163.75,737939
156.55,162.47,168.94,156,891918
161.89,159.79,163.23,159.54,407840
160.26,159.07,160.625,158.56,301704
158.8,156.9,158.91,156.43,404759
157,152.26,157,152.2,778762
151.58,152.36,154.445,150.37,521718
152.74,154.4,155.17,152.2,555325
151,152.93,153.29,150.295,484787
