Open, Close, High, Low, Volume
93.81,94.835,94.97,93.52,1238726
95.49,95.26,95.75,95.065,1065668
95.38,95.01,95.54,94.58,988208
95.53,95.08,95.88,94.96,633427
95.27,94.87,95.7,94.71,526808
94.72,94.32,95.05,94.31,592543
94.21,94.12,94.38,93.87,375453
94.46,93.99,94.61,93.835,412765
94.21,94.28,94.47,93.855,650544
94.56,94.14,94.56,94.11,413323
94.31,93.73,94.62,93.25,879770
93.64,94.23,94.45,93.57,1020452
94.33,94.95,95.565,94.33,1295692
95.14,95.42,95.49,94.43,1352784
95.38,95.74,96.35,95.06,843617
95.79,96.03,96.17,95.53,815416
96.03,97.27,97.29,95.45,1705175
97.33,97.78,97.8,97.06,886312
97.86,97.63,97.99,96.91,889148
97.8,97.18,98.36,96.95,1010385
97.77,97.61,97.965,97.25,1007045
97.95,97.54,98.06,97.51,808379
97.87,98.48,98.59,97.6341,779640
98.63,99.19,99.2,98.41,766739
99.03,99.16,99.81,98.94,650697
99.6,100.55,100.81,99.22,1140778
100.66,101.5,101.8,100.5387,909668
101.8,102.86,103.07,101.56,926384
102.91,102.7,103.65,102.5,840522
102.36,102.66,103.08,102.18,810626
102.67,102.38,103.18,102.17,941103
102.3,102.1,102.89,101.72,894670
101.56,100.81,102.2225,100.78,1132591
100.59,97.26,101.41,97.03,1875444
95.35,95.71,96.2125,92.4466,4607211
95.74,96.77,98.21,95.48,2371140
96.82,92.75,97.99,92.69,2325845
93.39,95.03,95.72,92.12,1702646
95.77,95.17,96.38,94.9,1117389
95.08,96.16,96.29,94.425,830496
95.68,96,96.405,95.33,1235562
96.32,96.57,96.57,95.53,1161547
96.54,97.82,98.16,96.54,706548
97.24,97.32,98.01,96.291,920993
97.55,97.16,98.92,97.14,848943
97.64,98.02,99.15,97.26,1345682
98.61,99.84,99.84,98.08,1084005
100.01,99.93,101.1,99.71,1704910
99.95,98.44,100.22,98.43,852317
98.5,97.15,99.49,97.15,1122988
97.25,95.93,97.57,95.52,937827
95.28,96.88,97.06,94.75,760943
96.24,99.59,99.63,96.24,1519739
99.82,98.72,100.18,98.44,1042467
97.91,98.59,98.75,97.79,894616
99.14,99.28,99.35,98.5125,850329
99.9,100.76,100.83,99.39,1075938
100.78,101.22,101.59,100.3,1212236
101.22,100.42,101.69,99.99,935489
100.39,100.34,100.98,99.85,818547
100.39,100.11,101.05,99.85,539323
100.28,100.61,100.88,100.26,746621
100.39,100.07,100.7,99.38,439918
100.34,100.93,101.05,99.85,653064
101.11,100.57,101.74,100.48,771920
99.97,97.52,99.97,97.41,1267484
97.63,94.85,98.295,94.84,1117207
95.95,96.17,96.35,94.55,1201587
96.54,94.67,96.79,94.08,890365
94.86,95.33,96.01,93.95,1122578
95.73,96.3,97.2101,94.95,706114
95.9,94.69,96.57,93.92,1781318
94.78,94.99,95.34,93.87,2033578
93.8,96.02,96.21,93.71,1476153
96.64,97.45,97.995,96.49,1277699
96.58,95.5,97.08,95.12,1010537
96.04,95.98,97.36,95.4001,967287
97.09,96.83,97.63,96.54,773654
96.08,96.32,97.42,96.05,672234
96.92,96.67,97.17,96.45,460624
97.31,96.25,97.41,95.86,404894
97.06,97.27,97.54,96.5,548646
97.88,97.58,97.88,97.22,957700
98,97.49,98,97.33,799054
97.43,97.05,97.8,96.6,585518
96.84,96.04,97.22,95.78,791933
96.43,95.71,96.63,95.46,722594
95.95,94.8,96.28,94.3675,900346
94.8,94.13,94.835,93.87,1064873
94.7,95.08,95.5,94.52,1105018
95.09,94.69,95.59,94.54,1459573
95.13,94.99,96.31,94.895,2220315
97,99.66,99.71,96.37,3418708
99.76,98.48,100.12,98.11,2209632
98,99.4,99.46,97.77,1670501
99.02,100.64,100.84,98.605,1600021
100.65,102.2,102.25,100.475,1595527
101.8,103.18,103.5,101.71,2123663
103.39,103.875,103.93,102.94,1758860
103.7,104.92,105.02,103.64,1358634
104.73,104.86,105,104.05,1458645
105,104.67,105,104.11,1123276
104.15,104.69,104.72,103.36,1195317
104.7,104.81,104.98,104.17,839656
104.51,103.82,104.95,103.55,1225310
103.75,104.12,104.55,103.6,652308
104.72,104.45,104.905,104.22,509951
104.49,103.51,104.49,103.12,752612
103,103.87,103.93,102.7001,673016
103.96,103.79,104.19,103.3,714185
103.76,103.46,103.85,103.35,492448
102.89,102.38,103.01,101.82,555182
102.54,103.26,103.63,102.54,840800
103.32,102.22,103.56,102.1301,1006082
102.95,103.19,103.3935,102.65,734470
102.92,103.77,103.94,102.92,773695
104,104.8,104.9,103.8,779552
104.95,107.02,107.06,104.65,1111271
106.93,105.47,106.93,104.7,695303
105.47,106.12,106.17,105.13,506242
106.09,105.86,106.1299,105.66,482677
106.04,107.16,107.2,105.43,963274
107.17,107.09,107.88,106.8,878964
106.92,107.73,107.81,106.825,970961
107.72,107.44,107.72,106.56,1328850
106.74,107.25,107.35,106.14,608883
106.45,107.37,107.46,106.14,913012
107.6,107.01,107.79,106.82,637284
107.16,107.37,107.9,106.99,780891
107.58,107.63,108,106.87,598174
107.27,106.56,107.49,106.06,1093703
106.53,106.11,107.05,106.06,1170160
106.46,104.86,106.6,104.8,1011874
104.76,105.7,106.68,104.76,1088477
105.9,106.04,106.8,105.8,1136760
105.21,106.68,106.7,105.165,1119578
107.06,106.64,107.41,106.46,652560
106.5,107.56,107.7099,106.32,1043489
107.51,108.34,108.83,107.135,881815
108.66,108.23,109.15,108,1183087
108.24,107.64,108.59,107.37,884357
107.15,107.72,108.3,107.06,775803
108.39,108.56,108.86,108.14,928446
108.49,108.11,108.6929,107.82,618242
108.21,107.69,108.5,107.34,854673
107.78,108.34,108.5,107.42,611201
108.34,108.96,109.04,108.0201,670514
108.97,108.73,109.01,108.21,512440
108.55,108.9,109.14,108.245,387150
108.6,109.35,109.36,108.51,550319
109.59,108.66,109.95,108.27,1214295
108.57,109.48,109.57,108.38,898218
109.37,109.13,109.62,108.89,509347
109.37,107.44,109.38,107.17,589166
107.33,105.02,107.88,104.64,1107683
103.5,103.12,105.75,102.37,2899892
103.27,103.08,105.1,102.405,1490216
102.48,103.28,103.6699,102.23,1082706
103.39,104.21,104.27,102.69,990556
104.17,104.79,104.87,104.03,864179
104.89,105.14,105.365,104.705,703326
105.31,105.87,106.19,105.15,929594
105.81,106.96,107.2,105.68,1145785
106.5,106.88,107.57,106.19,827783
106.86,106.14,107.37,106.08,434894
106.27,106.67,107.2,105.96,918740
106.25,106.02,106.58,105.6207,803809
106.62,106.35,106.95,106.1321,434672
106.5,107.1,107.29,106.4,526777
107.01,107.49,107.7072,106.61,737362
107.9,107.57,108.04,107.49,914125
107.47,108.26,108.51,107.28,668245
108.3,108.36,108.85,108.23,652669
108.47,108.87,108.92,108.14,407755
109.16,107.9,109.39,107.815,637577
108.29,107.58,108.72,107.48,527098
107.68,108.06,108.3,107.58,562364
107.98,107.7,108.2,107.49,319656
107.56,108.15,108.28,107.56,372753
108.03,107.87,108.31,107.36,615111
107.55,106.53,107.74,106.11,737838
106.54,107.6,107.82,106.265,492910
107.38,107.47,107.98,107.12,648796
108,108.74,108.89,107.695,527829
108.58,109.16,109.47,108.23,731003
109.15,109.5,109.73,108.78,506318
109.76,110.05,110.25,108.98,911751
109.92,110.14,110.19,109.2,958481
110.3,109.43,110.5,109.29,922163
109.23,109.75,109.97,109.03,815198
110.06,108.77,110.06,108.68,939009
108.92,109.78,109.83,108.76,605394
110.32,110.58,110.83,110.16,1270333
110.3,109.93,110.4465,108.73,699033
110,109.81,110.58,108.4,667437
110.02,109.53,110.5,109.38,551604
109.53,108.77,109.84,108.17,1163145
