Open, Close, High, Low, Volume
76.29,74.42,76.53,73.94,1671313
75.18,73,75.71,72.34,2335515
73,72.86,75.15,71.98,2666021
72.65,72.5,73.37,71.56,2642202
72.16,70.89,73.73,70.195,3386129
70.75,68.95,71.01,68.92,1354276
69.38,71.86,71.98,68.55,1722977
70.34,73.049,73.06,70,1769876
73.19,72.96,73.96,72.49,1443453
73.38,73.08,73.62,72.62,968781
72.21,72.1,73.49,71.82,1795798
71.38,70.15,71.99,70.12,2035543
71.07,73.2101,73.4599,70.89,1348797
73.15,73.09,74.36,72.62,1316917
73.45,73.47,74.2867,72.49,1493677
73.74,73.24,73.835,73.01,1413699
73.18,74.345,74.36,72.99,917963
73.95,74.02,74.14,73.52,898586
73.22,73.91,74.275,73.12,949861
74,75.02,75.35,73.88,811689
70.545,72.43,72.78,68.45,41855596
72.07,74.29,75.57,72.07,17528059
75.11,77.845,77.85,75.06,12995039
77.31,78.16,78.17,77.01,9783283
78.55,80.52,80.67,78.21,9607801
80.68,82.81,82.81,80.58,9463204
82.93,84.915,85.12,82.22,9222429
84.67,85.3,85.65,83.82,6556413
85.02,83.625,85.06,83.1,4930634
84.2,84.585,84.88,83.8,5930270
84.79,82.885,84.79,82.65,6670560
82.63,82.855,83.66,82.29,5261693
82.88,84.01,84.055,82.43,3463252
83.8,85.13,85.205,83.55,3969777
84.82,84.57,85.12,83.9,3057724
84.12,84.005,84.34,83,5323115
83.89,85.56,85.6,82.9,4819537
86.05,84.51,86.29,84.2783,5356813
85.3,84.425,85.3,83.87,3446963
84.57,84.38,84.86,83.93,4646994
84.28,84.48,84.77,83.82,3062087
85.03,85.92,86.115,84.55,4197174
85.59,85.59,85.88,85.42,2734111
85.4,84.74,85.47,84.46,2647413
84.49,84.76,85.43,84.076,2693785
84.94,85.03,85.45,84.75,1852032
85.46,84.23,85.5,84.18,2264788
84.32,84.7,84.95,84.09,2606283
84.27,85.04,85.14,84.2,2080367
84.89,84.69,85.38,84.66,1838461
85.11,86.4,86.67,84.94,3179936
87.03,85.55,87.22,85.1,2419073
85.63,85.6,85.94,85.25,1683768
85.7,85.38,86.09,84.95,1833732
85.21,85.01,85.65,84.53,2878128
84.25,84.88,85.16,84.02,1985188
84.99,86.01,86.26,84.92,2395017
86.36,86.09,86.42,85.5,3143307
86.48,86.08,87,85.73,2731273
86.24,85.51,86.32,85.19,3911483
86.35,86.24,87.26,86.15,2975386
86.81,85.09,87.03,84.58,5110928
85.27,84.62,85.5,84.13,4583035
84.45,83.72,84.63,83.31,4356797
83.65,86.07,86.105,83.53,4443206
85.78,85.58,86.29,85.15,3641718
85.37,85.26,85.615,84.86,1737098
85.64,86.93,86.94,85.42,2991784
87.01,87.66,88.03,86.63,3236897
87.81,87.78,88.09,87.01,1982312
88.45,88.3,88.65,87.55,3485621
88.98,89.3,89.48,88.12,1629350
89.535,89.79,90.175,89.265,2864212
90.36,90.64,91.19,89.7,2709463
90.67,90.07,90.84,89.41,2220189
90.39,89.86,90.6,89.62,1730310
89.63,88.33,89.63,87.98,6091968
87.85,88.22,88.56,87.68,3891812
88.12,86.75,88.38,86.3,6119556
87.09,85.57,87.17,85.32,8062505
86.04,86.29,86.82,85.25,5250420
86.45,86.53,87.06,85.65,3696901
86.66,85,86.7092,84.95,4563276
85.26,85.29,85.58,84.96,2482646
85.92,85.04,85.92,85.01,3059257
84.61,85.79,85.79,84.52,3494574
85.76,87.07,87.35,85.26,2601016
86.92,86.47,87.075,85.87,2080257
86.54,86.28,86.76,85.67,2548265
86.41,85.37,86.74,84.96,2358660
85.37,85.06,85.6,84.315,6610303
86.25,87.219,89.21,86.18,5978067
85.75,85.89,87.81,84.78,7338659
85.69,85.47,86.285,84.63,2429190
85.89,86.73,86.97,85.44,2819011
85.82,87.8,88.03,85.105,3010372
87.13,85.54,87.36,84.985,2657120
85.3,85.43,85.82,84.91,1834578
81.91,84.72,84.93,81.62,10612767
84.45,85.25,85.25,83.13,2348537
83.6,83.34,84.25,83.05,2863720
83.66,84.45,85.36,83.43,2619622
84.12,85.87,86,83.8,2703969
86.72,87.81,87.84,85.99,3109172
87.33,87.31,87.59,86.91,2424363
86.55,87.18,87.85,86.34,3400655
88.14,88.41,88.995,87.78,2910739
88.41,89.6,89.66,88.115,2884073
88.82,87.2,88.97,86.37,2615924
87.72,86.9,88.16,86.495,1877411
87.33,86.97,87.88,86.74,2514869
86.65,86.83,86.91,85.95,2075317
86.96,87.13,87.71,86.61,1643015
86.3,85.9,86.77,85.19,3311335
86.09,82.68,86.46,82.24,4874266
84.23,86.18,86.23,83.53,4043251
87.45,88.36,88.45,87.04,2614649
88.27,89.41,89.44,88.01,3884170
90,89.74,90.72,89.6,3037098
90.1,90.58,91.09,89.43,2137138
91.27,89.66,91.38,88.14,2453775
89.71,89.77,90.1,88.9,2534554
90.08,88.67,90.49,88.33,3592553
88.7,89.2,89.34,88.35,3185806
89.17,88.97,89.585,88.18,1752031
89.36,89.11,90.09,88.28,2054420
89.78,89.99,90.1,88.48,2267004
90.79,91.68,91.79,90.29,2469067
92.16,91.5,92.29,91.04,3106239
91.86,90.81,92.09,90.63,1729447
90.87,90.28,91.02,89.73,2072552
91.22,90.21,92.2,90.14,2230149
90.34,90.85,91.28,90.12,2038604
91.34,91.13,91.38,90.47,2619990
92.3,92.51,92.69,91.33,2702647
92.54,93.605,93.61,92.15,2613542
94.37,94.18,94.44,93.66,1326389
93.34,94.46,94.48,92.51,1391032
94.1,93.58,94.6,93.52,2163784
92.82,93.82,93.9,92.28,2881953
94.36,93.86,94.89,93.3,2452186
93.8,93.69,94.3,93.17,2661822
93.87,94.5,94.64,93.33,2075350
94.94,94.75,95.42,94.4,1992677
94.72,93.92,95.22,93.655,1895394
94.11,94.12,94.7,93.6,2411310
94.17,96.88,96.98,94,7964654
96.72,95.38,97.25,94.9,4221727
95.83,95.295,96.16,95.2,2161934
95.77,95.29,95.77,94.33,2902325
95.07,94.17,95.29,92.86,3333204
95.47,96.35,97.18,94.5,6747371
98.97,102.6,104.31,98.51,16005788
102.71,104.69,105.015,102.49,11938334
102.78,103.91,104.22,102.78,8666121
104.84,105.42,106.88,103.9696,7198464
107.06,104.67,107.06,104.18,4705941
103.9,104.33,104.83,103.2451,3401759
