Open, Close, High, Low, Volume
42.81,41.76,43.57,41.03,2340862
41.87,40.73,42.5,40.36,1743343
40.51,39.595,40.65,39.38,1622052
39.69,39.07,40.63,38.49,1598878
38.66,38.17,39.35,37.36,1806024
38.18,37.43,38.89,37.27,1405828
37,35.91,37.31,35.88,377541
36.28,38.19,38.23,35.9,1015380
36.91,37.92,37.92,36.27,941801
38.09,37.64,38.29,37.29,1061183
37.91,37.83,38.23,37.41,657627
37.25,38.15,38.36,36.56,824617
37.75,36.47,38.03,36.15,1158542
36.99,38.19,38.3,36.99,881219
38.24,39.04,39.62,37.81,1018559
39.7,39.98,40.33,39.28,719671
40.4,40.85,41.43,40.12,1056703
40.41,41.63,41.65,40.01,638647
41.09,41.495,41.59,40.55,455398
41.03,41.465,41.64,40.8408,553608
41.44,41.39,41.5,40.89,587318
41.39,41.54,41.98,41.32,529781
41.27,42.08,42.41,41.17,508247
42.42,43.04,43.31,42.37,703325
42.92,41.69,43.04,41.42,756126
42.02,41.385,42.39,41.01,589688
41.45,41.72,42.12,41.21,729402
42.25,42.73,42.78,42.075,594644
42.03,41.95,42.07,41.38,542658
42.19,42.84,43.24,42.19,407103
43.35,43.61,43.95,42.675,378386
43.65,44.04,44.16,42.76,1002930
44.03,43.93,44.56,43.43,764801
43.82,44.44,44.49,43.65,547256
44.34,44.705,44.71,43.88,615696
44.46,44.93,45.18,44.4587,624240
44.4,43.78,44.78,43.22,585279
43.58,43.73,44.12,42.93,679635
43.94,44.5,44.57,43.65,800676
44.88,45.8,45.94,44.88,848232
46.1,46.55,46.64,46.01,774661
46.18,46.42,46.76,46.05,835439
46.87,47.8,47.82,46.77,732084
47.46,47.17,47.88,47.13,1435100
47.33,47.78,48.585,47.29,2049683
44.12,46.35,47.19,44.08,2812295
46.56,46.55,46.965,46.13,1246511
46.93,46.36,47.06,46.31,758486
46.06,45.67,46.33,45.63,1029461
45.52,45.47,45.85,45.06,1247642
45.37,44.41,45.67,44.36,1276753
44.79,45,45.15,44.32,867352
45,44.27,45.45,43.8,1320297
44.23,43.79,44.35,43.6,1093083
43.71,43.09,43.95,43.07,883316
43.07,43.08,43.37,42.32,1027998
42.33,42.95,43.04,42.16,1136518
42.98,44.02,44.1,42.85,1309814
44.14,44.55,44.78,44.14,1021752
44.87,44.76,45.025,44.49,747516
44.64,44.485,44.85,44.39,526545
44.39,44.285,44.695,44.22,484383
44.32,45.18,45.25,44.32,804799
45.65,45.18,45.8,44.98,469426
45.13,45.14,45.45,44.56,488795
44.95,45.82,45.94,44.81,478972
45.55,43.5,45.85,43.42,721031
43.34,43.59,43.96,43.18,529892
44.21,44.17,44.6,43.88,339292
44.27,44.28,44.56,43.91,711730
44.13,44.73,44.93,44.055,472882
45.18,45.16,45.62,45,610323
45.7,46.45,46.55,45.7,558541
46.52,46.69,47.14,46.27,1546674
46.86,46.92,47.29,46.7501,911462
47,47.63,47.66,46.9,539432
47.9,47.96,48.14,47.72,501711
47.87,48.2,48.24,47.56,404870
47.71,47.67,47.88,47.2,875330
47.7,47.83,47.83,47.35,494563
47.84,48.47,48.61,47.72,490455
48.81,48.97,49.3,48.52,372177
48.94,48.54,49.13,48.375,687464
48.65,49.1,49.13,48.28,627378
49.44,48.83,49.55,48.82,607425
48.95,49.44,49.55,48.71,453391
49.28,49.88,50.1,49.09,602861
49.83,50.15,50.44,49.63,498003
50.24,49.72,50.38,49.605,812982
49.3,48.5,49.3,48.35,1090320
48.48,49.07,49.11,48.24,566258
49.29,49.59,49.9,49.29,327260
49.8,49.03,49.8,48.93,635107
49.26,48.94,49.65,48.6,614585
48.02,47.56,48.41,46.4,2224822
51.05,52,54.16,50.87,3731724
50.97,50.94,51.385,49.8808,1096822
