Open, Close, High, Low, Volume
77.4,77.24,78.14,76.86,565066
76.96,76.24,77.8,75.86,1216884
76.54,76.32,77.45,75.835,1039707
76.55,74.87,78.32,74.53,789339
74.99,72.11,75.55,71.43,1084062
71.71,70.88,73.95,70.7696,1458910
70.48,70.15,71.3,69.5,442544
70.29,73.43,73.53,69.36,571187
71.95,73.77,73.77,71.09,685534
74.21,73.13,74.59,72.78,703639
73.44,73.55,74.505,73.04,459956
72.74,75.01,75.4,72.42,707025
74.96,73.13,75.18,72.79,822444
74.75,76.86,77.15,74.5,748513
76.88,77.755,78.94,76.25,779583
78.21,79.05,79.07,78.21,714747
79.77,79.39,80.36,78.78,592896
78.94,80.63,80.69,78.31,478331
79.86,80.26,80.7,79.101,507264
79.34,79.9,80.55,79.09,467349
79.67,79.12,80.19,78.975,584988
79.01,79.1199,79.795,78.71,477632
78.43,79.4,79.81,78.43,771603
80.03,80.54,81.21,79.84,925291
80.01,79.3,80.24,79,939823
79.6,78.12,79.84,77.63,611150
77.88,77.84,78.65,77.53,482949
78.85,79.41,79.77,78.85,583586
78.39,79.04,79.18,78.18,531631
79.25,80.07,80.3,79.24,666313
80.49,80.6,81.33,79.41,704005
79.49,79.78,80.51,77.65,1051144
85.29,85.66,86.23,82.8,2237277
85.48,85.2,86.29,84.64,1033122
85.06,84.8798,85.64,84.63,942850
84.44,85.4501,86.33,84.2,726332
84.63,84.18,85.01,83.25,532147
83.5,84.43,84.48,82.83,479483
84.53,84.63,84.95,83.53,614268
80.62,82.18,83.74,80.6,2509106
83.27,84.4,84.57,82.88,1041854
83.56,84.03,84.62,83.19,950496
85.01,85.4,85.49,84.17,959089
84.68,86.43,86.6,83.96,652139
86.41,87.46,88.22,86.32,966690
87.62,88.16,88.3,87.35,715244
88.65,88.52,88.96,88.25,745903
88.95,89.36,89.96,88.72,544372
89.27,88.61,89.87,88.56,508682
88.985,89.62,89.84,88.71,453419
89.17,89.49,89.83,89.17,658412
89.5,90.45,90.74,88.97,845786
78.78,78.95,79.16,77.2,1425186
78.83,79.09,79.95,78.69,1001645
79.28,78.45,79.66,78.39,789851
78.1,77.81,78.31,76.2,798631
76.88,77.53,77.57,76.32,1070704
77.92,78.43,78.44,77.84,797145
78.74,78.5,78.98,78.33,513275
78.82,78.5,79.18,78.37,1266432
78.35,77.15,78.65,77.05,815640
77.29,77.22,78.08,76.86,971992
77.52,76.92,77.56,76.45,952522
77.63,76.28,77.82,75.91,863542
76.03,75.68,76.05,74.92,853467
75.62,77.61,78.11,75.62,661732
76.83,74.99,77.05,74.96,959302
74.42,74.47,75.07,73.96,628303
74.69,75.08,75.365,74.275,586211
74.99,75.32,75.79,74.79,1013773
75.12,76.08,76.315,75.08,796298
76.75,76.82,77.06,76.04,834725
77.65,78.95,79.14,77.41,643605
79.06,78.94,80.08,78.74,876786
79.79,79.15,80.602,79.04,1114229
79.18,80.32,80.32,78.63,767014
80.49,80.42,80.65,80.04,819980
80.59,80.72,81.01,79.9,719196
80.33,80.04,80.55,79.56,411044
80.16,80.41,80.47,79.53,374417
80.29,79.87,80.5221,79.49,405960
80.51,79.98,80.69,79.605,576469
80.07,79.75,80.27,79.29,510576
79.72,80.76,80.79,79.25,984891
81.2,80.75,81.8,80.7,709075
79.76,79.95,80.64,79.35,974159
79.76,79.46,80.02,79.25,440992
79.08,80.14,80.64,79,758543
79.84,79.73,80.2,79.56,853481
79.5,78.99,80,78.95,594037
79.1,79.49,79.925,78.61,500131
79.41,79.3,79.8,79.01,892418
79.53,79.04,80.03,78.65,1195563
79,76.97,79.29,76.17,1481232
76.5,76.67,77.25,75.91,960315
77.14,77.54,77.84,76.96,823520
75.45,76.24,76.6,75.45,1048511
77.94,78.51,80.4,77.5,2487617
78.3,78.96,79.3,77.4,1590236
78.21,79.71,79.8,77.59,1354894
79.59,79.56,80.195,78.315,1800375
78.01,75,78.48,74.75,1684589
75.26,75.14,76.255,74.79,2792087
74.51,75.7,76.06,74.3391,1173880
76.43,75.77,76.585,75.6,1063960
74.97,75.23,75.54,74.55,923451
74.49,72.94,74.93,72.84,848600
73.12,74.35,74.38,73.08,712298
74.14,73.23,74.48,73.17,599567
72.04,71.35,72.42,70.93,1317317
72.18,70.93,72.25,70.85,740610
71.2,71.44,71.69,70.62,900876
70.76,72.64,72.8047,70.66,1657572
72.57,73.34,73.44,72.57,820361
72.85,73.44,73.825,72.3,1149665
75.86,78.13,78.14,75.83,1360148
78.83,78.62,79.21,76.97,1051374
78.35,79.5,79.57,78.04,1134387
80,80.71,80.88,79.14,1011439
80.75,79.92,81.08,79.82,795724
80.67,79.68,81.26,79.22,1377872
79.69,79.91,80.37,79.31,1222388
80.42,80.48,80.73,79.62,707047
80.23,79.9,80.32,79.3744,849574
80.1,79.58,80.31,79.2,854984
80.05,80.68,80.82,79.78,949115
81.01,82.04,82.23,80.66,985079
83.04,82.05,83.06,81.51,572544
81.94,82.6,83.175,81.42,844249
82.64,81.82,82.84,81.67,505558
82.12,82.61,82.7,81.82,608497
82.72,83.38,83.71,82.56,654997
83.5,83.07,83.84,82.75,607355
83.06,82.97,83.42,82.77,672742
84.14,85.02,85.21,83.64,927899
84.62,83.52,84.745,83.2644,511064
83.84,84.85,84.92,83.5,243495
84.08,84.7,84.76,83.88,290089
84.56,83.75,84.88,83.62,729324
82.97,82.33,83.1465,82.05,728556
82.55,81.53,82.75,81.42,557320
81.59,82.69,82.73,81.1,677074
83.07,83.26,83.57,82.98,780719
83.5,84.03,84.09,82.75,346545
84.22,84.47,85.51,83.68,361494
84.43,83.45,84.52,83.45,449120
83.09,83.81,84.54,83.08,575524
84.06,83.39,84.39,83.36,1024443
83.83,84.38,84.6,83.44,730259
84.59,84.9,85.35,84.26,645106
85.28,85.8,85.92,84.91,566075
85.42,85.25,85.76,84.75,370414
85.06,85.57,85.66,84.44,605673
85.52,84.07,85.53,83.94,390027
83.44,84.8,85.08,83.1709,1032330
84.5,86.39,87.99,84.27,1604744
85.43,85.06,87.55,84.78,1601442
85.88,85.92,86.3,83.72,760232
83.9,81.62,84.45,80.38,1015732
82.13,84.07,84.7,81.63,1179794
82.95,84.88,85.02,82.53,907388
85.86,88.8,89.02,85.24,1245420
90,88.32,90,88.27,1424285
87.56,85.58,88,85.34,757747
85.62,86.46,88.18,85.05,995129
84.59,83.79,85.06,83.38,679235
84.33,83.56,84.78,83.115,543883
84.17,85.6,85.84,83.965,520579
86.57,86.21,86.59,85.81,382193
86.02,85.38,86.1,85.06,368475
86,86.19,86.76,85.43,411176
86.43,86.1,86.93,85.54,356484
85.47,82.83,86.04,82.47,596307
83.96,83.55,84.06,83.135,430139
83.82,83.26,84.06,83.22,441827
82.94,84.06,84.45,82.64,299202
85.13,85.53,85.97,84.97,288849
86.36,86.29,86.72,85.87,351627
85.37,85.1,85.39,84.06,752913
86.21,86.69,86.91,85.9,545060
87.72,87.5,88.62,87.43,681400
88.07,87.4,88.07,87.165,694817
87.68,87.03,88.4,86.91,977269
87.53,86.57,87.53,86.14,955722
87.15,88.85,88.955,86.84,834868
89,89.97,90.39,88.37,798090
90.03,91.04,92.13,90.03,657910
91.04,91.09,91.63,90.42,428225
90.72,90.64,91.53,90.4,469978
90.58,90.83,91.61,89.98,771170
90.97,90.38,91.18,90.15,592547
90.59,89.89,90.99,89.22,899048
89.26,88.67,90.14,88.41,907380
88.62,87.94,89.18,87.33,711615
87.88,87.64,88.21,86.79,706698
87.6,87.42,87.99,86.98,852070
87.2,86.12,87.945,85.99,728046
86.16,87.68,88.01,85.6,981700
87.97,84.18,88.47,83.77,1025121
82.97,83.38,83.49,81.74,1004366
83.19,83.2,83.215,81.81,725627
82.98,82.15,83.5,81.85,978295
82.15,81.06,82.2599,81.05,778322
80.36,79.03,80.69,79.01,773523
80.24,79.47,80.24,78.9,744522
79.555,79.94,80.29,79.05,762217
81.2,83.75,84.76,81.2,999578
83.2,82.45,83.42,82.3416,372260
82.94,83.03,83.7,82.185,485618
83.95,83.78,85.425,83.48,1016053
84.04,84.39,85.04,83.79,700709
84.33,83,84.4234,82.81,419875
83.69,83.52,83.93,83.17,410507
83.43,82.19,83.87,82.01,507248
81.88,82.53,82.655,81.53,414985
83.25,83.39,83.89,82.72,402050
83.02,83.98,84.05,82.32,451252
84.61,84.03,85.1,83.475,636333
83.63,84.89,84.95,83.39,775911
88.59,91,91.33,87.66,1214972
91.825,91.5,92.11,90.59,642960
92.16,95.08,95.12,91.87,1547569
95.01,96.04,96.31,94.83,898431
96.16,96.86,97.175,95.81,944280
97,97.52,98.17,96.66,1133282
98.1,96.85,98.14,95.78,985520
96.81,97.71,97.72,96,572000
96.84,99,99.02,96.62,695193
98.68,98.35,99.05,97.72,869689
97.82,96.32,97.89,95.81,679375
95.8,97.04,97.13,95.33,528186
97.68,97.01,97.88,96.78,537724
96.72,96.95,97.8,96.52,445800
97.41,97.48,97.77,96.2,426902
96.89,97.08,97.76,96.76,457338
97.23,97.9,97.93,96.24,612257
97.73,97.24,98.2,96.55,660640
97.81,98.52,98.93,97.15,634886
98.73,98.53,98.83,97.71,496944
98.75,98.78,99.34,98.534,822518
98.8,97.97,98.95,97.78,258771
98.03,97.86,98.57,97.21,492365
96.6,97.23,97.37,95.91,661063
97.46,96.91,98.63,96.86,433912
97.39,97.99,98.07,96.91,534269
98.85,98.39,99,98.11,461103
98.64,99.2,99.51,98.26,519095
98.93,97.85,99.6,97.52,469499
98.12,98.23,98.56,97.745,624074
98.22,99.52,99.8,98.01,521925
99.8,99.18,100.48,98.97,495965
100,99.54,100.98,99.48,449738
100.14,100.94,101.23,99.67,639998
100.74,100.29,101.37,99.815,1120295
100.26,98.38,101.95,98.05,1626573
99.08,99.03,99.69,98.46,1469130
99,100.25,100.32,97.76,569520
100.22,100.93,101.32,100.02,211222
100.95,101.49,101.5,100.54,245036
101.61,101.12,101.775,100.86,284846
100.7,99.22,100.735,99.13,363835
99.02,99.8,99.94,98.91,291108
100.37,99.87,101.4,99.45,732357
98.5,99.23,99.42,98.32,552106
98.6,98.37,98.91,97.83,431353
98.92,100.17,101.25,98.29,993268
100.33,100.43,100.72,98.8535,941032
100.85,99.53,101.44,99.245,597382
99.79,98,99.79,97.47,588738
98.215,98.87,98.9,97.82,823315
98.78,98.27,99.14,98.16,488571
98.87,98.51,99.225,97.99,506177
98.86,99.59,99.62,98.525,331782
99.75,99.96,100,98.78,785855
99.28,98.17,99.48,98.12,1184598
98.29,97.615,98.31,97.465,1020434
96.65,96.79,97.28,94.86,1540000
97.07,95.67,97.3,95.21,985007
93.47,93.88,94.51,92.7,689816
94.25,95.1,95.31,93.79,561254
95.33,96.36,96.56,95.22,703510
95.31,96.04,96.625,94.93,567324
95.16,95.59,96.04,94.75,765200
96.07,97.6,98.095,95.58,680360
98.7,98.98,99.245,97.39,724402
99.84,101.77,102,99.39,1073126
103.48,107.93,108.77,102.1,1971867
107.06,105.08,107.355,103.73,1173001
104.86,104.85,105.52,104.24,534263
105.22,105.26,106.72,104.87,860998
106.09,106.43,106.99,105.28,582875
105.77,105.48,106.09,104.01,587521
105.37,105.46,106.88,104.78,358310
105.2,105.79,105.84,104.59,345535
106,106.4,107.27,105.8032,385900
106.46,108.31,108.59,106.34,563123
107.47,106.59,107.84,106.1,571855
103.04,102.41,103.315,101.41,938665
102.94,97.75,103.22,97.33,736665
98.56,96.89,99.7,96.85,624171
94,92.34,96.705,92.34,782442
89.3,92.99,93.41,88.7,1446745
93.6,96.96,96.96,91.085,995189
96.14,94.49,98.67,92.63,690524
96.1,99.33,99.41,94.8,664104
96.6,94.84,97.16,93.68,653809
91.86,90.4,92.44,88.3,873129
84.5,79.18,85.43,79.02,1375033
82.86,86.975,86.99,81.77,1210324
84.5,83.19,85.66,82.03,788372
77.49,77.44,79.53,74.3751,1448106
83.53,88.06,88.23,78.21,1491253
76.07,70.99,80.19,61.85,1606986
72.38,68.71,72.52,67.72,1407363
64.49,59.825,65.195,56.77,1825907
59.04,67.68,72.25,57.08,1366810
68.46,65.32,71.4205,63.7,1448960
64.82,64.18,66.99,62.69,1052509
68.4,68.71,72.73,66.25,1268503
69.16,73.94,77.2,67.96,1541400
75.26,80.21,81.87,74,1396553
76.83,76.59,78.635,75.26,881064
75.9,82.67,83.24,75.39,1451833
82.5,81.69,84.99,80.54,1803040
78.03,76.91,79.82,75.18,1347599
77.52,74.18,80.63,73.395,1154261
74.28,70.88,76.78,70.5,1634657
75.2,78,79.1698,73.935,1529894
82,79.44,84.31,79.29,2703322
80.3,82.86,83.96,78.98,1867540
85.6,89.99,91.01,83.51,2794502
88.78,86.63,89.66,84.1,1485824
88.21,86.67,89.3,86.46,1564442
82.85,84.04,85.39,80.79,1855710
83.47,83.32,84.58,81.58,1142270
86.01,86,87.715,84.86,1594204
84.62,84.5,86.25,83.65,1161804
82.5,83.64,84.745,81.82,1369136
85.41,84.44,86.16,83.1683,815352
85.51,87.36,88.94,85.5,1576974
88.25,88.23,90.33,87.52,1534130
88.65,90.38,91.08,88.115,1196852
92.64,90.94,92.89,90.64,1300704
93.72,95.04,95.72,92.845,1165234
93.81,91.87,94.19,91.82,1962948
90.1,89.97,91.12,88.385,1365158
88.27,89.63,89.85,87.75,1082468
90.75,89.5,92.56,89.1,2166746
89.96,91.98,93,87.29,2268486
94.24,94.13,96.88,93.43,1536580
95.41,93.46,96.38,93.38,1811426
91.73,91.46,92.52,90.42,1246088
91.51,89.15,92.63,89.1,1541500
88.9,88.7701,89.675,86.6228,1345138
87.38,88.62,89.07,85.58,1664410
88.14,88.09,88.62,87.45,1321066
92.04,90.81,93.065,90.79,1240600
90.72,89.17,91.41,89.11,1346212
90.72,93.04,93.64,90.21,909094
92.74,91.87,93.24,91.4,802954
91.43,93.29,93.39,91.17,925090
96.22,94.82,97.045,94.54,1032342
96.44,96.23,96.97,94.46,1157926
97.28,97.72,98.49,95.51,1337826
97.33,98.42,98.69,96.34,918954
98.22,98.89,99.805,97.77,1078205
99.46,100.91,101.04,98.2,991012
102.01,101.83,104.29,101.36,1293088
101.32,99.8,101.44,98.74,1754620
102.46,103.24,104.98,101.78,1467020
103.1,104.62,105.76,102.56,1454952
104.31,104.32,105.52,102.45,1384804
104.59,102.83,104.97,102.55,709064
99.02,94.97,100.09,94.34,1800216
98.43,96.92,98.74,96.77,310432
94.67,98.34,99.07,93.52,1272888
101.86,100.52,102.6,98.39,1242674
101.34,100.58,102,100.04,733470
99.93,99,100.56,98.54,838908
100.92,100.69,101.63,99.05,1820126
99.67,100.32,100.88,98.6,374311
101.98,101.07,102.09,100.64,399778
99.89,96.51,100.14,96.41,654471
96.62,99.11,99.28,95.02,517472
98.29,96.61,99.04,96.34,665392
96.6,97.25,98.08,96.37,526201
96.94,99.64,100.62,96.66,475291
100.28,99.35,100.28,98.05,573163
100.93,101.14,101.855,99.84,551795
103.1,102.22,103.14,100.75,568745
101.01,101.85,102.99,101.01,549846
102.23,99.04,102.55,98.04,602011
99.93,97.91,99.93,96.05,709263
97.84,100.19,100.45,97.84,522299
101.49,101.6,104.04,100.61,674794
101.6,103.44,103.79,100.88,434892
105.24,107.87,108.55,104.5,1266199
107.08,106.11,108.37,105.7,587856
107,106.42,107.835,106.11,414713
105.92,105.23,107.03,105.14,328620
105.66,106.22,106.86,105.46,296719
106.23,107.97,108.25,105.69,356805
108,107.8,108.74,106.99,337568
107.46,107.38,107.84,106.7,288603
107.75,108.46,108.64,107.29,379313
107.85,106.48,108.525,106.3803,475625
106.87,108.34,108.58,106.51,817486
106.57,105.34,106.82,104.43,1118621
105.27,106.05,106.17,104.145,787099
106.99,105.74,107.12,105.71,1130202
105.42,107.72,108,104.59,1398998
109.26,106.98,111.705,106.91,1534514
107.47,108.27,109.17,105.5,2246725
107.98,109.84,109.84,107.03,1096045
109.97,110.32,111.07,108.59,1138118
111.26,109.2,112.45,108.56,1310098
110,109.46,111.315,109.41,999714
109.15,110.13,110.85,109.11,397294
109.74,109.61,110.2802,108.97,372804
110.19,109.03,111.04,108.41,768382
109.25,109.08,110.36,108.88,632594
109.06,108.53,109.65,108.01,527884
107.47,107.89,108.31,107.12,481946
107.21,107.33,107.76,106.1,637302
108.37,108.76,108.98,108.35,357670
109.5,108.58,109.5,107.43,921887
108.25,108.72,109.04,107.32,602802
109.33,109.41,110.215,108.9889,718710
109.66,109.15,110.03,108.62,1541476
108.7,106.85,109.21,106.7,709890
106.93,110.13,110.14,106.27,971333
110.37,112.25,112.53,109.29,1568330
111.9,109.43,112.36,108.075,1040848
110.53,108.46,110.9,106.98,918730
107,105.64,107.61,104.8644,1178628
106.59,107.91,108.745,106.11,806489
108.15,107.75,108.45,106.785,749010
108.7,108.53,109.29,107.74,666085
109.87,110.52,110.92,109.39,588008
110.93,111.79,112.59,110.8,585347
112.45,110.73,112.6199,110.57,329818
109.98,112.92,113.28,108.7101,442225
112.63,110.55,113.73,109.9,669846
108.3,106.45,109.3,105.2,504513
106.27,107.54,107.83,105.04,419186
107.12,104.5,108.4,104.38,389840
103.81,104.04,105.27,102.63,453005
102.91,105.4,106.23,102.795,395758
106.88,106.25,107.99,106.06,455620
106.14,105.31,106.7,104.78,520308
105.81,105.89,107.565,105.07,705438
106.36,103.22,107.16,102.62,1415056
101.65,103.61,105.12,101.421,1127186
104.62,105.34,106.35,104.57,1190667
105.86,103.8,106.98,103.64,1044360
105.45,106.26,106.855,105.33,798580
106.95,106.05,107.63,105.92,648416
106.31,108,108.93,106.06,1408813
