Open, Close, High, Low, Volume
48.9,49.05,49.34,48.9,8711890
49.08,48.99,49.325,48.77,6243667
49.06,48.79,49.14,48.55,6179075
48.93,48.52,49.36,48.3,10830629
48.52,47.99,48.655,47.69,12559316
48.08,46.95,48.46,46.83,13159245
47,46.37,47.19,46.33,5451678
46.58,47.86,47.88,46.52,8486780
47.33,48,48.1,47.05,6417094
48.17,47.92,48.5,47.7,5652116
48.14,47.94,48.32,47.65,3318277
47.65,47.77,48.07,47.58,5420043
47.66,47.51,47.92,47.135,8691163
47.71,48.045,48.33,47.58,8221506
47.95,48.225,48.32,47.81,4038525
48.5,48.6,48.71,48.33,5580609
48.44,48.8,48.885,48.4,5230639
48.53,48.83,48.96,48.465,4504133
48.64,48.71,48.94,48.56,5158409
48.51,48.69,48.85,48.51,4476539
48.76,48.6,48.82,48.43,7039474
48.56,48.33,48.67,48.33,4930315
48.19,48.415,48.585,48.09,5839378
48.72,48.68,48.72,48.33,6312541
48.5,48.56,48.88,48.46,4797983
48.7,48.645,48.92,48.49,8291199
48.63,48.9,48.93,48.54,7564546
49.01,49.19,49.2,48.9,6042072
49.13,49.23,49.23,49.02,5951020
49.28,49.07,49.35,48.985,7630432
49.08,49.02,49.16,48.78,6707917
49.07,49.225,49.3,49.01,6012423
49.3,49.28,49.35,49.14,6246135
49.21,49.265,49.35,49.165,2920027
49.32,49.27,49.405,49.23,4283685
49.33,49.41,49.49,49.28,5362521
49.3,49.455,49.51,49.23,4186979
49.3,49.645,49.655,49.3,8440904
49.71,49.55,49.75,49.5,4504736
49.61,49.55,49.65,49.5,3675771
49.63,49.645,49.76,49.59,7219073
49.57,49.965,50.05,49.55,13315729
50.25,50.375,50.43,50.06,9085199
50.43,50.54,50.63,50.26,7914404
50.65,50.79,50.79,50.5,11299562
50.63,50.75,50.86,50.34,34128588
50.73,51.16,51.16,50.64,26528833
51.09,50.73,51.27,50.62,18754287
50.77,50.86,50.87,50.6,9261681
50.75,50.42,50.79,50.41,8728798
50.46,50.45,50.55,50.22,5643339
50.63,50.61,50.68,50.4,5688904
50.87,50.66,50.87,50.2,8562846
50.7,50.53,50.7,50.48,7669586
50.62,50.64,50.66,50.47,6781292
50.59,50.58,50.66,50.45,4090963
50.45,50.46,50.59,50.26,6183297
50.58,50.53,50.58,50.36,6664504
50.65,50.95,50.95,50.5,20488153
51.02,51.21,51.23,50.86,34855742
51.32,51.77,51.95,51.15,20091054
51.985,51.95,52.05,51.79,4624756
51.5,51.39,51.82,51.24,6675093
41.55,40.38,41.7,39.84,8671213
40.49,38.59,40.81,38.24,15048241
39,40.04,40.07,38.75,11438349
39.93,38.71,39.99,37.69,10249087
38.89,37.45,38.96,37.39,8869872
37.65,37.54,38.28,37.51,5867801
37.52,36.93,37.91,36.76,5086445
36.85,36.39,37.15,36.34,5055649
36.55,36.72,36.91,36.15,4021555
36.91,36.86,37.15,36.71,2629187
36.96,36.29,37.18,35.9,6233556
36.37,36.05,36.56,35.9,8034310
36.2,36.76,36.8,36.01,4657822
36.79,37.69,37.85,36.69,6361853
37.6,37.47,37.68,37.265,2829924
37.42,37.3,37.65,37.17,2971716
37.33,36.49,37.53,36.36,4108143
36.57,37.08,37.16,35.99,3911389
37.15,37.52,37.62,36.47,5895390
37.46,37.53,37.57,36.99,3033940
37.67,37.76,37.85,37.47,3632073
37.87,38.84,38.85,37.76,6913725
38.91,38.44,39,38.43,4292576
38.36,37.72,38.44,37.62,6904138
37.79,38.06,38.39,37.63,5744284
37.95,37.96,38.31,37.805,4768714
37.98,38.15,38.2,37.54,4291195
38.08,38.49,38.53,37.9,4878588
38.54,39.21,39.525,38.31,6433632
39.19,38.98,39.33,38.47,3375296
39.12,39.43,39.49,38.66,4853145
39.23,37.27,39.47,37.08,10553461
37.41,37.46,37.75,37.12,4352827
37.17,37.91,37.99,36.96,3984990
37.58,37.28,37.81,37.12,5312420
37.34,37.42,37.7,36.855,7150243
38.5,38.48,39.25,37.51,14623378
38.64,38.56,38.75,37.44,6060159
37.77,37.97,38.68,37.73,5136287
38.05,37.91,38.52,37.8723,5912324
37.7,37.72,37.97,37.57,2625363
37.91,36.74,38.08,36.7,7296014
36.56,37.3,37.59,36.55,4365878
37.18,37.14,37.64,37,3330950
37.26,37.66,38,37.1,4104302
37.66,37.13,37.76,37.055,2814271
36.82,36.91,37.08,36.63,3791558
37.05,36.94,37.205,36.85,2373680
36.97,36.62,37.34,36.505,2574286
36.5,35.8,36.65,35.79,3093138
35.88,35.21,36.155,35.15,4429492
34.97,35.23,35.27,34.7,5841582
35.05,34.22,35.3,33.78,6925017
34.52,34.47,35.25,34.15,7101422
34.62,34.36,34.98,34.28,5911868
34.66,34.12,34.66,33.98,4968796
34.18,34.01,34.44,34,3730299
34.05,34.03,34.4,33.9,5056776
34.23,34.17,34.41,34.01,2967731
34.2,35.06,35.1,34.16,4148203
35.17,35.3,35.5,34.963,6171879
35.24,35.24,35.5,34.93,8045255
35.42,36.15,36.325,35.34,6773179
36.45,36.2,37.05,36.08,4135581
36.26,36,36.42,35.6775,3949320
36.38,35.57,36.475,35.56,5004522
35.61,36.14,37.295,35.31,7300259
36.01,35.8,36.07,35.605,4381227
35.78,35.36,35.86,35.14,5440257
35.79,35.47,36.1,35.33,3253928
35.53,35.99,36.33,35.2,4574915
36.24,36.63,36.76,35.81,4694169
36.58,35.92,36.99,35.74,6051913
36.01,36.59,36.62,35.92,2987082
36.6,36.35,36.82,36.27,2503597
36.24,36.6,36.8,36.075,1688861
36.53,36.13,36.675,36.08,1382570
36.03,36.02,36.27,35.82,2126635
36.19,36.14,36.43,36.075,1984998
36.17,36.29,36.35,35.85,2720535
36.46,36.96,37.04,36.1,2469129
37.03,37.01,37.16,36.64,1920313
36.93,36.67,37.11,36.63,2388523
36.73,36.17,36.76,36.11,5385682
36.17,36.56,36.72,35.96,4906072
36.7,36.44,36.74,36.14,3827067
36.51,36.11,36.61,36.06,6236116
36.19,36.22,36.39,35.84,4516614
36.13,36.61,36.86,36.13,5641043
36.63,37.19,37.34,36.63,2696264
37.29,37.2,37.8,37.08,1996887
37.16,37.5,37.57,37.07,1483526
37.35,37.83,37.98,37.32,2680165
37.67,37.31,37.72,36.81,3648210
37.25,36.91,37.49,36.725,2872173
36.73,36.61,36.96,36.33,1869508
36.47,36.06,36.56,35.77,3879522
36.16,36.45,36.6,35.93,3044925
35.89,37.03,37.15,35.72,4184651
37.22,35.14,37.25,35,8674860
35.11,35.41,35.65,34.98,3723994
35.04,34.93,35.32,34.7,3859667
34.84,35.07,35.59,34.8,2582141
34.7,33.69,34.75,33.38,7042447
33.88,32.75,34.09,32.725,5785080
33,32.98,33.3,32.67,2904762
33.32,33.88,34.025,33.29,2624055
33.83,33.57,34.05,33.52,2005110
33.64,33.41,33.725,33.01,2587391
33.38,33.05,33.54,32.95,3451635
32.93,31.76,33.085,31.63,3110431
31.84,32.06,32.14,31.58,2859898
32.22,31.94,32.38,31.92,2827656
32.05,31.78,32.28,31.62,3333608
32,32.74,33.125,31.88,3348664
33.72,33.14,33.72,32.79,2252984
32.66,32.77,33.11,32.54,1725209
32.99,33.555,33.61,32.9,2007880
33.64,34.25,34.405,33.56,3622435
34.32,34.24,34.74,34.06,2252068
33.39,34.3,34.34,33.39,2017957
33.85,34.29,34.72,33.85,2894093
34.28,34,34.43,33.8,2952042
34.19,33.77,34.19,33.67,3901950
33.96,33.82,34.21,33.51,4349736
33.68,33.59,33.83,33.47,1927345
33.59,32.87,33.59,32.79,6267908
32.81,32.65,32.95,32.13,5017057
32.48,32.05,32.78,31.96,3977181
31.99,32.25,32.425,31.72,4927284
32.21,32.26,32.49,32.12,2500004
32.28,31.57,32.445,31.475,4046776
31.61,32.01,32.18,31.56,3897189
32.18,31.455,32.19,31.39,5502182
31.65,31.47,31.72,31.15,3806154
31.63,31.54,31.87,31.35,2604657
31.73,31.25,32.07,31.2,2395257
31.17,30.41,31.29,30.365,4497768
30.34,30.46,30.55,29.705,5099600
30.6,30.57,30.81,30.37,5012929
30.75,30.605,31.14,30.58,4756696
30.27,30.06,30.28,29.695,7110966
30.36,30.23,30.45,29.96,6448828
30.24,30.52,30.55,30.05,6415676
30.99,31.46,31.755,30.76,8138312
31.27,31.4,31.43,31.04,5437059
31.33,31.7,31.805,31.15,6981451
31.61,32,32.01,31.545,6206375
32.1,31.98,32.14,31.54,16026367
32.04,32.185,32.57,31.96,15336056
32.21,32.74,32.81,32.21,4560205
32.73,33.45,33.565,32.55,4544055
