Open, Close, High, Low, Volume
89.19,88.51,90.04,88,2097900
88.51,87.56,88.79,86.73,2566760
88.3,88.83,89.03,87.865,1730389
89.21,88.4,89.4825,87.64,1340896
88.97,88.02,89.48,87.4055,895842
88.33,87.87,88.78,87.785,970159
87.75,87.19,87.8,86.53,805418
87.25,86.82,87.52,86.62,521952
86.81,86.61,87.14,86.31,504446
86.63,87.155,87.17,86.26,556606
87.31,86.63,87.5412,86.36,416576
86.98,84.98,87.4,84.56,1578717
84.96,87.81,88.11,84.65,1838282
88.19,88.48,89.57,88.19,2405033
88.56,88.13,88.8,87.3,757605
87.83,88.34,88.68,87.5,784422
88.71,88.21,89.35,88.15,1163464
88.61,89.96,91.195,88.61,1275501
90.29,92.3,92.34,90.19,1367034
92.74,91.05,93,90.78,1436989
90.5,87.32,91.55,87.1799,3289266
87.33,88.4,88.85,86.29,1575227
88.14,85.985,88.64,85.8,1406108
85.94,89.93,90.01,85.76,2021300
89.83,89.86,90.18,89.15,1666761
89.23,90.97,91.7,89.23,2196749
90.9,90.44,91.08,90.16,1645202
90.83,90.52,91.11,89.985,1345464
90.59,90.83,90.93,89.41,868695
90.66,90.62,91.29,90.34,685585
90,90.26,90.97,89.88,1378070
90.79,89.55,91.44,89.12,1080156
89.84,90.54,90.56,89.01,878458
90.55,90.35,91.48,90,1020523
89.5,88.24,89.85,87.52,2053664
86.39,89.64,89.96,85.93,3293741
89.45,90.17,91.05,89.31,1194162
90.01,88.81,90.57,88.8,1906283
89.36,89.57,89.85,87.7,2948025
90,90.56,90.9399,89.91,1157417
89.95,91.17,91.21,89.81,1019979
91.12,95.14,95.2,90.87,1948320
95.34,95.06,95.64,94,1819384
94.61,95.52,95.92,94.61,1025323
95.14,95.3,96.06,95.02,1431696
95.3,95.63,96.79,95.3,856404
95.92,93.61,96.4,93.24,926846
93.7,95.31,95.32,93.58,608762
95.99,95.56,95.99,94.53,603640
95.77,94.59,96.515,94.59,412260
95.12,92.8,95.41,92.8,839691
92.43,92.89,93.54,91.87,754130
92.14,94.11,94.22,91.54,810939
93.18,94.17,94.61,92.24,868454
96.36,97.4,98.87,96,2441049
96.44,98.39,98.58,96.35,1117621
98.64,98.05,98.86,97.61,691772
99.03,98.79,99.04,97.76,781452
99.06,98.21,99.17,98.06,470475
98.55,97.02,98.55,96.43,739849
97.08,95.82,97.21,95.31,608385
96,95.59,96.48,95.19,453933
96,96.66,97.06,95.711,551104
96.43,96.77,96.92,96.02,962148
96.71,95.8,97.43,95.505,987636
95.99,96.91,97.26,95.01,1279872
96.12,92.12,96.2,92.07,2717814
92.15,90.13,92.5299,89.95,1667838
91.3,91.84,92.06,90.31,784665
91.9,90.4,92.32,89.54,775176
90.55,91.51,91.87,89.71,758528
91.97,92.57,92.67,91.39,614464
92.13,90.73,92.42,90.001,624169
91.09,91.09,91.73,90.25,677268
90,91.57,91.8,89.6701,900588
91.67,91.81,92.16,91.16,925270
91.44,89.84,91.64,89.23,816735
90.1,89.65,91.4,89.595,769703
90.93,90.62,91.32,89.74,1119036
90.12,89.5,90.3,89.11,778784
90.32,90.23,90.84,89.11,1570174
95.74,91.4,96,90.18,2619196
91.55,91.16,92.09,89.83,1113744
92,89.83,92.05,89.4,911461
89.97,90.8,91.27,89.85,1144836
91,92.47,92.84,91,839305
92.84,92.97,93.3,92.12,619116
93.22,93.8,94.22,93.05,623730
94.1,94.24,95.07,93.32,574888
93.8,93.61,94.52,93.43,633017
93.49,93.38,93.82,92.7,532788
93.58,93.93,94.01,93.085,519391
94.25,92.87,94.5,92.87,433693
92.67,93.49,93.62,91.93,558255
93.28,93.8,94.69,92.9,793906
93.11,94.25,94.63,92.2784,776895
93.54,94.89,95.78,92.72,467946
95.01,95.9,96.12,94.25,429259
95.75,96.6,97.71,95.54,610505
96.86,97.13,97.77,96.15,348701
97.06,97.56,97.84,95.87,582180
97.7,97.43,98.41,97.31,506139
97.47,97.33,97.73,96.82,345049
96.98,97.96,99.15,96.961,829525
97.64,99.04,99.285,97.58,688012
99.07,99.02,99.595,98.75,627054
98.68,98.01,98.85,97.89,475252
98.12,99.75,100.12,98.12,964143
99.75,100.35,101.32,99.75,905977
100.1,99.8,100.62,99.27,599078
99.87,100.64,100.76,98.77,742056
100.26,99.92,100.66,99.6,329642
99.11,98.11,99.25,97.53,605487
99.08,100.39,101.239,98.95,946847
100.29,99.6,100.76,99.28,407019
100.82,101.57,102.35,99.98,681003
101.73,101.73,102.21,101.33,690470
101.38,100.49,101.56,99.95,702168
100.81,102.3,102.31,100.74,599577
102.37,102.26,103.23,101.57,600727
102.26,103.38,103.695,101.69,613253
103.02,101.71,103.63,101.46,558322
102.35,101.32,103.24,101.03,782498
101.76,100.04,101.82,99.95,836422
100.13,100.06,100.62,99.23,485013
99.59,99.6,100.09,98.2502,513249
99.08,99.76,100.25,98.5,416759
99.2,100.68,101.06,99.03,533145
101.48,100.83,101.81,100.611,396549
100.74,100.94,102.03,100.16,466172
101.73,100.29,102.03,100.06,493996
100.28,99.25,100.28,98.97,553166
99.21,98.14,99.77,97.4,1153505
98.01,96.45,98.24,96.4,679991
96.66,97.63,98.08,96.11,782009
98.33,96.79,98.93,96.77,851951
96.33,98.11,98.21,96.06,502280
98.47,98.16,99.22,97.97,281661
99,98.71,99.06,98.06,433301
98.61,99.53,99.92,98.4,252732
100.01,101.39,101.57,99.9,667763
101.34,99.31,101.48,98.73,746464
98.8,99.06,100.115,98.75,574204
99.67,98.35,99.78,97.13,833361
98.85,97.72,102,97.53,1243834
97.86,97.09,98.04,96.5,608118
97.3,97.4,98.5,97.11,726383
97.37,98.01,98.27,97.37,631047
97.91,98.56,98.78,97.6,516288
98.9,99.04,99.31,98.25,363895
98.98,100.19,100.56,98.98,449098
100.21,99.23,100.45,99,456099
99.28,99.08,99.28,98.06,418159
99.3,99.78,101.01,99.225,594030
99.89,99.5,100.67,99.07,384093
99.85,98.745,100.49,98.15,583589
98.82,98.82,99.21,97.8,501544
99.28,100.04,100.8,98.76,592481
99.86,101.95,102.3845,99.64,577503
101.53,101.88,102.015,101.22,341911
101.91,101.48,102.2,100.835,657046
101.64,101.18,102.01,100.93,532832
101.01,101.25,101.68,100.785,594313
101.11,101.09,101.54,100.86,349924
100.38,100.65,101.14,99.66,513761
100.69,100.85,101.5,100.15,357737
100.99,102.83,103,100.99,536411
102.35,103,103.52,101.69,718929
103.27,103.9,104.47,103.23,565446
103.74,104.5,104.73,103.33,307082
104.37,105.08,105.28,104.2,670504
105.16,106.21,106.75,104.71,714111
106.02,105.91,106.74,105.87,729381
105.72,104.92,105.9,104.54,1218954
104.93,104.2,105.295,104.1,759594
103.77,101.885,104.17,101.75,1232813
102.08,101.43,102.27,101.06,657412
101.59,100.92,101.62,100.4,875865
100.68,100.47,101.06,100.24,580750
100.23,101.57,101.68,100.23,572570
101.31,102.54,102.85,101.31,633413
102.17,102.16,102.71,101.78,552795
102.25,102.8,103.08,102,664024
103.07,103,103.1,102.03,529035
103.24,103.39,104.01,103.105,448630
103.36,104.05,104.855,102.89,834472
102.92,101.58,103.19,101.425,2168238
102,99.76,102.34,99.75,946377
99.76,100.28,100.94,99.56,929117
100.34,98.56,100.685,97.97,1040305
98.43,98.32,98.61,97.71,877241
98.57,100.33,100.85,98.2918,594915
100.56,100.8,101.78,100.54,586324
100.7,100.96,101.08,100.14,785646
100.5,99.98,101,99.72,934051
100.09,100.09,100.28,99.6,473136
99.98,97.36,100.48,97.19,895114
97.39,95.97,97.63,95.9,691854
95.66,96,96.38,95.38,639369
96.57,94.78,96.84,94.45,726141
94.48,93.6,94.755,93.27,737654
93.9,96.11,96.46,93.75,830614
96.06,95.4,97.595,95.15,958098
95.96,93.789,95.99,93.54,1016435
93.62,94.07,94.42,92.845,1173526
93.84,94.29,94.92,93.05,864231
94.23,92.86,95.07,92.81,1099707
92.45,90.91,93.72,90.53,1841594
93.2,93.11,93.73,89.68,2637375
92.77,91.36,93.155,90.53,1224552
91.5,90.77,91.92,89.765,3348874
91.02,91.56,92.23,89.55,1653282
91.03,89.97,91.345,89.34,897084
89.74,89.89,90.96,88.88,866506
90.03,87.41,90.39,86.93,819260
85.97,88.15,88.52,85.705,1303457
87.96,85.02,87.99,84.475,1217992
85.6,87.27,88.19,85.6,809248
86.27,86.57,87.17,84.82,814269
88.05,89.56,90.351,87.78,1127415
89.88,91.42,91.57,89.5,1116082
92.35,91,93.38,90.85,1089497
91.36,92.84,93.32,91.15,924823
93.46,92.2,93.46,91.22,583908
92.41,92.97,93.425,91.695,530036
93,93.27,93.65,92.06,416233
93.54,92.92,93.985,91.76,444507
92.83,93.44,94.1,92.33,412124
93.5,92.9,94.16,92.6,418765
92.86,91.76,93.46,91.59,487035
92.02,93.45,94.09,92.02,477388
93.96,92.2,94.25,91.17,946490
91.25,94.46,94.57,91.21,646551
94,93.98,95.275,93.59,619744
93.76,93.65,94.87,92.922,885794
92.76,91.65,93.36,91.63,912108
92,93.77,94.61,90.72,1316479
93.22,94,94.77,92.96,409729
95.1,95.86,96.17,95.1,1438500
95.25,94.46,96,93.68,1352428
94.75,94.65,95.51,93.61,1327611
94.27,96.18,96.75,94.19,1419188
96.05,99.16,99.28,95.86,1348968
100,99.63,100.59,98.52,873692
98.9,96.905,99.55,95.8767,1855511
94.92,96.74,96.79,94.06,1661024
96.76,94.47,97.89,94.27,1479412
94.3,92.58,94.55,91.615,801716
93.57,90.82,94.18,90.6,1159467
91.9,91.24,92.35,90.49,863859
91.57,89.69,91.81,88.84,658343
88.84,88.94,90.02,88.48,746628
88.36,87.33,89.43,86.8,819134
87.43,85.4,87.96,85.3005,1014265
85.51,83.19,87.25,83.08,1564315
82.88,81.47,83.25,79.85,2055773
81.14,80.49,82.445,79.95,1164521
79.43,80.22,81.29,79.42,666419
80.28,84.16,84.17,79.95,965787
82.82,83.69,83.74,80.92,549091
87.93,87.75,89.66,87.51,6221140
86.76,86.59,87.67,85.17,5997588
86.54,87,87.51,86.15,2495634
87.77,85.24,88.85,84.925,2769666
86.52,87.53,88.15,85.78,2346379
86.97,87.49,88.1,86.23,1816783
87.79,86.76,88.5,85.45,1991461
