Open, Close, High, Low, Volume
19.83,19.67,20.17,19.57,6052268
19.68,19.16,19.76,18.95,5731880
19.34,19.1,20.02,19.025,8930045
19.01,19.09,19.53,18.96,6602731
19.04,19.17,19.43,18.89,5500783
18.98,18.56,19.255,18.5,2072960
18.7,19.64,19.65,18.2,2867548
19.17,19.58,19.58,18.71,3071804
19.97,19.64,20,19.485,3230945
19.86,19.5,19.86,19.02,3026433
19.07,19.755,19.99,19.01,4637321
19.7,19.875,20.13,19.37,2857606
20.56,20.89,20.99,20.35,3992327
20.96,21.68,21.88,20.84,3403963
22.18,22.35,22.53,21.94,3862224
23.22,22.91,23.3486,22.8482,3795549
22.78,22.66,22.91,22.34,4169813
22.3,22.6,22.76,22.19,4065887
22.23,22.62,22.92,22.22,3333099
22.88,22.71,23.0775,22.64,3334663
22.65,23.005,23.11,22.58,4014173
22.71,23.285,23.4,22.63,2705429
23.5,24.05,24.07,23.38,3742173
23.28,23,23.55,22.94,3785129
22.98,22.595,23.01,22.36,2889828
22.63,22.845,23.04,22.555,2575203
23.13,23.3,23.475,23.04,4713835
22.94,22.805,22.97,22.61,2434796
23.33,23.01,23.44,23.01,2352380
22.89,23.135,23.255,22.8,3742389
23.34,22.945,23.39,22.77,3049006
22.92,23.16,23.4,22.86,2510359
23.27,23.475,23.48,23.09,2423716
23.6,23.57,23.71,23.38,1713691
23.7,23.75,23.98,23.67,1719061
23.05,22.51,23.33,22.19,3632782
22.04,22.3,22.38,21.92,3351112
22.22,22.72,22.83,22.22,3337992
22.09,22.635,22.81,22.09,4642276
22.6,22.6873,23.04,22.495,3532765
22.49,22.845,23,22.4,2789278
23.29,23.505,23.66,23.22,2428815
23.41,23.945,24.045,23.35,3109063
23.99,24.58,24.81,23.98,3544515
22.99,22.65,23.26,22.29,7555091
23.15,22.71,23.2038,22.65,3803419
22.81,22.99,23.17,22.78,2495008
23.45,22.79,23.52,22.76,3930105
22.74,22.44,22.79,22.42,5494376
22.4,22.3,22.43,21.87,4670127
22.53,22.37,22.82,22.26,3613497
22.79,22.49,22.93,22.235,2718323
22.45,22.16,22.47,22.05,3325782
