Open, Close, High, Low, Volume
42.84,43.64,43.8,42.84,1751784
43.89,44.27,44.7,43.69,1516385
44.25,45.09,45.64,44.09,1886832
45.5,44.85,45.5,43.701,1457988
45,44,45,43.91,1268310
44.05,43.92,44.24,43.61,815146
43.61,44.17,44.31,43.61,621252
44.2,44.03,44.288,43.92,375623
44.09,44.02,44.12,43.83,1207637
44.11,43.7,44.19,43.69,632735
43.76,44.38,44.46,43.555,941116
44.3,45.03,45.14,44.17,1281043
45.11,43.99,45.23,43.96,1513388
44.32,44.09,44.54,43.92,1224600
44.29,44.99,45.04,44.01,848860
44.69,44.315,44.84,43.97,1162936
44.06,44.1,44.22,43.48,966050
44.09,44.26,44.61,43.9,1024237
44.44,44.935,45.13,44.3,1052830
45.03,44.34,45.79,44.15,1191695
44.77,45.1,45.27,44.64,887807
44.88,45.72,45.9,44.8468,1564416
45.9,46.01,46.43,45.65,1520348
45.8,45.85,45.91,45.21,1103314
44.29,45.78,45.91,43.55,2304297
45.95,45.25,46.23,45.05,1027829
45.55,45.41,45.81,45.12,475082
45.11,45.86,46.04,45.09,987231
45.76,45.9601,46.24,45.541,1052105
45.65,45.73,46,45.63,1027615
45.39,46.05,46.4,45.36,1136653
45.75,45.87,46.27,45.47,1247939
45.71,44.94,45.73,44.84,1215266
44.27,43.84,45.7,43.67,2099536
45.27,46.54,47,44.6,5878914
46.68,45.52,46.8,45.5,2111347
45.5,44.5,45.85,44.47,2477283
45.23,46.54,46.87,44.54,3507944
46.87,46.48,47.2,46.39,2311247
46.43,48.13,48.16,46.3,2158974
47.93,48.36,48.51,47.68,1271407
48.51,49.3,49.56,48.2,1429315
49.03,48.94,49.58,48.94,1063994
48.43,49.04,49.62,48.42,813557
49.4,49.12,49.97,49.11,1199757
49.25,49.2,49.825,49.02,948740
49.65,49.87,49.94,49.08,911983
49.99,50.32,50.39,49.79,829897
50.42,49.9501,50.87,49.95,615024
49.82,50.46,51,49.58,1160489
50.72,49.49,50.92,49.27,1528497
49.39,50.46,50.56,49.251,1584113
50.23,50.64,51.23,49.88,1194021
50.89,51.85,51.93,50.47,1517304
51.33,52.5,52.55,51.21,1113757
52.85,54.08,54.125,52.63,2141279
54.47,54.45,54.68,53.96,1534230
54.44,54.69,54.82,54.14,973766
54.69,54.25,54.95,54,896337
54.23,54.54,54.6299,53.9,560669
54.62,54.18,54.97,54.04,713568
54.09,54.01,54.73,54,1017294
52.68,53.345,53.47,52.2187,1108836
53.22,53.77,54.14,52.82,525830
54.13,54.55,55.18,53.81,1255482
53.96,53.62,54.635,53.5,686085
53.58,52.94,53.8601,52.92,857866
53.86,54.59,54.6,53.45,701902
55.12,53.32,55.34,52.97,971265
53.33,52.29,53.6,51.965,1495447
52.75,53.58,53.77,52.45,960005
53.11,52.43,53.525,52.03,738314
52.97,53.44,53.69,52.73,1133125
52.42,54.31,54.48,52.24,865941
54.15,54.59,55.24,54.15,744686
54.23,54.32,54.97,54.01,846522
54.29,54.47,55.46,54.25,969486
55.17,56.23,56.53,54.7,1023135
54.68,54.82,56.35,54.2597,1842134
55.41,56.08,56.46,55.41,1092713
56.47,55.84,56.47,55.53,601438
56.45,56.77,57.33,56.1,854891
57.2,57.63,57.79,56.9976,921282
57.98,57.48,57.98,57.38,580612
57.25,57.41,57.55,56.89,403958
57.28,57.15,57.66,56.87,478419
57.57,56.74,57.82,56.68,941957
57.5,56.07,57.71,55.52,1029773
55.79,54.8,55.98,54.26,1992390
55.17,55.41,55.97,54.98,1306041
55.67,54.93,56.14,54.89,1216112
55.18,55.36,56.28,54.9701,1086585
55.01,55.75,55.84,54.94,957520
55.78,55.95,56.44,55.64,949930
55.56,56.09,56.49,54.905,1674303
55.77,54.76,56.1,53.4,2969570
55.2,55.7,55.82,54.76,1106227
55.38,56.93,56.97,55.29,1551584
57.05,59.019,59.07,57.05,1792018
58.91,60.169,60.28,58.84,1131814
60.18,60.38,60.5698,59.34,1212664
60.38,59.555,60.81,59.16,1067962
59.23,59.3,59.62,58.28,925479
59.44,58.62,59.49,58.47,953122
58.49,58.29,58.78,57.76,872278
58.32,58.52,59.02,58.21,928698
59.25,59.33,59.69,58.84,1744810
59.41,58.78,59.71,58.73,980285
58.23,59.19,59.2,58.1,670419
59.32,60.64,60.82,59.2752,2073863
60.47,60.37,60.64,59.93,597194
60.2,59.95,60.95,59.81,1195319
60.35,61.19,61.41,60.34,932633
61.16,61.2,62.13,61,988640
61.56,61.97,62.09,61.52,917979
62.48,62.47,62.65,61.5601,723396
62.69,63.2,63.27,62.03,993979
63.3,63.3,63.57,62.75,960810
63.39,61.499,63.72,60.83,1196076
61.5,62.53,62.67,60.86,836427
62.79,63.26,63.35,62.535,601829
63.33,64.11,64.15,62.92,927111
64.38,64.69,65.17,64.16,1047375
65.09,65.72,66.265,65.09,1140536
65.9,65.27,66,64.79,1491170
64.98,66.16,66.32,64.73,1381920
63.2,64.32,64.745,62.8,1695080
64.35,65.09,65.55,64.35,877441
65.03,64.75,65.46,63.98,631505
64.83,63.91,64.83,63.28,1408436
63.47,62.12,63.55,61.53,1570239
62.47,62.88,63.29,62.17,705593
63.23,61.79,63.6,61.72,995019
61.56,62.46,62.635,61.081,637169
62.82,62.42,63.44,62.335,657530
62.17,63.93,63.97,61.9,634549
64.12,63.58,64.28,63.37,395318
64.12,64.33,64.4,63.3,713127
64.36,64.99,65.1197,64.08,439491
65.29,64.77,65.97,64.41,675821
65.11,65.43,65.84,65.01,655543
65.03,65.65,65.825,64.7944,452284
65.95,67.22,67.45,65.8,566701
67.08,66.55,67.3,66.23,703105
66.85,66.24,67.02,66.11,349250
66,66.93,67.22,65.01,940474
67.06,66.81,67.2,66.485,599047
67.03,67.455,68.05,66.84,1109463
66.36,67.99,68.35,66.36,744073
67.91,68.21,68.305,66.9,859494
68.67,66.74,68.79,66.15,1102585
66.89,68.42,68.67,66.89,883858
68.11,68.57,68.83,67.37,845401
68.37,65.81,68.55,65.03,966753
65.58,62.78,65.74,62.27,1934567
63.1,62.9,63.74,62.37,1411902
63.23,64.61,64.87,63.09,1664431
70.5,73.76,73.87,70,3366188
73.99,73.64,75.64,73.09,2066213
73.49,73.63,74.26,72.82,947215
73.6,73.06,74.42,72.98,653375
73.03,73.06,73.34,72.15,915754
73.35,74.56,75.14,73.14,1120438
74.01,75.27,75.78,73.85,824945
75,74.79,75.57,74.24,713385
75.29,76.37,76.455,74.2,649007
76.27,76.2,76.95,75.19,1066353
76.5,76.58,77.3894,76.37,823437
76.5,76.5,76.69,75.4,740096
76.9,76.68,77.37,76.04,637869
77.27,76.62,77.5,76.27,619782
76.49,77.73,78.01,76.49,443620
77.5,78.75,79.09,77.5,773697
78.96,80.4,80.7,78.95,630331
80.53,80.32,81.2,79.76,705424
80.64,80.93,81.13,80.085,609070
81.58,82.52,83.06,81.345,910630
82.45,83.05,83.63,82.1,853250
82.87,83.76,84.12,82.87,802473
85.1,86.09,86.16,83.81,1349970
86.28,83.53,86.56,81.56,1484710
83.79,85,85.77,83.52,1120785
84.44,85.52,86.79,83.76,691622
86.13,87.85,87.99,85.58,1092640
87.51,87.23,88.84,87,1387663
87.34,88.72,88.97,86.35,1137644
89.23,89.94,90.5,88.48,1343387
90.01,90.36,91.2699,90.01,1058772
90.31,88.19,90.7301,87.62,1013694
86.59,88.42,89.44,85.28,1272929
88.65,85.84,88.94,84.57,1429358
84,85.73,86.44,82.77,1602014
85.9,85.48,87.1632,85.21,1098853
85.48,87.25,87.71,84.16,1140569
88.25,89.51,89.86,88,1322887
90,89.55,90.48,88.7307,1179946
90.07,91.75,92.25,90.07,1701876
91.2,92.26,92.38,89.77,1454390
93,92.29,94.37,91.8046,1260603
92.35,91.17,92.4663,90.08,1606993
91.54,91.52,92.65,91.01,1076360
91.45,89.28,91.7,88.5,1079576
87.69,86.09,88.13,84.59,2962434
86.17,83.69,86.92,81.83,2554788
83.05,82.57,84.5899,82.01,2546706
83.11,79.34,83.43,78.4,3718290
78.83,77.12,79.78,76.74,3140116
79.64,79.96,80.98,78.55,2451907
80.3,80.15,81.29,78.56,1392750
81.45,82.73,82.99,80.67,1150305
83.4,81.66,83.74,81.05,1511391
80.95,81.71,82.505,80.7,1990990
82.61,81.21,83.96,81.14,1422957
81.5,82.94,83.47,80.84,1531932
80.8,83.37,83.75,80.34,1529991
83.05,79.12,83.95,78.89,1190246
79.89,81.11,81.81,79.23,1241648
78.85,78.16,79.93,77.16,1363339
80.27,77.55,80.99,76.02,1604718
77.28,78.97,79.46,76.89,1454885
81.06,82.17,82.84,80.77,1540066
82.2,83.68,84,79.68,1822380
81.59,72.55,81.72,71.54,5091612
73.01,74.84,75.22,71.69,2409270
74.57,74.73,75.64,73.52,1637238
75.91,77.85,78.68,75.62,1925147
78.06,77.9,79.49,77.28,1504298
76.89,74.73,77.22,73.96,1194709
74.39,73.74,75.36,72.65,1224245
73.82,73.48,75.04,72.8,939765
74.7,73.34,75.43,73.02,1294471
72.51,72.75,73.15,71.6,1493418
72.38,73.44,73.66,71.53,1649272
73.13,67.78,73.3475,67.53,1885101
65.77,67.04,68.59,64.65,2764521
67.64,68.54,69.28,67.54,1538518
67.64,67.95,69.02,67.64,529273
69.21,70.84,71.07,68.6301,1401806
70.59,70.71,71.2,69.86,1169378
71.25,73.53,73.79,71.25,1447676
73.07,73.9,74.395,72.14,1160202
73.95,73.81,75.07,72.655,2125758
76.23,75.12,77.18,74.36,1650252
75.48,73.39,76.39,72.4408,1873255
71.62,75.44,75.47,70.34,1655500
74.81,71.62,75.5,71.19,1468728
72.04,74.7,74.95,72.04,1287789
75.97,74.44,76.28,74,1431902
76,75.19,76.35,74.63,1203056
75.94,74.47,76.35,73.63,983457
73.04,72.9,74.525,72.13,1513597
72.34,68.21,72.5,67.855,1907740
68.65,70.07,71.415,68.65,2216031
70.72,69.99,72.46,69.4642,1638959
69.4,69.88,70.72,67.16,2626847
70.21,65.64,70.82,65.1,2441192
65,65.51,67,64.41,1037256
66.03,68.57,68.66,65.955,2547679
67.66,70.37,70.41,67.07,1375656
70.75,70.2968,71.66,69.15,922664
71.07,70.11,71.56,69.97,830045
68.58,69.55,70.68,68.04,1263605
68.8,67.68,69.33,66.9601,1493710
65.79,66.89,67.88,65.06,3723322
66.82,70.16,70.51,66.82,3582651
70.79,71.52,71.86,70.31,2060808
72,73.06,73.465,71.7,1508151
72.26,73.2,73.27,70.19,1247639
72.99,73.25,73.38,72.25,843628
72.62,72.3136,72.84,71.9,769322
72.54,74.52,75.29,72.54,1760033
74.6,72.38,74.9973,71.72,1193515
71.94,72.64,73.32,71.6108,853493
72.36,70.515,72.5,69.86,3263854
69,69.54,70.5,68.15,2942701
70.29,71.4,72.68,69.225,2713653
71.56,72.5,73.02,71.465,1366458
73.14,73.575,73.93,73,1103897
73.03,73.7,74.16,72.27,936881
73.95,73.23,74.5,72.78,1304625
73.92,75.145,75.17,73.29,1573470
75.25,76.61,77.5713,75.25,1897670
76.69,78.93,79.26,76.69,2072139
79.53,80.14,80.5598,78.96,2505460
80.25,81.84,82.26,80.1415,2541325
82,81.105,82.3,80.04,2470402
81,79.29,81.075,76.36,4602549
78.64,80.91,81.64,78.4,2038767
81.38,81.68,82.24,80.82,1518415
82.17,83.115,83.29,81.975,1916779
83.37,82.54,83.72,82.1205,1105121
82.1,83.2325,83.63,81.94,1029672
83.35,83.29,83.5,82.58,1012830
83.02,83.94,84.26,82.98,1307874
84.13,83.88,84.25,82.94,1108123
83.69,84.49,84.8,83.15,1073286
84.98,86.8,86.83,84.73,1417517
87.46,87.07,88.6,86.85,1228213
86.76,86.97,87.3,86.08,793579
87.48,87.91,88.39,87.12,1053710
87.83,86.8,88.54,86.67,1540182
87.41,86.91,87.895,85.67,1200635
87.2,83.82,87.37,82.36,1635478
83.51,83.63,84.27,83.2,1054183
83.73,82.91,84.27,82.51,1077891
82.91,82.48,83.91,82.39,1568254
81.64,80.68,81.68,79.6642,1555690
81.31,82.56,82.63,81.15,1235486
82.65,82.43,83,81.63,956474
82.66,83.67,84.44,82.66,1095419
83.62,84.38,84.66,83.5,723264
83.735,83.26,84.54,83.23,1320996
83.41,84.49,84.56,82.98,1281450
84.95,85.34,85.4,83.67,1531790
85.99,85.61,86.95,84.51,1204407
85.53,88.3,88.34,85.46,1143055
88,85.2,88.18,85.12,1040745
84.58,85.01,85.58,83.5089,787361
85.89,84.86,86.3599,84.53,670087
84.77,81.81,84.89,80.831,1803120
82.17,82.35,82.96,81.63,789551
82.92,83.96,84.03,82.26,1098526
84.59,85.22,85.925,83.27,483705
85.38,85.64,85.9,84.27,1294419
86.11,87.48,87.94,86.08,1378422
87.81,83.5,87.85,82.44,2915843
83.93,84.13,85.05,83.4723,959900
84.09,86.08,86.85,83.31,1410541
85.47,87.31,87.44,85.3401,1624210
87.59,89.66,89.97,87.38,2632874
90,89.67,90.87,89.0238,1852443
90.3,92.71,92.91,90.0209,2271565
92.85,95.23,95.59,92.804,2263601
96.9,94.06,96.96,93.44,1983761
94.37,92.38,94.956,91.56,1570031
89.86,91.08,91.12,88.2127,1992670
90.84,91.59,91.94,90.61,1151138
91.8,91.99,92.13,90.28,1571381
92.45,92.24,93.21,92.0424,1122644
92.82,92.91,93.38,91.35,1194245
93,93.03,93.39,91.4,1015802
93.5,93.03,94.19,92.75,1137175
93.02,93.43,93.755,92.5986,1068094
93.64,91.88,93.64,91.79,1387688
91.82,91.52,92.615,90.485,1842513
86.05,85.96,86.6835,82.8,4119595
83.65,84.99,85.2,82.85,2178642
84,81.75,84.15,80.73,2825251
81.59,81.66,82.22,80.89,1345672
80.25,81.8,82.26,79.75,1367071
81.26,82.89,83.22,80.34,1621373
80.75,79.5,81.76,79.42,1807246
80.02,81.18,81.66,80,1214592
80.77,81.06,82.25,80.5,973122
81.11,83.23,83.58,81.11,1147871
82.36,82.63,84.065,81.78,1199514
81.62,81.36,82.055,80.6864,781779
82.44,82.57,82.97,81.9501,836328
81.97,81.96,82.62,81.53,694165
80.65,77.49,80.725,76.72,2553188
78.2,77.72,78.9,77.26,1461806
77.87,77.22,79.3,77.04,1301895
76.61,75.81,77.38,75.05,1616383
75.8,76.055,76.43,75.11,1343301
75,72.46,75.25,72.24,2054208
72.32,69.65,72.85,68.87,2441656
70.71,72.5,72.5,70.385,1463105
73.48,73.14,73.75,71.6,1109892
73.47,73.61,73.91,72.43,1050328
73.75,73.83,74.61,73.49,1041193
74.41,74.67,75.64,74.35,1074053
75.18,75.98,76.16,74.7,1837964
75.52,76.98,77.07,75.22,1267510
77.25,76.62,77.315,76.1057,1967451
76.53,75.71,77.13,75.69,2146855
75.54,74.54,76.69,74.44,953121
75.74,74.95,75.77,74.65,1040258
75.32,76.97,77.13,74.5,928923
77.87,76.93,79.315,76.4,1408499
76.93,76.12,77.39,74.98,1452846
79.04,75.84,79.19,75.69,1571303
76.1,74.88,76.48,74.67,1177174
75.18,75.246,76.28,74.82,853271
75.79,76.77,77.11,74.87,687643
77.615,76.81,77.62,76.01,842182
78.11,77.19,78.63,76.88,1032527
77.44,78.12,78.45,77.2,1054109
78.48,78.75,79.45,78.04,803483
78.39,78.89,78.94,77.19,490624
77.97,78.56,79.48,77.87,789795
78.45,80.55,80.7,78.01,1420533
80.98,81.05,81.46,80.41,1494530
81.59,84.06,84.2,81.175,2145007
84.3,84.75,84.76,83.03,1426165
84.94,85.04,85.23,83.64,1221443
85.02,84.8,85.64,83.95,1072612
84.68,86.57,86.83,84.46,1121394
86.02,86.46,86.73,85.39,982828
87.06,87.38,88.65,86.97,1552900
87.56,87.57,88.15,86.87,702683
88.29,87.61,88.32,86.32,836046
87.14,86.56,87.24,86.16,1373456
86.04,85.29,86.66,85.09,876701
85.82,85.36,86.19,85.2625,805963
85.34,82.94,85.34,81.21,1689618
82.13,82.43,83.36,82.1,1028093
82.43,80.3,82.55,79.38,1424983
80.44,79.13,81.41,78.85,1620829
