Open, Close, High, Low, Volume
70.97,69.95,71.2,69.75,1397050
69.39,68.87,70.03,68.56,1338467
68.38,67.99,69.13,67.45,2748260
68.75,68.09,68.75,67.32,2186949
68,66.6,68.98,66.21,1591449
65.95,65.14,66.59,63.7,2477538
65.16,65.42,66.62,64.5,2719584
64.83,63.65,64.96,62.97,1406437
63.84,65.7,65.76,62.89,1425796
64.9,66.86,66.86,64.36,1049211
67.19,66.695,67.48,65.8,1269787
66.91,67.3,67.71,66.78,961446
66.62,67.2,67.45,66.32,809805
66.24,64.64,66.43,64.39,1609483
65.74,67.4,67.47,65.46,1282896
67.35,67.68,68.23,67.235,992785
68.67,68.09,68.75,67.27,1225899
68.11,69.21,69.45,68.08,1186802
68.75,69.85,69.98,68.52,997291
69.23,69.46,69.57,68.87,871035
69.1,69.62,69.89,69.02,951626
69.72,69.9,69.965,69,1062505
69.87,70.02,70.47,69.71,898755
69.66,71.3,71.55,69.66,956375
71.8,72.99,73.23,71.8,1483863
72.44,71.46,72.44,71.195,1006685
71.96,71.09,72.64,70.66,933942
71.17,70.97,71.61,70.91,1053744
71.78,72.245,72.34,71.47,1179476
71.21,71.82,71.83,70.77,674014
72.07,73.705,74.08,72.07,1659407
74.19,74.73,75.19,73.25,903694
74.71,75.05,75.19,73.92,793073
75.11,74.32,75.47,74.12,1078818
74.55,74.35,74.55,73.7,1471061
74.47,74.395,74.97,74.05,1953093
74.25,74.78,75.205,74.18,1329022
74.2,74.51,74.57,73.57,1672300
75.4,76.64,77.49,74.4,2691851
76.76,77.12,77.27,75.9,1743692
77.69,78.845,79.11,77.3,1963378
79.1,80.44,80.49,78.88,2293865
80.18,80.46,80.99,79.7,1854801
81.3,81.75,81.83,80.95,1522294
81.17,80.49,81.53,80.13,1857899
80.66,81.04,81.72,80.66,2604717
80.85,80.6,81.18,80.055,1533736
81.06,81.35,81.41,80.69,763114
81.87,81.58,82.27,73.9013,1588571
81.38,81.74,82.03,81.28,1318592
81.64,81.7,81.81,81.115,1043989
81.59,81.56,82.07,81.07,1471203
82.06,82.58,82.79,81.885,959660
82.89,82.59,83.53,81.95,1472804
82.71,82.27,83.04,82.26,706889
82.29,82.07,82.715,81.95,829472
81.99,81.06,81.99,80.68,1133233
80.24,80.4,81.01,79.59,1391772
80.53,82.18,82.21,80.53,1234542
82.34,82.14,82.601,81.79,1138321
82.62,83.18,83.7,82.43,1414871
82.89,82.67,83.345,82.54,1041553
82.745,82.54,83.15,82.43,659904
82.61,83.41,83.66,82.52,844231
83.58,83.07,83.71,82.75,1099380
83.17,82.99,83.57,82.29,1088902
82.87,84.23,84.45,82.78,760423
83.8,82.23,83.97,82.21,988921
82.23,82.6,82.94,82,542251
83.01,83.57,83.95,82.8,1138823
83.84,82.34,83.94,82.22,1082844
82.56,82.92,83.42,82.39,899564
83.6,83.88,84.05,83.28,848561
84.64,85.06,85.2,84.3,466423
85.39,85.67,85.81,85,636462
86.28,86.51,86.95,86.07,696078
86.65,86.3,87.15,86.2,798252
86.62,86.74,86.94,86.32,1137676
86.49,86.91,86.945,85.92,1032464
86.34,86.13,86.62,85.83,649738
86.25,86.05,86.28,85.81,1292946
86.29,86.85,87.07,85.81,1851565
87.32,87.66,87.83,87.2,739654
87.84,87.81,88.36,87.23,550536
88,87.64,88.2,87.37,844278
88.37,87.61,88.62,87.6,862110
88.04,88.49,88.7,87.75,804506
87.93,88.35,88.515,87.6,954394
88.37,88.95,89.24,88.17,774814
89.25,89.04,89.48,88.82,848195
88.45,87.75,89.01,87.23,1886132
81.36,85.25,85.582,80.91,3064823
85.58,85.85,86.4325,85.33,1925492
85.88,86.28,86.53,85.45,1323468
86.42,85.35,86.77,85.28,844472
85.36,85.81,85.98,84.81,629726
86.15,86.55,86.66,85.93,590651
85.1,84.92,85.19,84.36,895928
83.87,83.48,84.1,83.12,1315361
82.59,82.5,83.04,82.1,1841912
81.66,82.24,82.32,81.26,845917
81.75,82.63,82.71,80.66,851464
80.77,80.5,80.98,79.97,1757556
80.74,80.52,81.8,80.47,1203482
80.2,81.35,81.8,79.8933,859627
82.15,81.35,82.23,81.29,852438
80.55,80.5,81.32,79.94,1189956
79.76,79.34,79.96,79.13,920786
79.91,79.9,80.24,79.75,971511
79.82,79.59,80.245,79.49,1650442
78.77,78.47,79.23,78.17,1575727
78.97,78.065,79.26,78.01,975010
78.15,76.795,78.38,76.79,1300322
76.16,76.59,76.92,75.7,2616847
76.68,76.82,77.35,76.27,2175132
76.03,76.15,76.4,75.88,1762809
76.57,77.78,77.85,76.16,1351210
78.23,78.81,78.87,77.59,1124622
78.93,79.41,79.63,78.51,889396
79.83,78.94,79.946,78.87,869196
79.27,78.93,79.39,78.67,779081
79.67,79.16,80.05,78.77,1104579
79,78.18,79.1,77.98,941388
78.52,78.49,78.735,78.18,787813
78.35,77.33,78.39,76.83,1442521
77.24,76.63,77.49,76.45,1271830
77.26,78.37,78.6,77.26,1548769
78.39,78.82,78.925,78.09,965605
79.82,80.81,80.88,79.4725,999289
80.6,80.42,80.91,79.985,1131101
80.43,80.66,80.9,80.17,744197
80.72,80.65,81.23,80.29,1601968
80.58,79.88,80.99,79.74,1774451
80.15,80.39,80.5,79.85,1355919
80.18,81.53,81.93,80.18,1594010
82.54,82.67,83.18,81.93,1179407
82.85,81.99,82.85,81.63,813629
82.01,82.56,82.56,81.61,671193
81.81,80.97,81.9,79.9,895829
80.78,80.46,81.28,80.16,855026
80.24,80.27,80.48,79.93,1246406
80.84,79.4,81.02,79.335,890925
79.39,79.7,79.81,79.1,1458792
80.25,81.3,81.33,80.25,729400
81.4,80.74,81.44,80.38,645386
80.7,81.4,81.57,80.595,853855
81.26,79.7,81.45,79.61,1034749
79.52,79.08,79.94,78.74,1627767
79.41,78.52,79.73,78.46,2065174
78.4,78.99,79.19,78.4,1176107
79.49,81.44,81.63,79.49,1315239
81.12,82.25,82.79,80.93,1180175
82.29,81.79,82.51,81.42,1447196
74.19,78.46,79.51,74.19,4827021
78.18,76.81,78.34,76.21,2725676
76.38,76.8,76.82,76,1653489
76.65,76.03,76.87,75.32,1825167
75.88,73.75,76.035,73.2305,1720359
73.7,73.64,73.8,71.85,1751536
70.85,70.41,71.53,70.13,2184885
70.73,71.43,71.5,70,1796623
70.37,71.16,71.19,69.65,1750765
71.57,71.86,72.04,71.13,1208858
71.66,70.5,71.67,70.24,1136499
69.96,69.04,70.24,69.03,1103450
69.34,70.03,71.19,68.9,1028076
68.87,67.33,69.05,66.99,1991065
67.52,67.33,67.645,66.68,1215457
67.96,68.96,69.21,67.785,2017445
69.91,70.1,70.395,69.62,950475
69.87,70.06,70.42,69.34,1515381
70.87,70.26,70.95,70.09,1217169
70.64,69.75,70.86,69.71,961508
69.34,68.43,70.05,68.03,1281334
69.02,69.17,69.17,67.86,1823665
69.73,69.06,70.11,68.91,955195
68.56,69.65,69.68,68.43,1220692
70.48,70.69,70.82,69.77,909014
71.24,70.86,71.57,70.77,1082429
70.15,69.03,70.43,68.94,1306541
68.97,66.95,69.25,65.52,6746221
67.73,68.1,68.57,67.5,3944609
68.5,68.49,69.06,68.22,2757046
68.47,68.01,68.84,67.79,2888280
68.1,68.6,69.06,68.01,2314138
68.87,70.59,70.59,68.23,1717433
70.75,69.98,70.97,69.395,1339920
69.98,70.02,70.36,69.83,1378565
69.72,69.5,70.185,69.45,1280402
69.33,69.06,69.7,68.71,1180141
68.67,69.69,69.73,68.25,1247193
69.68,68.79,70.23,68.79,1190718
68.85,68.19,69.17,67.93,5314121
67.81,67.94,68.45,67.65,1592121
67.91,66.97,68.23,66.49,2711511
67,67.82,68,66.83,1983469
67.83,67.99,68.83,67.28,2274114
68.4,68.61,68.99,67.83,1886520
68.97,68.56,69.15,68.24,1655694
68.96,66.25,69.23,66.2,2965888
65.45,64.44,65.94,63.67,4129445
64.22,65.69,65.935,63.51,2239888
