Open, Close, High, Low, Volume
65.38,65.12,67.1,64.56,8284391
65.48,64.8,66.74,64.3,7363441
65.11,64.19,66.79,63.48,7641665
64.13,64.3,65.35,63.3484,9072629
64.75,62.56,66.09,62.25,12718041
62.47,60.53,62.83,60.48,5412646
60.65,63.22,63.23,60.32,7466001
62.4,62.94,62.96,60.47,6957573
62.81,61.86,63.04,61.67,5893104
62,62.12,63.07,61.58,5997544
61.9,63.38,64.01,61.5,5687199
66.29,65.33,67.25,65.23,11593168
66.25,68.185,68.425,66.04,6978165
68.1,68.67,68.925,67.37,6152312
68.85,68.08,69.15,67.09,5399538
68.2,67.95,68.6638,67.5401,4454232
67.74,68.03,68.273,67.09,4124415
67.8,68.15,68.4,67.44,4572996
67.77,67.35,67.936,67.11,6927273
67.19,68.41,68.71,67.03,5802137
68.27,67.575,68.87,67.56,4344728
67.54,68.56,68.96,67.46,4143528
69.24,69.005,69.58,68.51,6731127
68.74,68.41,68.82,68.02,5382287
68.52,68.28,69.508,67.82,5654121
68.43,67.92,68.46,67.5196,6628101
68.17,68.83,69.28,68.1,6974571
68.42,67.98,69,67.36,4962459
68.07,69.51,69.96,68.04,5269968
69.42,69.815,70.3,68.6,4340301
69.81,70.1,70.32,69.08,4567964
70,70.025,70.5,69.36,5411533
69.86,69.935,70.26,69.22,5302084
67.75,67.55,69.02,66.75,12227573
67.58,68.73,69.31,67.27,5884959
68.43,67.23,68.77,66.92,5317361
66.92,67.375,67.61,66.34,3859873
67.62,67.595,67.9701,67.29,4212700
64.78,65.39,65.42,63.96,13758705
65.57,65.93,66.67,65.49,7798818
66.13,66.44,66.785,65.68,4983461
66.71,67.53,67.69,66.5,5543535
67.34,66.705,67.77,66.65,5117171
66.67,66.97,67.285,66.52,4144379
66.93,65.55,66.96,65.235,4821519
65.61,65.75,65.96,65.327,3944237
66.055,65.35,66.055,65.2341,5629981
65.245,65.27,65.82,65.09,4243645
65.11,65.58,66.11,65.05,5750784
65.2,65.02,65.66,64.73,5402207
65.62,66.02,66.275,65.4,4876609
66.21,65.44,66.47,64.9,5043071
65.23,64.38,65.65,64.35,5953315
64.45,62.91,64.59,62.755,7871830
62.93,62.53,63.19,61.955,6288190
62.23,63.23,63.41,62,6482567
63.37,64.34,64.535,63.07,4067854
64.54,64.84,65.28,64.16,4083913
65.19,65.75,65.95,64.88,5027325
65.04,64.78,65.3,64.345,6580635
64.73,65.63,65.78,64.73,9404660
65.79,65.02,65.9,64.83,4980626
65,65.5,66.1,64.9,5776419
65.07,64.59,65.25,64.375,5856958
64.14,64.93,65.02,63,8161951
64.86,63.74,65.1,63.7,4942323
63.8,63.81,63.99,62.93,6236628
64.05,64.25,64.95,63.95,5560069
64.14,63.65,64.56,63.46,5200325
63.92,63.68,63.94,63.17,4590830
64.9,65.02,65.63,64.65,7762365
65.54,65.87,66.24,65.25,2973371
65.69,66.24,66.78,65.69,5977305
66.68,66.66,66.775,66.18,5338119
66.63,66.85,67.24,66.53,4931852
67.2,67.56,68.07,66.91,4304563
67.39,67.37,67.81,66.9,4325249
67.27,66.1,67.62,65.94,4829488
67.23,67.41,67.565,66.78,6643956
67.84,66.31,68,66.03,5445952
66.76,65.29,66.84,65.08,5045834
65.4,65.43,65.96,64.5,4219931
65.85,64.56,66.15,64.35,4633320
64.6,63.25,64.7,63.15,6971023
63.61,62.95,63.61,61.555,9794937
62.78,61.88,63.33,61.55,10116237
62.1,63.04,63.35,61.89,8912537
63.16,62.8,63.19,62.2,4713478
62.47,64.13,64.33,62.05,6963707
64.43,65.15,65.32,64.31,7133899
65.06,64.92,65.6,64.81,4253264
64.95,65.02,65.26,63.95,5725592
64.82,64.86,65.61,64.46,4749477
64.71,65.29,65.39,64.2,4768605
65.97,67.13,67.74,65.9,7657125
66.33,67.7,67.8,66.04,5273692
67.05,66.4,67.5,65.93,5450758
66.18,66.07,66.44,65.21,4765984
65.57,66.12,66.49,64.76,5400976
66.04,65.56,66.28,64.12,5156566
64.42,64.16,64.53,63.16,7043538
64.24,65.07,65.6132,64.1,5178613
64.67,65.3,65.78,64.39,3773534
65.59,65.78,66.71,65.49,4432540
65.77,66.33,67.22,65.6,6058994
65.99,65.86,66.23,65.57,3851526
66.22,66.52,66.725,65.81,4120832
66.26,66.51,66.795,65.73,5175042
66.75,67.16,67.46,66.37,5675962
67.3,66.88,67.475,66.4529,3536617
65.31,63.96,65.79,63.95,7381628
63.61,63.35,63.73,62.84,6148005
63.46,63.35,63.64,62.81,3794306
62.77,62.24,63.06,62.17,3785985
62.5,63.61,64.44,62.18,7035573
63.97,64.32,64.72,63.66,4249766
64.8,64.43,64.84,63.6001,4068467
64.45,63.71,64.8,63.57,4057739
64.14,65.36,65.625,63.47,5011239
65.4,66.12,66.27,65.275,4802664
66.13,66.111,66.835,65.95,4346129
66.38,66.79,67.461,66.21,5558446
66.31,66.98,67.25,66.3,7580980
66.91,66.35,66.98,66.2,6946704
66.47,67.12,67.45,66.07,3875129
67.65,68.21,68.9,67.38,6230608
68.03,68.28,68.4,67.645,3616576
68.79,68.56,69.32,67.71,3828647
68.53,69.39,69.47,68.27,6400528
69.13,68.85,69.48,68.7,3145734
68.75,68.49,69.98,68.125,5134421
68.5,66.66,68.54,66.58,5958608
66.64,67.05,67.385,66.26,5124739
67.075,67.56,68.02,66.86,6439601
68,67.82,68.86,67.275,4441923
68.64,68.86,68.94,67.96,4762430
69.07,69,69.07,68.32,1967568
68.56,68.53,69.345,68.35,3497166
68.27,67.51,68.47,66.36,5064390
67.18,67.74,68.1769,66.75,3316591
68,67.46,68.53,66.9002,3466488
67.01,66.2,67.39,65.54,5109609
66.17,66.25,66.675,65.885,3969012
66.98,68.07,68.25,66.84,5905433
68.07,66.95,68.2,66.505,4958717
67.13,66.9,67.42,66.81,4137159
66.63,67.21,67.6,66.3,3477733
67.52,65.04,67.53,64.91,7279806
65.3,64.91,65.82,64.82,4442045
65.07,66.4,66.44,64.68,6861256
66.48,66.65,66.8219,65.83,3448039
66.57,66.35,67.07,66.2,3096102
66.35,66.94,67.04,65.92,3669095
68.09,67.88,68.3,67.3,4628345
67.8,67.11,67.83,66.66,5797536
65.79,65.5,66.72,64.16,9220767
65.66,65.47,66.78,65.08,7204466
65.19,64.96,65.46,64.25,5268083
64.3,63.35,64.62,62.87,5778177
63.46,63.97,64.15,62.64,5628757
63.34,63.87,64.1971,62.54,4509700
