Open, Close, High, Low, Volume
56.04,56.07,56.36,55.97,2243499
56.06,56.48,56.58,55.84,2938807
56.36,56.13,56.48,56.12,2063046
56.38,56.86,57.17,56.16,4270665
57.5,57.8,58.1,57.43,4101286
57.95,57.64,58.38,57.56,4504036
58.15,58.75,59.03,56.63,5958036
58.95,59.56,60.08,58.78,5571850
59.67,60.12,60.19,59.63,3709260
60.04,60.13,60.32,59.95,1741588
60,60.18,60.59,59.931,1813285
60.1,59.55,60.17,59.34,1705876
59.49,59.3,60.1499,59.28,1756189
59.43,59.05,59.51,58.55,3206693
59.59,58.72,59.62,58.71,2469736
59.01,59.41,59.61,58.63,2291280
59.58,59.91,59.95,59.32,1671172
59.78,60.12,60.2,59.57,2548446
59.68,59.32,59.68,59.2,2220990
58.89,58.615,58.955,58.36,2436951
58.7,58.09,58.785,57.92,2423079
58.27,57.84,58.3365,57.7292,1937723
57.97,58.42,58.75,57.9,2966960
58.67,59.11,59.49,58.49,2589231
59.23,58.67,59.23,58.37,1768587
58.86,59.1,59.556,58.63,3150678
59.18,59.77,59.79,58.99,2180266
59.51,59.8,60.06,59.18,2105090
59.92,59.735,60.12,59.72,1936272
59.93,60.15,60.69,59.55,1883384
60.15,60.2,60.2,59.4,4630115
60.35,59.57,60.49,59.52,1535069
59.43,58.58,59.95,58.57,2644353
58.65,58.49,58.93,58.22,2453779
58.9,57.89,59.01,57.715,2753814
57.59,55.93,57.6,55.88,3381125
55.83,54.02,56.335,54.01,3536406
53.49,55.78,55.8538,52.96,4610017
55.47,54.64,56.24,54.62,2698987
54.75,53.98,55.27,53.96,2605285
54.41,54.73,55.23,53.31,2352752
55,54.91,55.45,54.56,1924139
54.71,54.79,55.05,54.141,1557961
54.87,56.03,56.08,54.51,2555616
56.12,56.89,56.905,55.1522,2074746
56.47,56.43,56.72,56.07,2779964
56.12,55.95,56.37,55.32,3785726
55.96,54.5,56.32,54.5,3245064
54.76,54.95,55.69,54.68,2895269
52.37,52.99,53.43,51.66,10515246
51.47,51.43,52.49,51.01,8481740
51.7,50.78,51.94,50.67,8962584
50.9,50.54,51.25,50.27,6003300
50.6,50.55,51.3599,50.215,7320323
50.43,50.93,51.21,50.43,2936284
50.84,50.63,51.4155,50.61,4096558
50.62,51.06,51.13,50.305,5290869
50.64,51.06,51.34,50.47,3284407
51.18,51.71,51.79,50.91,3321614
51.9,51.44,51.98,51.16,2045325
51.58,51.98,52.48,51.58,2653630
52.23,51.99,52.35,51.83,3418079
52.1,51.81,52.87,51.73,3560399
51.79,50.92,52.11,50.52,4312677
51,50.48,51.27,50.41,4291701
50.38,50.22,50.825,50.035,3853805
50.34,49.91,50.53,49.7,4598760
45.03,45.5,46.25,44.79,22324283
45.4,44.445,45.94,44.44,9828724
44.96,44.21,45.68,44.15,8972936
44.63,45.33,45.48,44.6,6288974
45.6,45.31,46.43,44.96,7941444
43.98,44.36,45.05,43.96,15067410
44.83,45.06,45.26,44.57,6611056
45,44.09,45.06,43.84,8414776
44.31,44.3,44.49,43.86,4988187
44.08,45.37,45.5453,43.94,8782037
45.51,45.42,45.68,45.11,4319146
45.5,45.45,45.98,45.15,5074489
45.14,44.95,45.5,44.51,3671511
45.07,44.5,45.25,44.43,5326768
44.47,44.88,45.07,44.35,3594190
44.99,44.59,45.11,44.27,3262164
44.7,44.81,45.11,44.36,3552734
44.8,45.26,45.58,44.62,2966549
45.36,45.25,45.545,45.02,3099568
45.22,44.72,45.278,44.7,3224423
44.66,44.02,44.73,43.725,7093227
44.2,43.42,44.5799,43.18,4510450
43.88,44.57,44.59,43.54,4473122
44.7,44.37,44.77,44,5680840
44.34,44.04,44.73,43.89,4606118
44.01,44.38,44.5201,43.53,3868465
44.56,44.52,44.9048,44.33,3107918
44.65,43.74,44.73,43.69,3348740
43.88,43.54,43.933,43.2,3415224
43.5,42.48,43.5,42.3375,4780924
42.48,41.21,42.54,41.01,8831059
41.25,42.54,42.82,41.25,5508808
42.54,42.33,42.63,41.9242,3444747
42.12,42.3,42.34,41.91,3179358
42.49,42.5,42.8125,42.18,2425606
42.67,42.6,42.915,42.51,2985238
42.73,42.65,42.96,42.39,2371756
42.71,42.525,42.749,42.41,3109562
42.44,42.49,43.07,42.14,3693246
42.75,43.04,43.05,42.45,2478460
42.91,42.79,43.15,42.57,2847891
42.18,41.82,42.2,41.06,6440614
41.93,41.77,42.19,41.45,3843980
41.94,41.92,42.07,41.66,4053526
41.92,42.24,42.3,41.88,2955896
42.25,42.2,42.38,41.84,3392446
42.26,42.64,43.16,42.26,3298978
42.44,42.48,42.88,42.305,4274145
42.63,42.8899,43.115,42.32,4156142
42.75,42.28,42.77,42.015,4690523
42.39,42.6,42.9153,42.27,3545673
42.95,43.28,43.54,42.8159,4370406
43.39,42.5,43.39,42.305,5553070
42.65,42.59,42.65,41.965,3982480
41.95,42.23,42.865,41.82,7164300
42.38,42.9149,43.05,42.28,4309104
43.1,44.43,44.565,43.06,6960544
44.53,44.5,44.6399,43.8,4183089
44.5,44.62,44.92,44.39,4560686
44.7,44.52,44.72,44.295,4067455
44.35,45.46,45.51,44.35,5836387
45.72,44.725,46.65,44.3368,5831555
44.6,44.98,45.11,44.485,2996446
44.86,44.87,45.04,44.14,3533209
44.8,44.965,45.465,44.76,3174479
44.95,45.23,45.6801,44.8934,3909207
45.36,46.02,46.1399,45.25,5815924
46.02,46.05,46.28,45.7,6222618
46.5,45.73,47.14,45.42,9422951
45.5,44.67,46.03,44.18,6805269
44.71,44.27,44.72,43.77,5544207
44.02,43.43,44.16,43.36,5831862
43.6,43.54,43.9,43.46,2695298
43.68,44.84,44.84,43.53,5661899
45,45.04,45.41,44.64,3488867
44.55,44.3,44.9022,44.2139,3013677
44.31,44.69,44.72,43.8,4654294
44.6,44.7,44.91,44.32,3283526
44.74,44.58,45.16,44.37,3963593
44.7,44.9,45.03,44.61,2271314
44.97,43.96,44.97,43.85,3107880
43.91,44.23,44.42,43.88,2887187
44.15,43.1,44.19,43.0344,3596469
43.03,43.34,43.425,42.821,3551011
43.35,43.36,43.57,43.13,2894314
43.3,42.89,43.35,42.715,2450627
42.86,43.1,43.24,42.65,4095353
43.26,43.54,43.64,42.98,2837163
43.79,44.18,44.69,43.79,3147443
44.36,44.99,45.03,44.25,4711284
44.68,45.93,45.99,44.62,4999306
46.06,46.05,46.36,45.7001,4954826
46.05,45.09,46.19,45.07,4424241
44.99,45.74,45.79,44.4,4522882
45.93,47.23,47.77,45.77,7436151
47.2,47.1,47.5155,46.95,3411718
47.1,46.48,47.1,46.3,3626683
46.6,45.22,46.6,45.16,5064281
45.25,45.26,45.52,45.03,1951483
45.13,45.185,45.44,44.77,2065532
45.46,45.47,45.52,44.925,2818138
45.67,45.81,46.175,45.61,2415558
45.78,46.23,46.44,45.42,4063103
46.32,46.61,47.045,46.29,3432523
46.42,47.2,47.27,46.42,2269500
47.25,47.58,47.71,47.17,3221462
47.46,46.12,47.489,46.06,3235450
46,45.74,46.05,45.36,2452952
45.45,45.59,45.88,45.25,2295222
45.64,45.99,46.22,45.4756,1777236
46.11,45.86,46.27,45.76,1626675
45.84,45.39,45.96,45.275,1956311
45.38,45.68,45.69,45.21,1806686
45.49,45.64,45.86,45.27,1947936
45.82,46.01,46.34,45.7157,2216426
46,45.92,46.26,45.78,2324170
45.66,45.55,46.38,45.26,4925673
45.56,47.04,47.14,45.55,4043395
46.79,47.57,47.61,46.59,3432948
47.64,47.445,48.09,47.2436,2670788
47.37,46.75,47.43,46.57,2533379
46.78,47.5,47.59,46.75,1907705
47.67,47.6,47.78,47.25,2216265
47.57,47.73,47.76,47.22,3770643
47.5,47.77,48.11,47.5,6620802
46.56,44.1301,46.97,43.57,14106040
44.34,44.26,45.3233,43.96,8051931
44.4135,44.375,44.58,44.16,4894934
44.56,44.46,45.02,44.13,4331876
44.39,44,44.83,43.97,2618334
44.03,43.79,44.2699,43.62,2990898
43.85,43.71,44.05,43.63,2758863
43.36,43.035,43.755,42.87,3717032
43.08,42.91,43.16,42.61,4053375
42.97,42.67,43.06,42.48,3976933
42.99,43.23,43.545,42.7,3249288
43.53,43.005,43.74,42.9,2984781
42.87,43.34,43.42,42.65,2745819
43.35,43.5,43.74,43.325,3457883
43.56,44.4,44.48,43.42,4152724
43.93,43.29,44.03,43.06,2986831
43.24,43.93,44.69,43.1,4999762
44.03,42.85,44.19,42.66,4389760
43.03,43.09,43.23,42.436,3550592
43.11,43.57,43.89,43.08,2261558
43.57,44.37,44.42,43.41,3310409
44.2,44.06,44.46,43.75,2269028
44.16,43.67,44.43,43.57,2522537
43.91,44.54,44.77,43.91,2769744
44.53,44.15,44.9,43.855,2604992
44.02,44.49,44.5951,43.73,3578879
44.5,44.82,45.4,44.49,3235478
44.625,44.47,45,44.11,3295281
44.41,43.51,44.93,43.25,3816305
43.75,44.15,44.68,43.75,4457203
44.54,45.49,45.56,44.35,6331492
44.68,43.8,44.68,43.12,5375815
43.95,44.315,44.51,43.7176,3286495
43.87,42.16,44.07,41.74,7900795
42.27,42.96,43.34,42.26,4711904
42.88,43.82,43.94,42.74,3092463
43.99,43.86,44.06,43.13,2954535
43.7,44.44,44.55,43.6959,2909856
44.46,45.31,45.42,44.46,3774888
45.25,45.69,46.13,45.25,3566752
45.69,45.5,46.33,45.2,2679420
45.25,45.31,45.83,45.01,3489696
44.89,45.23,45.42,44.4897,3662827
45.18,44.21,45.47,44.11,5466751
44.23,44.24,44.78,43.69,5984829
44.48,44.18,45.1,43.98,3287430
44.12,43.32,44.15,43.085,3356718
43.39,43.35,43.64,43.04,1001793
43.39,42.38,43.64,42.32,4028265
42.23,42.45,42.645,41.89,3767983
41.95,41.88,41.955,41.37,4553343
41.85,42.19,42.38,41.7,4777534
42.11,42.31,42.59,41.99,4126457
42.06,41.48,42.34,41.06,7251305
41.66,40.28,41.95,40.21,7450142
40.34,39.74,40.38,39.32,10823524
39.56,38.48,39.7,38.11,9584957
38.74,38.54,38.94,38.075,5952217
38.71,38.73,39.4477,38.45,5846973
38.94,38.56,39.305,38.51,8786201
38.56,38.11,38.68,38.07,6722116
38.01,37.38,38.07,37.22,6054046
37.41,36.74,37.7,36.42,7829419
36.99,36.72,37.34,36.55,7258199
38.8,38.55,40.38,38.41,13035003
38.19,39.09,39.23,37.42,9106755
39,38.79,40.42,38.75,9446367
38.73,37.64,38.86,37.54,3633243
37.81,38.42,38.43,37.34,6187258
38.32,39.02,39.025,37.355,7181900
39.08,38.76,39.46,38.5,5377276
38.74,38.835,38.985,38.2843,4759680
38.82,38.4,38.94,38.12,5248984
38.38,39.09,39.41,38.2,5313965
39.12,39.76,39.94,38.9,5123213
39.81,40.425,40.74,38.78,4351948
40.79,41.155,41.22,40.63,5635876
40.35,40.4,40.775,40.05,3921222
40.42,41.4,41.44,40.42,5628954
41.45,41.78,41.82,41.08,5046624
41.65,41.735,41.79,41.42,3157573
41.68,41.905,42.06,41.46,3941731
41.97,42.25,42.3,41.69,4252568
42.28,42.96,43.05,42.2,4041435
43.2,43.435,43.7,43.02,4813004
43.51,43.23,43.72,42.88,7554782
43.68,43.965,44.29,43.62,4643603
43.45,43.49,43.9998,42.88,4308027
43.56,43.275,44.22,43.205,6465858
43.42,43.49,43.57,42.84,3104946
43.65,43.545,43.72,43.2,2633278
43.49,43.75,44.01,43.45,2815214
43.73,44.46,44.47,43.48,3063910
44.7,44.22,45,43.82,3815544
44.23,43.83,44.3,43.59,2747379
43.83,44.605,44.63,43.68,3693979
44.48,43.84,44.69,43.77,2893906
43,43.805,44.18,42.8,3569395
43.71,43.92,43.97,43.12,2636671
44.08,43.935,44.1899,43.495,3212530
43.99,44.865,44.94,43.99,3455286
44.84,44.46,44.94,44.33,2561384
44.19,44.53,44.76,43.91,2471392
44.84,45,45.3,44.77,3397681
