Open, Close, High, Low, Volume
1034,1043.32,1059.69,1030.48,1880670
1047.29,1034.66,1075.71,1019.43,2432756
1026,1023.75,1047.44,1007.8648,2560811
1032.04,990.27,1037.67,979.6364,4662207
984.32,984.52,1012.1195,977.6599,1659918
997.99,1047.88,1048.45,992.645,1977553
1026.2,1053.34,1053.34,1007,1919972
1059.5,1046.34,1064.23,1042,1476634
1057.83,1037.745,1062.99,1033.0387,1219176
1027.2,1053.24,1060.79,1025.275,1346501
1050.67,1026.505,1066.26,1022.37,1546910
1041.63,1076.55,1080,1036.86,1792417
1080.97,1076.01,1082.7,1062.64,1872050
1084.77,1085.51,1093.35,1068.3486,1402631
1087.99,1083.22,1091.64,1074.37,1154151
1074.94,1078.45,1079.085,1064.68,1092023
1069.9,1062.93,1073.37,1056.43,1272704
1053.34,1052.845,1058.45,1048.55,1137744
1058.01,1086.06,1088.27,1054.44,1536965
1090,1088.21,1102.36,1088.1,1639887
1087.99,1098.15,1100.7,1083.255,1010311
1108.59,1105.4,1118,1099.2834,1894558
1097.5,1074.54,1098.97,1070.89,1299223
1086.86,1082.815,1092.95,1067.57,1063226
1082.51,1084.285,1088,1070.02,1099283
1094.23,1099.37,1103.21,1091.8011,882516
1090.07,1080.0529,1093.365,1074.61,1060160
1081.04,1070.01,1084.73,1066.02,846453
1078.57,1098.32,1099.52,1076.64,1086527
1112.24,1124.72,1127.67,1105.25,1624482
1122.29,1119.685,1134.4,1114.25,1300373
1120.1,1140.21,1142.34,1117.51,2511344
1129.63,1151.345,1152.5,1123.6,3714644
1148,1123.24,1154,1118.36,1961777
1111.61,1103.91,1111.99,1093.59,1627994
1094.88,1101.16,1105.095,1094.24,890681
1103.75,1102.22,1113.43,1100,736358
1111.01,1127.395,1132.86,1111.01,1434412
1133.04,1126.5701,1142.8496,1126.05,1277477
1125,1129.32,1136.13,1117.09,896341
1136.73,1119.08,1139.3,1116.72,1236662
1116.64,1125.4344,1129.64,1116.64,768872
1128.88,1120.99,1130.93,1111.75,1017131
1118.78,1104.5,1119.15,1097.98,1379202
1109.7,1116.69,1117.25,1100.5,1126321
1124.3,1117.03,1125.4,1114.11,1055383
1114.37,1122,1126.435,1106.7,1314597
1114.01,1122.89,1125.73,1108.56,916073
1120.05,1127.04,1133.99,1118.41,1056546
1132.1,1147.92,1150,1131,1317656
1154.56,1153.69,1165.52,1138.25,1432109
1156,1168.98,1176.4899,1153.02,1778223
1171.76,1164.95,1174.74,1163.05,1023368
1160.5,1151.56,1163.58,1141.715,1170172
1133.9,1149.71,1153.4504,1130.2,1012099
1152,1178.98,1179.91,1151.57,1185310
1182.74,1197.79,1205.71,1182.3,1887078
1205.93,1198.85,1207.1234,1197.91,1058863
1199.02,1192.749,1204.7,1191.23,1189050
1192.4,1191.08,1201.725,1187.01,1288235
1189.69,1188.24,1194.95,1181.4762,1100687
1192.38,1202.99,1203.405,1189.4564,1258816
1201.4,1226.52,1229.99,1199.59,1764600
1220,1236.43,1236.44,1216.575,1302499
1230.25,1208.17,1233.63,1206.0001,1437200
1199.56,1197.13,1209.44,1190.0034,1213515
1205.19,1189.84,1207.65,1181.76,1381673
1191.92,1178.02,1191.92,1164.23,1299501
1177.06,1172.28,1177.25,1163.43,1030973
1180.18,1176.42,1183.97,1166.38,1034827
1186.2,1199.12,1199.13,1186.2,598931
1200.05,1205.16,1205.81,1191.24,777991
1212.7,1210.48,1220.6,1205.075,967635
1211.29,1219.46,1220.55,1209.04,879729
1218.75,1211.78,1220.39,1210.03,860041
1211.11,1208.22,1213.95,1204.695,868731
1201.89,1203.08,1207.15,1198.38,865489
1205.09,1206.45,1208.9377,1200.6609,705045
1209.97,1209.57,1212.74,1204.54,790515
1215,1222.99,1223.05,1213.29,992784
1224.09,1226.61,1229.295,1214.56,1055295
1230.69,1232.13,1235.98,1225.04,1009593
1237,1240.26,1245.095,1232.9,1363649
1245,1241.47,1245.94,1239.41,1122870
1237.05,1254.26,1254.3405,1233.37,840734
1256,1270.26,1274.43,1251.975,1370300
1270.59,1260.06,1274,1259.81,836189
1270.59,1267.34,1272.8,1258,1352918
1273.38,1277.17,1278.91,1265,1118089
1280.51,1296,1296.975,1271.71,2296071
1190.77,1199.49,1200.9777,1183,5980943
1198,1173.37,1199.25,1171.675,3497083
1172.6,1166.25,1179.38,1158.33,2018931
1177.09,1189.55,1191.4,1173.545,1797188
1172,1193.38,1195.43,1171.155,1456195
1185.81,1179.55,1194.77,1165,1564069
1177.29,1169.57,1184.27,1167.63,1085504
1162.6,1167.69,1174.07,1154.64,1272156
1168,1167.67,1176.28,1146.37,1456810
1145.24,1136.68,1151.97,1125.5,1857526
1141.34,1124.82,1144.865,1123.53,1662207
1122.55,1170.06,1178.3,1121.4,2530623
1171.84,1184.75,1194.16,1168.45,1549838
1175.83,1168.29,1186.29,1166.42,1112390
1153,1144.23,1153,1138.135,1141308
1154.48,1154.69,1158,1143.31,883437
1152.82,1155.75,1163.78,1151,770596
1145.83,1144.9,1150.05,1133.16,1068393
1152,1139.1,1154.36,1136.71,816746
1141.48,1138.79,1156.49,1138.67,820763
1133.87,1120.44,1135,1111.95,1558887
1120.15,1121.18,1126.795,1115.9,809204
1105.64,1106.33,1113.4027,1103.35,1293148
1067.44,1039.04,1067.44,1027.16,4414677
1044.49,1054.59,1058.437,1036.03,2692428
1055,1045,1056.81,1033,2012699
1046.21,1047.77,1050,1035.51,1321246
1054.28,1069,1073.43,1051.15,1857229
1075.95,1082.65,1094.84,1075.2817,1261125
1096.99,1080.71,1104.005,1079.57,1424494
1081.12,1079.28,1082.52,1069.6,1011776
1084.71,1091.24,1096.59,1082.57,1758932
1088.46,1086.3,1094.76,1081.4752,1936988
1089.1,1093.71,1101.28,1088,837042
1111.5,1105.25,1118.78,1100.79,1453452
1106.15,1104.86,1109.43,1096.03,1098456
1121.5,1113.64,1122.72,1107,951688
1110.905,1125.32,1126.57,1109.72,1960778
1120,1117.18,1123.57,1113.31,980463
1115.08,1087.98,1115.7,1084.5999,1369235
1088.57,1080.72,1095.12,1073.6873,1466756
1086.75,1076.54,1088.465,1075.85,1039483
1079.15,1081.94,1082.79,1073.8,1132882
1101.04,1099.63,1108.59,1095.33,1218173
1104.05,1112.86,1112.89,1099.67,928738
1118.5,1122.41,1127.9873,1114.85,860824
1119.37,1132.41,1134.65,1117.5,1206609
1125.87,1117.21,1127.21,1111.76,1230229
