Open, Close, High, Low, Volume
92.58,93.29,93.81,92.58,288942
93.2,91.48,93.33,91.43,435386
92.42,91.99,93.4,91.58,669574
92.87,93.46,93.72,92.435,337707
93.83,93.03,93.97,93.01,371345
93.56,93.23,93.71,92.7759,244382
93.58,94.53,94.58,93.23,388378
94.94,95.14,95.54,94.52,539585
94.95,95.39,95.96,94.86,252208
95.46,95.66,95.76,95.13,309258
95.67,95.48,95.85,94.4301,313522
95.4,95.01,95.93,94.98,258856
95.54,96.61,97.13,95.54,561522
96.77,97.29,97.48,96.48,416030
97.67,97.4,98.44,96.96,467811
97.58,97.48,97.73,96.19,471589
97.74,98.01,98.56,97.5,432339
98.15,98.97,99.3,98.15,643090
98.4,99.39,99.64,98.29,627390
99.39,101.93,101.97,98.93,629424
101.95,103.27,103.39,101.63,685940
104.04,102.81,104.88,102.7,703794
103.09,103.51,103.8,102.82,399988
103.75,102.95,103.83,102.15,297520
103.14,104.14,104.45,103.14,347333
104.25,104.14,104.25,102.99,434062
103.89,104.75,104.9,103.6302,351957
105,106.64,106.75,104.34,479742
105.94,106.31,106.81,105.2605,592066
106.54,107.57,107.63,105.89,328561
107.58,107.03,107.75,106.82,357726
106.69,105.2,106.91,104.86,456177
105.37,104.12,105.88,103.22,697383
103.38,103.21,104.31,102.78,601076
102.99,102.18,104.14,101.9,718382
101.39,99.68,102.87,99.66,842509
98.28,100.08,100.63,96.91,831526
99.96,99.27,101.83,99.17,629214
99.33,96.3,100.44,96.28,922206
97.12,97.02,98.0389,92.82,965652
98.09,97.7,98.61,96.52,613280
97.79,96.72,98.15,96.08,787959
96.3,98.96,99.32,96.03,711634
99.5,100.92,100.92,98.57,715226
100.49,99.82,101.08,99.1,869201
95.33,94.67,96.89,94.4,1252990
94.4,93.32,94.7904,92.5,921306
93.54,92.92,94.83,92.45,757132
93.33,94.53,94.6,92.67,623985
94.71,94.86,95.03,93.85,453065
95.13,92.57,95.21,92.57,556597
92.88,91.85,93.54,91.82,603673
91.73,91.34,92.615,90.5,665644
90.9,90.84,91.28,90.16,751406
90.38,91.81,92.19,90.06,414728
91.96,92.52,92.64,91.11,520851
91.62,91.66,92.175,90.9,398598
91.29,90.52,91.325,90.275,411292
91.16,92.61,92.66,90.45,392385
92.62,92.36,93.14,91.62,455183
92.69,91.73,93.01,91.43,486510
92.04,90.37,92.18,90.18,610147
90.56,90.24,91.01,89.935,449168
90.43,90.75,91.4835,89.92,1090664
90.77,90.49,91.65,89.995,448782
90.84,90.78,91.23,90,387502
90.87,90.49,91.32,90.45,348283
89.94,87.98,90.2699,87.89,517946
88.2,86.52,88.72,86.45,569068
87.45,88.66,88.84,87.2,529761
88.77,88.61,89.88,88.18,415089
89.01,88.67,89.94,88.24,385124
89.17,89.83,90.42,88.9582,428060
89.4,86.78,89.789,85.8,459240
87.24,88.14,88.22,86.76,523773
87.29,89.72,89.9423,87.28,386432
90.05,90.68,91.1,89.17,423383
90.28,89.25,90.96,88.15,705783
89.49,88.8,90.04,88.69,458374
89.58,90.38,91.01,89.41,507237
89.71,89.66,90.16,89.03,298336
89.96,90.15,90.6847,89.8301,379556
92.37,89.52,92.75,89.1889,580589
89.84,90.65,90.82,89.32,434841
90.82,90.75,91.205,90.29,374245
91.23,91.37,91.97,90.78,718255
88.88,88.13,90.32,87.02,1701571
88.15,87.75,88.65,86.89,985426
87.64,88.79,88.99,87.4,623112
88.93,88.4,90.33,88.06,821495
88.17,88.82,89.45,87.99,685266
89.19,88.99,90.5126,88.645,1069304
88.91,90.91,91.09,88.895,903878
91.21,88.29,91.25,88.07,907590
88.23,88.66,89,87.35,656776
88.88,87.95,89.18,87.46,2949560
88.17,88.62,88.95,87.56,1433218
88.36,89.92,90.34,87.96,737396
89.93,89.81,90.1899,89.16,691270
90.16,89.78,90.3,89.22,700512
90.08,90.18,90.41,88.92,834484
90.3,90.53,90.78,90.01,381914
90.44,91.4,91.7,89.95,385458
91.39,91.77,92.08,91.023,340694
91.45,91.69,91.78,91.19,830282
91.95,92.46,92.86,91.95,343643
92.36,92.66,92.92,92.2,402549
92.78,92.38,93.16,92.01,432776
92.92,93.52,93.7,92.43,576873
94.07,91.79,94.82,91.66,1795753
91.37,91.11,91.68,90.55,606564
90.92,91.76,91.94,90.1,397913
91.62,91.46,92.0569,91.21,305668
90.95,90.35,91.33,89.871,416883
90.72,91.68,92.26,90.38,385677
91.58,90.81,91.58,90.2,493590
91.03,91.46,92.2,90.7001,336741
91.75,92.97,93.26,91.5,532057
92.87,93.3,93.62,92.71,468138
93.53,94.13,94.23,93.35,403669
93.58,94.4,94.82,93.52,674493
94.31,94.63,94.67,93.84,523717
94.61,95.32,95.52,94.42,416702
95.49,95.08,95.49,94.8,282476
95.25,94.36,95.35,94.14,313642
94.64,94.08,94.85,94,363143
93.98,95.07,95.19,93.42,598295
94.4,94.3,95.13,94.01,315768
93.62,93.9,94.08,93.21,263292
94.09,94.08,94.55,93.12,268127
93.78,92.6,93.815,92.4,346763
93.48,93.04,93.8,92.8,566005
92.72,92.26,92.995,91.58,563147
92.43,92.56,92.8,91.96,415586
92.89,91.91,93.57,91.82,483221
91.82,91.74,92.09,91.14,915507
91.92,91.83,92.8,91.79,513442
91.36,91,91.44,90.37,351675
91.33,90.74,91.76,90.57,368551
91.29,91.37,91.39,90.38,523169
91.16,90.72,91.42,90.57,1028489
91.05,92.74,93.635,91.05,612608
92.79,93.4,93.49,92.47,438794
92.93,92.08,93.15,91.8,341473
92.74,92.42,92.98,91.85,295410
92.63,93.25,93.67,92.6,404461
93.56,93.24,93.85,92.7794,528056
93.2,94.18,94.3,92.46,539788
94.31,94.63,94.86,93.21,956956
95.03,97.3,97.71,93.53,1187829
97.5,98.05,98.73,97.09,911220
98.02,98.59,98.87,97.9,717701
99.01,97.88,99.56,97.3,869820
97.76,97.01,97.84,95.69,638771
97.35,97.61,98.29,97.285,313416
97.46,96.69,98.03,96.501,296331
96.55,96.5,97.34,96.32,557929
96.75,97.31,97.53,95.82,621120
97.08,97.15,97.44,96.73,522681
96.91,97.84,98.06,96.765,468498
98.01,98.02,98.79,97.3,240263
97.77,98.37,98.485,97.55,222281
98.69,99.3,99.62,98.565,246415
99.11,99.33,99.4771,98.86,217909
99.57,99.36,99.84,99.265,190415
98.81,98.03,99.135,97.93,287584
98.03,96.58,98.17,96.53,363482
97.16,98.27,98.61,97.14,346343
97.71,98.1,98.42,96.93,280506
98.68,98.47,99.1014,98.14,321380
98.6,98.88,99.09,98.29,244777
98.94,99.48,99.62,98.94,382323
99.56,99.78,99.9792,99.29,268632
99.82,99.28,100.2,99.15,332881
99.43,99.59,99.71,98.99,230247
99.64,99.13,99.83,98.68,217011
99.62,99.83,100.03,99.22,213513
99.76,99.61,100.24,99.485,409021
99.67,100.12,100.31,98.73,366497
99.88,99.07,100.26,98.72,243421
99.05,99.85,99.92,98.86,317418
99.66,100.2,100.25,99.23,399302
100.12,101.11,101.25,100.12,347144
100.65,101.24,101.5,100.65,313022
101.03,101.39,101.77,100.71,404680
101.93,101.81,102.44,101.59,335205
101.59,101.99,102.44,101.26,329013
102.01,101.71,102.49,101.425,252974
101.95,101.62,101.99,101.25,247905
101.7,101.9,102.1,101.35,337534
101.78,100.69,101.834,100.527,365581
100.26,101.3,101.36,99.96,421405
101.58,101.03,101.69,100.82,335251
101.23,101.51,101.745,100.42,365512
101.79,101.1,102.19,100.91,747339
101,99.39,101,99.39,434839
99.68,98.77,99.68,98.73,438797
99.2,99.47,100.15,98.88,333544
99.38,99.46,100.17,98.89,304529
99.25,99.39,99.77,99.04,314892
99.6,99.29,99.78,99.04,583453
99.1,100.07,100.45,98.9,598593
100.33,97.96,100.62,97.96,763837
97.98,97.75,97.98,97.22,373105
97.62,99.23,99.3,97.62,555799
