Open, Close, High, Low, Volume
33.83,34.26,34.41,33.83,2516847
33.95,33.2,34.41,32.88,5356412
33.42,33.56,34.06,33.4,3631812
33.92,34.44,34.7,33.81,3329791
34.63,34.305,34.66,34.02,2206156
34.5,34.32,34.61,34.205,1936526
34.4,34.48,34.625,34.16,2088333
34.55,34.44,34.55,34.155,2703753
34.46,34.93,35.24,34.46,2396129
34.98,34.47,34.98,34.32,1581867
34.49,34.43,34.57,34.13,1258847
34.54,34.07,34.78,34.04,1555411
34.15,33.86,34.37,33.555,4440902
34.08,33.17,34.17,32.8634,3356583
32.71,32.7399,33.11,31.87,4948429
32.75,32.54,32.86,32.345,2890482
32.83,32.3,33.08,31.76,3389681
32.16,31.99,32.18,31.57,4044559
31.84,32.03,32.22,31.53,2516387
32.16,33.18,33.27,31.935,4470559
33.16,33.86,34.2334,33.03,3525179
33.92,32.7,34,32.67,3844521
32.82,33.26,33.46,32.82,2127036
33.31,33.76,33.88,33.25,1936307
33.93,34.82,34.87,33.76,2765644
34.8,35.5,35.5,34.735,3465594
35.44,35.46,35.68,35.06,2831451
35.46,34.87,35.58,34.48,1859470
35.1,34.58,35.19,34.37,1603245
34.58,34.85,34.865,34.17,2171361
34.47,35.07,35.33,34.47,2141369
34.9,34.39,35.0256,34.25,3732216
34.42,33.255,34.68,33.02,3659164
32.82,32.87,33.5,32.57,4828674
32.68,32.08,32.81,31.91,3574552
31.8,30.56,32.215,30.52,6198449
29.97,32.16,32.475,29.28,7380791
32.2,32.61,33.05,31.84,3110240
32.82,31.17,32.85,31.16,3021838
31.73,32.3,32.6,30.54,7394694
32.54,31.43,32.62,31.32,5720716
31.38,32.43,32.51,31.29,3148001
32.1,33.12,33.4,31.99,3272480
33.41,33.335,33.59,32.66,1838274
33.22,33.28,33.95,33.22,2791678
31.09,31.62,32.41,30.75,8190586
31.79,32.225,32.92,31.75,3864144
32.33,32.37,32.7,32.24,2124125
32.49,32.7,32.72,32.02,2993369
33.04,32.14,33.13,31.895,4930454
32.62,31.21,33.17,31.21,4292493
31.5,31.58,32.18,31.44,3789271
31.39,31.7,31.95,30.73,7548479
33.9,34.15,34.37,32.7,14628442
34.18,34.1,34.29,33.442,8116249
34.09,34.58,34.71,34.02,6223035
34.46,33.26,34.52,32.97,5625557
33.34,32.6,33.58,32.58,3856989
32.89,33.07,33.18,32.17,3837441
33.07,32.23,33.12,32.05,4406289
32.47,32.67,33,32.34,3156810
32.81,32.42,32.98,32.295,2218720
32.47,31.82,32.535,31.76,4042093
31.81,31.73,32.37,31.36,3343585
31.79,32.22,32.53,31.76,3790896
32.14,32.32,32.695,32,2945405
