Open, Close, High, Low, Volume
58.26,58.33,58.97,57.39,2372298
58.5,58.63,59.14,58.28,1225682
58.88,58.58,59.22,58.52,796971
58.96,58.8,58.97,58.61,755915
59.15,59.16,59.54,58.75,808935
59.22,59.18,59.46,59.08,305166
59.13,59.27,59.75,59.02,255822
59.34,59.45,59.74,59.28,255289
59.47,59.78,59.85,59.47,285467
59.77,59.58,59.98,59.39,326542
59.64,59.53,59.86,59.19,639982
59.66,60.27,60.3,59.56,461268
60.24,60.26,60.355,59.79,772912
60.39,59.72,60.5,59.62,644109
59.6,60.35,60.38,59.17,939492
60.53,59.86,60.59,59.74,740310
59.84,60.47,60.71,59.67,566638
60.46,61.39,61.59,60.42,601984
61.47,61.96,61.98,61.37,660955
62.15,61.46,62.64,61.355,1181234
61.83,63.04,63.1,61.7954,871176
62.87,63.24,63.34,62.84,553013
63.5,63.9,63.91,63.0494,792776
63.42,64.04,64.05,63.1385,692408
64.09,64.52,64.63,63.85,581927
64.84,64.21,64.96,63.77,865526
64.44,63.77,64.525,63.53,800754
64.13,64.58,64.6,63.75,698047
63.94,63.72,64.52,63.51,764569
63.44,63.04,63.55,62.82,901347
63.16,62.95,63.54,62.5,963684
62.79,62.68,63.1885,61.98,970467
62.61,62.42,63.34,62.29,663803
62.16,60.79,62.79,60.78,1072158
60,62.31,62.55,59.25,1197582
63.4,63.08,63.85,61.1,1202459
63.1,61.14,63.38,61.1,721271
61.75,61.21,62.15,59.61,913042
61.56,61.97,62.4,61.54,806011
62.02,62.44,62.58,61.26,834858
62.19,64,64.2,61.6934,726921
64.41,64.88,65.04,63.93,1021632
64.79,65.19,65.51,64.62,824937
65.2,64.86,65.96,64.68,2133121
60.86,61.875,63.19,60.06,3270310
62.22,60.38,62.62,59.76,1546708
60.25,60.35,60.805,59.57,1316363
60.51,60.65,60.92,60.05,1071244
60.48,60.22,60.76,60.05,957490
60.44,59.24,60.7,59.23,568756
59.15,58.85,59.795,58.27,988164
58.66,59.42,59.52,57.835,713150
59.01,59.61,59.8935,58.86,651085
59.63,59.81,59.82,59.1,626174
59.37,60,60.06,59.27,591307
60.5,59.9,62.1162,59.57,603741
60.04,60.99,61.02,59.94,687019
61.06,61,61.39,60.65,459789
61.5,61.16,61.78,60.91,629848
61.04,60.27,61.15,59.97,509515
60.44,59.68,60.6,59.56,540672
59.72,60.11,60.28,59.51,861782
59.78,59.84,60,59.36,537551
59.95,59.99,60.14,59.7,587087
59.94,59.5,60.18,59.48,505967
59.13,58.34,59.44,58.33,584370
58.64,57.68,58.81,57.66,462285
58.27,58.69,58.96,58.06,497057
58.71,58.129,59.34,57.81,521200
58.2,58.19,58.86,57.84,489119
58.61,58.93,59.27,58.2,435462
58.79,58.07,58.79,57.29,619327
58.34,58.8,58.91,57.83,409583
58.13,59.33,59.4,57.87,742660
59.67,59.64,59.79,59.2,849105
59.3,58.41,59.65,57.88,389241
58.69,58.52,59.17,58.38,374594
59.24,59.37,59.68,58.905,393483
59.14,59.29,59.455,59.02,426967
59.45,59.29,59.66,59.24,437834
59.61,59.03,59.61,58.81,477032
59.4,59.42,59.7,58.9325,501262
59.94,59.92,60.11,59.65,661537
59.96,59.97,60.38,59.78,527351
59.86,59.23,59.86,58.77,362566
59.35,58.93,59.49,58.58,364141
58.96,58.09,59,57.81,791074
58.25,57.66,58.68,57.4,648820
57.71,57.83,57.98,57.01,573296
58.3,58.96,58.975,58.16,749463
58.64,59.26,59.54,58.46,861901
59.17,58.66,59.24,58.55,612922
58.32,58.91,59.1,57.91,955238
60.95,61.93,62.46,60.33,2127711
62,60.34,62,60.03,1391680
60,59.89,60.28,59.7,1141928
59.85,59.36,59.85,59.06,686443
59.84,59.58,59.98,59.17,567265
59.61,59.41,59.87,59.28,654428
59.52,59.19,59.55,59.08,688843
59.11,59.29,59.58,59,537227
59.27,59.4,59.54,58.91,501192
59.26,59.24,59.4,58.71,594598
59.12,59.7,60,59.02,558650
59.58,59.76,60.07,59.51,472313
59.69,59.75,59.89,59.27,346009
60.12,60.4,60.56,60.01,352034
60.31,60.48,60.79,60.31,371347
60.33,60.28,60.42,59.661,443634
60.23,60.53,60.68,60.11,342686
60.53,60.56,60.85,60.51,298367
60.22,60.44,60.89,60.11,530581
60.58,60.88,61.1,60.42,493171
60.9,60.06,60.9,59.87,567023
60.49,61.4,61.67,60.3,749649
61.42,60.98,61.6,60.85,394764
61,61.67,61.76,60.81,469428
61.8,61.9,61.94,61.34,410343
62,61.42,62.06,61.34,457453
61.43,61.85,61.89,61.075,431299
61.81,62.26,62.49,61.61,427164
62.25,62.37,62.55,62.06,365121
62.57,62.21,62.78,62.14,429062
62.39,61.94,62.5,61.66,648507
61.2,61.24,61.43,60.65,700605
61,61.26,61.49,60.88,542471
60.86,60.92,60.99,60.27,477673
61.09,61.48,61.49,60.85,534311
61.35,60.13,61.35,60.02,502086
60.47,60.21,60.74,60.09,332099
60.17,59.71,60.2,59.39,410511
59.94,60.25,60.42,59.72,313891
60.41,59.98,60.78,59.97,463273
59.94,60.97,61,59.92,667917
61,61.01,61.42,60.45,687036
60.75,60.94,61.09,60.2,495411
61,60.65,61.07,60.56,233422
60.78,60.59,60.78,60.085,397758
60.67,61.35,61.49,60.6468,450812
61.45,62.4,62.475,61.23,740029
62.27,63.3,63.32,62.238,925811
63,62.28,63.05,62.18,585832
62.49,63.07,63.26,62.18,606385
63.12,63.22,63.82,63.01,434139
63.29,63.44,63.49,62.84,488155
63.2,64.06,64.281,63.16,688995
64.07,64.05,64.15,63.67,498365
64.23,65.04,65.28,64.14,646299
64.85,64.55,65.13,64.53,388622
64.54,63.87,64.56,63.82,579433
63.83,63.48,64.04,63.23,761470
63.36,63.4,63.495,62.91,718666
63.33,63.61,63.86,63.02,605887
63.75,62.93,63.9,62.765,610368
62.99,61.91,63.16,61.85,601206
62,62.44,62.61,61.31,1162160
64,64.5,64.85,62.38,2029500
64.4,64.52,64.85,63.89,1119721
64.57,64.89,65.28,64.44,1190586
64.91,64.56,65.33,64.49,927801
64.47,64.83,65.01,64.22,915719
64.83,64.44,64.83,63.96,694844
64.58,64.66,65.0249,64.28,715001
64.36,63.84,64.51,63.49,635783
63.81,63.54,64.03,63.4,724361
63.64,64.18,64.4232,63.49,765711
63.77,63.64,63.92,63.4,710559
63.96,64.46,64.9,63.7729,784872
64.42,65.36,65.53,64.39,964417
65.32,64.68,65.79,64.64,1069916
64.85,64.93,65.03,64.6,785907
64.96,64.96,65.5,64.89,1007625
64.86,64.99,65.06,64.53,781567
65,64.75,65.09,64.55,568399
